symbol,beg_date,end_date
BKNG,2019-07-15,2019-07-29
MSFT,2019-07-15,2019-07-29
WYNN,2019-07-15,2019-07-29
CTAS,2019-07-15,2019-07-29
LRCX,2019-07-15,2019-07-29
AAPL,2019-07-15,2019-07-29
MYL,2019-07-15,2019-07-29
AVGO,2019-07-15,2019-07-29
NTES,2019-07-15,2019-07-29
BMRN,2019-07-15,2019-07-29
HSIC,2019-07-15,2019-07-29
MNST,2019-07-15,2019-07-29
PAYX,2019-07-15,2019-07-29
CELG,2019-07-15,2019-07-29
NTAP,2019-07-15,2019-07-29
TXN,2019-07-15,2019-07-29
CHTR,2019-07-15,2019-07-29
EA,2019-07-15,2019-07-29
GILD,2019-07-15,2019-07-29
TSLA,2019-07-15,2019-07-29
NXPI,2019-07-15,2019-07-29
CERN,2019-07-15,2019-07-29
QCOM,2019-07-15,2019-07-29
LULU,2019-07-15,2019-07-29
SNPS,2019-07-15,2019-07-29
EBAY,2019-07-15,2019-07-29
ALXN,2019-07-15,2019-07-29
KDP,2019-07-15,2019-07-29
KHC,2019-07-15,2019-07-29
INCY,2019-07-15,2019-07-29
COST,2019-07-15,2019-07-29
ADSK,2019-07-15,2019-07-29
FISV,2019-07-15,2019-07-29
WBA,2019-07-15,2019-07-29
AMZN,2019-07-15,2019-07-29
PYPL,2019-07-15,2019-07-29
AMAT,2019-07-15,2019-07-29
XEL,2019-07-15,2019-07-29
NVDA,2019-07-15,2019-07-29
EXPE,2019-07-15,2019-07-29
WLTW,2019-07-15,2019-07-29
ORLY,2019-07-15,2019-07-29
TMUS,2019-07-15,2019-07-29
CMCSA,2019-07-15,2019-07-29
PCAR,2019-07-15,2019-07-29
ADBE,2019-07-15,2019-07-29
XLNX,2019-07-15,2019-07-29
MU,2019-07-15,2019-07-29
ASML,2019-07-15,2019-07-29
TCOM,2019-07-15,2019-07-29
INTU,2019-07-15,2019-07-29
SIRI,2019-07-15,2019-07-29
ALGN,2019-07-15,2019-07-29
GOOG,2019-07-15,2019-07-29
DLTR,2019-07-15,2019-07-29
LBTYA,2019-07-15,2019-07-29
CTSH,2019-07-15,2019-07-29
SBUX,2019-07-15,2019-07-29
FOXA,2019-07-15,2019-07-29
CTXS,2019-07-15,2019-07-29
EFII,2019-07-15,2019-07-29
CSX,2019-03-20,2019-07-15
RHT,2019-03-20,2019-07-15
VRSK,2019-03-20,2019-07-15
CDNS,2019-03-20,2019-07-15
MAR,2019-03-20,2019-07-15
AMD,2019-03-20,2019-07-15
JBHT,2019-03-20,2019-07-15
ISRG,2019-03-20,2019-07-15
ULTA,2019-03-20,2019-07-15
FAST,2019-03-20,2019-07-15
NLOK,2019-03-20,2019-07-15
REGN,2019-03-20,2019-07-15
AMGN,2019-03-20,2019-07-15
GEHC,2019-03-20,2019-07-15
ADP,2019-03-20,2019-07-15
CSCO,2019-03-20,2019-07-15
ADI,2019-03-20,2019-07-15
ILMN,2019-03-20,2019-07-15
BIDU,2019-03-20,2019-07-15
ATVI,2019-03-20,2019-07-15
ROST,2019-03-20,2019-07-15
META,2019-03-20,2019-07-15
BIIB,2019-03-20,2019-07-15
IDXX,2019-03-20,2019-07-15
MXIM,2019-03-20,2019-07-15
MELI,2019-03-20,2019-07-15
INTC,2019-03-20,2019-07-15
HAS,2019-03-20,2019-07-15
NFLX,2019-03-20,2019-07-15
JD,2019-03-20,2019-07-15
GOOGL,2019-03-20,2019-07-15
VRTX,2019-03-20,2019-07-15
UAL,2019-03-20,2019-07-15
CHKP,2019-03-20,2019-07-15
MDLZ,2019-03-20,2019-07-15
KLAC,2019-03-20,2019-07-15
WBD,2019-03-20,2019-07-15
MCHP,2019-03-20,2019-07-15
SWKS,2019-03-20,2019-07-15
TTWO,2019-03-20,2019-07-15
LBTYK,2019-03-20,2019-07-15
AAL,2019-03-20,2019-07-15
WDAY,2019-03-20,2019-07-15
PEP,2019-03-20,2019-07-15
BKNG,2019-03-20,2019-07-15
MSFT,2019-03-20,2019-07-15
WYNN,2019-03-20,2019-07-15
CTAS,2019-03-20,2019-07-15
LRCX,2019-03-20,2019-07-15
AAPL,2019-03-20,2019-07-15
MYL,2019-03-20,2019-07-15
AVGO,2019-03-20,2019-07-15
NTES,2019-03-20,2019-07-15
BMRN,2019-03-20,2019-07-15
HSIC,2019-03-20,2019-07-15
MNST,2019-03-20,2019-07-15
PAYX,2019-03-20,2019-07-15
CELG,2019-03-20,2019-07-15
NTAP,2019-03-20,2019-07-15
TXN,2019-03-20,2019-07-15
CHTR,2019-03-20,2019-07-15
EA,2019-03-20,2019-07-15
GILD,2019-03-20,2019-07-15
TSLA,2019-03-20,2019-07-15
NXPI,2019-03-20,2019-07-15
CERN,2019-03-20,2019-07-15
QCOM,2019-03-20,2019-07-15
LULU,2019-03-20,2019-07-15
SNPS,2019-03-20,2019-07-15
EBAY,2019-03-20,2019-07-15
ALXN,2019-03-20,2019-07-15
KDP,2019-03-20,2019-07-15
KHC,2019-03-20,2019-07-15
INCY,2019-03-20,2019-07-15
COST,2019-03-20,2019-07-15
ADSK,2019-03-20,2019-07-15
FISV,2019-03-20,2019-07-15
WBA,2019-03-20,2019-07-15
AMZN,2019-03-20,2019-07-15
PYPL,2019-03-20,2019-07-15
AMAT,2019-03-20,2019-07-15
XEL,2019-03-20,2019-07-15
NVDA,2019-03-20,2019-07-15
EXPE,2019-03-20,2019-07-15
WLTW,2019-03-20,2019-07-15
ORLY,2019-03-20,2019-07-15
TMUS,2019-03-20,2019-07-15
CMCSA,2019-03-20,2019-07-15
PCAR,2019-03-20,2019-07-15
ADBE,2019-03-20,2019-07-15
XLNX,2019-03-20,2019-07-15
MU,2019-03-20,2019-07-15
ASML,2019-03-20,2019-07-15
TCOM,2019-03-20,2019-07-15
INTU,2019-03-20,2019-07-15
SIRI,2019-03-20,2019-07-15
ALGN,2019-03-20,2019-07-15
GOOG,2019-03-20,2019-07-15
DLTR,2019-03-20,2019-07-15
LBTYA,2019-03-20,2019-07-15
CTSH,2019-03-20,2019-07-15
SBUX,2019-03-20,2019-07-15
FOXA,2019-03-20,2019-07-15
CTXS,2019-03-20,2019-07-15
EFII,2019-03-20,2019-07-15
CSX,2019-03-19,2019-03-20
RHT,2019-03-19,2019-03-20
VRSK,2019-03-19,2019-03-20
CDNS,2019-03-19,2019-03-20
MAR,2019-03-19,2019-03-20
AMD,2019-03-19,2019-03-20
JBHT,2019-03-19,2019-03-20
ISRG,2019-03-19,2019-03-20
ULTA,2019-03-19,2019-03-20
FAST,2019-03-19,2019-03-20
NLOK,2019-03-19,2019-03-20
REGN,2019-03-19,2019-03-20
AMGN,2019-03-19,2019-03-20
GEHC,2019-03-19,2019-03-20
ADP,2019-03-19,2019-03-20
CSCO,2019-03-19,2019-03-20
ADI,2019-03-19,2019-03-20
ILMN,2019-03-19,2019-03-20
BIDU,2019-03-19,2019-03-20
ATVI,2019-03-19,2019-03-20
ROST,2019-03-19,2019-03-20
META,2019-03-19,2019-03-20
BIIB,2019-03-19,2019-03-20
IDXX,2019-03-19,2019-03-20
MXIM,2019-03-19,2019-03-20
MELI,2019-03-19,2019-03-20
INTC,2019-03-19,2019-03-20
HAS,2019-03-19,2019-03-20
NFLX,2019-03-19,2019-03-20
JD,2019-03-19,2019-03-20
GOOGL,2019-03-19,2019-03-20
VRTX,2019-03-19,2019-03-20
UAL,2019-03-19,2019-03-20
CHKP,2019-03-19,2019-03-20
MDLZ,2019-03-19,2019-03-20
KLAC,2019-03-19,2019-03-20
WBD,2019-03-19,2019-03-20
MCHP,2019-03-19,2019-03-20
SWKS,2019-03-19,2019-03-20
TTWO,2019-03-19,2019-03-20
LBTYK,2019-03-19,2019-03-20
AAL,2019-03-19,2019-03-20
WDAY,2019-03-19,2019-03-20
PEP,2019-03-19,2019-03-20
TFCFA,2019-03-19,2019-03-20
TFCF,2019-03-19,2019-03-20
BKNG,2019-03-19,2019-03-20
MSFT,2019-03-19,2019-03-20
WYNN,2019-03-19,2019-03-20
CTAS,2019-03-19,2019-03-20
LRCX,2019-03-19,2019-03-20
AAPL,2019-03-19,2019-03-20
MYL,2019-03-19,2019-03-20
AVGO,2019-03-19,2019-03-20
NTES,2019-03-19,2019-03-20
BMRN,2019-03-19,2019-03-20
HSIC,2019-03-19,2019-03-20
MNST,2019-03-19,2019-03-20
PAYX,2019-03-19,2019-03-20
CELG,2019-03-19,2019-03-20
NTAP,2019-03-19,2019-03-20
TXN,2019-03-19,2019-03-20
CHTR,2019-03-19,2019-03-20
EA,2019-03-19,2019-03-20
GILD,2019-03-19,2019-03-20
TSLA,2019-03-19,2019-03-20
NXPI,2019-03-19,2019-03-20
CERN,2019-03-19,2019-03-20
QCOM,2019-03-19,2019-03-20
LULU,2019-03-19,2019-03-20
SNPS,2019-03-19,2019-03-20
EBAY,2019-03-19,2019-03-20
ALXN,2019-03-19,2019-03-20
KDP,2019-03-19,2019-03-20
KHC,2019-03-19,2019-03-20
INCY,2019-03-19,2019-03-20
COST,2019-03-19,2019-03-20
ADSK,2019-03-19,2019-03-20
FISV,2019-03-19,2019-03-20
WBA,2019-03-19,2019-03-20
AMZN,2019-03-19,2019-03-20
PYPL,2019-03-19,2019-03-20
AMAT,2019-03-19,2019-03-20
XEL,2019-03-19,2019-03-20
NVDA,2019-03-19,2019-03-20
EXPE,2019-03-19,2019-03-20
WLTW,2019-03-19,2019-03-20
ORLY,2019-03-19,2019-03-20
TMUS,2019-03-19,2019-03-20
CMCSA,2019-03-19,2019-03-20
PCAR,2019-03-19,2019-03-20
ADBE,2019-03-19,2019-03-20
XLNX,2019-03-19,2019-03-20
MU,2019-03-19,2019-03-20
ASML,2019-03-19,2019-03-20
TCOM,2019-03-19,2019-03-20
INTU,2019-03-19,2019-03-20
SIRI,2019-03-19,2019-03-20
ALGN,2019-03-19,2019-03-20
GOOG,2019-03-19,2019-03-20
DLTR,2019-03-19,2019-03-20
LBTYA,2019-03-19,2019-03-20
CTSH,2019-03-19,2019-03-20
SBUX,2019-03-19,2019-03-20
FOXA,2019-03-19,2019-03-20
CTXS,2019-03-19,2019-03-20
EFII,2019-03-19,2019-03-20
CSX,2018-12-24,2019-03-19
RHT,2018-12-24,2019-03-19
VRSK,2018-12-24,2019-03-19
CDNS,2018-12-24,2019-03-19
MAR,2018-12-24,2019-03-19
AMD,2018-12-24,2019-03-19
JBHT,2018-12-24,2019-03-19
ISRG,2018-12-24,2019-03-19
ULTA,2018-12-24,2019-03-19
FAST,2018-12-24,2019-03-19
NLOK,2018-12-24,2019-03-19
REGN,2018-12-24,2019-03-19
AMGN,2018-12-24,2019-03-19
GEHC,2018-12-24,2019-03-19
ADP,2018-12-24,2019-03-19
CSCO,2018-12-24,2019-03-19
ADI,2018-12-24,2019-03-19
ILMN,2018-12-24,2019-03-19
BIDU,2018-12-24,2019-03-19
ATVI,2018-12-24,2019-03-19
ROST,2018-12-24,2019-03-19
META,2018-12-24,2019-03-19
BIIB,2018-12-24,2019-03-19
IDXX,2018-12-24,2019-03-19
MXIM,2018-12-24,2019-03-19
MELI,2018-12-24,2019-03-19
INTC,2018-12-24,2019-03-19
HAS,2018-12-24,2019-03-19
NFLX,2018-12-24,2019-03-19
JD,2018-12-24,2019-03-19
GOOGL,2018-12-24,2019-03-19
VRTX,2018-12-24,2019-03-19
UAL,2018-12-24,2019-03-19
CHKP,2018-12-24,2019-03-19
MDLZ,2018-12-24,2019-03-19
KLAC,2018-12-24,2019-03-19
WBD,2018-12-24,2019-03-19
MCHP,2018-12-24,2019-03-19
SWKS,2018-12-24,2019-03-19
TTWO,2018-12-24,2019-03-19
LBTYK,2018-12-24,2019-03-19
AAL,2018-12-24,2019-03-19
WDAY,2018-12-24,2019-03-19
PEP,2018-12-24,2019-03-19
TFCFA,2018-12-24,2019-03-19
TFCF,2018-12-24,2019-03-19
BKNG,2018-12-24,2019-03-19
MSFT,2018-12-24,2019-03-19
WYNN,2018-12-24,2019-03-19
CTAS,2018-12-24,2019-03-19
LRCX,2018-12-24,2019-03-19
AAPL,2018-12-24,2019-03-19
MYL,2018-12-24,2019-03-19
AVGO,2018-12-24,2019-03-19
NTES,2018-12-24,2019-03-19
BMRN,2018-12-24,2019-03-19
HSIC,2018-12-24,2019-03-19
MNST,2018-12-24,2019-03-19
PAYX,2018-12-24,2019-03-19
CELG,2018-12-24,2019-03-19
NTAP,2018-12-24,2019-03-19
TXN,2018-12-24,2019-03-19
CHTR,2018-12-24,2019-03-19
EA,2018-12-24,2019-03-19
GILD,2018-12-24,2019-03-19
TSLA,2018-12-24,2019-03-19
NXPI,2018-12-24,2019-03-19
CERN,2018-12-24,2019-03-19
QCOM,2018-12-24,2019-03-19
LULU,2018-12-24,2019-03-19
SNPS,2018-12-24,2019-03-19
EBAY,2018-12-24,2019-03-19
ALXN,2018-12-24,2019-03-19
KDP,2018-12-24,2019-03-19
KHC,2018-12-24,2019-03-19
INCY,2018-12-24,2019-03-19
COST,2018-12-24,2019-03-19
ADSK,2018-12-24,2019-03-19
FISV,2018-12-24,2019-03-19
WBA,2018-12-24,2019-03-19
AMZN,2018-12-24,2019-03-19
PYPL,2018-12-24,2019-03-19
AMAT,2018-12-24,2019-03-19
XEL,2018-12-24,2019-03-19
NVDA,2018-12-24,2019-03-19
EXPE,2018-12-24,2019-03-19
WLTW,2018-12-24,2019-03-19
ORLY,2018-12-24,2019-03-19
TMUS,2018-12-24,2019-03-19
CMCSA,2018-12-24,2019-03-19
PCAR,2018-12-24,2019-03-19
ADBE,2018-12-24,2019-03-19
XLNX,2018-12-24,2019-03-19
MU,2018-12-24,2019-03-19
ASML,2018-12-24,2019-03-19
TCOM,2018-12-24,2019-03-19
INTU,2018-12-24,2019-03-19
SIRI,2018-12-24,2019-03-19
ALGN,2018-12-24,2019-03-19
GOOG,2018-12-24,2019-03-19
DLTR,2018-12-24,2019-03-19
LBTYA,2018-12-24,2019-03-19
CTSH,2018-12-24,2019-03-19
SBUX,2018-12-24,2019-03-19
FOXA,2018-12-24,2019-03-19
CTXS,2018-12-24,2019-03-19
EFII,2018-12-24,2019-03-19
CSX,2018-12-21,2018-12-24
RHT,2018-12-21,2018-12-24
VRSK,2018-12-21,2018-12-24
CDNS,2018-12-21,2018-12-24
MAR,2018-12-21,2018-12-24
JBHT,2018-12-21,2018-12-24
ISRG,2018-12-21,2018-12-24
ULTA,2018-12-21,2018-12-24
FAST,2018-12-21,2018-12-24
NLOK,2018-12-21,2018-12-24
REGN,2018-12-21,2018-12-24
AMGN,2018-12-21,2018-12-24
GEHC,2018-12-21,2018-12-24
ADP,2018-12-21,2018-12-24
CSCO,2018-12-21,2018-12-24
ADI,2018-12-21,2018-12-24
ILMN,2018-12-21,2018-12-24
BIDU,2018-12-21,2018-12-24
ATVI,2018-12-21,2018-12-24
ROST,2018-12-21,2018-12-24
META,2018-12-21,2018-12-24
BIIB,2018-12-21,2018-12-24
IDXX,2018-12-21,2018-12-24
MXIM,2018-12-21,2018-12-24
MELI,2018-12-21,2018-12-24
INTC,2018-12-21,2018-12-24
HAS,2018-12-21,2018-12-24
NFLX,2018-12-21,2018-12-24
JD,2018-12-21,2018-12-24
GOOGL,2018-12-21,2018-12-24
VRTX,2018-12-21,2018-12-24
CHKP,2018-12-21,2018-12-24
MDLZ,2018-12-21,2018-12-24
KLAC,2018-12-21,2018-12-24
WBD,2018-12-21,2018-12-24
MCHP,2018-12-21,2018-12-24
HOLX,2018-12-21,2018-12-24
SWKS,2018-12-21,2018-12-24
TTWO,2018-12-21,2018-12-24
LBTYK,2018-12-21,2018-12-24
AAL,2018-12-21,2018-12-24
WDAY,2018-12-21,2018-12-24
PEP,2018-12-21,2018-12-24
TFCFA,2018-12-21,2018-12-24
TFCF,2018-12-21,2018-12-24
BKNG,2018-12-21,2018-12-24
MSFT,2018-12-21,2018-12-24
WYNN,2018-12-21,2018-12-24
CTAS,2018-12-21,2018-12-24
LRCX,2018-12-21,2018-12-24
AAPL,2018-12-21,2018-12-24
MYL,2018-12-21,2018-12-24
AVGO,2018-12-21,2018-12-24
NTES,2018-12-21,2018-12-24
BMRN,2018-12-21,2018-12-24
QRTEA,2018-12-21,2018-12-24
HSIC,2018-12-21,2018-12-24
MNST,2018-12-21,2018-12-24
PAYX,2018-12-21,2018-12-24
CELG,2018-12-21,2018-12-24
TXN,2018-12-21,2018-12-24
CHTR,2018-12-21,2018-12-24
EA,2018-12-21,2018-12-24
GILD,2018-12-21,2018-12-24
TSLA,2018-12-21,2018-12-24
NXPI,2018-12-21,2018-12-24
CERN,2018-12-21,2018-12-24
QCOM,2018-12-21,2018-12-24
SNPS,2018-12-21,2018-12-24
EBAY,2018-12-21,2018-12-24
ALXN,2018-12-21,2018-12-24
KDP,2018-12-21,2018-12-24
KHC,2018-12-21,2018-12-24
INCY,2018-12-21,2018-12-24
COST,2018-12-21,2018-12-24
ADSK,2018-12-21,2018-12-24
FISV,2018-12-21,2018-12-24
WBA,2018-12-21,2018-12-24
AMZN,2018-12-21,2018-12-24
PYPL,2018-12-21,2018-12-24
AMAT,2018-12-21,2018-12-24
XEL,2018-12-21,2018-12-24
NVDA,2018-12-21,2018-12-24
EXPE,2018-12-21,2018-12-24
STX,2018-12-21,2018-12-24
ORLY,2018-12-21,2018-12-24
TMUS,2018-12-21,2018-12-24
VOD,2018-12-21,2018-12-24
CMCSA,2018-12-21,2018-12-24
PCAR,2018-12-21,2018-12-24
ADBE,2018-12-21,2018-12-24
XLNX,2018-12-21,2018-12-24
SHPG,2018-12-21,2018-12-24
MU,2018-12-21,2018-12-24
ASML,2018-12-21,2018-12-24
TCOM,2018-12-21,2018-12-24
INTU,2018-12-21,2018-12-24
SIRI,2018-12-21,2018-12-24
ALGN,2018-12-21,2018-12-24
GOOG,2018-12-21,2018-12-24
DLTR,2018-12-21,2018-12-24
LBTYA,2018-12-21,2018-12-24
CTSH,2018-12-21,2018-12-24
SBUX,2018-12-21,2018-12-24
FOXA,2018-12-21,2018-12-24
CTXS,2018-12-21,2018-12-24
EFII,2018-12-21,2018-12-24
CSX,2018-11-19,2018-12-21
RHT,2018-11-19,2018-12-21
VRSK,2018-11-19,2018-12-21
CDNS,2018-11-19,2018-12-21
MAR,2018-11-19,2018-12-21
JBHT,2018-11-19,2018-12-21
ISRG,2018-11-19,2018-12-21
ULTA,2018-11-19,2018-12-21
FAST,2018-11-19,2018-12-21
NLOK,2018-11-19,2018-12-21
REGN,2018-11-19,2018-12-21
AMGN,2018-11-19,2018-12-21
GEHC,2018-11-19,2018-12-21
ADP,2018-11-19,2018-12-21
CSCO,2018-11-19,2018-12-21
ADI,2018-11-19,2018-12-21
ILMN,2018-11-19,2018-12-21
BIDU,2018-11-19,2018-12-21
ATVI,2018-11-19,2018-12-21
ROST,2018-11-19,2018-12-21
META,2018-11-19,2018-12-21
BIIB,2018-11-19,2018-12-21
IDXX,2018-11-19,2018-12-21
MXIM,2018-11-19,2018-12-21
MELI,2018-11-19,2018-12-21
INTC,2018-11-19,2018-12-21
HAS,2018-11-19,2018-12-21
NFLX,2018-11-19,2018-12-21
JD,2018-11-19,2018-12-21
GOOGL,2018-11-19,2018-12-21
VRTX,2018-11-19,2018-12-21
CHKP,2018-11-19,2018-12-21
MDLZ,2018-11-19,2018-12-21
KLAC,2018-11-19,2018-12-21
HOLX,2018-11-19,2018-12-21
MCHP,2018-11-19,2018-12-21
WBD,2018-11-19,2018-12-21
SWKS,2018-11-19,2018-12-21
TTWO,2018-11-19,2018-12-21
LBTYK,2018-11-19,2018-12-21
AAL,2018-11-19,2018-12-21
WDAY,2018-11-19,2018-12-21
PEP,2018-11-19,2018-12-21
TFCFA,2018-11-19,2018-12-21
TFCF,2018-11-19,2018-12-21
ESRX,2018-11-19,2018-12-21
BKNG,2018-11-19,2018-12-21
MSFT,2018-11-19,2018-12-21
WYNN,2018-11-19,2018-12-21
CTAS,2018-11-19,2018-12-21
LRCX,2018-11-19,2018-12-21
AAPL,2018-11-19,2018-12-21
MYL,2018-11-19,2018-12-21
AVGO,2018-11-19,2018-12-21
NTES,2018-11-19,2018-12-21
BMRN,2018-11-19,2018-12-21
QRTEA,2018-11-19,2018-12-21
HSIC,2018-11-19,2018-12-21
MNST,2018-11-19,2018-12-21
PAYX,2018-11-19,2018-12-21
CELG,2018-11-19,2018-12-21
TXN,2018-11-19,2018-12-21
CHTR,2018-11-19,2018-12-21
EA,2018-11-19,2018-12-21
GILD,2018-11-19,2018-12-21
TSLA,2018-11-19,2018-12-21
NXPI,2018-11-19,2018-12-21
CERN,2018-11-19,2018-12-21
QCOM,2018-11-19,2018-12-21
SNPS,2018-11-19,2018-12-21
EBAY,2018-11-19,2018-12-21
ALXN,2018-11-19,2018-12-21
KDP,2018-11-19,2018-12-21
KHC,2018-11-19,2018-12-21
INCY,2018-11-19,2018-12-21
COST,2018-11-19,2018-12-21
ADSK,2018-11-19,2018-12-21
FISV,2018-11-19,2018-12-21
WBA,2018-11-19,2018-12-21
AMZN,2018-11-19,2018-12-21
PYPL,2018-11-19,2018-12-21
AMAT,2018-11-19,2018-12-21
XEL,2018-11-19,2018-12-21
NVDA,2018-11-19,2018-12-21
EXPE,2018-11-19,2018-12-21
STX,2018-11-19,2018-12-21
ORLY,2018-11-19,2018-12-21
TMUS,2018-11-19,2018-12-21
VOD,2018-11-19,2018-12-21
CMCSA,2018-11-19,2018-12-21
PCAR,2018-11-19,2018-12-21
ADBE,2018-11-19,2018-12-21
XLNX,2018-11-19,2018-12-21
SHPG,2018-11-19,2018-12-21
MU,2018-11-19,2018-12-21
ASML,2018-11-19,2018-12-21
TCOM,2018-11-19,2018-12-21
INTU,2018-11-19,2018-12-21
SIRI,2018-11-19,2018-12-21
ALGN,2018-11-19,2018-12-21
GOOG,2018-11-19,2018-12-21
DLTR,2018-11-19,2018-12-21
LBTYA,2018-11-19,2018-12-21
CTSH,2018-11-19,2018-12-21
SBUX,2018-11-19,2018-12-21
FOXA,2018-11-19,2018-12-21
CTXS,2018-11-19,2018-12-21
EFII,2018-11-19,2018-12-21
CSX,2018-11-05,2018-11-19
RHT,2018-11-05,2018-11-19
VRSK,2018-11-05,2018-11-19
CDNS,2018-11-05,2018-11-19
MAR,2018-11-05,2018-11-19
JBHT,2018-11-05,2018-11-19
ISRG,2018-11-05,2018-11-19
ULTA,2018-11-05,2018-11-19
FAST,2018-11-05,2018-11-19
NLOK,2018-11-05,2018-11-19
REGN,2018-11-05,2018-11-19
AMGN,2018-11-05,2018-11-19
GEHC,2018-11-05,2018-11-19
ADP,2018-11-05,2018-11-19
CSCO,2018-11-05,2018-11-19
ADI,2018-11-05,2018-11-19
ILMN,2018-11-05,2018-11-19
BIDU,2018-11-05,2018-11-19
ATVI,2018-11-05,2018-11-19
ROST,2018-11-05,2018-11-19
META,2018-11-05,2018-11-19
BIIB,2018-11-05,2018-11-19
IDXX,2018-11-05,2018-11-19
MXIM,2018-11-05,2018-11-19
MELI,2018-11-05,2018-11-19
INTC,2018-11-05,2018-11-19
HAS,2018-11-05,2018-11-19
NFLX,2018-11-05,2018-11-19
JD,2018-11-05,2018-11-19
GOOGL,2018-11-05,2018-11-19
VRTX,2018-11-05,2018-11-19
CHKP,2018-11-05,2018-11-19
MDLZ,2018-11-05,2018-11-19
KLAC,2018-11-05,2018-11-19
HOLX,2018-11-05,2018-11-19
MCHP,2018-11-05,2018-11-19
WBD,2018-11-05,2018-11-19
SWKS,2018-11-05,2018-11-19
TTWO,2018-11-05,2018-11-19
LBTYK,2018-11-05,2018-11-19
AAL,2018-11-05,2018-11-19
WDAY,2018-11-05,2018-11-19
PEP,2018-11-05,2018-11-19
TFCFA,2018-11-05,2018-11-19
TFCF,2018-11-05,2018-11-19
ESRX,2018-11-05,2018-11-19
BKNG,2018-11-05,2018-11-19
MSFT,2018-11-05,2018-11-19
WYNN,2018-11-05,2018-11-19
CTAS,2018-11-05,2018-11-19
XRAY,2018-11-05,2018-11-19
LRCX,2018-11-05,2018-11-19
AAPL,2018-11-05,2018-11-19
MYL,2018-11-05,2018-11-19
AVGO,2018-11-05,2018-11-19
NTES,2018-11-05,2018-11-19
BMRN,2018-11-05,2018-11-19
QRTEA,2018-11-05,2018-11-19
HSIC,2018-11-05,2018-11-19
MNST,2018-11-05,2018-11-19
PAYX,2018-11-05,2018-11-19
CELG,2018-11-05,2018-11-19
TXN,2018-11-05,2018-11-19
CHTR,2018-11-05,2018-11-19
EA,2018-11-05,2018-11-19
GILD,2018-11-05,2018-11-19
TSLA,2018-11-05,2018-11-19
NXPI,2018-11-05,2018-11-19
CERN,2018-11-05,2018-11-19
QCOM,2018-11-05,2018-11-19
SNPS,2018-11-05,2018-11-19
EBAY,2018-11-05,2018-11-19
ALXN,2018-11-05,2018-11-19
KDP,2018-11-05,2018-11-19
KHC,2018-11-05,2018-11-19
INCY,2018-11-05,2018-11-19
COST,2018-11-05,2018-11-19
ADSK,2018-11-05,2018-11-19
FISV,2018-11-05,2018-11-19
WBA,2018-11-05,2018-11-19
AMZN,2018-11-05,2018-11-19
PYPL,2018-11-05,2018-11-19
AMAT,2018-11-05,2018-11-19
NVDA,2018-11-05,2018-11-19
EXPE,2018-11-05,2018-11-19
STX,2018-11-05,2018-11-19
ORLY,2018-11-05,2018-11-19
TMUS,2018-11-05,2018-11-19
VOD,2018-11-05,2018-11-19
CMCSA,2018-11-05,2018-11-19
PCAR,2018-11-05,2018-11-19
ADBE,2018-11-05,2018-11-19
XLNX,2018-11-05,2018-11-19
SHPG,2018-11-05,2018-11-19
MU,2018-11-05,2018-11-19
ASML,2018-11-05,2018-11-19
TCOM,2018-11-05,2018-11-19
INTU,2018-11-05,2018-11-19
SIRI,2018-11-05,2018-11-19
ALGN,2018-11-05,2018-11-19
GOOG,2018-11-05,2018-11-19
DLTR,2018-11-05,2018-11-19
LBTYA,2018-11-05,2018-11-19
CTSH,2018-11-05,2018-11-19
SBUX,2018-11-05,2018-11-19
FOXA,2018-11-05,2018-11-19
CTXS,2018-11-05,2018-11-19
EFII,2018-11-05,2018-11-19
CSX,2018-07-23,2018-11-05
RHT,2018-07-23,2018-11-05
VRSK,2018-07-23,2018-11-05
CDNS,2018-07-23,2018-11-05
MAR,2018-07-23,2018-11-05
JBHT,2018-07-23,2018-11-05
ISRG,2018-07-23,2018-11-05
ULTA,2018-07-23,2018-11-05
FAST,2018-07-23,2018-11-05
NLOK,2018-07-23,2018-11-05
REGN,2018-07-23,2018-11-05
AMGN,2018-07-23,2018-11-05
CA,2018-07-23,2018-11-05
GEHC,2018-07-23,2018-11-05
ADP,2018-07-23,2018-11-05
CSCO,2018-07-23,2018-11-05
ADI,2018-07-23,2018-11-05
ILMN,2018-07-23,2018-11-05
BIDU,2018-07-23,2018-11-05
ATVI,2018-07-23,2018-11-05
ROST,2018-07-23,2018-11-05
META,2018-07-23,2018-11-05
BIIB,2018-07-23,2018-11-05
IDXX,2018-07-23,2018-11-05
MXIM,2018-07-23,2018-11-05
MELI,2018-07-23,2018-11-05
INTC,2018-07-23,2018-11-05
HAS,2018-07-23,2018-11-05
NFLX,2018-07-23,2018-11-05
JD,2018-07-23,2018-11-05
GOOGL,2018-07-23,2018-11-05
VRTX,2018-07-23,2018-11-05
CHKP,2018-07-23,2018-11-05
MDLZ,2018-07-23,2018-11-05
KLAC,2018-07-23,2018-11-05
HOLX,2018-07-23,2018-11-05
MCHP,2018-07-23,2018-11-05
WBD,2018-07-23,2018-11-05
SWKS,2018-07-23,2018-11-05
TTWO,2018-07-23,2018-11-05
LBTYK,2018-07-23,2018-11-05
AAL,2018-07-23,2018-11-05
WDAY,2018-07-23,2018-11-05
PEP,2018-07-23,2018-11-05
TFCFA,2018-07-23,2018-11-05
TFCF,2018-07-23,2018-11-05
ESRX,2018-07-23,2018-11-05
