symbol,beg_date,end_date
KDP,2023-07-17,2023-12-18
KHC,2023-07-17,2023-12-18
COST,2023-07-17,2023-12-18
ENPH,2023-07-17,2023-12-18
ADSK,2023-07-17,2023-12-18
WBA,2023-07-17,2023-12-18
AMZN,2023-07-17,2023-12-18
PYPL,2023-07-17,2023-12-18
BKR,2023-07-17,2023-12-18
AMAT,2023-07-17,2023-12-18
CPRT,2023-07-17,2023-12-18
XEL,2023-07-17,2023-12-18
NVDA,2023-07-17,2023-12-18
CEG,2023-07-17,2023-12-18
ORLY,2023-07-17,2023-12-18
TMUS,2023-07-17,2023-12-18
CMCSA,2023-07-17,2023-12-18
PCAR,2023-07-17,2023-12-18
ADBE,2023-07-17,2023-12-18
AEP,2023-07-17,2023-12-18
MU,2023-07-17,2023-12-18
ASML,2023-07-17,2023-12-18
INTU,2023-07-17,2023-12-18
SIRI,2023-07-17,2023-12-18
PANW,2023-07-17,2023-12-18
ALGN,2023-07-17,2023-12-18
GOOG,2023-07-17,2023-12-18
DLTR,2023-07-17,2023-12-18
CTSH,2023-07-17,2023-12-18
SBUX,2023-07-17,2023-12-18
GFS,2023-06-20,2023-07-17
CSX,2023-06-20,2023-07-17
VRSK,2023-06-20,2023-07-17
CDNS,2023-06-20,2023-07-17
MAR,2023-06-20,2023-07-17
DXCM,2023-06-20,2023-07-17
AMD,2023-06-20,2023-07-17
ISRG,2023-06-20,2023-07-17
FAST,2023-06-20,2023-07-17
ZS,2023-06-20,2023-07-17
TEAM,2023-06-20,2023-07-17
REGN,2023-06-20,2023-07-17
EXC,2023-06-20,2023-07-17
AMGN,2023-06-20,2023-07-17
DDOG,2023-06-20,2023-07-17
CSGP,2023-06-20,2023-07-17
GEHC,2023-06-20,2023-07-17
SGEN,2023-06-20,2023-07-17
CRWD,2023-06-20,2023-07-17
ADP,2023-06-20,2023-07-17
CSCO,2023-06-20,2023-07-17
AZN,2023-06-20,2023-07-17
ON,2023-06-20,2023-07-17
ADI,2023-06-20,2023-07-17
ILMN,2023-06-20,2023-07-17
MRNA,2023-06-20,2023-07-17
ATVI,2023-06-20,2023-07-17
ROST,2023-06-20,2023-07-17
META,2023-06-20,2023-07-17
BIIB,2023-06-20,2023-07-17
FANG,2023-06-20,2023-07-17
IDXX,2023-06-20,2023-07-17
MELI,2023-06-20,2023-07-17
INTC,2023-06-20,2023-07-17
MRVL,2023-06-20,2023-07-17
NFLX,2023-06-20,2023-07-17
JD,2023-06-20,2023-07-17
GOOGL,2023-06-20,2023-07-17
HON,2023-06-20,2023-07-17
VRTX,2023-06-20,2023-07-17
ZM,2023-06-20,2023-07-17
MDLZ,2023-06-20,2023-07-17
KLAC,2023-06-20,2023-07-17
WBD,2023-06-20,2023-07-17
MCHP,2023-06-20,2023-07-17
ABNB,2023-06-20,2023-07-17
PDD,2023-06-20,2023-07-17
WDAY,2023-06-20,2023-07-17
PEP,2023-06-20,2023-07-17
BKNG,2023-06-20,2023-07-17
MSFT,2023-06-20,2023-07-17
CTAS,2023-06-20,2023-07-17
LRCX,2023-06-20,2023-07-17
AAPL,2023-06-20,2023-07-17
AVGO,2023-06-20,2023-07-17
LCID,2023-06-20,2023-07-17
MNST,2023-06-20,2023-07-17
PAYX,2023-06-20,2023-07-17
TXN,2023-06-20,2023-07-17
FTNT,2023-06-20,2023-07-17
CHTR,2023-06-20,2023-07-17
EA,2023-06-20,2023-07-17
GILD,2023-06-20,2023-07-17
TSLA,2023-06-20,2023-07-17
NXPI,2023-06-20,2023-07-17
ANSS,2023-06-20,2023-07-17
QCOM,2023-06-20,2023-07-17
LULU,2023-06-20,2023-07-17
SNPS,2023-06-20,2023-07-17
EBAY,2023-06-20,2023-07-17
ODFL,2023-06-20,2023-07-17
KDP,2023-06-20,2023-07-17
KHC,2023-06-20,2023-07-17
COST,2023-06-20,2023-07-17
ENPH,2023-06-20,2023-07-17
ADSK,2023-06-20,2023-07-17
WBA,2023-06-20,2023-07-17
AMZN,2023-06-20,2023-07-17
PYPL,2023-06-20,2023-07-17
BKR,2023-06-20,2023-07-17
AMAT,2023-06-20,2023-07-17
CPRT,2023-06-20,2023-07-17
XEL,2023-06-20,2023-07-17
NVDA,2023-06-20,2023-07-17
CEG,2023-06-20,2023-07-17
ORLY,2023-06-20,2023-07-17
TMUS,2023-06-20,2023-07-17
CMCSA,2023-06-20,2023-07-17
PCAR,2023-06-20,2023-07-17
ADBE,2023-06-20,2023-07-17
AEP,2023-06-20,2023-07-17
MU,2023-06-20,2023-07-17
ASML,2023-06-20,2023-07-17
INTU,2023-06-20,2023-07-17
SIRI,2023-06-20,2023-07-17
PANW,2023-06-20,2023-07-17
ALGN,2023-06-20,2023-07-17
GOOG,2023-06-20,2023-07-17
DLTR,2023-06-20,2023-07-17
CTSH,2023-06-20,2023-07-17
SBUX,2023-06-20,2023-07-17
GFS,2023-06-07,2023-06-20
