LBTYK,Date
11.975000381469727,2005-09-08
12.024999618530273,2005-09-09
12.824999809265137,2005-09-12
12.989999771118164,2005-09-13
13.020000457763672,2005-09-14
12.90999984741211,2005-09-15
12.899999618530273,2005-09-16
12.515000343322754,2005-09-19
12.75,2005-09-20
12.630000114440918,2005-09-21
12.489999771118164,2005-09-22
12.739999771118164,2005-09-23
12.479999542236328,2005-09-26
12.5,2005-09-27
12.319999694824219,2005-09-28
12.149999618530273,2005-09-29
12.875,2005-09-30
12.765000343322754,2005-10-03
12.930000305175781,2005-10-04
12.770000457763672,2005-10-05
12.75,2005-10-06
12.539999961853027,2005-10-07
12.399999618530273,2005-10-10
12.34000015258789,2005-10-11
12.045000076293945,2005-10-12
11.649999618530273,2005-10-13
11.824999809265137,2005-10-14
11.704999923706055,2005-10-17
11.609999656677246,2005-10-18
11.654999732971191,2005-10-19
11.78499984741211,2005-10-20
11.994999885559082,2005-10-21
12.164999961853027,2005-10-24
12.149999618530273,2005-10-25
11.979999542236328,2005-10-26
11.680000305175781,2005-10-27
11.65999984741211,2005-10-28
11.84000015258789,2005-10-31
11.569999694824219,2005-11-01
11.670000076293945,2005-11-02
11.875,2005-11-03
11.854999542236328,2005-11-04
11.944999694824219,2005-11-07
12.074999809265137,2005-11-08
11.984999656677246,2005-11-09
12.074999809265137,2005-11-10
11.949999809265137,2005-11-11
12.0600004196167,2005-11-14
11.774999618530273,2005-11-15
11.75,2005-11-16
11.755000114440918,2005-11-17
11.765000343322754,2005-11-18
11.75,2005-11-21
11.675000190734863,2005-11-22
11.475000381469727,2005-11-23
11.515000343322754,2005-11-25
11.279999732971191,2005-11-28
11.135000228881836,2005-11-29
10.385000228881836,2005-11-30
10.795000076293945,2005-12-01
10.75,2005-12-02
10.614999771118164,2005-12-05
10.670000076293945,2005-12-06
10.854999542236328,2005-12-07
10.704999923706055,2005-12-08
10.654999732971191,2005-12-09
10.670000076293945,2005-12-12
10.680000305175781,2005-12-13
10.595000267028809,2005-12-14
10.579999923706055,2005-12-15
10.550000190734863,2005-12-16
10.369999885559082,2005-12-19
10.600000381469727,2005-12-20
10.454999923706055,2005-12-21
10.34000015258789,2005-12-22
10.375,2005-12-23
10.425000190734863,2005-12-27
10.449999809265137,2005-12-28
10.614999771118164,2005-12-29
10.600000381469727,2005-12-30
10.494999885559082,2006-01-03
10.484999656677246,2006-01-04
10.4399995803833,2006-01-05
10.460000038146973,2006-01-06
10.350000381469727,2006-01-09
10.194999694824219,2006-01-10
