RSP,Date
18.6551570892334,2003-05-01
19.00271987915039,2003-05-02
19.04296875,2003-05-05
19.19478988647461,2003-05-06
19.119789123535156,2003-05-07
18.913084030151367,2003-05-08
19.180156707763672,2003-05-09
19.536874771118164,2003-05-12
19.49113655090332,2003-05-13
19.536874771118164,2003-05-14
19.73992919921875,2003-05-15
19.77468490600586,2003-05-16
19.26065444946289,2003-05-19
19.236875534057617,2003-05-20
19.313703536987305,2003-05-21
19.588092803955078,2003-05-22
19.69784927368164,2003-05-23
20.122243881225586,2003-05-27
20.1752986907959,2003-05-28
20.103961944580078,2003-05-29
20.49725914001465,2003-05-30
20.61067008972168,2003-06-02
20.603349685668945,2003-06-03
21.035070419311523,2003-06-04
21.183246612548828,2003-06-05
21.073484420776367,2003-06-06
20.731399536132812,2003-06-09
20.881406784057617,2003-06-10
21.23994255065918,2003-06-11
21.327754974365234,2003-06-12
21.00031089782715,2003-06-13
21.424715042114258,2003-06-16
21.463125228881836,2003-06-17
21.36251449584961,2003-06-18
21.08445930480957,2003-06-19
21.0643367767334,2003-06-20
20.767988204956055,2003-06-23
20.70762062072754,2003-06-24
20.59786605834961,2003-06-25
20.775312423706055,2003-06-26
20.66006088256836,2003-06-27
20.674699783325195,2003-06-30
20.74420738220215,2003-07-01
21.007627487182617,2003-07-02
20.89238166809082,2003-07-03
21.243608474731445,2003-07-07
21.441173553466797,2003-07-08
21.453981399536133,2003-07-09
21.053361892700195,2003-07-10
21.181415557861328,2003-07-11
21.49056625366211,2003-07-14
21.219825744628906,2003-07-15
21.035070419311523,2003-07-16
20.725919723510742,2003-07-17
21.007627487182617,2003-07-18
20.733240127563477,2003-07-21
20.99299430847168,2003-07-22
20.821043014526367,2003-07-23
20.908849716186523,2003-07-24
21.228975296020508,2003-07-25
21.271053314208984,2003-07-28
21.110078811645508,2003-07-29
21.0661678314209,2003-07-30
21.161293029785156,2003-07-31
21.025915145874023,2003-08-01
20.989336013793945,2003-08-04
20.608842849731445,2003-08-05
20.661893844604492,2003-08-06
20.733240127563477,2003-08-07
20.810062408447266,2003-08-08
20.894207000732422,2003-08-11
21.09360694885254,2003-08-12
21.055192947387695,2003-08-13
21.276533126831055,2003-08-14
21.3222713470459,2003-08-15
21.56739044189453,2003-08-18
21.7027530670166,2003-08-19
21.71192169189453,2003-08-20
21.89118003845215,2003-08-21
21.64970588684082,2003-08-22
21.60763168334961,2003-08-25
21.6899471282959,2003-08-26
21.759469985961914,2003-08-27
21.946060180664062,2003-08-28
22.07411003112793,2003-08-29
22.39788818359375,2003-09-02
22.45460319519043,2003-09-03
22.472890853881836,2003-09-04
22.383255004882812,2003-09-05
22.564361572265625,2003-09-08
22.368621826171875,2003-09-09
21.96983528137207,2003-09-10
22.12166976928711,2003-09-11
22.183860778808594,2003-09-12
22.12166976928711,2003-09-15
22.436302185058594,2003-09-16
22.39057159423828,2003-09-17
22.655824661254883,2003-09-18
22.651594161987305,2003-09-19
22.344579696655273,2003-09-22
22.508195877075195,2003-09-23
22.1386661529541,2003-09-24
21.892305374145508,2003-09-25
21.715822219848633,2003-09-26
21.848196029663086,2003-09-29
21.747074127197266,2003-09-30
22.13131332397461,2003-10-01
22.245290756225586,2003-10-02
22.50636100769043,2003-10-03
22.644245147705078,2003-10-06
22.754558563232422,2003-10-07
22.692041397094727,2003-10-08
22.833599090576172,2003-10-09
22.815216064453125,2003-10-10
23.04501724243164,2003-10-13
23.12775421142578,2003-10-14
23.05973243713379,2003-10-15
23.096506118774414,2003-10-16
22.82257080078125,2003-10-17
22.90714454650879,2003-10-20
22.949426651000977,2003-10-21
22.612991333007812,2003-10-22
22.631372451782227,2003-10-23
22.521068572998047,2003-10-24
22.668153762817383,2003-10-27
23.04501724243164,2003-10-28
23.133270263671875,2003-10-29
23.24725341796875,2003-10-30
23.25276756286621,2003-10-31
23.451322555541992,2003-11-03
23.348365783691406,2003-11-04
23.38146209716797,2003-11-05
23.523021697998047,2003-11-06
23.484418869018555,2003-11-07
23.241743087768555,2003-11-10
23.236225128173828,2003-11-11
23.561635971069336,2003-11-12
23.614940643310547,2003-11-13
23.375946044921875,2003-11-14
23.151662826538086,2003-11-17
22.918167114257812,2003-11-18
23.056049346923828,2003-11-19
22.8979434967041,2003-11-20
22.997224807739258,2003-11-21
23.431100845336914,2003-11-24
23.58001708984375,2003-11-25
23.68480682373047,2003-11-26
23.743633270263672,2003-11-28
24.024913787841797,2003-12-01
23.93667221069336,2003-12-02
23.909103393554688,2003-12-03
23.89255714416504,2003-12-04
23.725248336791992,2003-12-05
23.8999080657959,2003-12-08
23.6866455078125,2003-12-09
23.5028018951416,2003-12-10
23.91829490661621,2003-12-11
24.010210037231445,2003-12-12
23.817180633544922,2003-12-15
23.89622688293457,2003-12-16
23.967926025390625,2003-12-17
24.319080352783203,2003-12-18
24.343040466308594,2003-12-19
24.442609786987305,2003-12-22
24.603004455566406,2003-12-23
24.556907653808594,2003-12-24
24.61591148376465,2003-12-26
24.90907096862793,2003-12-29
24.942262649536133,2003-12-30
24.973600387573242,2003-12-31
24.85560417175293,2004-01-02
25.167192459106445,2004-01-05
25.218828201293945,2004-01-06
25.23358154296875,2004-01-07
25.425325393676758,2004-01-08
25.290733337402344,2004-01-09
25.44376564025879,2004-01-12
25.30364227294922,2004-01-13
25.53226089477539,2004-01-14
25.602323532104492,2004-01-15
25.840167999267578,2004-01-16
25.89180564880371,2004-01-20
26.002424240112305,2004-01-21
25.902851104736328,2004-01-22
25.840167999267578,2004-01-23
26.070627212524414,2004-01-26
25.869674682617188,2004-01-27
25.5267333984375,2004-01-28
25.53226089477539,2004-01-29
25.56544303894043,2004-01-30
25.593111038208008,2004-02-02
25.600481033325195,2004-02-03
25.327600479125977,2004-02-04
25.395824432373047,2004-02-05
25.781166076660156,2004-02-06
25.80328369140625,2004-02-09
25.917604446411133,2004-02-10
26.231033325195312,2004-02-11
26.153602600097656,2004-02-12
25.97844696044922,2004-02-13
26.26792335510254,2004-02-17
26.175724029541016,2004-02-18
26.01348304748535,2004-02-19
25.902851104736328,2004-02-20
25.73876190185547,2004-02-23
25.670541763305664,2004-02-24
25.854915618896484,2004-02-25
25.96368408203125,2004-02-26
26.052202224731445,2004-02-27
26.378541946411133,2004-03-01
26.273452758789062,2004-03-02
26.28451156616211,2004-03-03
26.384071350097656,2004-03-04
26.483646392822266,2004-03-05
26.1812686920166,2004-03-08
25.969234466552734,2004-03-09
25.567283630371094,2004-03-10
25.14139747619629,2004-03-11
25.517513275146484,2004-03-12
25.121095657348633,2004-03-15
25.246482849121094,2004-03-16
25.63735580444336,2004-03-17
25.62813377380371,2004-03-18
25.394155502319336,2004-03-19
24.983850479125977,2004-03-22
24.985706329345703,2004-03-23
24.917322158813477,2004-03-24
25.338708877563477,2004-03-25
25.390457153320312,2004-03-26
25.63811683654785,2004-03-29
25.834028244018555,2004-03-30
25.87468719482422,2004-03-31
26.03363037109375,2004-04-01
26.327495574951172,2004-04-02
