CMG,Date
44.0,2006-01-26
42.20000076293945,2006-01-27
44.79999923706055,2006-01-30
47.52000045776367,2006-01-31
46.560001373291016,2006-02-01
44.75,2006-02-02
46.54999923706055,2006-02-03
47.709999084472656,2006-02-06
46.279998779296875,2006-02-07
45.7400016784668,2006-02-08
44.04999923706055,2006-02-09
42.310001373291016,2006-02-10
41.47999954223633,2006-02-13
43.0,2006-02-14
42.70000076293945,2006-02-15
44.45000076293945,2006-02-16
43.849998474121094,2006-02-17
43.099998474121094,2006-02-21
43.869998931884766,2006-02-22
45.79999923706055,2006-02-23
46.66999816894531,2006-02-24
46.529998779296875,2006-02-27
45.599998474121094,2006-02-28
45.5,2006-03-01
45.75,2006-03-02
45.47999954223633,2006-03-03
45.790000915527344,2006-03-06
45.0,2006-03-07
42.5,2006-03-08
41.459999084472656,2006-03-09
42.11000061035156,2006-03-10
43.40999984741211,2006-03-13
48.70000076293945,2006-03-14
52.0099983215332,2006-03-15
55.04999923706055,2006-03-16
53.86000061035156,2006-03-17
50.09000015258789,2006-03-20
52.0,2006-03-21
54.79999923706055,2006-03-22
53.880001068115234,2006-03-23
54.5099983215332,2006-03-24
54.09000015258789,2006-03-27
53.20000076293945,2006-03-28
53.93000030517578,2006-03-29
55.40999984741211,2006-03-30
55.38999938964844,2006-03-31
56.97999954223633,2006-04-03
57.0,2006-04-04
57.150001525878906,2006-04-05
55.5,2006-04-06
54.650001525878906,2006-04-07
53.72999954223633,2006-04-10
54.599998474121094,2006-04-11
54.04999923706055,2006-04-12
53.02000045776367,2006-04-13
54.06999969482422,2006-04-17
53.91999816894531,2006-04-18
54.0,2006-04-19
53.15999984741211,2006-04-20
53.400001525878906,2006-04-21
53.310001373291016,2006-04-24
52.150001525878906,2006-04-25
51.099998474121094,2006-04-26
50.779998779296875,2006-04-27
52.189998626708984,2006-04-28
51.650001525878906,2006-05-01
54.560001373291016,2006-05-02
55.0099983215332,2006-05-03
55.61000061035156,2006-05-04
56.900001525878906,2006-05-05
59.27000045776367,2006-05-08
67.05000305175781,2006-05-09
64.8499984741211,2006-05-10
64.19999694824219,2006-05-11
63.27000045776367,2006-05-12
62.150001525878906,2006-05-15
63.900001525878906,2006-05-16
64.16000366210938,2006-05-17
62.689998626708984,2006-05-18
61.83000183105469,2006-05-19
60.81999969482422,2006-05-22
60.7599983215332,2006-05-23
60.150001525878906,2006-05-24
61.25,2006-05-25
60.88999938964844,2006-05-26
58.09000015258789,2006-05-30
57.77000045776367,2006-05-31
60.0,2006-06-01
60.56999969482422,2006-06-02
58.900001525878906,2006-06-05
58.15999984741211,2006-06-06
58.61000061035156,2006-06-07
57.290000915527344,2006-06-08
56.25,2006-06-09
57.099998474121094,2006-06-12
56.150001525878906,2006-06-13
58.150001525878906,2006-06-14
61.880001068115234,2006-06-15
61.7599983215332,2006-06-16
60.97999954223633,2006-06-19
60.66999816894531,2006-06-20
63.0,2006-06-21
62.849998474121094,2006-06-22
61.900001525878906,2006-06-23
62.75,2006-06-26
61.79999923706055,2006-06-27
59.95000076293945,2006-06-28
60.849998474121094,2006-06-29
60.95000076293945,2006-06-30
60.38999938964844,2006-07-03
59.349998474121094,2006-07-05
59.060001373291016,2006-07-06
56.0,2006-07-07
53.59000015258789,2006-07-10
55.18000030517578,2006-07-11
54.29999923706055,2006-07-12
55.0099983215332,2006-07-13
54.11000061035156,2006-07-14
55.5,2006-07-17
53.900001525878906,2006-07-18
53.959999084472656,2006-07-19
51.130001068115234,2006-07-20
49.369998931884766,2006-07-21
50.599998474121094,2006-07-24
52.75,2006-07-25
52.349998474121094,2006-07-26
50.939998626708984,2006-07-27
50.130001068115234,2006-07-28
52.5,2006-07-31
52.0,2006-08-01
52.25,2006-08-02
54.08000183105469,2006-08-03
54.900001525878906,2006-08-04
54.400001525878906,2006-08-07
53.400001525878906,2006-08-08
50.279998779296875,2006-08-09
48.66999816894531,2006-08-10
49.290000915527344,2006-08-11
49.880001068115234,2006-08-14
50.63999938964844,2006-08-15
53.5,2006-08-16
53.08000183105469,2006-08-17
51.810001373291016,2006-08-18
51.099998474121094,2006-08-21
50.58000183105469,2006-08-22
50.15999984741211,2006-08-23
49.16999816894531,2006-08-24
48.900001525878906,2006-08-25
48.900001525878906,2006-08-28
49.79999923706055,2006-08-29
50.2599983215332,2006-08-30
49.34000015258789,2006-08-31
50.689998626708984,2006-09-01
50.5099983215332,2006-09-05
50.09000015258789,2006-09-06
49.849998474121094,2006-09-07
47.91999816894531,2006-09-08
49.099998474121094,2006-09-11
51.470001220703125,2006-09-12
52.06999969482422,2006-09-13
50.83000183105469,2006-09-14
51.20000076293945,2006-09-15
50.83000183105469,2006-09-18
50.33000183105469,2006-09-19
51.040000915527344,2006-09-20
53.209999084472656,2006-09-21
52.119998931884766,2006-09-22
53.15999984741211,2006-09-25
52.380001068115234,2006-09-26
49.79999923706055,2006-09-27
49.599998474121094,2006-09-28
49.66999816894531,2006-09-29
49.0,2006-10-02
49.5,2006-10-03
50.9900016784668,2006-10-04
50.119998931884766,2006-10-05
51.59000015258789,2006-10-06
55.689998626708984,2006-10-09
56.47999954223633,2006-10-10
55.400001525878906,2006-10-11
57.22999954223633,2006-10-12
56.79999923706055,2006-10-13
56.04999923706055,2006-10-16
55.4900016784668,2006-10-17
54.849998474121094,2006-10-18
54.0,2006-10-19
54.959999084472656,2006-10-20
56.400001525878906,2006-10-23
57.70000076293945,2006-10-24
56.95000076293945,2006-10-25
58.5,2006-10-26
58.41999816894531,2006-10-27
59.04999923706055,2006-10-30
59.900001525878906,2006-10-31
58.220001220703125,2006-11-01
56.790000915527344,2006-11-02
57.08000183105469,2006-11-03
58.2599983215332,2006-11-06
58.08000183105469,2006-11-07
57.68000030517578,2006-11-08
56.58000183105469,2006-11-09
57.29999923706055,2006-11-10
56.650001525878906,2006-11-13
57.869998931884766,2006-11-14
58.84000015258789,2006-11-15
58.77000045776367,2006-11-16
59.880001068115234,2006-11-17
61.86000061035156,2006-11-20
61.22999954223633,2006-11-21
61.27000045776367,2006-11-22
61.0099983215332,2006-11-24
57.810001373291016,2006-11-27
57.31999969482422,2006-11-28
57.88999938964844,2006-11-29
57.95000076293945,2006-11-30
57.4900016784668,2006-12-01
58.0,2006-12-04
56.849998474121094,2006-12-05
57.130001068115234,2006-12-06
54.7599983215332,2006-12-07
55.29999923706055,2006-12-08
54.849998474121094,2006-12-11
54.5,2006-12-12
54.20000076293945,2006-12-13
53.95000076293945,2006-12-14
53.099998474121094,2006-12-15
53.91999816894531,2006-12-18
54.61000061035156,2006-12-19
54.880001068115234,2006-12-20
54.45000076293945,2006-12-21
55.52000045776367,2006-12-22
56.25,2006-12-26
56.04999923706055,2006-12-27
56.41999816894531,2006-12-28
57.0,2006-12-29
56.40999984741211,2007-01-03
55.380001068115234,2007-01-04
55.0,2007-01-05
56.04999923706055,2007-01-08
56.45000076293945,2007-01-09
56.209999084472656,2007-01-10
57.66999816894531,2007-01-11
58.279998779296875,2007-01-12
60.459999084472656,2007-01-16
60.599998474121094,2007-01-17
59.58000183105469,2007-01-18
58.970001220703125,2007-01-19
58.41999816894531,2007-01-22
58.5,2007-01-23
58.0,2007-01-24
57.47999954223633,2007-01-25
57.34000015258789,2007-01-26
58.70000076293945,2007-01-29
59.599998474121094,2007-01-30
59.41999816894531,2007-01-31
59.79999923706055,2007-02-01
60.0099983215332,2007-02-02
60.439998626708984,2007-02-05
60.58000183105469,2007-02-06
61.56999969482422,2007-02-07
62.09000015258789,2007-02-08
61.90999984741211,2007-02-09
60.720001220703125,2007-02-12
60.45000076293945,2007-02-13
59.689998626708984,2007-02-14
61.380001068115234,2007-02-15
65.02999877929688,2007-02-16
63.88999938964844,2007-02-20
63.58000183105469,2007-02-21
64.41999816894531,2007-02-22
64.30999755859375,2007-02-23
63.630001068115234,2007-02-26
60.25,2007-02-27
59.9900016784668,2007-02-28
61.22999954223633,2007-03-01
60.20000076293945,2007-03-02
59.04999923706055,2007-03-05
60.06999969482422,2007-03-06
60.220001220703125,2007-03-07
60.09000015258789,2007-03-08
60.56999969482422,2007-03-09
61.22999954223633,2007-03-12
61.0099983215332,2007-03-13
60.59000015258789,2007-03-14
61.04999923706055,2007-03-15
60.58000183105469,2007-03-16
63.099998474121094,2007-03-19
64.2300033569336,2007-03-20
64.75,2007-03-21
64.16999816894531,2007-03-22
64.80000305175781,2007-03-23
63.59000015258789,2007-03-26
62.369998931884766,2007-03-27
62.060001373291016,2007-03-28
62.20000076293945,2007-03-29
62.099998474121094,2007-03-30
