TAP,Date
7.109131336212158,1975-06-12
7.196539878845215,1975-06-13
7.109131336212158,1975-06-16
6.9634528160095215,1975-06-17
7.1673970222473145,1975-06-18
7.283939838409424,1975-06-19
7.313079833984375,1975-06-20
7.254807949066162,1975-06-23
7.109131336212158,1975-06-24
7.050861358642578,1975-06-25
6.992585182189941,1975-06-26
6.9634528160095215,1975-06-27
7.109131336212158,1975-06-30
7.021724224090576,1975-07-01
6.9634528160095215,1975-07-02
7.254807949066162,1975-07-03
7.079995632171631,1975-07-07
7.050861358642578,1975-07-08
7.225673198699951,1975-07-09
7.196539878845215,1975-07-10
7.458766460418701,1975-07-11
7.837524890899658,1975-07-14
7.808390140533447,1975-07-15
7.7792534828186035,1975-07-16
7.8957953453063965,1975-07-17
8.274560928344727,1975-07-18
8.187150955200195,1975-07-21
7.8957953453063965,1975-07-22
7.750120639801025,1975-07-23
7.633570671081543,1975-07-24
7.42962646484375,1975-07-25
7.400486946105957,1975-07-28
7.1673970222473145,1975-07-29
7.254807949066162,1975-07-30
7.109131336212158,1975-07-31
6.9634528160095215,1975-08-01
6.9634528160095215,1975-08-04
7.196539878845215,1975-08-05
7.487898349761963,1975-08-06
7.1673970222473145,1975-08-07
6.905178070068359,1975-08-08
7.050861358642578,1975-08-11
7.021724224090576,1975-08-12
6.642961025238037,1975-08-13
6.642961025238037,1975-08-14
6.526412487030029,1975-08-15
6.235052585601807,1975-08-18
6.235052585601807,1975-08-19
6.439009189605713,1975-08-20
6.701228141784668,1975-08-21
6.876041889190674,1975-08-22
6.846907138824463,1975-08-25
6.613822937011719,1975-08-26
6.7303643226623535,1975-08-27
7.079995632171631,1975-08-28
7.1673970222473145,1975-08-29
6.846907138824463,1975-09-02
6.9634528160095215,1975-09-03
7.021724224090576,1975-09-04
6.8177714347839355,1975-09-05
6.613822937011719,1975-09-08
6.4098711013793945,1975-09-09
6.235052585601807,1975-09-10
6.2059221267700195,1975-09-11
6.293328285217285,1975-09-12
6.351599216461182,1975-09-15
6.4098711013793945,1975-09-16
6.613822937011719,1975-09-17
7.079995632171631,1975-09-18
7.342217922210693,1975-09-19
7.050861358642578,1975-09-22
6.876041889190674,1975-09-23
6.876041889190674,1975-09-24
6.672093391418457,1975-09-25
6.613822937011719,1975-09-26
6.555550575256348,1975-09-29
6.439009189605713,1975-09-30
6.439009189605713,1975-10-01
6.584685325622559,1975-10-02
6.7594990730285645,1975-10-03
6.7594990730285645,1975-10-06
6.642961025238037,1975-10-07
6.788633346557617,1975-10-08
6.905178070068359,1975-10-09
6.9634528160095215,1975-10-10
6.992585182189941,1975-10-13
7.021724224090576,1975-10-14
7.109131336212158,1975-10-15
7.021724224090576,1975-10-16
6.526412487030029,1975-10-17
6.613822937011719,1975-10-20
6.351599216461182,1975-10-21
6.4098711013793945,1975-10-22
6.701228141784668,1975-10-23
6.526412487030029,1975-10-24
6.526412487030029,1975-10-27
6.642961025238037,1975-10-28
6.351599216461182,1975-10-29
6.2059221267700195,1975-10-30
6.235052585601807,1975-10-31
6.060244083404541,1975-11-03
5.885428428649902,1975-11-04
5.79802131652832,1975-11-05
5.768886089324951,1975-11-06
5.419254779815674,1975-11-07
5.652343273162842,1975-11-10
5.594069957733154,1975-11-11
6.089378833770752,1975-11-12
5.885428428649902,1975-11-13
5.914561748504639,1975-11-14
5.914561748504639,1975-11-17
5.739748477935791,1975-11-18
5.623204231262207,1975-11-19
5.623204231262207,1975-11-20
5.739748477935791,1975-11-21
5.79802131652832,1975-11-24
5.710615634918213,1975-11-25
5.885428428649902,1975-11-26
5.79802131652832,1975-11-28
5.768886089324951,1975-12-01
5.710615634918213,1975-12-02
5.623204231262207,1975-12-03
5.448392391204834,1975-12-04
5.244441032409668,1975-12-05
5.21530294418335,1975-12-08
5.157031536102295,1975-12-09
5.477522850036621,1975-12-10
5.506662368774414,1975-12-11
5.506662368774414,1975-12-12
5.448392391204834,1975-12-15
5.5649309158325195,1975-12-16
5.623204231262207,1975-12-17
5.710615634918213,1975-12-18
5.681476593017578,1975-12-19
5.768886089324951,1975-12-22
5.79802131652832,1975-12-23
5.79802131652832,1975-12-24
5.943698406219482,1975-12-26
5.914561748504639,1975-12-29
5.885428428649902,1975-12-30
5.943698406219482,1975-12-31
5.914561748504639,1976-01-02
5.768886089324951,1976-01-05
5.768886089324951,1976-01-06
6.0019707679748535,1976-01-07
6.235052585601807,1976-01-08
6.147651195526123,1976-01-09
5.972831726074219,1976-01-12
5.885428428649902,1976-01-13
5.885428428649902,1976-01-14
5.914561748504639,1976-01-15
6.0019707679748535,1976-01-16
6.0019707679748535,1976-01-19
5.972831726074219,1976-01-20
6.060244083404541,1976-01-21
5.972831726074219,1976-01-22
6.0019707679748535,1976-01-23
6.0019707679748535,1976-01-26
5.914561748504639,1976-01-27
5.79802131652832,1976-01-28
5.972831726074219,1976-01-29
6.176784038543701,1976-01-30
6.089378833770752,1976-02-02
