ABT,Date
0.20190925896167755,1980-03-17
0.20332111418247223,1980-03-18
0.20614546537399292,1980-03-19
0.20120340585708618,1980-03-20
0.20332111418247223,1980-03-21
0.19696760177612305,1980-03-24
0.1962614357471466,1980-03-25
0.1962614357471466,1980-03-26
0.19767354428768158,1980-03-27
0.20402738451957703,1980-03-28
0.20685125887393951,1980-03-31
0.20755727589130402,1980-04-01
0.20896929502487183,1980-04-02
0.20896929502487183,1980-04-03
0.20896929502487183,1980-04-07
0.20826329290866852,1980-04-08
0.2110869437456131,1980-04-09
0.22026479244232178,1980-04-10
0.22308865189552307,1980-04-11
0.21744100749492645,1980-04-14
0.21955867111682892,1980-04-15
0.21602904796600342,1980-04-16
0.21391098201274872,1980-04-17
0.21249908208847046,1980-04-18
0.21602904796600342,1980-04-21
0.22308865189552307,1980-04-22
0.22167693078517914,1980-04-23
0.2245006561279297,1980-04-24
0.22167693078517914,1980-04-25
0.22379492223262787,1980-04-28
0.2245006561279297,1980-04-29
0.22661881148815155,1980-04-30
0.2280307561159134,1980-05-01
0.22873643040657043,1980-05-02
0.2280307561159134,1980-05-05
0.23014847934246063,1980-05-06
0.23085461556911469,1980-05-07
0.22591255605220795,1980-05-08
0.22732466459274292,1980-05-09
0.2280307561159134,1980-05-12
0.22591255605220795,1980-05-13
0.2280307561159134,1980-05-14
0.23156042397022247,1980-05-15
0.2294427454471588,1980-05-16
0.2280307561159134,1980-05-19
0.2280307561159134,1980-05-20
0.22873643040657043,1980-05-21
0.23156042397022247,1980-05-22
0.23932619392871857,1980-05-23
0.24003207683563232,1980-05-27
0.2428562045097351,1980-05-28
0.24144430458545685,1980-05-29
0.24073807895183563,1980-05-30
0.23932619392871857,1980-06-02
0.24073807895183563,1980-06-03
0.24215008318424225,1980-06-04
0.24003207683563232,1980-06-05
0.24426811933517456,1980-06-06
0.24426811933517456,1980-06-09
0.2513279318809509,1980-06-10
0.25909358263015747,1980-06-11
0.25415176153182983,1980-06-12
0.25415176153182983,1980-06-13
0.25203368067741394,1980-06-16
0.2555637061595917,1980-06-17
0.25485751032829285,1980-06-18
0.25415176153182983,1980-06-19
0.2513279318809509,1980-06-20
0.2477976679801941,1980-06-23
0.25203368067741394,1980-06-24
0.2534455955028534,1980-06-25
0.24991586804389954,1980-06-26
0.24638596177101135,1980-06-27
0.23791426420211792,1980-06-30
0.24073807895183563,1980-07-01
0.24920977652072906,1980-07-02
0.24850410223007202,1980-07-03
0.24850410223007202,1980-07-07
0.24638596177101135,1980-07-08
0.2428562045097351,1980-07-09
0.24003207683563232,1980-07-10
0.23862005770206451,1980-07-11
0.23932619392871857,1980-07-14
0.24073807895183563,1980-07-15
0.24003207683563232,1980-07-16
0.2428562045097351,1980-07-17
0.24426811933517456,1980-07-18
0.2527398467063904,1980-07-21
0.2576814293861389,1980-07-22
0.2555637061595917,1980-07-23
0.2576814293861389,1980-07-24
0.2569756805896759,1980-07-25
0.2576814293861389,1980-07-28
0.2640353739261627,1980-07-29
0.2718012034893036,1980-07-30
0.2718012034893036,1980-07-31
0.2725070118904114,1980-08-01
0.27321329712867737,1980-08-04
0.27391883730888367,1980-08-05
0.27391883730888367,1980-08-06
0.27815520763397217,1980-08-07
0.2774488627910614,1980-08-08
0.281684935092926,1980-08-11
0.2830966114997864,1980-08-12
0.279567152261734,1980-08-13
0.2774488627910614,1980-08-14
0.2774488627910614,1980-08-15
0.27321329712867737,1980-08-18
0.2718012034893036,1980-08-19
0.27109506726264954,1980-08-20
0.27109506726264954,1980-08-21
0.2823910713195801,1980-08-22
0.279567152261734,1980-08-25
0.2823910713195801,1980-08-26
0.276743084192276,1980-08-27
0.27391883730888367,1980-08-28
0.2703893780708313,1980-08-29
0.2718012034893036,1980-09-02
