KIM,Date
0.8478440642356873,1991-11-22
0.8478440642356873,1991-11-25
0.8478440642356873,1991-11-26
0.8478440642356873,1991-11-27
0.8478440642356873,1991-11-29
0.8425449132919312,1991-12-02
0.8425449132919312,1991-12-03
0.8425449132919312,1991-12-04
0.8425449132919312,1991-12-05
0.837246298789978,1991-12-06
0.837246298789978,1991-12-09
0.837246298789978,1991-12-10
0.837246298789978,1991-12-11
0.837246298789978,1991-12-12
0.837246298789978,1991-12-13
0.837246298789978,1991-12-16
0.8425449132919312,1991-12-17
0.8425449132919312,1991-12-18
0.8478440642356873,1991-12-19
0.8478440642356873,1991-12-20
0.8690401911735535,1991-12-23
0.863741397857666,1991-12-24
0.8796384930610657,1991-12-26
0.8743392825126648,1991-12-27
0.8743392825126648,1991-12-30
0.9114323854446411,1991-12-31
0.9114323854446411,1992-01-02
0.9167314767837524,1992-01-03
0.9379274249076843,1992-01-06
0.9432262778282166,1992-01-07
0.9432262778282166,1992-01-08
0.9379274249076843,1992-01-09
0.953824520111084,1992-01-10
0.953824520111084,1992-01-13
0.9697206616401672,1992-01-14
0.980319619178772,1992-01-15
0.980319619178772,1992-01-16
0.9856187105178833,1992-01-17
0.980319619178772,1992-01-20
0.9856187105178833,1992-01-21
0.9856187105178833,1992-01-22
0.9856187105178833,1992-01-23
0.9923624992370605,1992-01-24
0.9870271682739258,1992-01-27
0.9976977109909058,1992-01-28
1.00303316116333,1992-01-29
1.0083681344985962,1992-01-30
1.0083681344985962,1992-01-31
1.0137035846710205,1992-02-03
1.0243747234344482,1992-02-04
1.0350451469421387,1992-02-05
1.0350451469421387,1992-02-06
1.04571533203125,1992-02-07
1.04571533203125,1992-02-10
1.0403796434402466,1992-02-11
1.0403796434402466,1992-02-12
1.0297095775604248,1992-02-13
1.0297095775604248,1992-02-14
1.0243747234344482,1992-02-18
1.0190393924713135,1992-02-19
1.0137035846710205,1992-02-20
1.0137035846710205,1992-02-21
1.0190393924713135,1992-02-24
1.0243747234344482,1992-02-25
1.0137035846710205,1992-02-26
1.0350451469421387,1992-02-27
1.0243747234344482,1992-02-28
1.0510505437850952,1992-03-02
1.0670567750930786,1992-03-03
1.0723916292190552,1992-03-04
1.04571533203125,1992-03-05
1.0297095775604248,1992-03-06
1.04571533203125,1992-03-09
1.0350451469421387,1992-03-10
1.0350451469421387,1992-03-11
1.0297095775604248,1992-03-12
1.0403796434402466,1992-03-13
1.0297095775604248,1992-03-16
1.0243747234344482,1992-03-17
1.0243747234344482,1992-03-18
1.0350451469421387,1992-03-19
1.0243747234344482,1992-03-20
1.0297095775604248,1992-03-23
1.0137035846710205,1992-03-24
1.0083681344985962,1992-03-25
1.00303316116333,1992-03-26
1.00303316116333,1992-03-27
1.00303316116333,1992-03-30
1.0083681344985962,1992-03-31
1.00303316116333,1992-04-01
0.9976977109909058,1992-04-02
0.9976977109909058,1992-04-03
0.9923624992370605,1992-04-06
0.9710213541984558,1992-04-07
0.960350751876831,1992-04-08
0.949679970741272,1992-04-09
0.9550156593322754,1992-04-10
0.965686559677124,1992-04-13
0.9816915392875671,1992-04-14
0.9923624992370605,1992-04-15
0.9923624992370605,1992-04-16
1.00303316116333,1992-04-20
1.0083681344985962,1992-04-21
1.0137035846710205,1992-04-22
0.9976977109909058,1992-04-23
1.0168383121490479,1992-04-24
1.0277132987976074,1992-04-27
1.0277132987976074,1992-04-28
1.038589358329773,1992-04-29
1.060339093208313,1992-04-30
1.060339093208313,1992-05-01
1.060339093208313,1992-05-04
1.0929651260375977,1992-05-05
1.0820906162261963,1992-05-06
1.098402500152588,1992-05-07
1.098402500152588,1992-05-08
1.1092777252197266,1992-05-11
1.1310288906097412,1992-05-12
1.1147161722183228,1992-05-13
1.1038404703140259,1992-05-14
1.0820906162261963,1992-05-15
1.098402500152588,1992-05-18
1.1038404703140259,1992-05-19
1.098402500152588,1992-05-20
1.098402500152588,1992-05-21
1.1092777252197266,1992-05-22
1.1147161722183228,1992-05-26
1.1201533079147339,1992-05-27
1.1201533079147339,1992-05-28
1.1201533079147339,1992-05-29
1.1310288906097412,1992-06-01
1.1201533079147339,1992-06-02
1.1147161722183228,1992-06-03
1.1201533079147339,1992-06-04
1.1201533079147339,1992-06-05
1.1147161722183228,1992-06-08
1.1147161722183228,1992-06-09
1.098402500152588,1992-06-10
1.1038404703140259,1992-06-11
1.1038404703140259,1992-06-12
1.1147161722183228,1992-06-15
1.1201533079147339,1992-06-16
1.1201533079147339,1992-06-17
1.1201533079147339,1992-06-18
1.1147161722183228,1992-06-19
1.1201533079147339,1992-06-22
1.1201533079147339,1992-06-23
1.1147161722183228,1992-06-24
1.1201533079147339,1992-06-25
1.1201533079147339,1992-06-26
1.1147161722183228,1992-06-29
1.1038404703140259,1992-06-30
1.1038404703140259,1992-07-01
1.1038404703140259,1992-07-02
1.1038404703140259,1992-07-06
1.1038404703140259,1992-07-07
1.1038404703140259,1992-07-08
1.1147161722183228,1992-07-09
1.125591516494751,1992-07-10
1.1419036388397217,1992-07-13
1.1419036388397217,1992-07-14
1.1364667415618896,1992-07-15
1.1364667415618896,1992-07-16
1.1310288906097412,1992-07-17
1.1310288906097412,1992-07-20
1.1364667415618896,1992-07-21
1.1473422050476074,1992-07-22
1.1527791023254395,1992-07-23
1.144595980644226,1992-07-24
1.1556553840637207,1992-07-27
1.1556553840637207,1992-07-28
1.1667143106460571,1992-07-29
1.1777735948562622,1992-07-30
1.1998907327651978,1992-07-31
1.1998907327651978,1992-08-03
1.1888313293457031,1992-08-04
