WRK,Date
43.67324447631836,2015-06-24
42.653411865234375,2015-06-25
42.653411865234375,2015-06-26
41.895450592041016,2015-06-29
41.964351654052734,2015-06-30
42.997962951660156,2015-07-01
44.78266143798828,2015-07-02
43.928192138671875,2015-07-06
43.04619216918945,2015-07-07
41.144371032714844,2015-07-08
41.00654983520508,2015-07-09
42.308895111083984,2015-07-10
42.805015563964844,2015-07-13
42.85325241088867,2015-07-14
42.46049118041992,2015-07-15
42.94284439086914,2015-07-16
42.550071716308594,2015-07-17
42.41225814819336,2015-07-20
41.2408332824707,2015-07-21
41.4406623840332,2015-07-22
41.2408332824707,2015-07-23
40.593101501464844,2015-07-24
40.09696960449219,2015-07-27
40.88941192626953,2015-07-28
40.923858642578125,2015-07-29
43.29425048828125,2015-07-30
43.452735900878906,2015-07-31
43.52854919433594,2015-08-03
43.11510467529297,2015-08-04
43.23912811279297,2015-08-05
42.54318618774414,2015-08-06
43.108211517333984,2015-08-07
43.659324645996094,2015-08-10
43.95047378540039,2015-08-11
43.88809585571289,2015-08-12
43.7633056640625,2015-08-13
43.83262634277344,2015-08-14
43.90888977050781,2015-08-17
43.78410720825195,2015-08-18
43.02849197387695,2015-08-19
42.064910888671875,2015-08-20
40.907230377197266,2015-08-21
39.13949203491211,2015-08-24
38.47400665283203,2015-08-25
39.132564544677734,2015-08-26
41.052791595458984,2015-08-27
41.77375030517578,2015-08-28
41.142913818359375,2015-08-31
40.505157470703125,2015-09-01
40.32490539550781,2015-09-02
40.70619201660156,2015-09-03
39.756465911865234,2015-09-04
40.62300109863281,2015-09-08
40.380374908447266,2015-09-09
40.72003936767578,2015-09-10
40.726985931396484,2015-09-11
41.302364349365234,2015-09-14
41.371681213378906,2015-09-15
40.75471496582031,2015-09-16
40.019893646240234,2015-09-17
38.612640380859375,2015-09-18
38.72355651855469,2015-09-21
37.39257049560547,2015-09-22
36.595359802246094,2015-09-23
36.26262283325195,2015-09-24
36.01304626464844,2015-09-25
34.640464782714844,2015-09-28
35.056400299072266,2015-09-29
35.65950393676758,2015-09-30
36.04771041870117,2015-10-01
36.74787139892578,2015-10-02
37.50348663330078,2015-10-05
37.649051666259766,2015-10-06
37.47576141357422,2015-10-07
37.565879821777344,2015-10-08
39.908973693847656,2015-10-09
39.049381256103516,2015-10-12
38.501731872558594,2015-10-13
38.65425109863281,2015-10-14
38.827552795410156,2015-10-15
38.67502975463867,2015-10-16
37.62133026123047,2015-10-19
37.26778793334961,2015-10-20
36.44284439086914,2015-10-21
36.39432144165039,2015-10-22
36.99742889404297,2015-10-23
36.92118835449219,2015-10-26
36.78946304321289,2015-10-27
37.718379974365234,2015-10-28
