EIX,Date
0.42112329602241516,1973-05-03
0.42533472180366516,1973-05-04
0.4232291281223297,1973-05-07
0.4295460283756256,1973-05-08
0.42744049429893494,1973-05-09
0.42533472180366516,1973-05-10
0.4232291281223297,1973-05-11
0.4148067533969879,1973-05-14
0.4105953276157379,1973-05-15
0.4105953276157379,1973-05-16
0.408489853143692,1973-05-17
0.4105953276157379,1973-05-18
0.408489853143692,1973-05-21
0.408489853143692,1973-05-22
0.408489853143692,1973-05-23
0.4105953276157379,1973-05-24
0.4105953276157379,1973-05-25
0.4105953276157379,1973-05-29
0.408489853143692,1973-05-30
0.408489853143692,1973-05-31
0.4105953276157379,1973-06-01
0.40638402104377747,1973-06-04
0.4042786657810211,1973-06-05
0.4042786657810211,1973-06-06
0.4105953276157379,1973-06-07
0.4105953276157379,1973-06-08
0.4127010703086853,1973-06-11
0.42744049429893494,1973-06-12
0.4190179705619812,1973-06-13
0.4148067533969879,1973-06-14
0.408489853143692,1973-06-15
0.4021728038787842,1973-06-18
0.4042786657810211,1973-06-19
0.4042786657810211,1973-06-20
0.4021728038787842,1973-06-21
0.4000674784183502,1973-06-22
0.39796194434165955,1973-06-25
0.4000674784183502,1973-06-26
0.4000674784183502,1973-06-27
0.398183673620224,1973-06-28
0.398183673620224,1973-06-29
0.38962051272392273,1973-07-02
0.3874795436859131,1973-07-03
0.3831980526447296,1973-07-05
0.3810575008392334,1973-07-06
0.37677574157714844,1973-07-09
0.37677574157714844,1973-07-10
0.3874795436859131,1973-07-11
0.3810575008392334,1973-07-12
0.3746349513530731,1973-07-13
0.3724941313266754,1973-07-16
0.3682127296924591,1973-07-17
0.3682127296924591,1973-07-18
0.37035349011421204,1973-07-19
0.3724941313266754,1973-07-20
0.3810575008392334,1973-07-23
0.3746349513530731,1973-07-24
0.37677574157714844,1973-07-25
0.3746349513530731,1973-07-26
0.3746349513530731,1973-07-27
0.3746349513530731,1973-07-30
0.37035349011421204,1973-07-31
0.36607182025909424,1973-08-01
0.3617902994155884,1973-08-02
0.35964974761009216,1973-08-03
0.3617902994155884,1973-08-06
0.36393120884895325,1973-08-07
0.35322731733322144,1973-08-08
0.35322731733322144,1973-08-09
0.3510866165161133,1973-08-10
0.3489457666873932,1973-08-13
0.3489457666873932,1973-08-14
0.3489457666873932,1973-08-15
0.35322731733322144,1973-08-16
0.3575087785720825,1973-08-17
0.3575087785720825,1973-08-20
0.36607182025909424,1973-08-21
0.36393120884895325,1973-08-22
0.36393120884895325,1973-08-23
0.3617902994155884,1973-08-24
0.3724941313266754,1973-08-27
0.37035349011421204,1973-08-28
0.3682127296924591,1973-08-29
0.37035349011421204,1973-08-30
0.37035349011421204,1973-08-31
0.3724941313266754,1973-09-04
0.37891653180122375,1973-09-05
0.3939020037651062,1973-09-06
0.398183673620224,1973-09-07
0.3960427939891815,1973-09-10
0.39176133275032043,1973-09-11
0.37891653180122375,1973-09-12
0.3810575008392334,1973-09-13
0.3810575008392334,1973-09-14
0.3874795436859131,1973-09-17
0.39176133275032043,1973-09-18
0.38533884286880493,1973-09-19
0.39176133275032043,1973-09-20
0.38962051272392273,1973-09-21
0.3960427939891815,1973-09-24
0.3960427939891815,1973-09-25
0.413168728351593,1973-09-26
0.4195912480354309,1973-09-27
0.4195912480354309,1973-09-28
0.41332608461380005,1973-10-01
0.4089754521846771,1973-10-02
0.4089754521846771,1973-10-03
0.4089754521846771,1973-10-04
0.4002736210823059,1973-10-05
0.40462443232536316,1973-10-08
0.4024488031864166,1973-10-09
0.3959227502346039,1973-10-10
0.3937474489212036,1973-10-11
0.3937474489212036,1973-10-12
0.38504597544670105,1973-10-15
0.38287049531936646,1973-10-16
0.3719936013221741,1973-10-17
0.3719936013221741,1973-10-18
0.3806948959827423,1973-10-19
0.3785193860530853,1973-10-22
0.38504597544670105,1973-10-23
0.3959227502346039,1973-10-24
0.4002736210823059,1973-10-25
0.4002736210823059,1973-10-26
0.40462443232536316,1973-10-29
0.3980983793735504,1973-10-30
0.39157208800315857,1973-10-31
0.38722115755081177,1973-11-01
0.38504597544670105,1973-11-02
0.38287049531936646,1973-11-05
0.38287049531936646,1973-11-06
0.3785193860530853,1973-11-07
0.36981797218322754,1973-11-08
0.3567657172679901,1973-11-09
0.35894107818603516,1973-11-12
0.361116498708725,1973-11-13
0.3502393364906311,1973-11-14
0.3524148762226105,1973-11-15
0.34806403517723083,1973-11-16
0.3371867835521698,1973-11-19
0.3371867835521698,1973-11-20
0.3393624722957611,1973-11-21
0.34371325373649597,1973-11-23
0.33066070079803467,1973-11-26
0.3263102173805237,1973-11-27
0.3241346776485443,1973-11-28
0.31978416442871094,1973-11-29
0.31978416442871094,1973-11-30
0.30238065123558044,1973-12-03
0.3110824227333069,1973-12-04
0.3110824227333069,1973-12-05
0.3110824227333069,1973-12-06
0.31978416442871094,1973-12-07
0.3219591975212097,1973-12-10
0.3241346776485443,1973-12-11
0.31978416442871094,1973-12-12
0.3132578730583191,1973-12-13
0.3132578730583191,1973-12-14
0.3132578730583191,1973-12-17
0.31543290615081787,1973-12-18
0.31543290615081787,1973-12-19
0.31978416442871094,1973-12-20
0.31760847568511963,1973-12-21
0.31978416442871094,1973-12-24
0.3263102173805237,1973-12-26
0.3350115716457367,1973-12-27
0.32861682772636414,1973-12-28
0.32861682772636414,1973-12-31
0.3352782130241394,1974-01-02
0.3441595435142517,1974-01-03
0.34193921089172363,1974-01-04
0.34193921089172363,1974-01-07
0.3352782130241394,1974-01-08
0.3308371901512146,1974-01-09
0.3330576419830322,1974-01-10
