Date,LGTO
2021-12-23,9.75
2021-12-27,9.75
2021-12-28,9.86
2021-12-29,9.86
2021-12-31,9.93
2022-01-03,9.84
2022-01-05,9.85
2022-01-06,9.85
2022-01-07,9.85
2022-01-10,9.86
2022-01-11,9.85
2022-01-12,9.85
2022-01-13,9.84
2022-01-19,9.84
2022-01-20,9.84
2022-01-21,9.83
2022-01-24,9.83
2022-01-25,9.83
2022-01-26,9.83
2022-01-27,9.83
2022-01-31,9.85
2022-02-01,9.86
2022-02-02,9.87
2022-02-03,9.85
2022-02-07,9.87
2022-02-08,9.85
2022-02-09,9.86
2022-02-10,9.9
2022-02-11,9.85
2022-02-14,9.89
2022-02-15,9.87
2022-02-16,9.84
2022-02-17,9.87
2022-02-22,9.8515
2022-02-25,9.87
2022-02-28,9.87
2022-03-01,9.84
2022-03-02,9.895
2022-03-04,9.88
2022-03-07,9.88
2022-03-09,9.85
2022-03-10,9.86
2022-03-11,9.88
2022-03-15,9.88
2022-03-16,9.9
2022-03-18,9.89
2022-03-21,9.88
2022-03-22,9.88
2022-03-23,9.87
2022-03-24,9.86
2022-03-28,9.89
2022-03-29,9.88
2022-03-30,9.88
2022-03-31,9.92
2022-04-01,9.92
2022-04-04,9.91
2022-04-05,9.91
2022-04-07,9.91
2022-04-08,9.9001
2022-04-11,9.91
2022-04-12,9.92
2022-04-13,9.94
2022-04-14,9.945
2022-04-18,9.93
2022-04-20,9.93
2022-04-25,9.93
2022-04-26,9.93
2022-04-27,9.93
2022-04-28,9.93
2022-04-29,9.93
2022-05-02,9.94
2022-05-03,9.93
2022-05-04,9.93
2022-05-05,9.93
2022-05-06,9.93
2022-05-09,9.93
2022-05-10,9.93
2022-05-13,9.91
2022-05-16,9.9
2022-05-18,9.9
2022-05-19,9.91
2022-05-20,9.91
2022-05-23,9.9
2022-05-24,9.91
2022-05-25,9.91
2022-05-26,9.94
2022-05-27,9.92
2022-05-31,9.92
2022-06-01,9.92
2022-06-02,9.93
2022-06-03,9.925
2022-06-06,9.94
2022-06-08,9.92
2022-06-09,9.93
2022-06-10,9.94
2022-06-13,9.95
2022-06-14,9.93
2022-06-15,9.94
2022-06-16,9.95
2022-06-17,9.95
2022-06-21,9.935
2022-06-22,9.98
2022-06-24,9.92
2022-06-27,9.95
2022-06-28,9.92
2022-06-29,10.0
2022-06-30,9.92
2022-07-01,9.91
2022-07-05,9.93
2022-07-06,9.94
2022-07-07,9.91
2022-07-08,9.89
2022-07-11,9.92
2022-07-12,9.98
2022-07-13,9.94
2022-07-14,9.94
2022-07-15,9.92
2022-07-18,9.93
2022-07-19,9.9
2022-07-21,9.93
2022-07-22,9.93
2022-07-25,9.94
2022-07-26,9.95
2022-07-28,9.95
2022-07-29,9.95
2022-08-01,9.95
2022-08-03,9.94
2022-08-05,9.965
2022-08-08,10.0
2022-08-09,9.96
2022-08-10,10.01
2022-08-11,9.99
2022-08-12,10.04
2022-08-15,10.04
2022-08-16,9.98
2022-08-19,9.975
2022-08-22,9.97
2022-08-23,9.99
2022-08-24,9.99
2022-08-25,9.98
2022-08-26,10.0
2022-08-29,9.96
2022-08-30,9.9
2022-08-31,9.97
2022-09-02,9.94
2022-09-12,9.94
2022-09-13,9.97
2022-09-15,9.92
2022-09-16,9.95
2022-09-19,9.93
2022-09-20,9.93
2022-09-22,9.94
2022-09-23,9.94
2022-09-26,9.94
2022-09-27,9.935
2022-09-28,9.94
2022-09-29,9.94
2022-09-30,9.94
2022-10-04,9.94
2022-10-05,9.93
2022-10-06,9.94
2022-10-07,9.93
2022-10-11,9.94
2022-10-12,9.93
2022-10-14,9.94
2022-10-17,9.94
2022-10-19,9.95
2022-10-20,9.95
2022-10-21,9.96
2022-10-24,9.97
2022-10-26,9.95
2022-10-31,10.12
2022-11-01,10.05
2022-11-02,10.04
2022-11-03,10.04
2022-11-04,10.09
2022-11-07,10.06
2022-11-08,10.0414
2022-11-09,10.045
2022-11-10,10.06
2022-11-11,10.06
2022-11-14,10.04
2022-11-15,10.03
2022-11-16,10.035
2022-11-18,10.04
2022-11-21,10.03
2022-11-22,10.03
2022-11-25,10.0317
2022-11-28,10.03
2022-11-30,10.07
2022-12-01,10.12
2022-12-02,10.1
2022-12-06,10.125
2022-12-08,10.13
2022-12-09,10.12
2022-12-12,10.115
2022-12-15,10.135
2022-12-19,10.14
2022-12-20,10.11
2022-12-21,10.18
2022-12-22,10.22
2022-12-23,10.21
2022-12-27,10.22
2023-01-05,10.24
2023-01-06,10.16
2023-01-09,10.19
2023-01-10,10.2
2023-01-11,10.25
2023-01-13,10.215
2023-01-17,10.21
2023-01-18,10.21
2023-01-19,10.22
2023-01-20,10.21
2023-01-23,10.19
2023-01-24,10.19
2023-01-25,10.21
2023-01-26,10.19
2023-01-27,10.24
2023-01-30,10.25
2023-01-31,10.255
2023-02-01,10.26
2023-02-02,10.26
2023-02-03,10.29
2023-02-06,10.3
2023-02-07,10.27
2023-02-08,10.29
2023-02-09,10.25
2023-02-10,10.2601
2023-02-13,8.78
2023-02-14,8.94
