APD,Date
1.5962475538253784,1980-03-17
1.5904635190963745,1980-03-18
1.6193821430206299,1980-03-19
1.6135972738265991,1980-03-20
1.6135972738265991,1980-03-21
1.5557631254196167,1980-03-24
1.5384122133255005,1980-03-25
1.5441957712173462,1980-03-26
1.532628059387207,1980-03-27
1.6020313501358032,1980-03-28
1.6078146696090698,1980-03-31
1.5846797227859497,1980-04-01
1.561545729637146,1980-04-02
1.5094952583312988,1980-04-03
1.5152781009674072,1980-04-07
1.5268453359603882,1980-04-08
1.578896403312683,1980-04-09
1.6193821430206299,1980-04-10
1.6945663690567017,1980-04-11
1.6772167682647705,1980-04-14
1.6656486988067627,1980-04-15
1.6309490203857422,1980-04-16
1.5731134414672852,1980-04-17
1.5384122133255005,1980-04-18
1.5152781009674072,1980-04-21
1.6309490203857422,1980-04-22
1.6367307901382446,1980-04-23
1.6772167682647705,1980-04-24
1.7061327695846558,1980-04-25
1.711917757987976,1980-04-28
1.729267954826355,1980-04-29
1.7581855058670044,1980-04-30
1.7524019479751587,1980-05-01
1.7350521087646484,1980-05-02
1.7466187477111816,1980-05-05
1.7524019479751587,1980-05-06
1.711917757987976,1980-05-07
1.6656486988067627,1980-05-08
1.6193821430206299,1980-05-09
1.5731134414672852,1980-05-12
1.578896403312683,1980-05-13
1.6020313501358032,1980-05-14
1.578896403312683,1980-05-15
1.5846797227859497,1980-05-16
1.5846797227859497,1980-05-19
1.5962475538253784,1980-05-20
1.5904635190963745,1980-05-21
1.6772167682647705,1980-05-22
1.7350521087646484,1980-05-23
1.7466187477111816,1980-05-27
1.7408361434936523,1980-05-28
1.711917757987976,1980-05-29
1.7350521087646484,1980-05-30
1.7177016735076904,1980-06-02
1.7350521087646484,1980-06-03
1.7813189029693604,1980-06-04
1.7813189029693604,1980-06-05
1.7524019479751587,1980-06-06
1.711917757987976,1980-06-09
1.7408361434936523,1980-06-10
1.7466187477111816,1980-06-11
1.7581855058670044,1980-06-12
1.8044531345367432,1980-06-13
1.8449370861053467,1980-06-16
1.833370566368103,1980-06-17
1.8160209655761719,1980-06-18
1.8102375268936157,1980-06-19
1.7813189029693604,1980-06-20
1.787102460861206,1980-06-23
1.7813189029693604,1980-06-24
1.8275864124298096,1980-06-25
1.833370566368103,1980-06-26
1.8622878789901733,1980-06-27
1.7928862571716309,1980-06-30
1.7928862571716309,1980-07-01
1.8275864124298096,1980-07-02
1.9201233386993408,1980-07-03
1.9663915634155273,1980-07-07
1.9779584407806396,1980-07-08
1.9606088399887085,1980-07-09
1.925907015800476,1980-07-10
1.9432581663131714,1980-07-11
1.9663915634155273,1980-07-14
2.0531435012817383,1980-07-15
2.047360420227051,1980-07-16
2.030010223388672,1980-07-17
2.006876230239868,1980-07-18
2.0126585960388184,1980-07-21
2.006876230239868,1980-07-22
2.001093626022339,1980-07-23
1.8969900608062744,1980-07-24
1.8680731058120728,1980-07-25
1.9085571765899658,1980-07-28
2.001093626022339,1980-07-29
2.001093626022339,1980-07-30
2.0820624828338623,1980-07-31
2.0994136333465576,1980-08-01
2.058927536010742,1980-08-04
2.0415775775909424,1980-08-05
2.0184431076049805,1980-08-06
2.058927536010742,1980-08-07
2.0878446102142334,1980-08-08
2.070495128631592,1980-08-11
2.070495128631592,1980-08-12
2.093629837036133,1980-08-13
2.163031816482544,1980-08-14
2.2092978954315186,1980-08-15
2.1745972633361816,1980-08-18
2.1514651775360107,1980-08-19
2.1803815364837646,1980-08-20
2.220865249633789,1980-08-21
2.255566358566284,1980-08-22
2.220865249633789,1980-08-25
2.2035157680511475,1980-08-26
2.1514651775360107,1980-08-27
2.1514651775360107,1980-08-28
2.1283302307128906,1980-08-29
2.1283302307128906,1980-09-02
2.168813467025757,1980-09-03
2.2035157680511475,1980-09-04
2.163031816482544,1980-09-05
2.122546672821045,1980-09-08
2.0762791633605957,1980-09-09
2.1745972633361816,1980-09-10
2.1977314949035645,1980-09-11
2.1977314949035645,1980-09-12
2.220865249633789,1980-09-15
2.296051263809204,1980-09-16
2.3596696853637695,1980-09-17
2.348102569580078,1980-09-18
2.353886365890503,1980-09-19
2.3943729400634766,1980-09-22
2.405937433242798,1980-09-23
2.405937433242798,1980-09-24
2.382802724838257,1980-09-25
2.290268659591675,1980-09-26
2.261349678039551,1980-09-29
2.2729172706604004,1980-09-30
2.319185733795166,1980-10-01
2.475339412689209,1980-10-02
2.469557762145996,1980-10-03
2.4984734058380127,1980-10-06
2.469557762145996,1980-10-07
2.4522061347961426,1980-10-08
2.41750431060791,1980-10-09
2.3654539585113525,1980-10-10
2.382802724838257,1980-10-13
2.41750431060791,1980-10-14
