PTON,Date
25.760000228881836,2019-09-26
25.239999771118164,2019-09-27
25.100000381469727,2019-09-30
22.510000228881836,2019-10-01
22.600000381469727,2019-10-02
22.329999923706055,2019-10-03
23.010000228881836,2019-10-04
23.510000228881836,2019-10-07
23.209999084472656,2019-10-08
24.0,2019-10-09
23.139999389648438,2019-10-10
22.389999389648438,2019-10-11
21.469999313354492,2019-10-14
23.44499969482422,2019-10-15
23.030000686645508,2019-10-16
23.860000610351562,2019-10-17
23.520000457763672,2019-10-18
22.260000228881836,2019-10-21
21.15999984741211,2019-10-22
21.079999923706055,2019-10-23
21.34000015258789,2019-10-24
22.399999618530273,2019-10-25
21.459999084472656,2019-10-28
23.18000030517578,2019-10-29
23.719999313354492,2019-10-30
23.8700008392334,2019-10-31
24.989999771118164,2019-11-01
24.610000610351562,2019-11-04
22.739999771118164,2019-11-05
23.020000457763672,2019-11-06
22.6299991607666,2019-11-07
23.520000457763672,2019-11-08
24.040000915527344,2019-11-11
24.690000534057617,2019-11-12
25.979999542236328,2019-11-13
25.93000030517578,2019-11-14
27.229999542236328,2019-11-15
30.25,2019-11-18
29.239999771118164,2019-11-19
29.100000381469727,2019-11-20
29.799999237060547,2019-11-21
29.360000610351562,2019-11-22
30.8700008392334,2019-11-25
30.959999084472656,2019-11-26
32.15999984741211,2019-11-27
35.22999954223633,2019-11-29
36.84000015258789,2019-12-02
33.47999954223633,2019-12-03
32.959999084472656,2019-12-04
31.309999465942383,2019-12-05
32.630001068115234,2019-12-06
34.77000045776367,2019-12-09
32.779998779296875,2019-12-10
32.029998779296875,2019-12-11
30.850000381469727,2019-12-12
31.530000686645508,2019-12-13
31.34000015258789,2019-12-16
32.93000030517578,2019-12-17
31.889999389648438,2019-12-18
31.93000030517578,2019-12-19
29.989999771118164,2019-12-20
29.219999313354492,2019-12-23
28.75,2019-12-24
27.0,2019-12-26
27.0,2019-12-27
27.690000534057617,2019-12-30
28.399999618530273,2019-12-31
29.739999771118164,2020-01-02
30.600000381469727,2020-01-03
29.75,2020-01-06
30.399999618530273,2020-01-07
29.649999618530273,2020-01-08
27.8700008392334,2020-01-09
28.010000228881836,2020-01-10
28.530000686645508,2020-01-13
29.690000534057617,2020-01-14
30.860000610351562,2020-01-15
30.829999923706055,2020-01-16
31.700000762939453,2020-01-17
32.0,2020-01-21
30.68000030517578,2020-01-22
30.059999465942383,2020-01-23
30.5,2020-01-24
31.25,2020-01-27
31.3799991607666,2020-01-28
31.5,2020-01-29
32.2599983215332,2020-01-30
32.36000061035156,2020-01-31
33.369998931884766,2020-02-03
33.470001220703125,2020-02-04
32.70000076293945,2020-02-05
29.0,2020-02-06
27.860000610351562,2020-02-07
28.600000381469727,2020-02-10
28.649999618530273,2020-02-11
28.34000015258789,2020-02-12
28.850000381469727,2020-02-13
27.65999984741211,2020-02-14
27.079999923706055,2020-02-18
27.100000381469727,2020-02-19
26.979999542236328,2020-02-20
25.489999771118164,2020-02-21
26.5,2020-02-24
27.110000610351562,2020-02-25
29.190000534057617,2020-02-26
28.719999313354492,2020-02-27
26.690000534057617,2020-02-28
27.920000076293945,2020-03-02
26.684999465942383,2020-03-03
27.25,2020-03-04
27.100000381469727,2020-03-05
24.979999542236328,2020-03-06
23.209999084472656,2020-03-09
22.969999313354492,2020-03-10
22.0,2020-03-11
19.510000228881836,2020-03-12
19.719999313354492,2020-03-13
22.25,2020-03-16
25.450000762939453,2020-03-17
25.790000915527344,2020-03-18
24.989999771118164,2020-03-19
23.010000228881836,2020-03-20
23.34000015258789,2020-03-23
24.56999969482422,2020-03-24
24.520000457763672,2020-03-25
25.75,2020-03-26
25.979999542236328,2020-03-27
27.700000762939453,2020-03-30
26.549999237060547,2020-03-31
27.959999084472656,2020-04-01
26.739999771118164,2020-04-02
28.75,2020-04-03
28.3700008392334,2020-04-06
27.579999923706055,2020-04-07
27.5,2020-04-08
28.450000762939453,2020-04-09
31.989999771118164,2020-04-13
31.8799991607666,2020-04-14
35.61000061035156,2020-04-15
36.349998474121094,2020-04-16
33.4900016784668,2020-04-17
31.06999969482422,2020-04-20
31.389999389648438,2020-04-21
31.18000030517578,2020-04-22
29.889999389648438,2020-04-23
31.739999771118164,2020-04-24
31.780000686645508,2020-04-27
30.0,2020-04-28
31.889999389648438,2020-04-29
31.5,2020-04-30
32.04999923706055,2020-05-01
33.900001525878906,2020-05-04
36.220001220703125,2020-05-05
38.029998779296875,2020-05-06
44.119998931884766,2020-05-07
43.0,2020-05-08
42.79999923706055,2020-05-11
46.16999816894531,2020-05-12
45.16999816894531,2020-05-13
45.11000061035156,2020-05-14
48.41999816894531,2020-05-15
43.61000061035156,2020-05-18
44.79999923706055,2020-05-19
45.11000061035156,2020-05-20
45.29999923706055,2020-05-21
45.810001373291016,2020-05-22
41.70000076293945,2020-05-26
41.06999969482422,2020-05-27
42.61000061035156,2020-05-28
42.189998626708984,2020-05-29
45.849998474121094,2020-06-01
49.0099983215332,2020-06-02
47.83000183105469,2020-06-03
47.880001068115234,2020-06-04
45.900001525878906,2020-06-05
