AAPL,Date
0.09919209778308868,1980-12-12
0.09401717036962509,1980-12-15
0.08711651712656021,1980-12-16
0.08927273750305176,1980-12-17
0.09186096489429474,1980-12-18
0.09746711701154709,1980-12-19
0.10221078991889954,1980-12-22
0.10652400553226471,1980-12-23
0.11213018000125885,1980-12-24
0.12248075753450394,1980-12-26
0.12420570850372314,1980-12-29
0.12118703871965408,1980-12-30
0.11773711442947388,1980-12-31
0.11903084069490433,1981-01-02
0.11644337326288223,1981-01-05
0.11126766353845596,1981-01-06
0.10652400553226471,1981-01-07
0.10436778515577316,1981-01-08
0.10997390747070312,1981-01-09
0.1091114729642868,1981-01-12
0.10523024201393127,1981-01-13
0.1056615486741066,1981-01-14
0.10781773924827576,1981-01-15
0.10695526003837585,1981-01-16
0.11342386156320572,1981-01-19
0.10997390747070312,1981-01-20
0.11213018000125885,1981-01-21
0.11342386156320572,1981-01-22
0.11299259215593338,1981-01-23
0.11126766353845596,1981-01-26
0.11040519177913666,1981-01-27
0.10695526003837585,1981-01-28
0.10307405143976212,1981-01-29
0.09746711701154709,1981-01-30
0.09186096489429474,1981-02-02
0.09531091153621674,1981-02-03
0.09876085072755814,1981-02-04
0.09876085072755814,1981-02-05
0.09919209778308868,1981-02-06
0.09401717036962509,1981-02-09
0.09401717036962509,1981-02-10
0.09099848568439484,1981-02-11
0.09013520181179047,1981-02-12
0.08797900378704071,1981-02-13
0.09013520181179047,1981-02-17
0.09401717036962509,1981-02-18
0.08841024339199066,1981-02-19
0.08366657048463821,1981-02-20
0.08496030420064926,1981-02-23
0.08194158971309662,1981-02-24
0.08711651712656021,1981-02-25
0.08841024339199066,1981-02-26
0.09142973273992538,1981-02-27
0.09186096489429474,1981-03-02
0.0905672088265419,1981-03-03
0.0897039845585823,1981-03-04
0.08927273750305176,1981-03-05
0.08841024339199066,1981-03-06
0.08151035010814667,1981-03-09
0.07762839645147324,1981-03-10
0.07460969686508179,1981-03-11
0.07762839645147324,1981-03-12
0.07676590979099274,1981-03-13
0.07978539168834686,1981-03-16
0.08366657048463821,1981-03-17
0.08884148299694061,1981-03-18
0.08797900378704071,1981-03-19
0.08884148299694061,1981-03-20
0.0922921672463417,1981-03-23
0.09186096489429474,1981-03-24
0.09013520181179047,1981-03-25
0.08841024339199066,1981-03-26
0.08539151400327682,1981-03-27
0.08539151400327682,1981-03-30
0.08452902734279633,1981-03-31
0.08366657048463821,1981-04-01
0.09099848568439484,1981-04-02
0.09142973273992538,1981-04-03
0.0897039845585823,1981-04-06
0.08884148299694061,1981-04-07
0.09315468370914459,1981-04-08
0.09487967938184738,1981-04-09
0.09617339074611664,1981-04-10
0.09617339074611664,1981-04-13
0.09617339074611664,1981-04-14
0.09142973273992538,1981-04-15
0.08625402301549911,1981-04-16
0.08884148299694061,1981-04-20
0.09487967938184738,1981-04-21
0.09832963347434998,1981-04-22
0.10091705620288849,1981-04-23
0.10005459934473038,1981-04-24
0.09919209778308868,1981-04-27
0.09746711701154709,1981-04-28
0.09617339074611664,1981-04-29
0.09789832681417465,1981-04-30
0.09789832681417465,1981-05-01
0.09746711701154709,1981-05-04
0.09703588485717773,1981-05-05
0.09444841742515564,1981-05-06
0.09574214369058609,1981-05-07
0.0966046079993248,1981-05-08
0.09444841742515564,1981-05-11
0.09444841742515564,1981-05-12
0.09401717036962509,1981-05-13
0.09272345155477524,1981-05-14
0.09487967938184738,1981-05-15
0.0966046079993248,1981-05-18
0.09487967938184738,1981-05-19
0.09789832681417465,1981-05-20
0.10350531339645386,1981-05-21
0.10824895650148392,1981-05-22
0.10781773924827576,1981-05-26
0.11385513097047806,1981-05-27
0.11385513097047806,1981-05-28
0.11428641527891159,1981-05-29
0.11428641527891159,1981-06-01
0.10868018865585327,1981-06-02
0.10868018865585327,1981-06-03
0.11083639413118362,1981-06-04
0.1091114729642868,1981-06-05
0.10523024201393127,1981-06-08
0.1073864996433258,1981-06-09
0.10868018865585327,1981-06-10
0.11342386156320572,1981-06-11
0.11213018000125885,1981-06-12
0.1116989478468895,1981-06-15
0.10954270511865616,1981-06-16
0.10781773924827576,1981-06-17
0.1073864996433258,1981-06-18
0.10436778515577316,1981-06-19
0.10048586130142212,1981-06-22
0.10221078991889954,1981-06-23
0.09962336719036102,1981-06-24
0.10177960991859436,1981-06-25
0.10048586130142212,1981-06-26
0.09703588485717773,1981-06-29
0.0897039845585823,1981-06-30
0.08884148299694061,1981-07-01
0.08884148299694061,1981-07-02
0.08582278341054916,1981-07-06
0.08668528497219086,1981-07-07
0.09013520181179047,1981-07-08
0.08323531597852707,1981-07-09
0.07676590979099274,1981-07-10
0.07849163562059402,1981-07-13
0.08194158971309662,1981-07-14
0.08409781008958817,1981-07-15
0.08625402301549911,1981-07-16
0.08927273750305176,1981-07-17
0.08323531597852707,1981-07-20
0.08280408382415771,1981-07-21
0.0780596062541008,1981-07-22
0.0802166685461998,1981-07-23
0.08280408382415771,1981-07-24
0.08625402301549911,1981-07-27
0.08323531597852707,1981-07-28
0.08194158971309662,1981-07-29
0.08496030420064926,1981-07-30
