STCN,Date
12.681285858154297,1994-01-25
12.681285858154297,1994-01-26
12.681285858154297,1994-01-27
12.681285858154297,1994-01-28
12.681285858154297,1994-01-31
12.681285858154297,1994-02-01
13.077576637268066,1994-02-02
13.077576637268066,1994-02-03
13.077576637268066,1994-02-04
13.870155334472656,1994-02-07
12.681285858154297,1994-02-08
12.681285858154297,1994-02-09
13.27571964263916,1994-02-10
13.27571964263916,1994-02-11
12.681285858154297,1994-02-14
12.879429817199707,1994-02-15
12.879429817199707,1994-02-16
13.077576637268066,1994-02-17
13.473865509033203,1994-02-18
13.473865509033203,1994-02-22
12.879429817199707,1994-02-23
12.681285858154297,1994-02-24
12.681285858154297,1994-02-25
12.681285858154297,1994-02-28
12.681285858154297,1994-03-01
12.681285858154297,1994-03-02
12.681285858154297,1994-03-03
12.681285858154297,1994-03-04
12.681285858154297,1994-03-07
12.681285858154297,1994-03-08
13.27571964263916,1994-03-09
13.077576637268066,1994-03-10
13.077576637268066,1994-03-11
13.077576637268066,1994-03-14
13.077576637268066,1994-03-15
13.077576637268066,1994-03-16
13.077576637268066,1994-03-17
13.077576637268066,1994-03-18
13.077576637268066,1994-03-21
13.077576637268066,1994-03-22
13.077576637268066,1994-03-23
13.077576637268066,1994-03-24
13.077576637268066,1994-03-25
13.077576637268066,1994-03-28
13.473865509033203,1994-03-29
13.473865509033203,1994-03-30
12.284994125366211,1994-03-31
9.90725326538086,1994-04-04
11.492414474487305,1994-04-05
11.492414474487305,1994-04-06
11.492414474487305,1994-04-07
11.492414474487305,1994-04-08
11.492414474487305,1994-04-11
11.492414474487305,1994-04-12
11.492414474487305,1994-04-13
11.492414474487305,1994-04-14
11.492414474487305,1994-04-15
11.096124649047852,1994-04-18
10.699833869934082,1994-04-19
11.096124649047852,1994-04-20
11.096124649047852,1994-04-21
11.096124649047852,1994-04-22
11.096124649047852,1994-04-25
10.699833869934082,1994-04-26
10.699833869934082,1994-04-28
10.699833869934082,1994-04-29
10.699833869934082,1994-05-02
11.492414474487305,1994-05-03
11.492414474487305,1994-05-04
13.077576637268066,1994-05-05
13.077576637268066,1994-05-06
12.284994125366211,1994-05-09
13.077576637268066,1994-05-10
13.077576637268066,1994-05-11
13.870155334472656,1994-05-12
14.26644515991211,1994-05-13
13.870155334472656,1994-05-16
13.870155334472656,1994-05-17
13.870155334472656,1994-05-18
13.870155334472656,1994-05-19
14.068300247192383,1994-05-20
14.068300247192383,1994-05-23
13.870155334472656,1994-05-24
13.870155334472656,1994-05-25
13.870155334472656,1994-05-26
14.26644515991211,1994-05-27
14.26644515991211,1994-05-31
14.068300247192383,1994-06-01
14.26644515991211,1994-06-02
15.455314636230469,1994-06-03
14.662734985351562,1994-06-06
15.059024810791016,1994-06-07
15.455314636230469,1994-06-08
16.247896194458008,1994-06-09
16.247896194458008,1994-06-10
15.851606369018555,1994-06-13
15.851606369018555,1994-06-14
16.247896194458008,1994-06-15
16.247896194458008,1994-06-16
16.247896194458008,1994-06-17
15.851606369018555,1994-06-20
16.04975128173828,1994-06-21
14.26644515991211,1994-06-22
15.455314636230469,1994-06-23
13.473865509033203,1994-06-24
14.068300247192383,1994-06-27
14.068300247192383,1994-06-28
14.26644515991211,1994-06-29
14.26644515991211,1994-06-30
14.26644515991211,1994-07-01
14.26644515991211,1994-07-05
14.26644515991211,1994-07-06
14.26644515991211,1994-07-07
13.473865509033203,1994-07-08
13.473865509033203,1994-07-11
13.473865509033203,1994-07-12
13.473865509033203,1994-07-13
13.473865509033203,1994-07-14
13.473865509033203,1994-07-15
14.662734985351562,1994-07-18
14.662734985351562,1994-07-19
14.662734985351562,1994-07-20
13.870155334472656,1994-07-21
14.662734985351562,1994-07-22
14.26644515991211,1994-07-25
14.662734985351562,1994-07-26
14.662734985351562,1994-07-27
14.068300247192383,1994-07-28
14.068300247192383,1994-07-29
14.068300247192383,1994-08-01
14.662734985351562,1994-08-02
14.662734985351562,1994-08-03
14.662734985351562,1994-08-04
14.662734985351562,1994-08-05
13.473865509033203,1994-08-08
13.473865509033203,1994-08-09
13.473865509033203,1994-08-10
13.473865509033203,1994-08-11
13.870155334472656,1994-08-12
14.662734985351562,1994-08-15
14.662734985351562,1994-08-16
15.059024810791016,1994-08-17
14.26644515991211,1994-08-18
14.26644515991211,1994-08-19
15.059024810791016,1994-08-22
14.464590072631836,1994-08-23
15.059024810791016,1994-08-24
14.26644515991211,1994-08-25
14.26644515991211,1994-08-26
15.455314636230469,1994-08-29
15.455314636230469,1994-08-30
15.455314636230469,1994-08-31
16.247896194458008,1994-09-01
16.247896194458008,1994-09-02
16.247896194458008,1994-09-06
16.247896194458008,1994-09-07
16.247896194458008,1994-09-08
16.247896194458008,1994-09-09
16.247896194458008,1994-09-12
16.247896194458008,1994-09-13
15.455314636230469,1994-09-14
15.455314636230469,1994-09-15
15.455314636230469,1994-09-16
15.851606369018555,1994-09-19
15.455314636230469,1994-09-20
14.662734985351562,1994-09-21
15.851606369018555,1994-09-22
14.860881805419922,1994-09-23
14.662734985351562,1994-09-26
15.059024810791016,1994-09-27
17.436767578125,1994-09-28
17.436767578125,1994-09-29
17.436767578125,1994-09-30
17.436767578125,1994-10-03
17.436767578125,1994-10-04
18.229347229003906,1994-10-05
21.00337791442871,1994-10-06
20.210798263549805,1994-10-07
21.399667739868164,1994-10-10
21.795957565307617,1994-10-11
21.399667739868164,1994-10-12
21.399667739868164,1994-10-13
21.795957565307617,1994-10-14
20.607088088989258,1994-10-17
20.607088088989258,1994-10-18
20.607088088989258,1994-10-19
20.805233001708984,1994-10-20
21.399667739868164,1994-10-21
21.795957565307617,1994-10-24
21.994104385375977,1994-10-25
22.192249298095703,1994-10-26
21.795957565307617,1994-10-27
22.588539123535156,1994-10-28
25.36256980895996,1994-10-31
25.758859634399414,1994-11-01
23.77741050720215,1994-11-02
24.371843338012695,1994-11-03
23.381118774414062,1994-11-04
25.758859634399414,1994-11-07
25.36256980895996,1994-11-08
27.145875930786133,1994-11-09
28.136600494384766,1994-11-10
29.721759796142578,1994-11-11
28.53289031982422,1994-11-14
29.721759796142578,1994-11-15
29.721759796142578,1994-11-16
28.136600494384766,1994-11-17
28.136600494384766,1994-11-18
28.136600494384766,1994-11-21
28.136600494384766,1994-11-22
27.34402084350586,1994-11-23
27.34402084350586,1994-11-25
28.136600494384766,1994-11-28
27.34402084350586,1994-11-29
27.542165756225586,1994-11-30
26.55143928527832,1994-12-01
26.74958610534668,1994-12-02
28.136600494384766,1994-12-05
27.34402084350586,1994-12-06
26.55143928527832,1994-12-07
