ROK,Date
0.7726157307624817,1981-12-31
0.7667181491851807,1982-01-04
0.7460759282112122,1982-01-05
0.7283819317817688,1982-01-06
0.7224842309951782,1982-01-07
0.7254329919815063,1982-01-08
0.7047908306121826,1982-01-11
0.6870975494384766,1982-01-12
0.6753017902374268,1982-01-13
0.6782503128051758,1982-01-14
0.6841486096382141,1982-01-15
0.6694036722183228,1982-01-18
0.6900463104248047,1982-01-19
0.7165862321853638,1982-01-20
0.7313312292098999,1982-01-21
0.7283819317817688,1982-01-22
0.7283819317817688,1982-01-25
0.7224842309951782,1982-01-26
0.7077398300170898,1982-01-27
0.7077398300170898,1982-01-28
0.7372291088104248,1982-01-29
0.7195352911949158,1982-02-01
0.7195352911949158,1982-02-02
0.7136381268501282,1982-02-03
0.7136381268501282,1982-02-04
0.7431268095970154,1982-02-05
0.7490242123603821,1982-02-08
0.7549225091934204,1982-02-09
0.7490242123603821,1982-02-10
0.7490242123603821,1982-02-11
0.7490242123603821,1982-02-12
0.7374402284622192,1982-02-16
0.7284837365150452,1982-02-17
0.7225130796432495,1982-02-18
0.7075847387313843,1982-02-19
0.7105699777603149,1982-02-22
0.6986277103424072,1982-02-23
0.6896712779998779,1982-02-24
0.68668532371521,1982-02-25
0.6836997866630554,1982-02-26
0.6807140707969666,1982-03-01
0.6807140707969666,1982-03-02
0.674743115901947,1982-03-03
0.6657862663269043,1982-03-04
0.6598150134086609,1982-03-05
0.6001034379005432,1982-03-08
0.61801677942276,1982-03-09
0.6508585810661316,1982-03-10
0.6359302997589111,1982-03-11
0.6269740462303162,1982-03-12
0.6329447031021118,1982-03-15
0.6448869705200195,1982-03-16
0.647873044013977,1982-03-17
0.647873044013977,1982-03-18
0.647873044013977,1982-03-19
0.674743115901947,1982-03-22
0.6598150134086609,1982-03-23
0.6568295955657959,1982-03-24
0.6628005504608154,1982-03-25
0.6598150134086609,1982-03-26
0.6568295955657959,1982-03-29
0.6508585810661316,1982-03-30
0.6210023760795593,1982-03-31
0.647873044013977,1982-04-01
0.6657862663269043,1982-04-02
0.6657862663269043,1982-04-05
0.6598150134086609,1982-04-06
0.6568295955657959,1982-04-07
0.6448869705200195,1982-04-08
0.6359302997589111,1982-04-12
0.6419012546539307,1982-04-13
0.647873044013977,1982-04-14
0.6538440585136414,1982-04-15
0.6508585810661316,1982-04-16
0.6568295955657959,1982-04-19
0.674743115901947,1982-04-20
0.68668532371521,1982-04-21
0.7016134262084961,1982-04-22
0.7225130796432495,1982-04-23
0.7434120178222656,1982-04-26
0.7553542256355286,1982-04-27
0.7523682713508606,1982-04-28
0.7374402284622192,1982-04-29
0.7404263615608215,1982-04-30
0.7374402284622192,1982-05-03
0.7553542256355286,1982-05-04
0.764310896396637,1982-05-05
0.7822239995002747,1982-05-06
0.8120800852775574,1982-05-07
0.8031236529350281,1982-05-10
0.8095276355743408,1982-05-11
0.7974439859390259,1982-05-12
0.7914034724235535,1982-05-13
0.7883825898170471,1982-05-14
0.767238438129425,1982-05-17
0.7551559805870056,1982-05-18
0.7491147518157959,1982-05-19
0.7551559805870056,1982-05-20
0.7521352767944336,1982-05-21
0.7460935115814209,1982-05-24
0.7430734634399414,1982-05-25
0.7189083695411682,1982-05-26
0.6947435736656189,1982-05-27
0.6887025833129883,1982-05-28
0.6947435736656189,1982-06-01
0.7007845640182495,1982-06-02
0.7007845640182495,1982-06-03
0.6947435736656189,1982-06-04
0.7007845640182495,1982-06-07
0.6977642178535461,1982-06-08
0.6947435736656189,1982-06-09
0.7038053870201111,1982-06-10
0.7249497175216675,1982-06-11
0.7128670811653137,1982-06-14
0.7098468542098999,1982-06-15
0.7189083695411682,1982-06-16
0.7189083695411682,1982-06-17
0.7189083695411682,1982-06-18
0.7158880233764648,1982-06-21
0.7219289541244507,1982-06-22
0.72797030210495,1982-06-23
0.7249497175216675,1982-06-24
0.7309910655021667,1982-06-25
0.7611969113349915,1982-06-28
0.7702589631080627,1982-06-29
0.7611969113349915,1982-06-30
0.7491147518157959,1982-07-01
0.7400526404380798,1982-07-02
0.7491147518157959,1982-07-06
0.758176326751709,1982-07-07
0.764217734336853,1982-07-08
0.7823418378829956,1982-07-09
0.8185889720916748,1982-07-12
0.8155680894851685,1982-07-13
0.8155680894851685,1982-07-14
0.8155680894851685,1982-07-15
0.8216097950935364,1982-07-16
0.8065064549446106,1982-07-19
0.8216097950935364,1982-07-20
0.8155680894851685,1982-07-21
0.8155680894851685,1982-07-22
0.8125479817390442,1982-07-23
0.8095276355743408,1982-07-26
0.8216097950935364,1982-07-27
0.8155680894851685,1982-07-28
0.8034856915473938,1982-07-29
0.8065064549446106,1982-07-30
0.8276508450508118,1982-08-02
0.8306713700294495,1982-08-03
0.8155680894851685,1982-08-04
0.7914034724235535,1982-08-05
0.7793210744857788,1982-08-06
0.7611969113349915,1982-08-09
0.7676812410354614,1982-08-10
0.7646228671073914,1982-08-11
0.761564314365387,1982-08-12
0.761564314365387,1982-08-13
0.7676812410354614,1982-08-16
0.8319090008735657,1982-08-17
0.8257918953895569,1982-08-18
0.822734534740448,1982-08-19
0.8472023606300354,1982-08-20
0.9053128361701965,1982-08-23
0.8930792808532715,1982-08-24
0.8869628310203552,1982-08-25
0.9053128361701965,1982-08-26
0.8869628310203552,1982-08-27
0.9022547006607056,1982-08-30
0.9267228841781616,1982-08-31
0.9175472855567932,1982-09-01
0.9634249806404114,1982-09-02
0.9787175059318542,1982-09-03
0.9634249806404114,1982-09-07
0.9420145750045776,1982-09-08
0.9603656530380249,1982-09-09
