MMC,Date
0.9335277080535889,1973-02-21
0.9401482343673706,1973-02-22
0.9401482343673706,1973-02-23
0.9202862977981567,1973-02-26
0.8871824741363525,1973-02-27
0.8805615901947021,1973-02-28
0.8342161774635315,1973-03-01
0.8474578261375427,1973-03-02
0.8904923796653748,1973-03-05
0.9202862977981567,1973-03-06
0.9103550314903259,1973-03-07
0.9235970377922058,1973-03-08
0.8904923796653748,1973-03-09
0.8871824741363525,1973-03-12
0.8805615901947021,1973-03-13
0.8772513270378113,1973-03-14
0.8474578261375427,1973-03-15
0.8441475629806519,1973-03-16
0.8507682085037231,1973-03-19
0.8342161774635315,1973-03-20
0.8342161774635315,1973-03-21
0.8242852687835693,1973-03-22
0.820974588394165,1973-03-23
0.8540787696838379,1973-03-26
0.8640095591545105,1973-03-27
0.8772513270378113,1973-03-28
0.8871824741363525,1973-03-29
0.8871824741363525,1973-03-30
0.8706309199333191,1973-04-02
0.8640095591545105,1973-04-03
0.8706309199333191,1973-04-04
0.8706309199333191,1973-04-05
0.8739407658576965,1973-04-06
0.8706309199333191,1973-04-09
0.8573892712593079,1973-04-10
0.9070448279380798,1973-04-11
0.9235970377922058,1973-04-12
0.9235970377922058,1973-04-13
0.9202862977981567,1973-04-16
0.9335277080535889,1973-04-17
0.9335277080535889,1973-04-18
0.9864938259124756,1973-04-19
0.9600099921226501,1973-04-23
0.916975736618042,1973-04-24
0.9004236459732056,1973-04-25
0.9202862977981567,1973-04-26
0.9004236459732056,1973-04-27
0.9235970377922058,1973-04-30
0.9136645793914795,1973-05-01
0.9037342667579651,1973-05-02
0.9136645793914795,1973-05-03
0.9004236459732056,1973-05-04
0.9070448279380798,1973-05-07
0.9136645793914795,1973-05-08
0.8871824741363525,1973-05-09
0.9004236459732056,1973-05-10
0.9401482343673706,1973-05-11
0.9070448279380798,1973-05-14
0.9004236459732056,1973-05-15
0.9037342667579651,1973-05-16
0.9202862977981567,1973-05-17
0.8904923796653748,1973-05-18
0.8871824741363525,1973-05-21
0.9004236459732056,1973-05-22
0.9136645793914795,1973-05-23
0.9335277080535889,1973-05-24
0.9898042678833008,1973-05-25
1.006355881690979,1973-05-29
0.9467692375183105,1973-05-30
0.9533898234367371,1973-05-31
0.9368382096290588,1973-06-01
0.9004236459732056,1973-06-04
0.9136645793914795,1973-06-05
0.9202862977981567,1973-06-06
0.9269070625305176,1973-06-07
0.9401482343673706,1973-06-08
0.9500800371170044,1973-06-11
0.9600099921226501,1973-06-12
0.9401482343673706,1973-06-13
0.9467692375183105,1973-06-14
0.9269070625305176,1973-06-15
0.9202862977981567,1973-06-18
0.8971140384674072,1973-06-19
0.8871824741363525,1973-06-20
0.8805615901947021,1973-06-21
0.8871824741363525,1973-06-22
0.8871824741363525,1973-06-25
0.9070448279380798,1973-06-26
0.9269070625305176,1973-06-27
0.9335277080535889,1973-06-28
0.9401482343673706,1973-06-29
0.9467692375183105,1973-07-02
0.9136645793914795,1973-07-03
0.9368382096290588,1973-07-05
0.9600099921226501,1973-07-06
0.9633212685585022,1973-07-09
0.9997351765632629,1973-07-10
1.0659430027008057,1973-07-11
1.0725642442703247,1973-07-12
1.079184889793396,1973-07-13
1.0858054161071777,1973-07-16
1.1155986785888672,1973-07-17
1.1089777946472168,1973-07-18
1.1222196817398071,1973-07-19
1.1122878789901733,1973-07-20
1.1387711763381958,1973-07-23
1.1122878789901733,1973-07-24
1.1520131826400757,1973-07-25
1.1453919410705566,1973-07-26
1.1487020254135132,1973-07-27
1.1718746423721313,1973-07-30
1.2248421907424927,1973-07-31
1.191737413406372,1973-08-01
1.2016682624816895,1973-08-02
1.1784955263137817,1973-08-03
1.1851171255111694,1973-08-06
1.1950477361679077,1973-08-07
1.1784955263137817,1973-08-08
1.191737413406372,1973-08-09
1.191737413406372,1973-08-10
1.188427209854126,1973-08-13
1.1784955263137817,1973-08-14
1.1652543544769287,1973-08-15
1.1784955263137817,1973-08-16
1.1851171255111694,1973-08-17
1.1851171255111694,1973-08-20
1.1983579397201538,1973-08-21
1.2049789428710938,1973-08-22
1.1983579397201538,1973-08-23
1.191737413406372,1973-08-24
1.1983579397201538,1973-08-27
1.2049789428710938,1973-08-28
1.2215311527252197,1973-08-29
1.26456618309021,1973-08-30
1.3208425045013428,1973-08-31
1.3109116554260254,1973-09-04
1.3175323009490967,1973-09-05
1.3109116554260254,1973-09-06
1.2844277620315552,1973-09-07
1.2844277620315552,1973-09-10
1.26456618309021,1973-09-11
1.261254906654358,1973-09-12
1.26456618309021,1973-09-13
1.2778077125549316,1973-09-14
1.248013973236084,1973-09-17
1.248013973236084,1973-09-18
1.2711865901947021,1973-09-19
1.2711865901947021,1973-09-20
1.2711865901947021,1973-09-21
1.3109116554260254,1973-09-24
1.3274632692337036,1973-09-25
1.3241524696350098,1973-09-26
1.3274632692337036,1973-09-27
1.3274632692337036,1973-09-28
1.3109116554260254,1973-10-01
1.3042906522750854,1973-10-02
1.3042906522750854,1973-10-03
1.3009798526763916,1973-10-04
1.3241524696350098,1973-10-05
1.3241524696350098,1973-10-08
1.3241524696350098,1973-10-09
1.3307737112045288,1973-10-10
1.3241524696350098,1973-10-11
1.3506360054016113,1973-10-12
1.3440148830413818,1973-10-15
1.3307737112045288,1973-10-16
1.3373944759368896,1973-10-17
1.3274632692337036,1973-10-18
1.3274632692337036,1973-10-19
1.3109116554260254,1973-10-22
1.2943594455718994,1973-10-23
1.26456618309021,1973-10-24
1.2215311527252197,1973-10-25
1.2314623594284058,1973-10-26
1.1950477361679077,1973-10-29
