SPY,Date
24.9414005279541,1993-01-29
25.118791580200195,1993-02-01
25.17201042175293,1993-02-02
25.438091278076172,1993-02-03
25.544530868530273,1993-02-04
25.526792526245117,1993-02-05
25.526792526245117,1993-02-08
25.34939193725586,1993-02-09
25.384878158569336,1993-02-10
25.50905990600586,1993-02-11
25.313919067382812,1993-02-12
24.675317764282227,1993-02-16
24.65755844116211,1993-02-17
24.639827728271484,1993-02-18
24.728534698486328,1993-02-19
24.817237854003906,1993-02-22
24.799482345581055,1993-02-23
25.118791580200195,1993-02-24
25.17201042175293,1993-02-25
25.207489013671875,1993-02-26
25.136531829833984,1993-03-01
25.50905990600586,1993-03-02
25.615495681762695,1993-03-03
25.473567962646484,1993-03-04
25.402606964111328,1993-03-05
25.97028350830078,1993-03-08
25.881567001342773,1993-03-09
25.934789657592773,1993-03-10
25.863828659057617,1993-03-11
25.597734451293945,1993-03-12
25.7219181060791,1993-03-15
25.7219181060791,1993-03-16
25.562273025512695,1993-03-17
25.7219181060791,1993-03-18
25.683000564575195,1993-03-19
25.54039764404297,1993-03-22
25.5938720703125,1993-03-23
25.5938720703125,1993-03-24
25.754287719726562,1993-03-25
25.61170196533203,1993-03-26
25.7186336517334,1993-03-29
25.789939880371094,1993-03-30
25.772117614746094,1993-03-31
25.683000564575195,1993-04-01
25.14830780029297,1993-04-02
25.273061752319336,1993-04-05
25.20176124572754,1993-04-06
25.29088592529297,1993-04-07
25.255250930786133,1993-04-08
25.61170196533203,1993-04-12
25.66517448425293,1993-04-13
25.629541397094727,1993-04-14
25.629541397094727,1993-04-15
25.629541397094727,1993-04-16
25.522579193115234,1993-04-19
25.39781951904297,1993-04-20
25.380006790161133,1993-04-21
25.0591983795166,1993-04-22
24.952259063720703,1993-04-23
24.756206512451172,1993-04-26
25.02354621887207,1993-04-27
24.9700870513916,1993-04-28
25.077009201049805,1993-04-29
25.1126651763916,1993-04-30
25.273061752319336,1993-05-03
25.36217498779297,1993-05-04
25.433473587036133,1993-05-05
25.3443660736084,1993-05-06
25.29088592529297,1993-05-07
25.3443660736084,1993-05-10
25.4512939453125,1993-05-11
25.4156551361084,1993-05-12
25.1126651763916,1993-05-13
25.09483528137207,1993-05-14
25.183935165405273,1993-05-17
25.166126251220703,1993-05-18
25.683000564575195,1993-05-19
25.754287719726562,1993-05-20
25.522579193115234,1993-05-21
25.629541397094727,1993-05-24
25.683000564575195,1993-05-25
26.003803253173828,1993-05-26
25.914703369140625,1993-05-27
25.789939880371094,1993-05-28
26.03944969177246,1993-06-01
26.003803253173828,1993-06-02
25.914703369140625,1993-06-03
