MAA,Date
4.001855373382568,1994-01-28
3.9555881023406982,1994-01-31
3.9324567317962646,1994-02-01
3.9324567317962646,1994-02-02
3.978721857070923,1994-02-03
3.909324884414673,1994-02-04
3.9555881023406982,1994-02-07
4.071249961853027,1994-02-08
4.117515563964844,1994-02-09
4.256305694580078,1994-02-10
4.348834991455078,1994-02-11
4.418231010437012,1994-02-14
4.279438495635986,1994-02-15
4.325704574584961,1994-02-16
4.4644951820373535,1994-02-17
4.487627029418945,1994-02-18
4.395097255706787,1994-02-22
4.325704574584961,1994-02-23
4.3025712966918945,1994-02-24
4.233175277709961,1994-02-25
4.1869096755981445,1994-02-28
4.256305694580078,1994-03-01
4.348834991455078,1994-03-02
4.256305694580078,1994-03-03
4.256305694580078,1994-03-04
4.233175277709961,1994-03-07
4.1869096755981445,1994-03-08
4.163778781890869,1994-03-09
4.163778781890869,1994-03-10
4.071249961853027,1994-03-11
4.3025712966918945,1994-03-14
4.233175277709961,1994-03-15
4.325704574584961,1994-03-16
4.348834991455078,1994-03-17
4.3025712966918945,1994-03-18
4.3025712966918945,1994-03-21
4.3025712966918945,1994-03-22
4.325704574584961,1994-03-23
4.441361427307129,1994-03-24
4.395097255706787,1994-03-25
4.348834991455078,1994-03-28
4.3025712966918945,1994-03-29
4.279438495635986,1994-03-30
4.279438495635986,1994-03-31
4.210042953491211,1994-04-04
4.279438495635986,1994-04-05
4.279438495635986,1994-04-06
4.325704574584961,1994-04-07
4.325704574584961,1994-04-08
4.348834991455078,1994-04-11
4.3025712966918945,1994-04-12
4.3025712966918945,1994-04-13
4.325704574584961,1994-04-14
4.395097255706787,1994-04-15
4.325704574584961,1994-04-18
4.279438495635986,1994-04-19
4.233175277709961,1994-04-20
4.325704574584961,1994-04-21
4.441361427307129,1994-04-22
4.441361427307129,1994-04-25
4.490004539489746,1994-04-26
4.560161590576172,1994-04-28
4.560161590576172,1994-04-29
4.606931686401367,1994-05-02
4.583547592163086,1994-05-03
4.6303181648254395,1994-05-04
4.770631790161133,1994-05-05
4.723857402801514,1994-05-06
4.700476169586182,1994-05-09
4.747242450714111,1994-05-10
4.794017314910889,1994-05-11
4.770631790161133,1994-05-12
4.817400932312012,1994-05-13
4.794017314910889,1994-05-16
4.817400932312012,1994-05-17
4.723857402801514,1994-05-18
4.723857402801514,1994-05-19
4.723857402801514,1994-05-20
4.583547592163086,1994-05-23
4.51339054107666,1994-05-24
4.606931686401367,1994-05-25
4.677087306976318,1994-05-26
4.653702735900879,1994-05-27
4.677087306976318,1994-05-31
4.677087306976318,1994-06-01
4.677087306976318,1994-06-02
4.653702735900879,1994-06-03
4.653702735900879,1994-06-06
4.653702735900879,1994-06-07
4.653702735900879,1994-06-08
4.677087306976318,1994-06-09
4.677087306976318,1994-06-10
4.723857402801514,1994-06-13
4.723857402801514,1994-06-14
4.794017314910889,1994-06-15
4.910942077636719,1994-06-16
4.8875579833984375,1994-06-17
4.934330463409424,1994-06-20
4.981098651885986,1994-06-21
4.981098651885986,1994-06-22
4.934330463409424,1994-06-23
4.864171981811523,1994-06-24
4.8875579833984375,1994-06-27
4.864171981811523,1994-06-28
4.770631790161133,1994-06-29
4.677087306976318,1994-06-30
4.677087306976318,1994-07-01
4.677087306976318,1994-07-05
4.653702735900879,1994-07-06
4.6303181648254395,1994-07-07
4.6303181648254395,1994-07-08
4.560161590576172,1994-07-11
4.6303181648254395,1994-07-12
4.794017314910889,1994-07-13
4.864171981811523,1994-07-14
4.981098651885986,1994-07-15
4.995370388031006,1994-07-18
4.971584320068359,1994-07-19
4.924009323120117,1994-07-20
4.9002203941345215,1994-07-21
4.9002203941345215,1994-07-22
4.9002203941345215,1994-07-25
4.852649688720703,1994-07-26
4.805070877075195,1994-07-27
4.73370885848999,1994-07-28
4.662348747253418,1994-07-29
4.73370885848999,1994-08-01
4.709923267364502,1994-08-02
4.757497310638428,1994-08-03
4.781285762786865,1994-08-04
4.852649688720703,1994-08-05
4.852649688720703,1994-08-08
4.805070877075195,1994-08-09
4.805070877075195,1994-08-10
4.828858375549316,1994-08-11
4.9002203941345215,1994-08-12
4.757497310638428,1994-08-15
4.781285762786865,1994-08-16
4.805070877075195,1994-08-17
4.73370885848999,1994-08-18
4.662348747253418,1994-08-19
4.614770889282227,1994-08-22
4.638561248779297,1994-08-23
4.662348747253418,1994-08-24
4.709923267364502,1994-08-25
4.757497310638428,1994-08-26
4.757497310638428,1994-08-29
4.757497310638428,1994-08-30
4.662348747253418,1994-08-31
4.662348747253418,1994-09-01
4.662348747253418,1994-09-02
4.662348747253418,1994-09-06
4.662348747253418,1994-09-07
4.638561248779297,1994-09-08
4.73370885848999,1994-09-09
4.709923267364502,1994-09-12
4.73370885848999,1994-09-13
4.709923267364502,1994-09-14
4.73370885848999,1994-09-15
4.73370885848999,1994-09-16
4.73370885848999,1994-09-19
4.709923267364502,1994-09-20
4.686136245727539,1994-09-21
4.686136245727539,1994-09-22
4.686136245727539,1994-09-23
4.686136245727539,1994-09-26
4.662348747253418,1994-09-27
4.686136245727539,1994-09-28
4.686136245727539,1994-09-29
4.686136245727539,1994-09-30
