STX,Date
5.499757766723633,2002-12-11
5.346719741821289,2002-12-12
5.4614973068237305,2002-12-13
5.552364349365234,2002-12-16
5.499757766723633,2002-12-17
5.3562846183776855,2002-12-18
5.1458611488342285,2002-12-19
5.169774055480957,2002-12-20
4.973692893981934,2002-12-23
4.8971757888793945,2002-12-24
4.7967448234558105,2002-12-26
4.844568729400635,2002-12-27
5.007169723510742,2002-12-30
5.1315107345581055,2002-12-31
5.021517753601074,2003-01-02
5.141076564788818,2003-01-03
5.46627950668335,2003-01-06
5.858435153961182,2003-01-07
5.834524631500244,2003-01-08
6.025819301605225,2003-01-09
5.308462142944336,2003-01-10
4.892392158508301,2003-01-13
4.901956081390381,2003-01-14
5.150641441345215,2003-01-15
5.26541805267334,2003-01-16
5.164987564086914,2003-01-17
4.8971757888793945,2003-01-21
4.552844047546387,2003-01-22
4.782398700714111,2003-01-23
4.758485794067383,2003-01-24
4.471540927886963,2003-01-27
4.495452880859375,2003-01-28
4.6532721519470215,2003-01-29
4.495452880859375,2003-01-30
4.390241622924805,2003-01-31
4.3854570388793945,2003-02-03
4.328071594238281,2003-02-04
4.328071594238281,2003-02-05
4.328071594238281,2003-02-06
4.304159641265869,2003-02-07
4.160685062408447,2003-02-10
4.2706804275512695,2003-02-11
4.001963138580322,2003-02-12
3.8676068782806396,2003-02-13
4.030755043029785,2003-02-14
4.193904876708984,2003-02-18
4.313868045806885,2003-02-19
4.3234639167785645,2003-02-20
4.414637088775635,2003-02-21
4.318665981292725,2003-02-24
4.64496374130249,2003-02-25
4.568188667297363,2003-02-26
4.534599781036377,2003-02-27
4.4482269287109375,2003-02-28
4.462621212005615,2003-03-03
4.4482269287109375,2003-03-04
4.457823276519775,2003-03-05
4.596980094909668,2003-03-06
4.654562473297119,2003-03-07
4.683353900909424,2003-03-10
4.58258581161499,2003-03-11
4.333061695098877,2003-03-12
4.342658042907715,2003-03-13
4.299472332000732,2003-03-14
4.4866132736206055,2003-03-17
4.577786445617676,2003-03-18
4.481814861297607,2003-03-19
4.529799938201904,2003-03-20
4.702548503875732,2003-03-21
4.58258581161499,2003-03-24
4.79851770401001,2003-03-25
4.846503257751465,2003-03-26
5.220786094665527,2003-03-27
4.966466426849365,2003-03-28
4.952069282531738,2003-03-31
5.072033882141113,2003-04-01
5.1536078453063965,2003-04-02
5.144011497497559,2003-04-03
4.928078651428223,2003-04-04
4.947271347045898,2003-04-07
5.048040390014648,2003-04-08
5.144011497497559,2003-04-09
5.1967949867248535,2003-04-10
5.254375457763672,2003-04-11
5.302360534667969,2003-04-14
5.494302749633789,2003-04-15
5.710237979888916,2003-04-16
5.878182888031006,2003-04-17
5.882983207702637,2003-04-21
5.926168441772461,2003-04-22
5.638258934020996,2003-04-23
5.518293857574463,2003-04-24
5.451115131378174,2003-04-25
5.508698463439941,2003-04-28
5.777415752410889,2003-04-29
5.801407337188721,2003-04-30
5.878182888031006,2003-05-01
5.897377014160156,2003-05-02
6.0173420906066895,2003-05-05
5.998149394989014,2003-05-06
6.108779430389404,2003-05-07
6.118398666381836,2003-05-08
6.055868625640869,2003-05-09
6.426241397857666,2003-05-12
6.7004170417785645,2003-05-13
