INFY,Date
0.483835369348526,1999-03-11
0.48125505447387695,1999-03-12
0.43738678097724915,1999-03-15
0.433516263961792,1999-03-16
0.4360966682434082,1999-03-17
0.4438381493091583,1999-03-18
0.433516263961792,1999-03-19
0.4360966682434082,1999-03-22
0.41674327850341797,1999-03-23
0.4206142723560333,1999-03-24
0.4360966682434082,1999-03-25
0.4683522582054138,1999-03-26
0.4735136032104492,1999-03-29
0.4683522582054138,1999-03-30
0.44512829184532166,1999-03-31
0.43093588948249817,1999-04-01
0.4489993155002594,1999-04-05
0.43029049038887024,1999-04-06
0.4438381493091583,1999-04-07
0.46190145611763,1999-04-08
0.45416000485420227,1999-04-09
0.45222440361976624,1999-04-12
0.43222615122795105,1999-04-13
0.43222615122795105,1999-04-14
0.43222615122795105,1999-04-15
0.4489993155002594,1999-04-16
0.433516263961792,1999-04-19
0.41545289754867554,1999-04-20
0.41287267208099365,1999-04-21
0.44641855359077454,1999-04-22
0.4399678111076355,1999-04-23
0.4348064064979553,1999-04-26
0.41287267208099365,1999-04-27
0.41287267208099365,1999-04-28
0.41545289754867554,1999-04-29
0.4264202415943146,1999-04-30
0.433516263961792,1999-05-03
0.42964595556259155,1999-05-04
0.4341617524623871,1999-05-05
0.44254806637763977,1999-05-06
0.4554500877857208,1999-05-07
0.44254806637763977,1999-05-10
0.4399678111076355,1999-05-11
0.4438381493091583,1999-05-12
0.45416000485420227,1999-05-13
0.45157966017723083,1999-05-14
0.448354035615921,1999-05-17
0.433516263961792,1999-05-18
0.4438381493091583,1999-05-19
0.4709329605102539,1999-05-20
0.4760938584804535,1999-05-21
0.48899582028388977,1999-05-24
0.5122203826904297,1999-05-25
0.5199612379074097,1999-05-26
0.5109302401542664,1999-05-27
0.5135106444358826,1999-05-28
0.516277551651001,1999-06-01
0.5149869918823242,1999-06-02
0.5111150145530701,1999-06-03
0.5124056339263916,1999-06-04
0.5343472957611084,1999-06-07
0.5795215368270874,1999-06-08
0.5085332989692688,1999-06-09
0.5472541451454163,1999-06-10
0.5485447645187378,1999-06-11
0.558225154876709,1999-06-14
0.5356380343437195,1999-06-15
0.557579755783081,1999-06-16
0.5730684995651245,1999-06-17
0.6221141219139099,1999-06-18
0.6156610250473022,1999-06-21
0.5730684995651245,1999-06-22
0.6053357124328613,1999-06-23
0.5988818407058716,1999-06-24
0.6130794286727905,1999-06-25
0.5988818407058716,1999-06-28
0.6001725196838379,1999-06-29
0.5988818407058716,1999-06-30
