AJRD,Date
1.612608790397644,1981-02-02
1.6332828998565674,1981-02-03
1.6436206102371216,1981-02-04
1.6953070163726807,1981-02-05
1.7159814834594727,1981-02-06
1.6953070163726807,1981-02-09
1.757330060005188,1981-02-10
1.7780040502548218,1981-02-11
1.7676674127578735,1981-02-12
1.7159814834594727,1981-02-13
1.7366548776626587,1981-02-17
1.8090163469314575,1981-02-18
1.7366548776626587,1981-02-19
1.757330060005188,1981-02-20
1.7780040502548218,1981-02-23
1.8400284051895142,1981-02-24
1.8090163469314575,1981-02-25
1.8503656387329102,1981-02-26
1.860702395439148,1981-02-27
1.860702395439148,1981-03-02
1.7780040502548218,1981-03-03
1.8400284051895142,1981-03-04
1.8090163469314575,1981-03-05
1.8090163469314575,1981-03-06
1.8503656387329102,1981-03-09
1.9330631494522095,1981-03-10
1.9227266311645508,1981-03-11
1.9744112491607666,1981-03-12
1.9330631494522095,1981-03-13
2.0260980129241943,1981-03-16
1.9744112491607666,1981-03-17
2.015761375427246,1981-03-18
2.0364346504211426,1981-03-19
2.0674474239349365,1981-03-20
2.077784299850464,1981-03-23
2.0054235458374023,1981-03-24
2.015761375427246,1981-03-25
2.057109832763672,1981-03-26
2.057109832763672,1981-03-27
2.015761375427246,1981-03-30
2.0054235458374023,1981-03-31
2.077784299850464,1981-04-01
2.1087965965270996,1981-04-02
2.0674474239349365,1981-04-03
2.015761375427246,1981-04-06
1.9744112491607666,1981-04-07
1.912387728691101,1981-04-08
2.057109832763672,1981-04-09
2.0364346504211426,1981-04-10
2.0260980129241943,1981-04-13
1.953737735748291,1981-04-14
2.0260980129241943,1981-04-15
2.057109832763672,1981-04-16
2.057109832763672,1981-04-20
2.057109832763672,1981-04-21
2.0881214141845703,1981-04-22
2.0364346504211426,1981-04-23
2.057109832763672,1981-04-24
2.057109832763672,1981-04-27
2.057109832763672,1981-04-28
2.015761375427246,1981-04-29
1.9744112491607666,1981-04-30
2.015761375427246,1981-05-01
1.9330631494522095,1981-05-04
1.953737735748291,1981-05-05
1.9640744924545288,1981-05-06
2.0054235458374023,1981-05-07
2.0054235458374023,1981-05-08
1.953737735748291,1981-05-11
1.953737735748291,1981-05-12
1.9640744924545288,1981-05-13
2.057109832763672,1981-05-14
2.057109832763672,1981-05-15
2.057109832763672,1981-05-18
2.015761375427246,1981-05-19
2.098459005355835,1981-05-20
2.13980770111084,1981-05-21
2.13980770111084,1981-05-22
2.16048264503479,1981-05-26
2.16048264503479,1981-05-27
2.1708199977874756,1981-05-28
2.2328426837921143,1981-05-29
2.2328426837921143,1981-06-01
2.2431800365448,1981-06-02
2.2431800365448,1981-06-03
2.2535171508789062,1981-06-04
2.263855218887329,1981-06-05
2.2741918563842773,1981-06-08
2.284528970718384,1981-06-09
2.2741918563842773,1981-06-10
2.2741918563842773,1981-06-11
2.3258774280548096,1981-06-12
2.3258774280548096,1981-06-15
2.3258774280548096,1981-06-16
2.3052029609680176,1981-06-17
2.2741918563842773,1981-06-18
2.2741918563842773,1981-06-19
2.3155410289764404,1981-06-22
2.3465516567230225,1981-06-23
2.356889486312866,1981-06-24
2.3465516567230225,1981-06-25
2.356889486312866,1981-06-26
2.356889486312866,1981-06-29
2.3465516567230225,1981-06-30
2.3258774280548096,1981-07-01
2.263855218887329,1981-07-02
2.2741918563842773,1981-07-06
2.263855218887329,1981-07-07
2.263855218887329,1981-07-08
2.263855218887329,1981-07-09
2.222505807876587,1981-07-10
2.2018306255340576,1981-07-13
2.2018306255340576,1981-07-14
2.1708199977874756,1981-07-15
2.1708199977874756,1981-07-16
