ADM,Date
0.9536334872245789,1980-03-17
0.9841147065162659,1980-03-18
0.9971780776977539,1980-03-19
1.0233042240142822,1980-03-20
0.9971780776977539,1980-03-21
0.9710504412651062,1980-03-24
0.9318605661392212,1980-03-25
0.8926699161529541,1980-03-26
0.8708977699279785,1980-03-27
0.9536334872245789,1980-03-28
0.9971780776977539,1980-03-31
1.0320137739181519,1980-04-01
1.0102413892745972,1980-04-02
0.9971780776977539,1980-04-03
0.9666961431503296,1980-04-07
0.9797601103782654,1980-04-08
0.9710504412651062,1980-04-09
1.005886435508728,1980-04-10
1.0145957469940186,1980-04-11
1.005886435508728,1980-04-14
1.0015325546264648,1980-04-15
0.9623416662216187,1980-04-16
0.9405696392059326,1980-04-17
0.9405696392059326,1980-04-18
0.9057331085205078,1980-04-21
1.0102413892745972,1980-04-22
0.9579873085021973,1980-04-23
0.9884687066078186,1980-04-24
1.0102413892745972,1980-04-25
1.0537855625152588,1980-04-28
1.0537855625152588,1980-04-29
1.0973312854766846,1980-04-30
1.0712040662765503,1980-05-01
1.0886218547821045,1980-05-02
1.1321672201156616,1980-05-05
1.158293604850769,1980-05-06
1.188774824142456,1980-05-07
1.1757118701934814,1980-05-08
1.1670030355453491,1980-05-09
1.2018394470214844,1980-05-12
1.2061924934387207,1980-05-13
1.188774824142456,1980-05-14
1.16264808177948,1980-05-15
1.1452299356460571,1980-05-16
1.158293604850769,1980-05-19
1.1539393663406372,1980-05-20
1.1539393663406372,1980-05-21
1.188774824142456,1980-05-22
1.2018394470214844,1980-05-23
1.2366743087768555,1980-05-27
1.2628012895584106,1980-05-28
1.1931298971176147,1980-05-29
1.1800661087036133,1980-05-30
1.2105478048324585,1980-06-02
1.2149027585983276,1980-06-03
1.2453837394714355,1980-06-04
1.188774824142456,1980-06-05
1.2149027585983276,1980-06-06
1.2149027585983276,1980-06-09
1.2105478048324585,1980-06-10
1.2149027585983276,1980-06-11
1.1931298971176147,1980-06-12
1.2149027585983276,1980-06-13
1.2149027585983276,1980-06-16
1.1931298971176147,1980-06-17
1.158293604850769,1980-06-18
1.1757118701934814,1980-06-19
1.171357274055481,1980-06-20
1.1844202280044556,1980-06-23
1.2366743087768555,1980-06-24
1.241028904914856,1980-06-25
1.232319951057434,1980-06-26
1.2149027585983276,1980-06-27
1.1670030355453491,1980-06-30
1.1844202280044556,1980-07-01
1.2105478048324585,1980-07-02
1.1800661087036133,1980-07-03
1.2061924934387207,1980-07-07
1.1757118701934814,1980-07-08
1.1800661087036133,1980-07-09
1.16264808177948,1980-07-10
1.1365220546722412,1980-07-11
1.1147490739822388,1980-07-14
1.1670030355453491,1980-07-15
1.1670030355453491,1980-07-16
1.1844202280044556,1980-07-17
1.1670030355453491,1980-07-18
1.158293604850769,1980-07-21
1.1408759355545044,1980-07-22
1.0842678546905518,1980-07-23
1.0799129009246826,1980-07-24
1.0886218547821045,1980-07-25
1.1495858430862427,1980-07-28
1.1844202280044556,1980-07-29
1.1408759355545044,1980-07-30
1.1278128623962402,1980-07-31
1.1408759355545044,1980-08-01
1.0842678546905518,1980-08-04
1.1147490739822388,1980-08-05
1.1452299356460571,1980-08-06
1.1757118701934814,1980-08-07
1.158293604850769,1980-08-08
1.16264808177948,1980-08-11
1.123457908630371,1980-08-12
1.1103951930999756,1980-08-13
1.158293604850769,1980-08-14
1.1844202280044556,1980-08-15
1.1321672201156616,1980-08-18
1.16264808177948,1980-08-19
1.2105478048324585,1980-08-20
1.219257116317749,1980-08-21
1.219257116317749,1980-08-22
1.1931298971176147,1980-08-25
1.219257116317749,1980-08-26
1.2018394470214844,1980-08-27
1.1931298971176147,1980-08-28
1.2018394470214844,1980-08-29
1.1539393663406372,1980-09-02
1.1800661087036133,1980-09-03
1.171357274055481,1980-09-04
1.1670030355453491,1980-09-05
1.1365220546722412,1980-09-08
1.1452299356460571,1980-09-09
1.1408759355545044,1980-09-10
1.1495858430862427,1980-09-11
1.241028904914856,1980-09-12
1.2802199125289917,1980-09-15
1.3411822319030762,1980-09-16
1.349891185760498,1980-09-17
1.3194104433059692,1980-09-18
1.3237640857696533,1980-09-19
1.3281197547912598,1980-09-22
1.2802199125289917,1980-09-23
1.2758653163909912,1980-09-24
1.2889289855957031,1980-09-25
1.2758653163909912,1980-09-26
1.2061924934387207,1980-09-29
1.2453837394714355,1980-09-30
1.2889289855957031,1980-10-01
1.3150562047958374,1980-10-02
1.3150562047958374,1980-10-03
1.354245662689209,1980-10-06
1.3716630935668945,1980-10-07
1.4369810819625854,1980-10-08
1.4500447511672974,1980-10-09
1.4282718896865845,1980-10-10
1.4500447511672974,1980-10-13
1.406498908996582,1980-10-14
1.4456897974014282,1980-10-15
1.406498908996582,1980-10-16
1.406498908996582,1980-10-17
1.4239178895950317,1980-10-20
1.3847270011901855,1980-10-21
1.3760188817977905,1980-10-22
1.349891185760498,1980-10-23
1.3673099279403687,1980-10-24
1.3716630935668945,1980-10-27
1.3670926094055176,1980-10-28
1.3442310094833374,1980-10-29
1.325942039489746,1980-10-30
1.35337495803833,1980-10-31
1.4082423448562622,1980-11-03
1.4311027526855469,1980-11-05
1.3990978002548218,1980-11-06
1.3716630935668945,1980-11-07
1.3716630935668945,1980-11-10
1.3899524211883545,1980-11-11
1.4265308380126953,1980-11-12
1.4311027526855469,1980-11-13
1.3945245742797852,1980-11-14
1.3990978002548218,1980-11-17
1.4173858165740967,1980-11-18
1.4493910074234009,1980-11-19
1.5316909551620483,1980-11-20
1.4813973903656006,1980-11-21
1.5134025812149048,1980-11-24
