NWS,Date
13.872678756713867,2013-06-19
13.792281150817871,2013-06-20
14.113865852355957,2013-06-21
13.86374568939209,2013-06-24
13.98880386352539,2013-06-25
13.819082260131836,2013-06-26
13.729754447937012,2013-06-27
13.738687515258789,2013-06-28
13.283112525939941,2013-07-01
13.39030647277832,2013-07-02
13.372438430786133,2013-07-03
13.94414234161377,2013-07-05
14.310389518737793,2013-07-08
14.051335334777832,2013-07-09
13.801216125488281,2013-07-10
13.58682918548584,2013-07-11
13.39030647277832,2013-07-12
13.220582962036133,2013-07-15
13.74761962890625,2013-07-16
14.310389518737793,2013-07-17
13.935210227966309,2013-07-18
14.399717330932617,2013-07-19
14.203193664550781,2013-07-22
14.158530235290527,2013-07-23
14.221060752868652,2013-07-24
14.078134536743164,2013-07-25
14.372918128967285,2013-07-26
14.033469200134277,2013-07-29
14.417577743530273,2013-07-30
14.372918128967285,2013-07-31
14.640902519226074,2013-08-01
14.739164352416992,2013-08-02
14.480112075805664,2013-08-05
14.640902519226074,2013-08-06
14.435447692871094,2013-08-07
14.631967544555664,2013-08-08
14.50691032409668,2013-08-09
14.390783309936523,2013-08-12
14.337185859680176,2013-08-13
14.453312873840332,2013-08-14
14.578374862670898,2013-08-15
14.462246894836426,2013-08-16
14.194263458251953,2013-08-19
14.185327529907227,2013-08-20
14.238923072814941,2013-08-21
14.185327529907227,2013-08-22
14.221060752868652,2013-08-23
14.346116065979004,2013-08-26
14.238923072814941,2013-08-27
14.265725135803223,2013-08-28
14.25678825378418,2013-08-29
14.149599075317383,2013-08-30
14.292523384094238,2013-09-03
14.480112075805664,2013-09-04
14.640902519226074,2013-09-05
14.59623908996582,2013-09-06
14.730230331420898,2013-09-09
14.935684204101562,2013-09-10
15.364461898803711,2013-09-11
15.453787803649902,2013-09-12
15.284066200256348,2013-09-13
15.337657928466797,2013-09-16
15.38232707977295,2013-09-17
15.409123420715332,2013-09-18
15.301928520202637,2013-09-19
15.10540771484375,2013-09-20
14.998218536376953,2013-09-23
15.480588912963867,2013-09-24
15.26620101928711,2013-09-25
14.891020774841309,2013-09-26
14.792757987976074,2013-09-27
14.676633834838867,2013-09-30
14.551575660705566,2013-10-01
14.730230331420898,2013-10-02
14.533708572387695,2013-10-03
14.533708572387695,2013-10-04
14.533708572387695,2013-10-07
14.497973442077637,2013-10-08
14.59623908996582,2013-10-09
14.873154640197754,2013-10-10
15.114343643188477,2013-10-11
15.239398956298828,2013-10-14
15.328729629516602,2013-10-15
15.418058395385742,2013-10-16
15.418058395385742,2013-10-17
15.471654891967773,2013-10-18
15.453787803649902,2013-10-21
15.587782859802246,2013-10-22
15.623515129089355,2013-10-23
15.82896614074707,2013-10-24
15.686040878295898,2013-10-25
15.793233871459961,2013-10-28
15.962961196899414,2013-10-29
15.855769157409668,2013-10-30
16.016557693481445,2013-10-31
16.177349090576172,2013-11-01
16.19521141052246,2013-11-04
16.16841697692871,2013-11-05
15.873634338378906,2013-11-06
15.730705261230469,2013-11-07
16.025489807128906,2013-11-08
15.882563591003418,2013-11-11
15.623515129089355,2013-11-12
15.659244537353516,2013-11-13
15.641372680664062,2013-11-14
16.096952438354492,2013-11-15
15.80217456817627,2013-11-18
15.83790111541748,2013-11-19
15.945096015930176,2013-11-20
15.900432586669922,2013-11-21
15.820029258728027,2013-11-22
15.730705261230469,2013-11-25
15.864694595336914,2013-11-26
15.98082160949707,2013-11-27
16.052288055419922,2013-11-29
15.775368690490723,2013-12-02
15.659244537353516,2013-12-03
15.63244915008545,2013-12-04
15.516321182250977,2013-12-05
15.50738525390625,2013-12-06
15.50738525390625,2013-12-09
15.63244915008545,2013-12-10
15.605649948120117,2013-12-11
15.498449325561523,2013-12-12
15.63244915008545,2013-12-13
15.74857234954834,2013-12-16
15.373391151428223,2013-12-17
15.498449325561523,2013-12-18
15.373391151428223,2013-12-19
15.703907012939453,2013-12-20
15.882563591003418,2013-12-23
15.918298721313477,2013-12-24
15.811102867126465,2013-12-26
15.793233871459961,2013-12-27
15.855769157409668,2013-12-30
15.927229881286621,2013-12-31
15.98082160949707,2014-01-02
15.83790111541748,2014-01-03
15.677109718322754,2014-01-06
15.471654891967773,2014-01-07
15.400192260742188,2014-01-08
15.453787803649902,2014-01-09
15.489523887634277,2014-01-10
15.257267951965332,2014-01-13
15.400192260742188,2014-01-14
15.319796562194824,2014-01-15
15.221534729003906,2014-01-16
15.203668594360352,2014-01-17
14.971417427062988,2014-01-21
14.891020774841309,2014-01-22
14.783825874328613,2014-01-23
14.426514625549316,2014-01-24
14.426514625549316,2014-01-27
14.301456451416016,2014-01-28
14.221060752868652,2014-01-29
14.113865852355957,2014-01-30
13.94414234161377,2014-01-31
13.46176815032959,2014-02-03
13.46176815032959,2014-02-04
13.676158905029297,2014-02-05
13.98880386352539,2014-02-06
15.18580436706543,2014-02-07
15.319796562194824,2014-02-10
15.63244915008545,2014-02-11
15.453787803649902,2014-02-12
15.418058395385742,2014-02-13
15.38232707977295,2014-02-14
15.444857597351074,2014-02-18
15.409123420715332,2014-02-19
15.284066200256348,2014-02-20
15.38232707977295,2014-02-21
15.63244915008545,2014-02-24
15.739639282226562,2014-02-25
15.71284294128418,2014-02-26
15.775368690490723,2014-02-27
15.98082160949707,2014-02-28
15.811102867126465,2014-03-03
15.98082160949707,2014-03-04
15.98082160949707,2014-03-05
15.954026222229004,2014-03-06
15.668176651000977,2014-03-07
15.614582061767578,2014-03-10
15.516321182250977,2014-03-11
15.63244915008545,2014-03-12
15.248335838317871,2014-03-13
15.230467796325684,2014-03-14
15.257267951965332,2014-03-17
15.498449325561523,2014-03-18
15.400192260742188,2014-03-19
15.284066200256348,2014-03-20
15.194737434387207,2014-03-21
15.150070190429688,2014-03-24
15.042879104614258,2014-03-25
14.757031440734863,2014-03-26
14.739164352416992,2014-03-27
14.774896621704102,2014-03-28
14.917820930480957,2014-03-31
15.123274803161621,2014-04-01
15.141142845153809,2014-04-02
14.908886909484863,2014-04-03
