PRDO,Date
2.3601605892181396,1998-01-29
2.452115058898926,1998-01-30
2.4061379432678223,1998-02-02
2.3295092582702637,1998-02-03
2.3295092582702637,1998-02-04
2.2988576889038086,1998-02-05
2.2375550270080566,1998-02-06
2.2682065963745117,1998-02-09
2.275869846343994,1998-02-10
2.4367892742156982,1998-02-11
2.390812397003174,1998-02-12
2.4061379432678223,1998-02-13
2.482766628265381,1998-02-17
2.4980921745300293,1998-02-18
2.5593950748443604,1998-02-19
2.5593950748443604,1998-02-20
2.574720621109009,1998-02-23
2.605372428894043,1998-02-24
2.6206979751586914,1998-02-25
2.6206979751586914,1998-02-26
2.6513493061065674,1998-02-27
2.6206979751586914,1998-03-02
2.574720621109009,1998-03-03
2.544069290161133,1998-03-04
2.4214634895324707,1998-03-05
2.4674408435821533,1998-03-06
2.482766628265381,1998-03-09
2.513418197631836,1998-03-10
2.544069290161133,1998-03-11
2.574720621109009,1998-03-12
2.5900466442108154,1998-03-13
2.574720621109009,1998-03-16
2.574720621109009,1998-03-17
2.605372428894043,1998-03-18
2.6206979751586914,1998-03-19
2.605372428894043,1998-03-20
2.6206979751586914,1998-03-23
2.544069290161133,1998-03-24
2.636023759841919,1998-03-25
2.544069290161133,1998-03-26
2.5287437438964844,1998-03-27
2.697326421737671,1998-03-30
2.697326421737671,1998-03-31
2.666675090789795,1998-04-01
2.727978229522705,1998-04-02
2.6820008754730225,1998-04-03
2.689664363861084,1998-04-06
2.697326421737671,1998-04-07
2.881235361099243,1998-04-08
2.7739551067352295,1998-04-09
2.758629560470581,1998-04-13
2.7739551067352295,1998-04-14
2.819932222366333,1998-04-15
2.819932222366333,1998-04-16
2.8352580070495605,1998-04-17
2.850583791732788,1998-04-20
2.8046066761016846,1998-04-21
2.8046066761016846,1998-04-22
2.8046066761016846,1998-04-23
2.7739551067352295,1998-04-24
2.7739551067352295,1998-04-27
2.7739551067352295,1998-04-28
2.758629560470581,1998-04-29
2.789280891418457,1998-04-30
2.7739551067352295,1998-05-01
2.942538261413574,1998-05-04
2.9272124767303467,1998-05-05
2.97318959236145,1998-05-06
3.003840923309326,1998-05-07
3.0957953929901123,1998-05-08
3.1877496242523193,1998-05-11
3.3103554248809814,1998-05-12
3.264378070831299,1998-05-13
3.2490522861480713,1998-05-14
3.141772508621216,1998-05-15
3.141772508621216,1998-05-18
3.1494357585906982,1998-05-19
3.1494357585906982,1998-05-20
3.141772508621216,1998-05-21
3.141772508621216,1998-05-22
3.141772508621216,1998-05-26
3.0804696083068848,1998-05-27
3.0651440620422363,1998-05-28
3.0651440620422363,1998-05-29
3.034492254257202,1998-06-01
3.003840923309326,1998-06-02
3.003840923309326,1998-06-03
3.003840923309326,1998-06-04
2.942538261413574,1998-06-05
2.850583791732788,1998-06-08
2.881235361099243,1998-06-09
2.789280891418457,1998-06-10
2.789280891418457,1998-06-11
2.785449743270874,1998-06-12
2.819932222366333,1998-06-15
2.819932222366333,1998-06-16
2.9578638076782227,1998-06-17
2.9578638076782227,1998-06-18
2.942538261413574,1998-06-19
2.942538261413574,1998-06-22
2.942538261413574,1998-06-23
3.0804696083068848,1998-06-24
3.003840923309326,1998-06-25
3.0957953929901123,1998-06-26
3.003840923309326,1998-06-29
3.003840923309326,1998-06-30
3.034492254257202,1998-07-01
3.034492254257202,1998-07-02
3.003840923309326,1998-07-06
3.003840923309326,1998-07-07
3.003840923309326,1998-07-08
3.003840923309326,1998-07-09
3.0651440620422363,1998-07-10
3.0957953929901123,1998-07-13
3.0957953929901123,1998-07-14
3.0804696083068848,1998-07-15
3.203075408935547,1998-07-16
3.2490522861480713,1998-07-17
3.2490522861480713,1998-07-20
3.1877496242523193,1998-07-21
3.172423839569092,1998-07-22
3.0191667079925537,1998-07-23
3.0728070735931396,1998-07-24
3.0728070735931396,1998-07-27
3.0498180389404297,1998-07-28
3.2184011936187744,1998-07-29
3.0651440620422363,1998-07-30
3.0498180389404297,1998-07-31
3.1111209392547607,1998-08-03
2.881235361099243,1998-08-04
2.881235361099243,1998-08-05
2.8965609073638916,1998-08-06
2.97318959236145,1998-08-07
2.97318959236145,1998-08-10
2.881235361099243,1998-08-11
2.881235361099243,1998-08-12
2.881235361099243,1998-08-13
2.881235361099243,1998-08-14
2.881235361099243,1998-08-17
2.942538261413574,1998-08-18
2.881235361099243,1998-08-19
2.904224395751953,1998-08-20
2.881235361099243,1998-08-21
2.819932222366333,1998-08-24
2.819932222366333,1998-08-25
2.819932222366333,1998-08-26
2.7356412410736084,1998-08-27
2.7356412410736084,1998-08-28
2.697326421737671,1998-08-31
2.513418197631836,1998-09-01
2.697326421737671,1998-09-02
2.636023759841919,1998-09-03
2.6820008754730225,1998-09-04
2.6820008754730225,1998-09-08
2.7433037757873535,1998-09-09
2.789280891418457,1998-09-10
2.7356412410736084,1998-09-11
2.7739551067352295,1998-09-14
2.789280891418457,1998-09-15
2.819932222366333,1998-09-16
2.8046066761016846,1998-09-17
2.8046066761016846,1998-09-18
2.789280891418457,1998-09-21
2.789280891418457,1998-09-22
2.8046066761016846,1998-09-23
2.8046066761016846,1998-09-24
2.697326421737671,1998-09-25
2.666675090789795,1998-09-28
2.6820008754730225,1998-09-29
2.6820008754730225,1998-09-30
2.574720621109009,1998-10-01
2.482766628265381,1998-10-02
2.4751038551330566,1998-10-05
2.390812397003174,1998-10-06
2.1149492263793945,1998-10-07
1.7318062782287598,1998-10-08
1.8084348440170288,1998-10-09
2.0536465644836426,1998-10-12
1.9770177602767944,1998-10-13
1.9770177602767944,1998-10-14
2.605372428894043,1998-10-15
2.666675090789795,1998-10-16
2.8352580070495605,1998-10-19
2.758629560470581,1998-10-20
2.727978229522705,1998-10-21
2.513418197631836,1998-10-22
2.4597785472869873,1998-10-23
2.636023759841919,1998-10-26
2.819932222366333,1998-10-27
2.850583791732788,1998-10-28
2.8352580070495605,1998-10-29
3.003840923309326,1998-10-30
3.034492254257202,1998-11-02
3.1187844276428223,1998-11-03
3.1877496242523193,1998-11-04
3.172423839569092,1998-11-05
3.203075408935547,1998-11-06
3.203075408935547,1998-11-09
3.3103554248809814,1998-11-10
3.3716580867767334,1998-11-11
3.2490522861480713,1998-11-12
3.203075408935547,1998-11-13
3.3410069942474365,1998-11-16
3.3410069942474365,1998-11-17
3.3103554248809814,1998-11-18
3.318018674850464,1998-11-19
3.3639957904815674,1998-11-20
3.356332540512085,1998-11-23
3.3716580867767334,1998-11-24
3.3410069942474365,1998-11-25
3.3410069942474365,1998-11-27
3.3410069942474365,1998-11-30
3.386983871459961,1998-12-01
3.3410069942474365,1998-12-02
3.4023094177246094,1998-12-03
3.4023094177246094,1998-12-04
3.4329612255096436,1998-12-07
3.417635440826416,1998-12-08
3.448286771774292,1998-12-09
3.4023094177246094,1998-12-10
3.448286771774292,1998-12-11
3.448286771774292,1998-12-14
3.1877496242523193,1998-12-15
3.3410069942474365,1998-12-16
3.2797038555145264,1998-12-17
3.3716580867767334,1998-12-18
3.3716580867767334,1998-12-21
3.3716580867767334,1998-12-22
3.3716580867767334,1998-12-23
3.3716580867767334,1998-12-24
3.264378070831299,1998-12-28
3.509589672088623,1998-12-29
