DG,Date
20.67812728881836,2009-11-13
21.014728546142578,2009-11-16
20.960140228271484,2009-11-17
20.514379501342773,2009-11-18
20.80548858642578,2009-11-19
21.114795684814453,2009-11-20
21.28765106201172,2009-11-23
21.378616333007812,2009-11-24
21.596946716308594,2009-11-25
21.060216903686523,2009-11-27
20.92376136779785,2009-11-30
21.20577049255371,2009-12-01
21.46959114074707,2009-12-02
21.20577049255371,2009-12-03
21.697019577026367,2009-12-04
21.49687957763672,2009-12-07
21.49687957763672,2009-12-08
21.833484649658203,2009-12-09
21.56056785583496,2009-12-10
21.233055114746094,2009-12-11
20.741806030273438,2009-12-14
20.641742706298828,2009-12-15
20.67812728881836,2009-12-16
20.414304733276367,2009-12-17
20.53256607055664,2009-12-18
20.559864044189453,2009-12-21
20.37791633605957,2009-12-22
20.387012481689453,2009-12-23
20.15048599243164,2009-12-24
20.578054428100586,2009-12-28
20.568965911865234,2009-12-29
20.568965911865234,2009-12-30
20.405208587646484,2009-12-31
20.99653434753418,2010-01-04
21.16028594970703,2010-01-05
21.45139503479004,2010-01-06
21.596946716308594,2010-01-07
21.71521759033203,2010-01-08
21.833484649658203,2010-01-11
21.788000106811523,2010-01-12
22.106399536132812,2010-01-13
22.015432357788086,2010-01-14
22.160985946655273,2010-01-15
22.33382797241211,2010-01-19
22.297449111938477,2010-01-20
21.815292358398438,2010-01-21
21.233055114746094,2010-01-22
21.242162704467773,2010-01-25
21.40591049194336,2010-01-26
21.424100875854492,2010-01-27
21.687925338745117,2010-01-28
21.36952018737793,2010-01-29
21.260364532470703,2010-02-01
21.49687957763672,2010-02-02
21.687925338745117,2010-02-03
20.44159698486328,2010-02-04
19.75020408630371,2010-02-05
20.368820190429688,2010-02-08
20.52347183227539,2010-02-09
20.05951499938965,2010-02-10
20.06861114501953,2010-02-11
20.514379501342773,2010-02-12
20.951040267944336,2010-02-16
20.70541763305664,2010-02-17
21.178476333618164,2010-02-18
21.45139503479004,2010-02-19
21.142087936401367,2010-02-22
21.505977630615234,2010-02-23
21.97903823852539,2010-02-24
21.651533126831055,2010-02-25
21.733413696289062,2010-02-26
21.915361404418945,2010-03-01
21.869873046875,2010-03-02
21.82438850402832,2010-03-03
22.015432357788086,2010-03-04
22.306543350219727,2010-03-05
22.4429988861084,2010-03-08
22.852380752563477,2010-03-09
22.797792434692383,2010-03-10
22.84328269958496,2010-03-11
22.861474990844727,2010-03-12
22.7705020904541,2010-03-15
22.852380752563477,2010-03-16
23.48918914794922,2010-03-17
22.9615478515625,2010-03-18
23.289051055908203,2010-03-19
22.752307891845703,2010-03-22
22.906959533691406,2010-03-23
22.97064208984375,2010-03-24
22.224666595458984,2010-03-25
22.73410987854004,2010-03-26
23.061614990234375,2010-03-29
23.461902618408203,2010-03-30
22.97064208984375,2010-03-31
23.216270446777344,2010-04-01
23.47099494934082,2010-04-05
24.571765899658203,2010-04-06
24.153291702270508,2010-04-07
24.116901397705078,2010-04-08
24.08051109313965,2010-04-09
23.871274948120117,2010-04-12
24.5899658203125,2010-04-13
25.035728454589844,2010-04-14
24.562665939331055,2010-04-15
26.018232345581055,2010-04-16
26.391225814819336,2010-04-19
25.699831008911133,2010-04-20
25.645246505737305,2010-04-21
26.864280700683594,2010-04-22
26.72781753540039,2010-04-23
26.90976905822754,2010-04-26
26.37302589416504,2010-04-27
26.391225814819336,2010-04-28
26.50038719177246,2010-04-29
25.990947723388672,2010-04-30
26.40032386779785,2010-05-03
26.05462074279785,2010-05-04
