BA,Date
0.19093093276023865,1962-01-02
0.19474957883358002,1962-01-03
0.1928403079509735,1962-01-04
0.18902161717414856,1962-01-05
0.18949899077415466,1962-01-08
0.18997636437416077,1962-01-09
0.18997636437416077,1962-01-10
0.1918855756521225,1962-01-11
0.19713625311851501,1962-01-12
0.1933174580335617,1962-01-15
0.1918855756521225,1962-01-16
0.19236281514167786,1962-01-17
0.1933174580335617,1962-01-18
0.202386736869812,1962-01-19
0.20190952718257904,1962-01-22
0.202386736869812,1962-01-23
0.2033415138721466,1962-01-24
0.20811469852924347,1962-01-25
0.2071601301431656,1962-01-26
0.20811469852924347,1962-01-29
0.2100241482257843,1962-01-30
0.21431994438171387,1962-01-31
0.2095467895269394,1962-02-01
0.21145592629909515,1962-02-02
0.209529310464859,1962-02-05
0.209529310464859,1962-02-06
0.209529310464859,1962-02-07
0.21001078188419342,1962-02-08
0.21386419236660004,1962-02-09
0.21049265563488007,1962-02-12
0.2119375467300415,1962-02-13
0.21338261663913727,1962-02-14
0.21482765674591064,1962-02-15
0.21241919696331024,1962-02-16
0.21145585179328918,1962-02-19
0.21049265563488007,1962-02-20
0.20808440446853638,1962-02-21
0.20134076476097107,1962-02-23
0.20230408012866974,1962-02-26
0.2047126740217209,1962-02-27
0.2066391557455063,1962-02-28
0.20423074066638947,1962-03-01
0.20230408012866974,1962-03-02
0.2018224447965622,1962-03-05
0.1950787752866745,1962-03-06
0.19459737837314606,1962-03-07
0.19845068454742432,1962-03-08
0.1974872350692749,1962-03-09
0.19893227517604828,1962-03-12
0.19845068454742432,1962-03-13
0.19845068454742432,1962-03-14
0.19556061923503876,1962-03-15
0.1950787752866745,1962-03-16
0.19170716404914856,1962-03-19
0.19122546911239624,1962-03-20
0.19122546911239624,1962-03-21
0.1941155195236206,1962-03-22
0.1941155195236206,1962-03-23
0.1936337798833847,1962-03-26
0.1950787752866745,1962-03-27
0.19556061923503876,1962-03-28
0.19652390480041504,1962-03-29
0.19315223395824432,1962-03-30
0.1936337798833847,1962-04-02
0.18978044390678406,1962-04-03
0.1849636733531952,1962-04-04
0.1868904083967209,1962-04-05
0.18544535338878632,1962-04-06
0.18207375705242157,1962-04-09
0.18111032247543335,1962-04-10
0.18640871345996857,1962-04-11
0.1806287169456482,1962-04-12
0.18351878225803375,1962-04-13
0.1806287169456482,1962-04-16
0.18014685809612274,1962-04-17
0.18207375705242157,1962-04-18
0.18640871345996857,1962-04-19
0.1902620792388916,1962-04-23
0.18978044390678406,1962-04-24
0.1873723566532135,1962-04-25
0.18014685809612274,1962-04-26
0.17870186269283295,1962-04-27
0.17340347170829773,1962-04-30
0.18111032247543335,1962-05-01
0.18303701281547546,1962-05-02
0.18207375705242157,1962-05-03
0.18111032247543335,1962-05-04
0.18207375705242157,1962-05-07
0.17623162269592285,1962-05-08
0.17477114498615265,1962-05-09
0.17477114498615265,1962-05-10
0.17233698070049286,1962-05-11
0.17185021936893463,1962-05-14
0.1776919960975647,1962-05-15
0.17574459314346313,1962-05-16
0.1752581000328064,1962-05-17
0.1752581000328064,1962-05-18
0.17233698070049286,1962-05-21
0.16844233870506287,1962-05-22
0.16357411444187164,1962-05-23
0.15724541246891022,1962-05-24
