WHR,Date
4.9124555587768555,1973-02-21
4.854886531829834,1973-02-22
4.682180404663086,1973-02-23
4.682180404663086,1973-02-26
4.567049980163574,1973-02-27
4.643803596496582,1973-02-28
4.662993907928467,1973-03-01
4.662993907928467,1973-03-02
4.682180404663086,1973-03-05
4.8740739822387695,1973-03-06
4.970019817352295,1973-03-07
5.008399963378906,1973-03-08
4.970019817352295,1973-03-09
5.008399963378906,1973-03-12
5.123535633087158,1973-03-13
5.219481468200684,1973-03-14
5.161916732788086,1973-03-15
5.027588367462158,1973-03-16
4.797317028045654,1973-03-19
4.758935451507568,1973-03-20
4.682180404663086,1973-03-21
4.643803596496582,1973-03-22
4.624613285064697,1973-03-23
4.662993907928467,1973-03-26
4.950832843780518,1973-03-27
5.065967559814453,1973-03-28
5.008399963378906,1973-03-29
4.854886531829834,1973-03-30
4.739750862121582,1973-04-02
4.624613285064697,1973-04-03
4.605424880981445,1973-04-04
4.605424880981445,1973-04-05
4.605424880981445,1973-04-06
4.567049980163574,1973-04-09
4.682180404663086,1973-04-10
4.835696220397949,1973-04-11
4.950832843780518,1973-04-12
5.0851545333862305,1973-04-13
4.950832843780518,1973-04-16
5.065967559814453,1973-04-17
5.027588367462158,1973-04-18
5.065967559814453,1973-04-19
4.8740739822387695,1973-04-23
4.835696220397949,1973-04-24
4.605424880981445,1973-04-25
4.547856330871582,1973-04-26
4.375153064727783,1973-04-27
4.221641540527344,1973-04-30
3.991370439529419,1973-05-01
4.106503486633301,1973-05-02
4.144880771636963,1973-05-03
4.355963230133057,1973-05-04
4.413532257080078,1973-05-07
4.3367767333984375,1973-05-08
4.260019302368164,1973-05-09
4.221641540527344,1973-05-10
3.991370439529419,1973-05-11
3.857043981552124,1973-05-14
3.933802604675293,1973-05-15
4.02974796295166,1973-05-16
4.010558605194092,1973-05-17
3.991370439529419,1973-05-18
3.9146106243133545,1973-05-21
3.933802604675293,1973-05-22
3.991370439529419,1973-05-23
4.240830898284912,1973-05-24
4.260019302368164,1973-05-25
4.068127155303955,1973-05-29
4.048939228057861,1973-05-30
4.068127155303955,1973-05-31
3.991370439529419,1973-06-01
3.8378546237945557,1973-06-04
3.9146106243133545,1973-06-05
3.7227184772491455,1973-06-06
3.7610960006713867,1973-06-07
3.8762319087982178,1973-06-08
3.799475908279419,1973-06-11
3.9529898166656494,1973-06-12
3.972177505493164,1973-06-13
3.933802604675293,1973-06-14
3.8378546237945557,1973-06-15
3.6459598541259766,1973-06-18
3.7227184772491455,1973-06-19
3.857043981552124,1973-06-20
3.9146106243133545,1973-06-21
4.010558605194092,1973-06-22
3.9146106243133545,1973-06-25
4.068127155303955,1973-06-26
4.048939228057861,1973-06-27
4.260019302368164,1973-06-28
4.260019302368164,1973-06-29
4.260019302368164,1973-07-02
4.106503486633301,1973-07-03
4.068127155303955,1973-07-05
3.972177505493164,1973-07-06
4.144880771636963,1973-07-09
4.183261394500732,1973-07-10
4.355963230133057,1973-07-11
4.375153064727783,1973-07-12
4.394343376159668,1973-07-13
4.682180404663086,1973-07-16
4.797317028045654,1973-07-17
4.835696220397949,1973-07-18
4.797317028045654,1973-07-19
4.950832843780518,1973-07-20
4.797317028045654,1973-07-23
4.797317028045654,1973-07-24
4.950832843780518,1973-07-25
4.989209175109863,1973-07-26
4.778127193450928,1973-07-27
4.835696220397949,1973-07-30
4.682180404663086,1973-07-31
4.567049980163574,1973-08-01
4.605424880981445,1973-08-02
4.797317028045654,1973-08-03
4.758935451507568,1973-08-06
4.758935451507568,1973-08-07
4.528665065765381,1973-08-08
4.720561981201172,1973-08-09
4.624613285064697,1973-08-10
4.490291118621826,1973-08-13
4.490291118621826,1973-08-14
4.451908588409424,1973-08-15
4.451908588409424,1973-08-16
4.490291118621826,1973-08-17
4.3367767333984375,1973-08-20
4.3367767333984375,1973-08-21
4.3367767333984375,1973-08-22
4.451908588409424,1973-08-23
4.528665065765381,1973-08-24
4.528665065765381,1973-08-27
4.547856330871582,1973-08-28
4.624613285064697,1973-08-29
4.567049980163574,1973-08-30
4.547856330871582,1973-08-31
4.586235046386719,1973-09-04
4.567049980163574,1973-09-05
4.643803596496582,1973-09-06
4.662993907928467,1973-09-07
4.643803596496582,1973-09-10
4.739750862121582,1973-09-11
4.797317028045654,1973-09-12
4.854886531829834,1973-09-13
4.9124555587768555,1973-09-14
4.970019817352295,1973-09-17
4.8740739822387695,1973-09-18
4.950832843780518,1973-09-19
5.046778678894043,1973-09-20
5.219481468200684,1973-09-21
5.104345798492432,1973-09-24
5.1811041831970215,1973-09-25
5.1811041831970215,1973-09-26
5.142724514007568,1973-09-27
4.950832843780518,1973-09-28
4.989209175109863,1973-10-01
4.9124555587768555,1973-10-02
4.835696220397949,1973-10-03
4.854886531829834,1973-10-04
4.950832843780518,1973-10-05
4.950832843780518,1973-10-08
4.950832843780518,1973-10-09
4.931643962860107,1973-10-10
4.950832843780518,1973-10-11
4.950832843780518,1973-10-12
4.931643962860107,1973-10-15
4.950832843780518,1973-10-16
4.970019817352295,1973-10-17
4.893266201019287,1973-10-18
4.9124555587768555,1973-10-19
4.950832843780518,1973-10-22
4.9124555587768555,1973-10-23
4.9124555587768555,1973-10-24
4.797317028045654,1973-10-25
4.816503524780273,1973-10-26
4.605424880981445,1973-10-29
4.643803596496582,1973-10-30
4.605424880981445,1973-10-31
4.605424880981445,1973-11-01
4.643803596496582,1973-11-02
4.682180404663086,1973-11-05
4.567049980163574,1973-11-06
4.643803596496582,1973-11-07
4.605424880981445,1973-11-08
4.528665065765381,1973-11-09
4.567049980163574,1973-11-12
4.528665065765381,1973-11-13
4.528665065765381,1973-11-14
4.3367767333984375,1973-11-15
4.298396587371826,1973-11-16
4.221641540527344,1973-11-19
4.087315559387207,1973-11-20
4.144880771636963,1973-11-21
4.144880771636963,1973-11-23
3.9146106243133545,1973-11-26
3.7035293579101562,1973-11-27
3.8378546237945557,1973-11-28
3.8762319087982178,1973-11-29
3.818664789199829,1973-11-30
3.780287265777588,1973-12-03
3.8378546237945557,1973-12-04
3.8378546237945557,1973-12-05
4.068127155303955,1973-12-06
3.991370439529419,1973-12-07
3.9146106243133545,1973-12-10
3.799475908279419,1973-12-11
3.6843411922454834,1973-12-12
3.7227184772491455,1973-12-13
3.6075832843780518,1973-12-14
3.7227184772491455,1973-12-17
3.799475908279419,1973-12-18
3.8762319087982178,1973-12-19
3.9146106243133545,1973-12-20
3.8762319087982178,1973-12-21
4.068127155303955,1973-12-24
3.991370439529419,1973-12-26
4.087315559387207,1973-12-27
3.991370439529419,1973-12-28
3.857043981552124,1973-12-31
3.9529898166656494,1974-01-02
3.8762319087982178,1974-01-03
3.9146106243133545,1974-01-04
3.9146106243133545,1974-01-07
3.7227184772491455,1974-01-08
3.7610960006713867,1974-01-09
3.7227184772491455,1974-01-10
3.6459598541259766,1974-01-11
3.5116376876831055,1974-01-14
3.5116376876831055,1974-01-15
3.5308260917663574,1974-01-16
3.665154457092285,1974-01-17
3.5692033767700195,1974-01-18
3.7419071197509766,1974-01-21
3.7610960006713867,1974-01-22
3.7227184772491455,1974-01-23
3.7610960006713867,1974-01-24
3.7610960006713867,1974-01-25
3.7610960006713867,1974-01-28
3.7035293579101562,1974-01-29
3.6843411922454834,1974-01-30
3.6843411922454834,1974-01-31
