IQV,Date
42.11000061035156,2013-05-09
42.38999938964844,2013-05-10
43.31999969482422,2013-05-13
44.43000030517578,2013-05-14
45.5,2013-05-15
45.849998474121094,2013-05-16
45.52000045776367,2013-05-17
45.380001068115234,2013-05-20
45.04999923706055,2013-05-21
44.650001525878906,2013-05-22
45.0,2013-05-23
45.029998779296875,2013-05-24
45.43000030517578,2013-05-28
44.470001220703125,2013-05-29
44.25,2013-05-30
44.040000915527344,2013-05-31
44.58000183105469,2013-06-03
43.189998626708984,2013-06-04
42.849998474121094,2013-06-05
43.22999954223633,2013-06-06
42.970001220703125,2013-06-07
43.63999938964844,2013-06-10
43.95000076293945,2013-06-11
43.0,2013-06-12
42.900001525878906,2013-06-13
43.09000015258789,2013-06-14
43.529998779296875,2013-06-17
43.88999938964844,2013-06-18
43.790000915527344,2013-06-19
43.34000015258789,2013-06-20
44.189998626708984,2013-06-21
43.31999969482422,2013-06-24
43.0,2013-06-25
42.02000045776367,2013-06-26
42.33000183105469,2013-06-27
42.560001373291016,2013-06-28
42.95000076293945,2013-07-01
43.060001373291016,2013-07-02
43.619998931884766,2013-07-03
43.2400016784668,2013-07-05
43.93000030517578,2013-07-08
43.689998626708984,2013-07-09
43.61000061035156,2013-07-10
43.27000045776367,2013-07-11
43.5,2013-07-12
43.650001525878906,2013-07-15
43.7400016784668,2013-07-16
43.83000183105469,2013-07-17
44.040000915527344,2013-07-18
44.06999969482422,2013-07-19
44.56999969482422,2013-07-22
44.31999969482422,2013-07-23
43.52000045776367,2013-07-24
43.47999954223633,2013-07-25
43.27000045776367,2013-07-26
43.470001220703125,2013-07-29
43.38999938964844,2013-07-30
44.849998474121094,2013-07-31
46.290000915527344,2013-08-01
45.220001220703125,2013-08-02
45.33000183105469,2013-08-05
45.95000076293945,2013-08-06
45.540000915527344,2013-08-07
45.380001068115234,2013-08-08
45.63999938964844,2013-08-09
45.58000183105469,2013-08-12
45.380001068115234,2013-08-13
45.29999923706055,2013-08-14
44.75,2013-08-15
44.15999984741211,2013-08-16
44.31999969482422,2013-08-19
44.290000915527344,2013-08-20
44.0,2013-08-21
43.65999984741211,2013-08-22
43.529998779296875,2013-08-23
43.43000030517578,2013-08-26
43.119998931884766,2013-08-27
43.97999954223633,2013-08-28
43.900001525878906,2013-08-29
43.2599983215332,2013-08-30
43.099998474121094,2013-09-03
43.22999954223633,2013-09-04
43.189998626708984,2013-09-05
42.81999969482422,2013-09-06
43.150001525878906,2013-09-09
43.77000045776367,2013-09-10
43.72999954223633,2013-09-11
44.470001220703125,2013-09-12
44.369998931884766,2013-09-13
44.45000076293945,2013-09-16
44.77000045776367,2013-09-17
45.09000015258789,2013-09-18
44.0,2013-09-19
44.720001220703125,2013-09-20
44.86000061035156,2013-09-23
44.7599983215332,2013-09-24
44.689998626708984,2013-09-25
45.099998474121094,2013-09-26
44.93000030517578,2013-09-27
44.880001068115234,2013-09-30
44.66999816894531,2013-10-01
44.040000915527344,2013-10-02
43.25,2013-10-03
43.97999954223633,2013-10-04
42.54999923706055,2013-10-07
41.58000183105469,2013-10-08
42.220001220703125,2013-10-09
42.56999969482422,2013-10-10
42.22999954223633,2013-10-11
42.02000045776367,2013-10-14
41.9900016784668,2013-10-15
43.119998931884766,2013-10-16
43.529998779296875,2013-10-17
43.93000030517578,2013-10-18
43.97999954223633,2013-10-21
44.11000061035156,2013-10-22
43.810001373291016,2013-10-23
44.54999923706055,2013-10-24
44.310001373291016,2013-10-25
43.900001525878906,2013-10-28
43.77000045776367,2013-10-29
43.380001068115234,2013-10-30
41.9900016784668,2013-10-31
43.43000030517578,2013-11-01
