EFX,Date
0.24953478574752808,1980-03-17
0.24444226920604706,1980-03-18
0.24444226920604706,1980-03-19
0.24613972008228302,1980-03-20
0.2410472184419632,1980-03-21
0.2410472184419632,1980-03-24
0.23934964835643768,1980-03-25
0.23765231668949127,1980-03-26
0.23765231668949127,1980-03-27
0.23595459759235382,1980-03-28
0.23425723612308502,1980-03-31
0.23934964835643768,1980-04-01
0.23765231668949127,1980-04-02
0.23934964835643768,1980-04-03
0.2325597107410431,1980-04-07
0.23595459759235382,1980-04-08
0.23595459759235382,1980-04-09
0.23595459759235382,1980-04-10
0.23425723612308502,1980-04-11
0.23425723612308502,1980-04-14
0.23765231668949127,1980-04-15
0.2410472184419632,1980-04-16
0.23934964835643768,1980-04-17
0.23595459759235382,1980-04-18
0.23595459759235382,1980-04-21
0.23595459759235382,1980-04-22
0.24613972008228302,1980-04-23
0.2512323260307312,1980-04-24
0.2512323260307312,1980-04-25
0.26311513781547546,1980-04-28
0.2614172697067261,1980-04-29
0.2699050009250641,1980-04-30
0.2885778546333313,1980-05-01
0.29876285791397095,1980-05-02
0.29706522822380066,1980-05-05
0.29027530550956726,1980-05-06
0.29197245836257935,1980-05-07
0.29706522822380066,1980-05-08
0.2936703562736511,1980-05-09
0.2936703562736511,1980-05-12
0.29027530550956726,1980-05-13
0.2936703562736511,1980-05-14
0.29706522822380066,1980-05-15
0.29706522822380066,1980-05-16
0.2851827144622803,1980-05-19
0.2851827144622803,1980-05-20
0.28348514437675476,1980-05-21
0.2868800759315491,1980-05-22
0.2851827144622803,1980-05-23
0.2868800759315491,1980-05-27
0.2851827144622803,1980-05-28
0.2885778546333313,1980-05-29
0.2885778546333313,1980-05-30
0.2868800759315491,1980-06-02
0.2885778546333313,1980-06-03
0.2936703562736511,1980-06-04
0.2936703562736511,1980-06-05
0.2936703562736511,1980-06-06
0.2953678071498871,1980-06-09
0.2953678071498871,1980-06-10
0.2936703562736511,1980-06-11
0.29197245836257935,1980-06-12
0.2953678071498871,1980-06-13
0.2953678071498871,1980-06-16
0.30894801020622253,1980-06-17
0.32252782583236694,1980-06-18
0.32252782583236694,1980-06-19
0.3174353837966919,1980-06-20
0.3123425841331482,1980-06-23
0.3140406012535095,1980-06-24
0.3123425841331482,1980-06-25
0.3123425841331482,1980-06-26
0.3123425841331482,1980-06-27
0.30555278062820435,1980-06-30
0.29706522822380066,1980-07-01
0.29876285791397095,1980-07-02
0.3004603981971741,1980-07-03
0.29876285791397095,1980-07-07
0.29706522822380066,1980-07-08
0.3021576404571533,1980-07-09
0.29876285791397095,1980-07-10
0.29876285791397095,1980-07-11
0.3072502315044403,1980-07-14
0.31064537167549133,1980-07-15
0.30894801020622253,1980-07-16
0.30555278062820435,1980-07-17
0.30894801020622253,1980-07-18
0.31573808193206787,1980-07-21
0.3191330134868622,1980-07-22
0.3191330134868622,1980-07-23
0.3140406012535095,1980-07-24
0.3140406012535095,1980-07-25
0.3072502315044403,1980-07-28
0.31064537167549133,1980-07-29
0.3123425841331482,1980-07-30
0.3123425841331482,1980-07-31
0.3191330134868622,1980-08-01
0.31573808193206787,1980-08-04
0.31573808193206787,1980-08-05
0.31573808193206787,1980-08-06
0.3123425841331482,1980-08-07
0.3123425841331482,1980-08-08
0.3123425841331482,1980-08-11
0.3123425841331482,1980-08-12
0.3072502315044403,1980-08-13
0.30894801020622253,1980-08-14
0.3072502315044403,1980-08-15
0.30555278062820435,1980-08-18
0.3021576404571533,1980-08-19
0.30385538935661316,1980-08-20
0.3004603981971741,1980-08-21
0.3072502315044403,1980-08-22
0.30894801020622253,1980-08-25
0.30385538935661316,1980-08-26
0.29706522822380066,1980-08-27
0.29876285791397095,1980-08-28
0.29876285791397095,1980-08-29
0.30385538935661316,1980-09-02
0.30555278062820435,1980-09-03
0.30555278062820435,1980-09-04
0.30385538935661316,1980-09-05
0.29876285791397095,1980-09-08
0.3004603981971741,1980-09-09
0.3004603981971741,1980-09-10
0.3004603981971741,1980-09-11
0.30555278062820435,1980-09-12
0.30555278062820435,1980-09-15
0.3004603981971741,1980-09-16
0.30385538935661316,1980-09-17
0.30555278062820435,1980-09-18
0.3123425841331482,1980-09-19
0.31573808193206787,1980-09-22
0.3123425841331482,1980-09-23
0.3123425841331482,1980-09-24
0.30894801020622253,1980-09-25
0.3123425841331482,1980-09-26
0.3123425841331482,1980-09-29
0.3191330134868622,1980-09-30
0.3140406012535095,1980-10-01
0.3140406012535095,1980-10-02
0.3140406012535095,1980-10-03
0.31573808193206787,1980-10-06
0.3123425841331482,1980-10-07
0.31064537167549133,1980-10-08
0.31064537167549133,1980-10-09
0.31064537167549133,1980-10-10
0.3123425841331482,1980-10-13
0.3123425841331482,1980-10-14
0.31064537167549133,1980-10-15
0.31064537167549133,1980-10-16
0.3123425841331482,1980-10-17
0.3123425841331482,1980-10-20
0.3123425841331482,1980-10-21
0.3072502315044403,1980-10-22
0.31064537167549133,1980-10-23
0.3123425841331482,1980-10-24
0.3072502315044403,1980-10-27
0.3072502315044403,1980-10-28
0.3072502315044403,1980-10-29
0.3123425841331482,1980-10-30
0.30894801020622253,1980-10-31
0.31064537167549133,1980-11-03
0.3140406012535095,1980-11-05
0.3174353837966919,1980-11-06
0.3174353837966919,1980-11-07
0.3174353837966919,1980-11-10
0.3140406012535095,1980-11-11
0.3174353837966919,1980-11-12
0.3140406012535095,1980-11-13
0.3191330134868622,1980-11-14
0.3191330134868622,1980-11-17
0.32252782583236694,1980-11-18
0.3242257535457611,1980-11-19
0.3242257535457611,1980-11-20
