HLT,Date
41.93280029296875,2013-12-12
43.10301971435547,2013-12-13
41.9718017578125,2013-12-16
42.53740310668945,2013-12-17
42.576412200927734,2013-12-18
43.454078674316406,2013-12-19
42.77145004272461,2013-12-20
42.04982376098633,2013-12-23
41.95230484008789,2013-12-24
42.32286834716797,2013-12-26
42.12784194946289,2013-12-27
42.693443298339844,2013-12-30
43.39558410644531,2013-12-31
42.63492202758789,2014-01-02
42.92748260498047,2014-01-03
42.907981872558594,2014-01-06
42.907981872558594,2014-01-07
42.966495513916016,2014-01-08
42.6544303894043,2014-01-09
42.30336380004883,2014-01-10
42.36186599731445,2014-01-13
43.10301971435547,2014-01-14
42.73244094848633,2014-01-15
42.8299674987793,2014-01-16
43.39558410644531,2014-01-17
42.75194549560547,2014-01-21
43.805145263671875,2014-01-22
44.195220947265625,2014-01-23
43.78565216064453,2014-01-24
42.888465881347656,2014-01-27
42.71294403076172,2014-01-28
42.24486541748047,2014-01-29
42.24486541748047,2014-01-30
42.22535705566406,2014-01-31
40.86009216308594,2014-02-03
41.016136169433594,2014-02-04
40.56753921508789,2014-02-05
41.347679138183594,2014-02-06
42.22535705566406,2014-02-07
41.757266998291016,2014-02-10
42.30336380004883,2014-02-11
42.693443298339844,2014-02-12
42.81045913696289,2014-02-13
42.907981872558594,2014-02-14
42.439884185791016,2014-02-18
41.991310119628906,2014-02-19
41.91329574584961,2014-02-20
43.20053482055664,2014-02-21
43.415077209472656,2014-02-24
43.62962341308594,2014-02-25
43.961185455322266,2014-02-26
43.86366271972656,2014-02-27
43.610111236572266,2014-02-28
43.86366271972656,2014-03-03
44.000186920166016,2014-03-04
44.40976333618164,2014-03-05
43.84416198730469,2014-03-06
44.29274368286133,2014-03-07
43.64911651611328,2014-03-10
43.122520446777344,2014-03-11
43.590606689453125,2014-03-12
43.00550079345703,2014-03-13
42.966495513916016,2014-03-14
43.142032623291016,2014-03-17
44.019683837890625,2014-03-18
43.415077209472656,2014-03-19
43.23954391479492,2014-03-20
44.83884048461914,2014-03-21
44.3902473449707,2014-03-24
43.84416198730469,2014-03-25
43.57111358642578,2014-03-26
43.356563568115234,2014-03-27
43.39558410644531,2014-03-28
43.376060485839844,2014-03-31
43.980682373046875,2014-04-01
43.824649810791016,2014-04-02
42.946990966796875,2014-04-03
42.10832977294922,2014-04-04
41.67924880981445,2014-04-07
41.659759521484375,2014-04-08
41.95230484008789,2014-04-09
41.308685302734375,2014-04-10
41.44520950317383,2014-04-11
41.64024353027344,2014-04-14
41.698760986328125,2014-04-15
42.12784194946289,2014-04-16
42.45939254760742,2014-04-17
41.85478973388672,2014-04-21
41.95230484008789,2014-04-22
41.91329574584961,2014-04-23
41.93280029296875,2014-04-24
41.60124588012695,2014-04-25
41.67924880981445,2014-04-28
41.133148193359375,2014-04-29
42.576412200927734,2014-04-30
43.06401062011719,2014-05-01
43.00550079345703,2014-05-02
43.22003936767578,2014-05-05
43.22003936767578,2014-05-06
44.195220947265625,2014-05-07
44.15620803833008,2014-05-08
44.994873046875,2014-05-09
44.819332122802734,2014-05-12
44.85833740234375,2014-05-13
43.980682373046875,2014-05-14
42.71294403076172,2014-05-15
42.6544303894043,2014-05-16
42.73244094848633,2014-05-19
41.757266998291016,2014-05-20
42.61543273925781,2014-05-21
42.888465881347656,2014-05-22
43.00550079345703,2014-05-23
43.376060485839844,2014-05-27
42.92748260498047,2014-05-28
43.25904846191406,2014-05-29
44.117210388183594,2014-05-30
44.42926025390625,2014-06-02
44.29274368286133,2014-06-03
44.40976333618164,2014-06-04
44.89735412597656,2014-06-05
45.40444564819336,2014-06-06
45.423946380615234,2014-06-09
45.69700622558594,2014-06-10
44.48777770996094,2014-06-11
43.84416198730469,2014-06-12
43.47358322143555,2014-06-13
43.31755065917969,2014-06-16
43.57111358642578,2014-06-17
43.590606689453125,2014-06-18
43.551597595214844,2014-06-19
43.415077209472656,2014-06-20
43.57111358642578,2014-06-23
43.88317108154297,2014-06-24
44.78032684326172,2014-06-25
44.585296630859375,2014-06-26
44.48777770996094,2014-06-27
45.443450927734375,2014-06-30
46.08707809448242,2014-07-01
46.53565216064453,2014-07-02
48.368988037109375,2014-07-03
47.78388977050781,2014-07-07
47.17927932739258,2014-07-08
48.21296310424805,2014-07-09
47.82289505004883,2014-07-10
47.43281936645508,2014-07-11
47.705875396728516,2014-07-14
47.920406341552734,2014-07-15
47.93991470336914,2014-07-16
46.94523239135742,2014-07-17
47.881412506103516,2014-07-18
48.42750549316406,2014-07-21
49.012611389160156,2014-07-22
49.753753662109375,2014-07-23
49.324668884277344,2014-07-24
49.3051643371582,2014-07-25
49.22715759277344,2014-07-28
48.72006607055664,2014-07-29
48.134944915771484,2014-07-30
47.218284606933594,2014-07-31
47.374305725097656,2014-08-01
47.15977478027344,2014-08-04
46.26259994506836,2014-08-05
45.73600387573242,2014-08-06
46.1845817565918,2014-08-07
46.24309539794922,2014-08-08
46.92573547363281,2014-08-11
47.02324295043945,2014-08-12
47.76438522338867,2014-08-13
48.232479095458984,2014-08-14
48.11545181274414,2014-08-15
48.739566802978516,2014-08-18
48.97360610961914,2014-08-19
49.61722946166992,2014-08-20
49.81227111816406,2014-08-21
50.00729751586914,2014-08-22
50.163333892822266,2014-08-25
50.026798248291016,2014-08-26
50.2413444519043,2014-08-27
50.04631042480469,2014-08-28
49.3831787109375,2014-08-29
49.65623474121094,2014-09-02
49.3051643371582,2014-09-03
49.42219161987305,2014-09-04
50.2413444519043,2014-09-05
50.08531951904297,2014-09-08
49.753753662109375,2014-09-09
49.3051643371582,2014-09-10
48.44701385498047,2014-09-11
47.58884811401367,2014-09-12
47.062255859375,2014-09-15
48.076438903808594,2014-09-16
48.778564453125,2014-09-17
48.232479095458984,2014-09-18
48.27147674560547,2014-09-19
48.388492584228516,2014-09-22
48.15446090698242,2014-09-23
48.1739616394043,2014-09-24
47.78388977050781,2014-09-25
48.40800476074219,2014-09-26
47.881412506103516,2014-09-29
48.03743362426758,2014-09-30
46.80870819091797,2014-10-01
46.76969528198242,2014-10-02
47.43281936645508,2014-10-03
47.218284606933594,2014-10-06
46.76969528198242,2014-10-07
46.65266799926758,2014-10-08
45.57998275756836,2014-10-09
44.40976333618164,2014-10-10
42.98599624633789,2014-10-13
42.966495513916016,2014-10-14
42.1473388671875,2014-10-15
42.63492202758789,2014-10-16
44.48777770996094,2014-10-17
46.067569732666016,2014-10-20
47.803401947021484,2014-10-21
46.828208923339844,2014-10-22
46.886722564697266,2014-10-23
47.27679443359375,2014-10-24
47.15977478027344,2014-10-27
47.51084518432617,2014-10-28
47.900917053222656,2014-10-29
48.778564453125,2014-10-30
49.22715759277344,2014-10-31
49.24665069580078,2014-11-03
47.97893142700195,2014-11-04
48.83707809448242,2014-11-05
48.85658264160156,2014-11-06
48.700565338134766,2014-11-07
49.03212356567383,2014-11-10
49.168643951416016,2014-11-11
49.3831787109375,2014-11-12
49.4807014465332,2014-11-13
50.33885955810547,2014-11-14
49.578224182128906,2014-11-17
49.948787689208984,2014-11-18
49.77325439453125,2014-11-19
49.63673782348633,2014-11-20
49.77325439453125,2014-11-21
50.3193473815918,2014-11-24
51.001991271972656,2014-11-25
50.74844741821289,2014-11-26
51.13850784301758,2014-11-28
49.59773254394531,2014-12-01
49.753753662109375,2014-12-02
50.592411041259766,2014-12-03
50.70943069458008,2014-12-04
51.52859878540039,2014-12-05
51.37254333496094,2014-12-08
51.15800857543945,2014-12-09
50.68992233276367,2014-12-10
51.21652603149414,2014-12-11
50.45588302612305,2014-12-12
49.3831787109375,2014-12-15
48.251976013183594,2014-12-16
49.34418487548828,2014-12-17
50.45588302612305,2014-12-18
51.06049728393555,2014-12-19
50.70943069458008,2014-12-22
50.90446853637695,2014-12-23
51.11901092529297,2014-12-24
51.25552749633789,2014-12-26
