TRIN,Date
9.771668434143066,2021-01-29
9.445947647094727,2021-02-01
9.445947647094727,2021-02-02
9.54366397857666,2021-02-03
9.58926773071289,2021-02-04
9.771668434143066,2021-02-05
9.804244041442871,2021-02-08
9.888930320739746,2021-02-09
9.81727123260498,2021-02-10
9.185370445251465,2021-02-11
9.31566047668457,2021-02-12
9.1397705078125,2021-02-16
9.335204124450684,2021-02-17
9.28960132598877,2021-02-18
9.732584953308105,2021-02-19
10.136479377746582,2021-02-22
9.999676704406738,2021-02-23
10.064820289611816,2021-02-24
9.810757637023926,2021-02-25
9.843329429626465,2021-02-26
10.195109367370605,2021-03-01
10.090877532958984,2021-03-02
9.941046714782715,2021-03-03
9.54366397857666,2021-03-04
9.556694984436035,2021-03-05
9.445947647094727,2021-03-08
10.051793098449707,2021-03-09
10.058303833007812,2021-03-10
9.791214942932129,2021-03-11
9.576237678527832,2021-03-12
9.602294921875,2021-03-15
9.732584953308105,2021-03-16
9.615323066711426,2021-03-17
9.458976745605469,2021-03-18
8.957365989685059,2021-03-19
9.283086776733398,2021-03-22
9.458976745605469,2021-03-23
9.511093139648438,2021-03-24
9.445947647094727,2021-03-25
9.3091459274292,2021-03-26
9.608810424804688,2021-03-29
9.93419361114502,2021-03-30
9.907631874084473,2021-03-31
9.668575286865234,2021-04-01
9.701776504516602,2021-04-05
9.794742584228516,2021-04-06
9.768180847167969,2021-04-07
9.761542320251465,2021-04-08
9.761542320251465,2021-04-09
9.708416938781738,2021-04-12
9.741620063781738,2021-04-13
9.847867012023926,2021-04-14
9.861149787902832,2021-04-15
9.768180847167969,2021-04-16
9.821308135986328,2021-04-19
9.801384925842285,2021-04-20
9.754899978637695,2021-04-21
9.774822235107422,2021-04-22
9.748260498046875,2021-04-23
9.754899978637695,2021-04-26
9.605489730834961,2021-04-27
9.635372161865234,2021-04-28
9.661932945251465,2021-04-29
9.668575286865234,2021-04-30
9.688495635986328,2021-05-03
9.734979629516602,2021-05-04
9.854508399963379,2021-05-05
9.9607572555542,2021-05-06
9.920912742614746,2021-05-07
9.93419361114502,2021-05-10
9.721697807312012,2021-05-11
9.615449905395508,2021-05-12
9.555685043334961,2021-05-13
9.661932945251465,2021-05-14
9.628730773925781,2021-05-17
9.661932945251465,2021-05-18
9.648653030395508,2021-05-19
9.661932945251465,2021-05-20
9.575606346130371,2021-05-21
9.628730773925781,2021-05-24
9.542404174804688,2021-05-25
9.49592113494873,2021-05-26
9.48263931274414,2021-05-27
9.562324523925781,2021-05-28
9.622090339660645,2021-06-01
9.728340148925781,2021-06-02
9.708416938781738,2021-06-03
9.701776504516602,2021-06-04
9.788103103637695,2021-06-07
9.814663887023926,2021-06-08
9.754899978637695,2021-06-09
9.748260498046875,2021-06-10
9.754899978637695,2021-06-11
9.715058326721191,2021-06-14
9.728340148925781,2021-06-15
9.721697807312012,2021-06-16
9.808026313781738,2021-06-17
9.701776504516602,2021-06-18
9.728340148925781,2021-06-21
9.741620063781738,2021-06-22
9.622090339660645,2021-06-23
9.575606346130371,2021-06-24
9.602169036865234,2021-06-25
9.562324523925781,2021-06-28
9.555548667907715,2021-06-29
9.813075065612793,2021-06-30
9.69786548614502,2021-07-01
9.758856773376465,2021-07-02
9.785964965820312,2021-07-06
9.724973678588867,2021-07-07
9.677536010742188,2021-07-08
9.799521446228027,2021-07-09
9.941837310791016,2021-07-12
9.914729118347168,2021-07-13
9.792742729187012,2021-07-14
9.779190063476562,2021-07-15
9.731749534606934,2021-07-16
9.582655906677246,2021-07-19
9.68431282043457,2021-07-20
9.711419105529785,2021-07-21
9.704641342163086,2021-07-22
9.711419105529785,2021-07-23
9.894397735595703,2021-07-26
