CPB,Date
0.717913031578064,1973-02-21
0.7287901639938354,1973-02-22
0.7287901639938354,1973-02-23
0.7233515977859497,1973-02-26
0.7233515977859497,1973-02-27
0.7233515977859497,1973-02-28
0.7070355415344238,1973-03-01
0.6961576342582703,1973-03-02
0.6744027733802795,1973-03-05
0.687999963760376,1973-03-06
0.6961576342582703,1973-03-07
0.6852805018424988,1973-03-08
0.6852805018424988,1973-03-09
0.6907191872596741,1973-03-12
0.7124740481376648,1973-03-13
0.7070355415344238,1973-03-14
0.7070355415344238,1973-03-15
0.7070355415344238,1973-03-16
0.6961576342582703,1973-03-19
0.6988772749900818,1973-03-20
0.7015971541404724,1973-03-21
0.6934390068054199,1973-03-22
0.6771228313446045,1973-03-23
0.6689643263816833,1973-03-26
0.6635255813598633,1973-03-27
0.6662450432777405,1973-03-28
0.6798420548439026,1973-03-29
0.6907191872596741,1973-03-30
0.7097553014755249,1973-04-02
0.6961576342582703,1973-04-03
0.7026355266571045,1973-04-04
0.6998910307884216,1973-04-05
0.7026355266571045,1973-04-06
0.7053803205490112,1973-04-09
0.7300821542739868,1973-04-10
0.7245931029319763,1973-04-11
0.7300821542739868,1973-04-12
0.7355719208717346,1973-04-13
0.7328271865844727,1973-04-16
0.7355719208717346,1973-04-17
0.7465503811836243,1973-04-18
0.7465503811836243,1973-04-19
0.7465503811836243,1973-04-23
0.7300821542739868,1973-04-24
0.7081250548362732,1973-04-25
0.7136144638061523,1973-04-26
0.7026355266571045,1973-04-27
0.6779338121414185,1973-04-30
0.6642102003097534,1973-05-01
0.6696994304656982,1973-05-02
0.7026355266571045,1973-05-03
0.7191036343574524,1973-05-04
0.7163589596748352,1973-05-07
0.7163589596748352,1973-05-08
0.7108696699142456,1973-05-09
0.7053803205490112,1973-05-10
0.7081250548362732,1973-05-11
0.6724445223808289,1973-05-14
0.6422528624534607,1973-05-15
0.6257848143577576,1973-05-16
0.6422528624534607,1973-05-17
0.6477421522140503,1973-05-18
0.6477421522140503,1973-05-21
0.6751888990402222,1973-05-22
0.6971464157104492,1973-05-23
0.6806782484054565,1973-05-24
0.6998910307884216,1973-05-25
0.7026355266571045,1973-05-29
0.7026355266571045,1973-05-30
0.6916572451591492,1973-05-31
0.6889125108718872,1973-06-01
0.6696994304656982,1973-06-04
0.6806782484054565,1973-06-05
0.6779338121414185,1973-06-06
0.6998910307884216,1973-06-07
0.7081250548362732,1973-06-08
0.7191036343574524,1973-06-11
0.7218484282493591,1973-06-12
0.7218484282493591,1973-06-13
0.6806782484054565,1973-06-14
0.6614660024642944,1973-06-15
0.6614660024642944,1973-06-18
0.6532315611839294,1973-06-19
0.6477421522140503,1973-06-20
0.6367636919021606,1973-06-21
0.6559761762619019,1973-06-22
0.6587206721305847,1973-06-25
0.6477421522140503,1973-06-26
0.6477421522140503,1973-06-27
0.6559761762619019,1973-06-28
0.6395082473754883,1973-06-29
0.6257848143577576,1973-07-02
0.6202959418296814,1973-07-03
0.6065722703933716,1973-07-05
0.6120617389678955,1973-07-06
0.6093166470527649,1973-07-09
0.6202959418296814,1973-07-10
0.6285297274589539,1973-07-11
0.6395082473754883,1973-07-12
0.6559761762619019,1973-07-13
0.6559761762619019,1973-07-16
0.6559761762619019,1973-07-17
0.6751888990402222,1973-07-18
0.6916572451591492,1973-07-19
0.6916572451591492,1973-07-20
0.6971464157104492,1973-07-23
0.7026355266571045,1973-07-24
0.7026355266571045,1973-07-25
0.7026355266571045,1973-07-26
0.6889125108718872,1973-07-27
0.6861675381660461,1973-07-30
0.6861675381660461,1973-07-31
0.6751888990402222,1973-08-01
0.6696994304656982,1973-08-02
0.6724445223808289,1973-08-03
0.6614660024642944,1973-08-06
0.6532315611839294,1973-08-07
0.6614660024642944,1973-08-08
0.6422528624534607,1973-08-09
0.623040497303009,1973-08-10
0.6175510883331299,1973-08-13
0.6367636919021606,1973-08-14
0.6367636919021606,1973-08-15
0.6093166470527649,1973-08-16
0.6367636919021606,1973-08-17
0.6367636919021606,1973-08-20
0.6340187788009644,1973-08-21
0.6120617389678955,1973-08-22
0.6202959418296814,1973-08-23
0.6202959418296814,1973-08-24
0.6202959418296814,1973-08-27
0.6367636919021606,1973-08-28
0.6532315611839294,1973-08-29
0.6532315611839294,1973-08-30
0.6477421522140503,1973-08-31
0.6587206721305847,1973-09-04
0.6587206721305847,1973-09-05
0.6532315611839294,1973-09-06
0.6532315611839294,1973-09-07
0.6477421522140503,1973-09-10
0.650486946105957,1973-09-11
0.6395082473754883,1973-09-12
0.6367636919021606,1973-09-13
