CMI,Date
2.047748565673828,1973-02-21
2.066088914871216,1973-02-22
1.9805110692977905,1973-02-23
1.9560606479644775,1973-02-26
1.9377217292785645,1973-02-27
1.9316093921661377,1973-02-28
1.9377217292785645,1973-03-01
1.936246633529663,1973-03-02
1.9300992488861084,1973-03-05
1.887070894241333,1973-03-06
1.8317503929138184,1973-03-07
1.8440442085266113,1973-03-08
1.856338381767273,1973-03-09
1.8440442085266113,1973-03-12
1.8440442085266113,1973-03-13
1.8317503929138184,1973-03-14
1.7211077213287354,1973-03-15
1.6842269897460938,1973-03-16
1.665785551071167,1973-03-19
1.65349280834198,1973-03-20
1.665785551071167,1973-03-21
1.6842269897460938,1973-03-22
1.6903737783432007,1973-03-23
1.6903737783432007,1973-03-26
1.7764294147491455,1973-03-27
1.8256038427352905,1973-03-28
1.9485400915145874,1973-03-29
1.9300992488861084,1973-03-30
1.9116584062576294,1973-04-02
1.8993659019470215,1973-04-03
1.8256038427352905,1973-04-04
1.8194557428359985,1973-04-05
1.7088137865066528,1973-04-06
1.6780810356140137,1973-04-09
1.7334016561508179,1973-04-10
1.8378978967666626,1973-04-11
1.9055116176605225,1973-04-12
1.8932191133499146,1973-04-13
1.8440442085266113,1973-04-16
1.8440442085266113,1973-04-17
1.7948695421218872,1973-04-18
1.770283818244934,1973-04-19
1.770283818244934,1973-04-23
1.782576084136963,1973-04-24
1.7149606943130493,1973-04-25
1.7211077213287354,1973-04-26
1.6719330549240112,1973-04-27
1.764136552810669,1973-04-30
1.7334016561508179,1973-05-01
1.7149606943130493,1973-05-02
1.6903737783432007,1973-05-03
1.7149606943130493,1973-05-04
1.6965214014053345,1973-05-07
1.665785551071167,1973-05-08
1.665785551071167,1973-05-09
1.6227585077285767,1973-05-10
1.6473462581634521,1973-05-11
1.6104645729064941,1973-05-14
1.5735853910446167,1973-05-15
1.5735853910446167,1973-05-16
1.5489963293075562,1973-05-17
1.5428500175476074,1973-05-18
1.5244104862213135,1973-05-21
1.5121158361434937,1973-05-22
1.5244104862213135,1973-05-23
1.5305559635162354,1973-05-24
1.5674375295639038,1973-05-25
1.5735853910446167,1973-05-29
1.5244104862213135,1973-05-30
1.5367039442062378,1973-05-31
1.5244104862213135,1973-06-01
1.5244104862213135,1973-06-04
1.4998232126235962,1973-06-05
1.5244104862213135,1973-06-06
1.4813815355300903,1973-06-07
1.5059690475463867,1973-06-08
1.4875295162200928,1973-06-11
1.5551429986953735,1973-06-12
1.5920249223709106,1973-06-13
1.5920249223709106,1973-06-14
1.5367039442062378,1973-06-15
1.4936749935150146,1973-06-18
1.4690881967544556,1973-06-19
1.462941288948059,1973-06-20
1.4445006847381592,1973-06-21
1.4383544921875,1973-06-22
1.462941288948059,1973-06-25
1.4813815355300903,1973-06-26
1.5059690475463867,1973-06-27
1.5305559635162354,1973-06-28
1.6166117191314697,1973-06-29
1.6227585077285767,1973-07-02
1.641198992729187,1973-07-03
1.7887223958969116,1973-07-05
1.8010154962539673,1973-07-06
1.7272536754608154,1973-07-09
1.7456951141357422,1973-07-10
1.7764294147491455,1973-07-11
1.764136552810669,1973-07-12
1.7579891681671143,1973-07-13
1.8133100271224976,1973-07-16
1.8686310052871704,1973-07-17
1.8686310052871704,1973-07-18
1.8932191133499146,1973-07-19
1.9055116176605225,1973-07-20
1.887070894241333,1973-07-23
1.8932191133499146,1973-07-24
1.8686310052871704,1973-07-25
1.8501920700073242,1973-07-26
1.856338381767273,1973-07-27
1.8256038427352905,1973-07-30
1.856338381767273,1973-07-31
1.8194557428359985,1973-08-01
1.8440442085266113,1973-08-02
1.8317503929138184,1973-08-03
1.8010154962539673,1973-08-06
1.8071622848510742,1973-08-07
1.8071622848510742,1973-08-08
1.8194557428359985,1973-08-09
1.8071622848510742,1973-08-10
1.7887223958969116,1973-08-13
1.8194557428359985,1973-08-14
1.8194557428359985,1973-08-15
1.8071622848510742,1973-08-16
1.8071622848510742,1973-08-17
1.7948695421218872,1973-08-20
1.782576084136963,1973-08-21
1.770283818244934,1973-08-22
1.770283818244934,1973-08-23
1.8256038427352905,1973-08-24
1.862484335899353,1973-08-27
1.9300992488861084,1973-08-28
2.0407421588897705,1973-08-29
2.0407421588897705,1973-08-30
2.016155481338501,1973-08-31
2.1083579063415527,1973-09-04
2.1821188926696777,1973-09-05
2.2128539085388184,1973-09-06
2.188265800476074,1973-09-07
2.2128539085388184,1973-09-10
2.2620270252227783,1973-09-11
2.2497339248657227,1973-09-12
2.243586778640747,1973-09-13
2.243586778640747,1973-09-14
2.3419361114501953,1973-09-17
2.366523265838623,1973-09-18
2.4156975746154785,1973-09-19
2.44643235206604,1973-09-20
2.4095516204833984,1973-09-21
2.323495388031006,1973-09-24
2.3603768348693848,1973-09-25
2.3603768348693848,1973-09-26
2.3112010955810547,1973-09-27
2.323495388031006,1973-09-28
2.2743215560913086,1973-10-01
2.3112010955810547,1973-10-02
2.323495388031006,1973-10-03
2.3911101818084717,1973-10-04
2.378817081451416,1973-10-05
2.3603768348693848,1973-10-08
2.3911101818084717,1973-10-09
2.378817081451416,1973-10-10
2.3972573280334473,1973-10-11
2.3603768348693848,1973-10-12
2.2927610874176025,1973-10-15
2.243586778640747,1973-10-16
2.1636781692504883,1973-10-17
2.102210521697998,1973-10-18
2.1267974376678467,1973-10-19
2.089916944503784,1973-10-22
2.1145036220550537,1973-10-23
2.05303692817688,1973-10-24
2.0345969200134277,1973-10-25
2.016155481338501,1973-10-26
2.0284485816955566,1973-10-29
2.016155481338501,1973-10-30
2.010007619857788,1973-10-31
2.016155481338501,1973-11-01
1.9915682077407837,1973-11-02
1.9977132081985474,1973-11-05
1.973126769065857,1973-11-06
1.9300992488861084,1973-11-07
1.9423936605453491,1973-11-08
1.8932191133499146,1973-11-09
1.8317503929138184,1973-11-12
1.764136552810669,1973-11-13
1.665785551071167,1973-11-14
1.7088137865066528,1973-11-15
1.8194557428359985,1973-11-16
1.8010154962539673,1973-11-19
1.6596391201019287,1973-11-20
1.7026673555374146,1973-11-21
1.6842269897460938,1973-11-23
1.6780810356140137,1973-11-26
1.6227585077285767,1973-11-27
1.6350531578063965,1973-11-28
1.6842269897460938,1973-11-29
1.6719330549240112,1973-11-30
1.6596391201019287,1973-12-03
1.6842269897460938,1973-12-04
1.7211077213287354,1973-12-05
1.7211077213287354,1973-12-06
1.782576084136963,1973-12-07
