CEG,Date
41.039794921875,2022-01-19
43.97120666503906,2022-01-20
43.97120666503906,2022-01-21
41.82150650024414,2022-01-24
40.940120697021484,2022-01-25
42.23190689086914,2022-01-26
44.71383285522461,2022-01-27
45.68119812011719,2022-01-28
46.90262222290039,2022-01-31
48.64192581176758,2022-02-01
51.7980842590332,2022-02-02
52.394134521484375,2022-02-03
48.99369812011719,2022-02-04
45.01675033569336,2022-02-07
44.45977783203125,2022-02-08
46.228397369384766,2022-02-09
45.97434616088867,2022-02-10
46.99056625366211,2022-02-11
47.01010513305664,2022-02-14
46.90262222290039,2022-02-15
46.12091827392578,2022-02-16
44.254581451416016,2022-02-17
44.3718376159668,2022-02-18
42.54458236694336,2022-02-22
42.10487365722656,2022-02-23
43.44892883300781,2022-02-24
43.046993255615234,2022-02-25
45.0763053894043,2022-02-28
46.85072708129883,2022-03-01
48.48790740966797,2022-03-02
48.54672622680664,2022-03-03
49.99764633178711,2022-03-04
50.634864807128906,2022-03-07
51.29169464111328,2022-03-08
50.3211555480957,2022-03-09
50.31134796142578,2022-03-10
48.35065841674805,2022-03-11
49.94862365722656,2022-03-14
50.28194046020508,2022-03-15
50.752506256103516,2022-03-16
49.98783874511719,2022-03-17
48.0467529296875,2022-03-18
48.252628326416016,2022-03-21
50.13488006591797,2022-03-22
49.98783874511719,2022-03-23
51.37992477416992,2022-03-24
52.74260711669922,2022-03-25
55.664039611816406,2022-03-28
55.2228889465332,2022-03-29
56.36988830566406,2022-03-30
55.14445114135742,2022-03-31
56.87967300415039,2022-04-01
57.23259353637695,2022-04-04
57.84040832519531,2022-04-05
58.42861557006836,2022-04-06
59.71287155151367,2022-04-07
62.761741638183594,2022-04-08
59.487388610839844,2022-04-11
60.65399932861328,2022-04-12
62.93820571899414,2022-04-13
61.32063293457031,2022-04-14
62.065704345703125,2022-04-18
65.39887237548828,2022-04-19
64.12442779541016,2022-04-20
61.43827438354492,2022-04-21
61.2029914855957,2022-04-22
61.046138763427734,2022-04-25
58.7717399597168,2022-04-26
58.90898513793945,2022-04-27
60.10500717163086,2022-04-28
58.0462760925293,2022-04-29
57.05613708496094,2022-05-02
58.526649475097656,2022-05-03
60.59518051147461,2022-05-04
58.97761154174805,2022-05-05
59.08544921875,2022-05-06
56.48753356933594,2022-05-09
55.91893005371094,2022-05-10
56.2424430847168,2022-05-11
52.54824447631836,2022-05-12
53.66859436035156,2022-05-13
55.61445617675781,2022-05-16
58.297401428222656,2022-05-17
56.29256057739258,2022-05-18
56.24342346191406,2022-05-19
55.67342758178711,2022-05-20
55.62428665161133,2022-05-23
55.80118179321289,2022-05-24
58.14998245239258,2022-05-25
61.393096923828125,2022-05-26
65.45189666748047,2022-05-27
61.009822845458984,2022-05-31
62.552757263183594,2022-06-01
62.651031494140625,2022-06-02
64.04655456542969,2022-06-03
65.24551391601562,2022-06-06
65.40276336669922,2022-06-07
63.6534423828125,2022-06-08
60.15481185913086,2022-06-09
58.75929641723633,2022-06-10
54.523597717285156,2022-06-13
53.501522064208984,2022-06-14
57.19670104980469,2022-06-15
57.25566864013672,2022-06-16
57.09842300415039,2022-06-17
59.3391227722168,2022-06-21
58.189292907714844,2022-06-22
57.638946533203125,2022-06-23
58.25808334350586,2022-06-24
58.395668029785156,2022-06-27
57.078773498535156,2022-06-28
56.322052001953125,2022-06-29
56.27290725708008,2022-06-30
56.60704803466797,2022-07-01
53.99290466308594,2022-07-05
55.78152847290039,2022-07-06
58.09101486206055,2022-07-07
58.621707916259766,2022-07-08
58.808433532714844,2022-07-11
58.208953857421875,2022-07-12
58.78878402709961,2022-07-13
56.921531677246094,2022-07-14
54.70049285888672,2022-07-15
53.86514663696289,2022-07-18
54.05187225341797,2022-07-19
53.13789749145508,2022-07-20
53.226348876953125,2022-07-21
53.06911087036133,2022-07-22
54.0125617980957,2022-07-25
54.543251037597656,2022-07-26
54.57273864746094,2022-07-27
63.47654342651367,2022-07-28
64.96051788330078,2022-07-29
64.17431640625,2022-08-01
64.70499420166016,2022-08-02
66.01206970214844,2022-08-03
66.29707336425781,2022-08-04
73.01914978027344,2022-08-05
74.58174896240234,2022-08-08
74.41468811035156,2022-08-09
75.79055786132812,2022-08-10
77.4710693359375,2022-08-11
80.23856353759766,2022-08-12
79.94320678710938,2022-08-15
80.14012145996094,2022-08-16
78.46642303466797,2022-08-17
80.3370132446289,2022-08-18
79.58877563476562,2022-08-19
78.41719818115234,2022-08-22
78.5156478881836,2022-08-23
79.12604522705078,2022-08-24
81.45936584472656,2022-08-25
79.57894134521484,2022-08-26
79.74629974365234,2022-08-29
78.45657348632812,2022-08-30
80.32716369628906,2022-08-31
81.2427749633789,2022-09-01
79.81521606445312,2022-09-02
80.98680877685547,2022-09-06
81.61690521240234,2022-09-07
84.462158203125,2022-09-08
86.15554809570312,2022-09-09
86.76594543457031,2022-09-12
85.04303741455078,2022-09-13
86.68718719482422,2022-09-14
85.45653533935547,2022-09-15
84.24557495117188,2022-09-16
87.9769058227539,2022-09-19
86.3918228149414,2022-09-20
85.92909240722656,2022-09-21
84.05850982666016,2022-09-22
82.55218505859375,2022-09-23
81.63658905029297,2022-09-26
82.67033386230469,2022-09-27
83.7040786743164,2022-09-28
81.75472259521484,2022-09-29
81.90240478515625,2022-09-30
85.2497787475586,2022-10-03
87.95721435546875,2022-10-04
86.8053207397461,2022-10-05
84.944580078125,2022-10-06
83.08383178710938,2022-10-07
83.40872955322266,2022-10-10
81.59720611572266,2022-10-11
80.88835906982422,2022-10-12
82.52265167236328,2022-10-13
80.00228118896484,2022-10-14
83.87145233154297,2022-10-17
85.1710205078125,2022-10-18
84.36371612548828,2022-10-19
83.25119018554688,2022-10-20
85.92909240722656,2022-10-21
86.22447204589844,2022-10-24
86.78563690185547,2022-10-25
87.4058837890625,2022-10-26
91.5999526977539,2022-10-27
92.29895782470703,2022-10-28
93.07673645019531,2022-10-31
94.04156494140625,2022-11-01
91.64917755126953,2022-11-02
92.9487533569336,2022-11-03
92.86014556884766,2022-11-04
92.0528335571289,2022-11-07
86.1850814819336,2022-11-08
85.99801635742188,2022-11-09
93.66744995117188,2022-11-10
90.88125610351562,2022-11-11
92.6077880859375,2022-11-14
92.19364929199219,2022-11-15
90.39908599853516,2022-11-16
88.7918701171875,2022-11-17
91.99644470214844,2022-11-18
92.0851821899414,2022-11-21
94.92495727539062,2022-11-22
95.27005767822266,2022-11-23
95.80252075195312,2022-11-25
93.4853515625,2022-11-28
93.11065673828125,2022-11-29
94.77706146240234,2022-11-30
93.15010070800781,2022-12-01
90.7540512084961,2022-12-02
88.80171203613281,2022-12-05
89.51165008544922,2022-12-06
90.6850357055664,2022-12-07
90.13285827636719,2022-12-08
88.46646881103516,2022-12-09
89.6102523803711,2022-12-12
89.57080841064453,2022-12-13
89.58068084716797,2022-12-14
88.44674682617188,2022-12-15
86.96770477294922,2022-12-16
86.5042724609375,2022-12-19
86.33663177490234,2022-12-20
88.3974380493164,2022-12-21
86.10987091064453,2022-12-22
86.8099365234375,2022-12-23
86.41552734375,2022-12-27
85.39991760253906,2022-12-28
85.55768585205078,2022-12-29
85.00550842285156,2022-12-30
80.76558685302734,2023-01-03
82.24463653564453,2023-01-04
81.25859832763672,2023-01-05
82.33336639404297,2023-01-06
82.82637786865234,2023-01-09
81.91924285888672,2023-01-10
82.93484497070312,2023-01-11
83.16163635253906,2023-01-12
83.97018432617188,2023-01-13
82.20518493652344,2023-01-17
80.7064208984375,2023-01-18
79.71053314208984,2023-01-19
81.8403549194336,2023-01-20
82.96443176269531,2023-01-23
82.73763275146484,2023-01-24
82.2347640991211,2023-01-25
84.68011474609375,2023-01-26
85.37034606933594,2023-01-27
81.24874114990234,2023-01-30
84.16738891601562,2023-01-31
84.2166976928711,2023-02-01
84.1378173828125,2023-02-02
82.03755950927734,2023-02-03
82.09673309326172,2023-02-06
84.72942352294922,2023-02-07
83.16163635253906,2023-02-08
83.24050903320312,2023-02-09
85.59712219238281,2023-02-10
85.18299102783203,2023-02-13
84.85759735107422,2023-02-14
84.80830383300781,2023-02-15
84.43360900878906,2023-02-16
83.36870574951172,2023-02-17
79.24710083007812,2023-02-21
76.7130126953125,2023-02-22
78.11316680908203,2023-02-23
78.44169616699219,2023-02-24
77.55110931396484,2023-02-27
74.10746765136719,2023-02-28
73.5731201171875,2023-03-01
75.38397979736328,2023-03-02
78.15473937988281,2023-03-03
77.97661590576172,2023-03-06
77.08602142333984,2023-03-07
77.25424194335938,2023-03-08
77.81828308105469,2023-03-09
76.73966979980469,2023-03-10
76.29437255859375,2023-03-13
77.1156997680664,2023-03-14
76.52198028564453,2023-03-15
77.6104736328125,2023-03-16
75.96781921386719,2023-03-17
76.19541931152344,2023-03-20
75.7204360961914,2023-03-21
73.64237213134766,2023-03-22
72.63304138183594,2023-03-23
72.67262268066406,2023-03-24
74.4834976196289,2023-03-27
74.72098541259766,2023-03-28
75.08712768554688,2023-03-29
76.01729583740234,2023-03-30
77.67974853515625,2023-03-31
75.81939697265625,2023-04-03
75.22566223144531,2023-04-04
75.70064544677734,2023-04-05
76.15583801269531,2023-04-06
76.52198028564453,2023-04-10
76.61102294921875,2023-04-11
76.00740051269531,2023-04-12
76.3339614868164,2023-04-13
75.63137817382812,2023-04-14
74.25589752197266,2023-04-17
73.70175170898438,2023-04-18
73.96892547607422,2023-04-19
75.67095947265625,2023-04-20
75.75012969970703,2023-04-21
76.48239135742188,2023-04-24
76.12615203857422,2023-04-25
75.06733703613281,2023-04-26
75.94802856445312,2023-04-27
76.59123229980469,2023-04-28
76.24490356445312,2023-05-01
75.98760986328125,2023-05-02
75.71054077148438,2023-05-03
77.76880645751953,2023-05-04
78.6594009399414,2023-05-05
77.88754272460938,2023-05-08
78.12504577636719,2023-05-09
78.62477111816406,2023-05-10
78.57213592529297,2023-05-11
79.29707336425781,2023-05-12
79.71416473388672,2023-05-15
78.45296478271484,2023-05-16
79.83333587646484,2023-05-17
80.83634185791016,2023-05-18
81.73011779785156,2023-05-19
82.95159149169922,2023-05-22
83.45806884765625,2023-05-23
82.73311614990234,2023-05-24
82.17699432373047,2023-05-25
83.26937866210938,2023-05-26
83.12042236328125,2023-05-30
83.43820190429688,2023-05-31
88.2645492553711,2023-06-01
86.93383026123047,2023-06-02
86.90403747558594,2023-06-05
88.9299087524414,2023-06-06
90.18118286132812,2023-06-07
91.66087341308594,2023-06-08
92.64401245117188,2023-06-09
93.10082244873047,2023-06-12
93.59736633300781,2023-06-13
