AZN,Date
1.74034583568573,1993-05-12
1.6756223440170288,1993-05-13
1.6540477275848389,1993-05-14
1.690005898475647,1993-05-17
1.6756223440170288,1993-05-18
1.6828140020370483,1993-05-19
1.6828140020370483,1993-05-20
1.6828140020370483,1993-05-21
1.6684309244155884,1993-05-24
1.6612390279769897,1993-05-25
1.6828140020370483,1993-05-26
1.6971969604492188,1993-05-27
1.690005898475647,1993-05-28
1.7115802764892578,1993-06-01
1.690005898475647,1993-06-02
1.6468559503555298,1993-06-03
1.6252822875976562,1993-06-04
1.5821322202682495,1993-06-07
1.5821322202682495,1993-06-08
1.6108982563018799,1993-06-09
1.603706955909729,1993-06-10
1.6180903911590576,1993-06-11
1.6180903911590576,1993-06-14
1.603706955909729,1993-06-15
1.6108982563018799,1993-06-16
1.6108982563018799,1993-06-17
1.5821322202682495,1993-06-18
1.5749410390853882,1993-06-21
1.5965162515640259,1993-06-22
1.5749410390853882,1993-06-23
1.5749410390853882,1993-06-24
1.5893244743347168,1993-06-25
1.5965162515640259,1993-06-28
1.603706955909729,1993-06-29
1.6180903911590576,1993-06-30
1.632473349571228,1993-07-01
1.6180903911590576,1993-07-02
1.5965162515640259,1993-07-06
1.5821322202682495,1993-07-07
1.5821322202682495,1993-07-08
1.5677498579025269,1993-07-09
1.5749410390853882,1993-07-12
1.5893244743347168,1993-07-13
1.6180903911590576,1993-07-14
1.603706955909729,1993-07-15
1.5749410390853882,1993-07-16
1.5533668994903564,1993-07-19
1.5605576038360596,1993-07-20
1.5533668994903564,1993-07-21
1.546175479888916,1993-07-22
1.5893244743347168,1993-07-23
1.5965162515640259,1993-07-26
1.5965162515640259,1993-07-27
1.603706955909729,1993-07-28
1.6468559503555298,1993-07-29
1.6252822875976562,1993-07-30
1.6252822875976562,1993-08-02
1.6684309244155884,1993-08-03
1.6540477275848389,1993-08-04
1.6612390279769897,1993-08-05
1.6828140020370483,1993-08-06
1.6756223440170288,1993-08-09
1.6468559503555298,1993-08-10
