AMCR,Date
5.105572700500488,2012-05-15
5.105572700500488,2012-05-16
5.105572700500488,2012-05-17
5.105572700500488,2012-05-18
5.105572700500488,2012-05-21
5.105572700500488,2012-05-22
5.105572700500488,2012-05-23
5.105572700500488,2012-05-24
5.105572700500488,2012-05-25
5.105572700500488,2012-05-29
5.105572700500488,2012-05-30
5.105572700500488,2012-05-31
5.105572700500488,2012-06-01
5.105572700500488,2012-06-04
5.105572700500488,2012-06-05
5.105572700500488,2012-06-06
4.906655788421631,2012-06-07
4.906655788421631,2012-06-08
4.906655788421631,2012-06-11
4.906655788421631,2012-06-12
4.906655788421631,2012-06-13
4.906655788421631,2012-06-14
4.906655788421631,2012-06-15
4.906655788421631,2012-06-18
4.906655788421631,2012-06-19
4.906655788421631,2012-06-20
4.906655788421631,2012-06-21
4.906655788421631,2012-06-22
4.906655788421631,2012-06-25
4.906655788421631,2012-06-26
4.906655788421631,2012-06-27
4.906655788421631,2012-06-28
4.906655788421631,2012-06-29
4.906655788421631,2012-07-02
4.906655788421631,2012-07-03
4.906655788421631,2012-07-05
4.906655788421631,2012-07-06
4.906655788421631,2012-07-09
4.906655788421631,2012-07-10
4.906655788421631,2012-07-11
4.906655788421631,2012-07-12
4.906655788421631,2012-07-13
4.906655788421631,2012-07-16
4.906655788421631,2012-07-17
4.906655788421631,2012-07-18
4.906655788421631,2012-07-19
4.906655788421631,2012-07-20
4.906655788421631,2012-07-23
4.906655788421631,2012-07-24
4.906655788421631,2012-07-25
4.906655788421631,2012-07-26
4.906655788421631,2012-07-27
4.906655788421631,2012-07-30
4.906655788421631,2012-07-31
4.906655788421631,2012-08-01
4.906655788421631,2012-08-02
4.906655788421631,2012-08-03
4.906655788421631,2012-08-06
4.906655788421631,2012-08-07
4.906655788421631,2012-08-08
4.906655788421631,2012-08-09
4.906655788421631,2012-08-10
4.906655788421631,2012-08-13
4.906655788421631,2012-08-14
4.906655788421631,2012-08-15
4.906655788421631,2012-08-16
5.171881198883057,2012-08-17
5.171881198883057,2012-08-20
5.171881198883057,2012-08-21
5.171881198883057,2012-08-22
5.132095813751221,2012-08-23
5.132095813751221,2012-08-24
5.132095813751221,2012-08-27
5.006115436553955,2012-08-28
5.006115436553955,2012-08-29
5.006115436553955,2012-08-30
5.006115436553955,2012-08-31
5.006115436553955,2012-09-04
5.006115436553955,2012-09-05
5.006115436553955,2012-09-06
5.006115436553955,2012-09-07
5.006115436553955,2012-09-10
5.006115436553955,2012-09-11
5.006115436553955,2012-09-12
5.006115436553955,2012-09-13
5.006115436553955,2012-09-14
5.006115436553955,2012-09-17
5.006115436553955,2012-09-18
5.006115436553955,2012-09-19
5.006115436553955,2012-09-20
5.006115436553955,2012-09-21
5.006115436553955,2012-09-24
5.006115436553955,2012-09-25
5.006115436553955,2012-09-26
5.006115436553955,2012-09-27
5.006115436553955,2012-09-28
5.006115436553955,2012-10-01
5.006115436553955,2012-10-02
5.006115436553955,2012-10-03
5.006115436553955,2012-10-04
5.006115436553955,2012-10-05
5.006115436553955,2012-10-08
5.006115436553955,2012-10-09
5.006115436553955,2012-10-10
5.006115436553955,2012-10-11
5.006115436553955,2012-10-12
5.27133846282959,2012-10-15
5.27133846282959,2012-10-16
5.27133846282959,2012-10-17
5.27133846282959,2012-10-18
5.27133846282959,2012-10-19
5.27133846282959,2012-10-22
5.27133846282959,2012-10-23
5.27133846282959,2012-10-24
5.27133846282959,2012-10-25
5.27133846282959,2012-10-26
5.27133846282959,2012-10-31
5.238185405731201,2012-11-01
5.238185405731201,2012-11-02
5.238185405731201,2012-11-05
5.238185405731201,2012-11-06
5.238185405731201,2012-11-07
5.238185405731201,2012-11-08
5.238185405731201,2012-11-09
5.238185405731201,2012-11-12
