Date,DISCK
2009-08-24,12.0663
2009-08-25,12.3622
2009-08-26,12.3469
2009-08-27,12.1378
2009-08-28,11.9439
2009-08-31,11.9235
2009-09-01,11.852
2009-09-02,11.7296
2009-09-03,11.8214
2009-09-04,12.0816
2009-09-08,12.2959
2009-09-09,12.5459
2009-09-10,13.0867
2009-09-11,13.0
2009-09-14,12.9643
2009-09-15,13.2041
2009-09-16,13.4949
2009-09-17,13.3367
2009-09-18,13.4745
2009-09-21,13.3571
2009-09-22,13.4439
2009-09-23,13.1531
2009-09-24,13.0306
2009-09-25,12.6786
2009-09-28,12.9898
2009-09-29,13.0969
2009-09-30,13.2806
2009-10-01,13.2704
2009-10-02,13.3163
2009-10-05,13.5612
2009-10-06,13.8571
2009-10-07,13.949
2009-10-08,14.2755
2009-10-09,14.0969
2009-10-12,14.0561
2009-10-13,13.9286
2009-10-14,14.0051
2009-10-15,13.7755
2009-10-16,13.7551
2009-10-19,14.0561
2009-10-20,14.0051
2009-10-21,13.5
2009-10-22,13.5714
2009-10-23,13.449
2009-10-26,13.4184
2009-10-27,13.0561
2009-10-28,12.5102
2009-10-29,12.801
2009-10-30,12.2551
2009-11-02,12.1531
2009-11-03,12.4388
2009-11-04,12.5561
2009-11-05,13.102
2009-11-06,13.3061
2009-11-09,13.7602
2009-11-10,13.6786
2009-11-11,13.6633
2009-11-12,13.6224
2009-11-13,13.7704
2009-11-16,14.1582
2009-11-17,14.3673
2009-11-18,14.1276
2009-11-19,14.0357
2009-11-20,13.9796
2009-11-23,14.1378
2009-11-24,14.3112
2009-11-25,14.2653
2009-11-27,14.1276
2009-11-30,14.3061
2009-12-01,14.3673
2009-12-02,14.301
2009-12-03,14.0
2009-12-04,14.0051
2009-12-07,14.1224
2009-12-08,14.0
2009-12-09,13.8571
2009-12-10,14.1939
2009-12-11,14.1276
2009-12-14,13.9133
2009-12-15,13.699
2009-12-16,13.699
2009-12-17,13.852
2009-12-18,13.8265
2009-12-21,13.9337
2009-12-22,13.949
2009-12-23,13.6684
2009-12-24,13.7143
2009-12-28,13.6327
2009-12-29,13.5663
2009-12-30,13.4184
2009-12-31,13.5306
2010-01-04,13.6684
2010-01-05,14.2704
2010-01-06,14.4133
2010-01-07,14.5459
2010-01-08,14.75
2010-01-11,14.6582
2010-01-12,14.2653
2010-01-13,14.2398
2010-01-14,14.1837
2010-01-15,14.5051
2010-01-19,14.5612
2010-01-20,14.3827
2010-01-21,14.2296
2010-01-22,13.6939
2010-01-25,13.6633
2010-01-26,13.7092
2010-01-27,13.4694
2010-01-28,13.5765
2010-01-29,13.398
2010-02-01,13.5306
2010-02-02,13.5204
2010-02-03,13.4745
2010-02-04,13.148
2010-02-05,13.0816
2010-02-08,13.1276
2010-02-09,13.3776
2010-02-10,12.9235
2010-02-11,12.9592
2010-02-12,13.1122
2010-02-16,13.1786
2010-02-17,14.0255
2010-02-18,14.0408
2010-02-19,14.2959
2010-02-22,14.4031
2010-02-23,14.3878
2010-02-24,14.352
2010-02-25,13.9337
2010-02-26,13.5459
2010-03-01,13.7347
2010-03-02,13.6939
2010-03-03,13.6531
2010-03-04,13.8929
2010-03-05,14.1378
2010-03-08,14.2602
2010-03-09,14.3827
2010-03-10,14.3724
2010-03-11,14.5
2010-03-12,14.6633
2010-03-15,14.6173
2010-03-16,14.6837
2010-03-17,14.7245
2010-03-18,14.6684
2010-03-19,14.6429
2010-03-22,14.9541
2010-03-23,14.9898
2010-03-24,15.1122
2010-03-25,15.0306
2010-03-26,15.0714
2010-03-29,15.0153
2010-03-30,15.2041
2010-03-31,15.0051
2010-04-01,14.9592
2010-04-05,15.0918
2010-04-06,15.2704
2010-04-07,15.102
2010-04-08,15.1173
2010-04-09,15.3571
2010-04-12,15.2602
2010-04-13,15.3214
2010-04-14,15.3929
2010-04-15,15.398
2010-04-16,15.3112
2010-04-19,15.301
2010-04-20,15.5408
2010-04-21,15.6939
2010-04-22,15.699
2010-04-23,16.0102
2010-04-26,15.8827
2010-04-27,15.6071
2010-04-28,15.8163
2010-04-29,16.4235
2010-04-30,17.0306
2010-05-03,17.1327
2010-05-04,16.9286
2010-05-05,16.1888
2010-05-06,15.6888
2010-05-07,15.2449
2010-05-10,16.1786
2010-05-11,16.5612
2010-05-12,16.7857
2010-05-13,16.5612
2010-05-14,16.2041
2010-05-17,16.0561
2010-05-18,15.9082
2010-05-19,15.8367
2010-05-20,15.4184
2010-05-21,15.6633
