MCHP,Date
0.18635429441928864,1993-03-19
0.17852403223514557,1993-03-22
0.17852403223514557,1993-03-23
0.18165601789951324,1993-03-24
0.18948638439178467,1993-03-25
0.19575047492980957,1993-03-26
0.19731618463993073,1993-03-29
0.2004481852054596,1993-03-30
0.20201389491558075,1993-03-31
0.2004481852054596,1993-04-01
0.2035801261663437,1993-04-02
0.20201389491558075,1993-04-05
0.19731618463993073,1993-04-06
0.20201389491558075,1993-04-07
0.2035801261663437,1993-04-08
0.19888189435005188,1993-04-12
0.20671223104000092,1993-04-13
0.21454191207885742,1993-04-14
0.20671223104000092,1993-04-15
0.209844172000885,1993-04-16
0.2035801261663437,1993-04-19
0.2035801261663437,1993-04-20
0.21140989661216736,1993-04-21
0.22237233817577362,1993-04-22
0.2349003255367279,1993-04-23
0.23646605014801025,1993-04-26
0.24742843210697174,1993-04-27
0.26308804750442505,1993-04-28
0.25055992603302,1993-04-29
0.2662200629711151,1993-04-30
0.2693520188331604,1993-05-03
0.25682398676872253,1993-05-04
0.2599559724330902,1993-05-05
0.2662200629711151,1993-05-06
0.278748095035553,1993-05-07
0.29440826177597046,1993-05-10
0.29440826177597046,1993-05-11
0.29440826177597046,1993-05-12
0.278748095035553,1993-05-13
0.28188008069992065,1993-05-14
0.29127615690231323,1993-05-17
0.3038041889667511,1993-05-18
0.29754015803337097,1993-05-19
0.30067235231399536,1993-05-20
0.30693623423576355,1993-05-21
0.2865784168243408,1993-05-24
0.28814414143562317,1993-05-25
0.29440826177597046,1993-05-26
0.29127615690231323,1993-05-27
0.29127615690231323,1993-05-28
0.2850120961666107,1993-06-01
0.2850120961666107,1993-06-02
0.2850120961666107,1993-06-03
0.2693520188331604,1993-06-04
0.27561596035957336,1993-06-07
0.25369200110435486,1993-06-08
0.26308804750442505,1993-06-09
0.2693520188331604,1993-06-10
0.29440826177597046,1993-06-11
0.3038041889667511,1993-06-14
0.30693623423576355,1993-06-15
0.3319922983646393,1993-06-16
0.3319922983646393,1993-06-17
0.3304261267185211,1993-06-18
0.35078373551368713,1993-06-21
0.34765195846557617,1993-06-22
0.3633120357990265,1993-06-23
0.3758402168750763,1993-06-24
0.37270796298980713,1993-06-25
0.37270796298980713,1993-06-28
0.3633120357990265,1993-06-29
0.36644402146339417,1993-06-30
0.35704806447029114,1993-07-01
0.3633120357990265,1993-07-02
0.3539160490036011,1993-07-06
0.35078373551368713,1993-07-07
0.3601800501346588,1993-07-08
