SWKS,Date
5.1400909423828125,1984-09-07
4.962845325469971,1984-09-10
4.998295307159424,1984-09-11
4.821050643920898,1984-09-12
4.821050643920898,1984-09-13
4.92739725112915,1984-09-14
4.821050643920898,1984-09-17
4.714703559875488,1984-09-18
4.714703559875488,1984-09-19
4.750151634216309,1984-09-20
4.714703559875488,1984-09-21
4.537458896636963,1984-09-24
4.395663738250732,1984-09-25
4.25386905670166,1984-09-26
4.218418121337891,1984-09-27
4.2893171310424805,1984-09-28
4.2893171310424805,1984-10-01
4.25386905670166,1984-10-02
4.25386905670166,1984-10-03
3.40309476852417,1984-10-04
3.4385435581207275,1984-10-05
3.40309476852417,1984-10-08
3.509441614151001,1984-10-09
3.5448901653289795,1984-10-10
3.5448901653289795,1984-10-11
3.5448901653289795,1984-10-12
3.615788698196411,1984-10-15
3.5448901653289795,1984-10-16
3.473992109298706,1984-10-17
3.473992109298706,1984-10-18
3.5448901653289795,1984-10-19
3.615788698196411,1984-10-22
3.5448901653289795,1984-10-23
3.5448901653289795,1984-10-24
3.473992109298706,1984-10-25
3.509441614151001,1984-10-26
3.509441614151001,1984-10-29
3.473992109298706,1984-10-30
3.4385435581207275,1984-10-31
3.4385435581207275,1984-11-01
3.509441614151001,1984-11-02
3.5448901653289795,1984-11-05
3.722134590148926,1984-11-06
3.828481435775757,1984-11-07
3.793031692504883,1984-11-08
3.8639304637908936,1984-11-09
3.8639304637908936,1984-11-12
3.7575843334198,1984-11-13
3.7575843334198,1984-11-14
3.7575843334198,1984-11-15
3.793031692504883,1984-11-16
3.6512365341186523,1984-11-19
3.509441614151001,1984-11-20
3.4385435581207275,1984-11-21
3.40309476852417,1984-11-23
3.367645025253296,1984-11-26
3.048605442047119,1984-11-27
2.8713607788085938,1984-11-28
2.729565382003784,1984-11-29
2.835911750793457,1984-11-30
3.048605442047119,1984-12-03
2.8713607788085938,1984-12-04
2.835911750793457,1984-12-05
2.8713607788085938,1984-12-06
2.835911750793457,1984-12-07
2.835911750793457,1984-12-10
2.8713607788085938,1984-12-11
2.8713607788085938,1984-12-12
2.835911750793457,1984-12-13
2.835911750793457,1984-12-14
2.8713607788085938,1984-12-17
2.977707624435425,1984-12-18
3.1195034980773926,1984-12-19
3.0131571292877197,1984-12-20
2.9068100452423096,1984-12-21
2.977707624435425,1984-12-24
3.084054946899414,1984-12-26
