PPG,Date
0.5587438344955444,1980-03-17
0.5483968257904053,1980-03-18
0.5561571717262268,1980-03-19
0.5587438344955444,1980-03-20
0.5509835481643677,1980-03-21
0.5561571717262268,1980-03-24
0.5509835481643677,1980-03-25
0.5483968257904053,1980-03-26
0.5458101034164429,1980-03-27
0.5483968257904053,1980-03-28
0.5949589014053345,1980-03-31
0.5846118927001953,1980-04-01
0.5665041208267212,1980-04-02
0.5690909624099731,1980-04-03
0.5613309144973755,1980-04-07
0.5665041208267212,1980-04-08
0.5587438344955444,1980-04-09
0.5587438344955444,1980-04-10
0.5742645263671875,1980-04-11
0.5742645263671875,1980-04-14
0.5716780424118042,1980-04-15
0.5742645263671875,1980-04-16
0.5742645263671875,1980-04-17
0.5768513679504395,1980-04-18
0.5742645263671875,1980-04-21
0.5846118927001953,1980-04-22
0.5846118927001953,1980-04-23
0.5923721194267273,1980-04-24
0.5975457429885864,1980-04-25
0.589785099029541,1980-04-28
0.6001324653625488,1980-04-29
0.6078928709030151,1980-04-30
0.6156530380249023,1980-05-01
0.6441075801849365,1980-05-02
0.6389340758323669,1980-05-05
0.6234133839607239,1980-05-06
0.6260000467300415,1980-05-07
0.6285871267318726,1980-05-08
0.6182399988174438,1980-05-09
0.6182399988174438,1980-05-12
0.6208266615867615,1980-05-13
0.6208266615867615,1980-05-14
0.6156530380249023,1980-05-15
0.5846118927001953,1980-05-16
0.5923721194267273,1980-05-19
0.6078928709030151,1980-05-20
0.6078928709030151,1980-05-21
0.6053063869476318,1980-05-22
0.6053063869476318,1980-05-23
0.6053063869476318,1980-05-27
0.6182399988174438,1980-05-28
0.6130666732788086,1980-05-29
0.6260000467300415,1980-05-30
0.6260000467300415,1980-06-02
0.6363472938537598,1980-06-03
0.6389340758323669,1980-06-04
0.6518679857254028,1980-06-05
0.6415207982063293,1980-06-06
0.6415207982063293,1980-06-09
0.6596283912658691,1980-06-10
0.6596283912658691,1980-06-11
0.6518679857254028,1980-06-12
0.6570413708686829,1980-06-13
0.6544550061225891,1980-06-16
0.6466943621635437,1980-06-17
0.6492809653282166,1980-06-18
0.6415207982063293,1980-06-19
0.6466943621635437,1980-06-20
0.6415207982063293,1980-06-23
0.6415207982063293,1980-06-24
0.6492809653282166,1980-06-25
0.6415207982063293,1980-06-26
0.6415207982063293,1980-06-27
0.6208266615867615,1980-06-30
0.6260000467300415,1980-07-01
0.6234133839607239,1980-07-02
0.6285871267318726,1980-07-03
0.6363472938537598,1980-07-07
0.6466943621635437,1980-07-08
0.6596283912658691,1980-07-09
0.6622149348258972,1980-07-10
0.6673887372016907,1980-07-11
0.6803227066993713,1980-07-14
0.6854960918426514,1980-07-15
0.6854960918426514,1980-07-16
0.6880828142166138,1980-07-17
0.7061904668807983,1980-07-18
0.7139506340026855,1980-07-21
0.7113639712333679,1980-07-22
0.7036036849021912,1980-07-23
0.7087771892547607,1980-07-24
0.7061904668807983,1980-07-25
0.7087771892547607,1980-07-28
0.7191240191459656,1980-07-29
0.7268844842910767,1980-07-30
0.732058048248291,1980-07-31
0.7372319102287292,1980-08-01
0.7527523040771484,1980-08-04
0.7449923753738403,1980-08-05
0.757926344871521,1980-08-06
0.7475790977478027,1980-08-07
0.7527523040771484,1980-08-08
0.7475790977478027,1980-08-11
0.7527523040771484,1980-08-12
0.7501649260520935,1980-08-13
0.7501649260520935,1980-08-14
0.7475790977478027,1980-08-15
0.7294710278511047,1980-08-18
0.7217109799385071,1980-08-19
0.7268844842910767,1980-08-20
0.7501649260520935,1980-08-21
0.7501649260520935,1980-08-22
0.7449923753738403,1980-08-25
0.7501649260520935,1980-08-26
0.7346449494361877,1980-08-27
0.7191240191459656,1980-08-28
0.7191240191459656,1980-08-29
0.7242980599403381,1980-09-02
0.7449923753738403,1980-09-03
0.7449923753738403,1980-09-04
0.7475790977478027,1980-09-05
0.7424057722091675,1980-09-08
0.7424057722091675,1980-09-09
0.7398185729980469,1980-09-10
0.7449923753738403,1980-09-11
0.7501649260520935,1980-09-12
0.7449923753738403,1980-09-15
0.7501649260520935,1980-09-16
0.7708597779273987,1980-09-17
0.7760331630706787,1980-09-18
0.7760331630706787,1980-09-19
0.7786198854446411,1980-09-22
0.7786198854446411,1980-09-23
0.7708597779273987,1980-09-24
0.7630996108055115,1980-09-25
0.757926344871521,1980-09-26
0.7553391456604004,1980-09-29
0.757926344871521,1980-09-30
0.7475790977478027,1980-10-01
0.7527523040771484,1980-10-02
0.7553391456604004,1980-10-03
0.7501649260520935,1980-10-06
0.7449923753738403,1980-10-07
0.7553391456604004,1980-10-08
0.7501649260520935,1980-10-09
0.7372319102287292,1980-10-10
0.7372319102287292,1980-10-13
0.7294710278511047,1980-10-14
0.7268844842910767,1980-10-15
0.7242980599403381,1980-10-16
0.7242980599403381,1980-10-17
0.7242980599403381,1980-10-20
0.7449923753738403,1980-10-21
0.7398185729980469,1980-10-22
0.7449923753738403,1980-10-23
0.7501649260520935,1980-10-24
0.7449923753738403,1980-10-27
0.7475790977478027,1980-10-28
0.7501649260520935,1980-10-29
0.7501649260520935,1980-10-30
0.7501649260520935,1980-10-31
0.7553391456604004,1980-11-03
0.7553391456604004,1980-11-05
0.76051265001297,1980-11-06
0.7553391456604004,1980-11-07
0.7527523040771484,1980-11-10
0.7501649260520935,1980-11-11
0.7527523040771484,1980-11-12
0.7527523040771484,1980-11-13
0.7630996108055115,1980-11-14
0.7708597779273987,1980-11-17
0.7734466791152954,1980-11-18
0.7812065482139587,1980-11-19
0.7941407561302185,1980-11-20
