QRVO,Date
70.4000015258789,2015-01-02
67.62999725341797,2015-01-05
64.66999816894531,2015-01-06
66.6500015258789,2015-01-07
67.69000244140625,2015-01-08
67.11000061035156,2015-01-09
65.5199966430664,2015-01-12
65.0199966430664,2015-01-13
64.58999633789062,2015-01-14
64.38999938964844,2015-01-15
65.80999755859375,2015-01-16
67.95999908447266,2015-01-20
68.83999633789062,2015-01-21
70.61000061035156,2015-01-22
73.37000274658203,2015-01-23
73.1500015258789,2015-01-26
73.75,2015-01-27
75.5,2015-01-28
75.76000213623047,2015-01-29
73.87000274658203,2015-01-30
68.72000122070312,2015-02-02
68.5199966430664,2015-02-03
68.33000183105469,2015-02-04
67.38999938964844,2015-02-05
65.88999938964844,2015-02-06
63.7400016784668,2015-02-09
65.0199966430664,2015-02-10
64.75,2015-02-11
66.19999694824219,2015-02-12
70.02999877929688,2015-02-13
69.44000244140625,2015-02-17
67.54000091552734,2015-02-18
65.30000305175781,2015-02-19
65.16999816894531,2015-02-20
65.05000305175781,2015-02-23
69.33999633789062,2015-02-24
67.20999908447266,2015-02-25
71.52999877929688,2015-02-26
69.4000015258789,2015-02-27
69.3499984741211,2015-03-02
70.83999633789062,2015-03-03
72.0199966430664,2015-03-04
74.51000213623047,2015-03-05
72.9800033569336,2015-03-06
74.83000183105469,2015-03-09
72.1500015258789,2015-03-10
72.94999694824219,2015-03-11
73.41999816894531,2015-03-12
72.56999969482422,2015-03-13
76.33000183105469,2015-03-16
77.70999908447266,2015-03-17
79.95999908447266,2015-03-18
80.37999725341797,2015-03-19
80.80000305175781,2015-03-20
84.08999633789062,2015-03-23
83.20999908447266,2015-03-24
77.12999725341797,2015-03-25
77.19000244140625,2015-03-26
79.27999877929688,2015-03-27
81.4000015258789,2015-03-30
79.69999694824219,2015-03-31
78.80000305175781,2015-04-01
77.79000091552734,2015-04-02
76.51000213623047,2015-04-06
73.2300033569336,2015-04-07
72.83999633789062,2015-04-08
74.62999725341797,2015-04-09
73.58000183105469,2015-04-10
72.62999725341797,2015-04-13
70.5,2015-04-14
70.91000366210938,2015-04-15
71.45999908447266,2015-04-16
70.06999969482422,2015-04-17
72.01000213623047,2015-04-20
74.06999969482422,2015-04-21
74.4800033569336,2015-04-22
73.2699966430664,2015-04-23
70.12000274658203,2015-04-24
69.37000274658203,2015-04-27
67.86000061035156,2015-04-28
68.6500015258789,2015-04-29
65.91000366210938,2015-04-30
69.5999984741211,2015-05-01
68.98999786376953,2015-05-04
67.06999969482422,2015-05-05
69.05999755859375,2015-05-06
75.55999755859375,2015-05-07
76.55999755859375,2015-05-08
