PEAK,Date
0.39631885290145874,1985-05-23
0.39631885290145874,1985-05-24
0.40331268310546875,1985-05-28
0.407975435256958,1985-05-29
0.407975435256958,1985-05-30
0.405644029378891,1985-05-31
0.4219632148742676,1985-06-03
0.4219632148742676,1985-06-04
0.4219632148742676,1985-06-05
0.42895710468292236,1985-06-06
0.4312882423400879,1985-06-07
0.42895710468292236,1985-06-10
0.4312882423400879,1985-06-11
0.42895710468292236,1985-06-12
0.42662566900253296,1985-06-13
0.41496923565864563,1985-06-14
0.405644029378891,1985-06-17
0.4103067219257355,1985-06-18
0.42429444193840027,1985-06-19
0.41963183879852295,1985-06-20
0.42662566900253296,1985-06-21
0.4219632148742676,1985-06-24
0.41963183879852295,1985-06-25
0.4219632148742676,1985-06-26
0.41963183879852295,1985-06-27
0.41496923565864563,1985-06-28
0.4219632148742676,1985-07-01
0.4219632148742676,1985-07-02
0.4219632148742676,1985-07-03
0.42429444193840027,1985-07-05
0.42662566900253296,1985-07-08
0.42895710468292236,1985-07-09
0.4219632148742676,1985-07-10
0.42429444193840027,1985-07-11
0.42429444193840027,1985-07-12
0.42895710468292236,1985-07-15
0.42662566900253296,1985-07-16
0.42662566900253296,1985-07-17
0.42662566900253296,1985-07-18
0.42429444193840027,1985-07-19
0.42429444193840027,1985-07-22
0.42662566900253296,1985-07-23
0.42895710468292236,1985-07-24
0.42429444193840027,1985-07-25
0.4219632148742676,1985-07-26
0.41963183879852295,1985-07-29
0.41963183879852295,1985-07-30
0.4173003137111664,1985-07-31
0.4219632148742676,1985-08-01
0.4219632148742676,1985-08-02
0.41963183879852295,1985-08-05
0.41963183879852295,1985-08-06
0.4126376509666443,1985-08-07
0.4103067219257355,1985-08-08
0.405644029378891,1985-08-09
0.407975435256958,1985-08-12
0.405644029378891,1985-08-13
0.405644029378891,1985-08-14
0.4103067219257355,1985-08-15
0.405644029378891,1985-08-16
0.405644029378891,1985-08-19
0.39398741722106934,1985-08-20
0.39631885290145874,1985-08-21
0.40098175406455994,1985-08-22
0.40098175406455994,1985-08-23
0.3986501693725586,1985-08-26
0.40098175406455994,1985-08-27
0.3986501693725586,1985-08-28
0.3986501693725586,1985-08-29
0.3986501693725586,1985-08-30
0.39631885290145874,1985-09-03
0.39631885290145874,1985-09-04
0.39631885290145874,1985-09-05
0.39631885290145874,1985-09-06
0.39398741722106934,1985-09-09
0.37300580739974976,1985-09-10
0.3869937062263489,1985-09-11
0.37766849994659424,1985-09-12
0.3800000250339508,1985-09-13
0.38233134150505066,1985-09-16
0.37766849994659424,1985-09-17
0.38932499289512634,1985-09-18
0.3846622705459595,1985-09-19
0.3800000250339508,1985-09-20
0.3869937062263489,1985-09-23
0.38233134150505066,1985-09-24
0.38233134150505066,1985-09-25
0.37766849994659424,1985-09-26
0.3800000250339508,1985-09-30
0.37533727288246155,1985-10-01
0.3566869795322418,1985-10-02
0.38233134150505066,1985-10-03
0.37766849994659424,1985-10-04
0.37533727288246155,1985-10-07
0.37533727288246155,1985-10-08
0.3683432638645172,1985-10-09
0.37300580739974976,1985-10-10
0.37300580739974976,1985-10-11
0.3706747591495514,1985-10-14
0.3800000250339508,1985-10-15
0.38233134150505066,1985-10-16
0.37766849994659424,1985-10-17
0.3800000250339508,1985-10-18
0.3800000250339508,1985-10-21
0.3846622705459595,1985-10-22
0.3869937062263489,1985-10-23
0.3846622705459595,1985-10-24
0.38932499289512634,1985-10-25
0.3846622705459595,1985-10-28
0.38233134150505066,1985-10-29
0.38233134150505066,1985-10-30
0.38233134150505066,1985-10-31
0.3800000250339508,1985-11-01
0.39165636897087097,1985-11-04
0.39165636897087097,1985-11-05
0.39165636897087097,1985-11-06
0.39165636897087097,1985-11-07
0.39165636897087097,1985-11-08
0.39398741722106934,1985-11-11
0.40098175406455994,1985-11-12
0.3986501693725586,1985-11-13
0.39631885290145874,1985-11-14
0.3986501693725586,1985-11-15
0.3986501693725586,1985-11-18
0.3986501693725586,1985-11-19
0.405644029378891,1985-11-20
0.40098175406455994,1985-11-21
0.405644029378891,1985-11-22
0.40098175406455994,1985-11-25
0.40098175406455994,1985-11-26
0.39631885290145874,1985-11-27
0.39631885290145874,1985-11-29
0.40098175406455994,1985-12-02
0.39398741722106934,1985-12-03
0.3986501693725586,1985-12-04
0.40331268310546875,1985-12-05
0.40098175406455994,1985-12-06
0.40098175406455994,1985-12-09
0.40098175406455994,1985-12-10
0.38932499289512634,1985-12-11
0.3869937062263489,1985-12-12
0.38233134150505066,1985-12-13
0.37300580739974976,1985-12-16
0.37300580739974976,1985-12-17
0.37300580739974976,1985-12-18
0.37300580739974976,1985-12-19
0.37300580739974976,1985-12-20
0.3706747591495514,1985-12-23
0.37300580739974976,1985-12-24
0.37533727288246155,1985-12-26
0.3846622705459595,1985-12-27
0.3869937062263489,1985-12-30
0.38932499289512634,1985-12-31
0.3986501693725586,1986-01-02
0.39631885290145874,1986-01-03
0.40331268310546875,1986-01-06
0.405644029378891,1986-01-07
0.40331268310546875,1986-01-08
0.39398741722106934,1986-01-09
0.39165636897087097,1986-01-10
0.38233134150505066,1986-01-13
0.38932499289512634,1986-01-14
0.3869937062263489,1986-01-15
0.3846622705459595,1986-01-16
0.37766849994659424,1986-01-17
0.3846622705459595,1986-01-20
0.3869937062263489,1986-01-21
0.3846622705459595,1986-01-22
0.38932499289512634,1986-01-23
0.40331268310546875,1986-01-24
0.41496923565864563,1986-01-27
0.4173003137111664,1986-01-28
0.4173003137111664,1986-01-29
0.42429444193840027,1986-01-30
0.4173003137111664,1986-01-31
0.4173003137111664,1986-02-03
0.4173003137111664,1986-02-04
0.4173003137111664,1986-02-05
0.42895710468292236,1986-02-06
0.42429444193840027,1986-02-07
0.42429444193840027,1986-02-10
0.42429444193840027,1986-02-11
0.42429444193840027,1986-02-12
0.4312882423400879,1986-02-13
0.44061359763145447,1986-02-14
0.4522698223590851,1986-02-18
0.4569321870803833,1986-02-19
0.42895710468292236,1986-02-20
0.44993850588798523,1986-02-21
0.4522698223590851,1986-02-24
0.45460110902786255,1986-02-25
0.45460110902786255,1986-02-26
0.44993850588798523,1986-02-27
0.4569321870803833,1986-02-28
0.45460110902786255,1986-03-03
0.447607159614563,1986-03-04
0.447607159614563,1986-03-05
0.44993850588798523,1986-03-06
0.4569321870803833,1986-03-07
0.46625757217407227,1986-03-10
0.4849078059196472,1986-03-11
0.48024535179138184,1986-03-12
0.48024535179138184,1986-03-13
0.48257672786712646,1986-03-14
0.4872390031814575,1986-03-17
0.48257672786712646,1986-03-18
0.4732513129711151,1986-03-19
0.48024535179138184,1986-03-20
0.4872390031814575,1986-03-21
0.48257672786712646,1986-03-24
0.47558286786079407,1986-03-25
0.47558286786079407,1986-03-26
0.47091978788375854,1986-03-27
0.46625757217407227,1986-03-31
0.46159517765045166,1986-04-01
0.46159517765045166,1986-04-02
0.4639262855052948,1986-04-03
