Date,MXIM
2021-08-25,103.14
2021-08-24,104.37
2021-08-23,106.63
2021-08-20,101.65
2021-08-19,101.81
2021-08-18,100.94
2021-08-17,99.8
2021-08-16,100.01
2021-08-13,99.73
2021-08-12,98.46
2021-08-11,99.94
2021-08-10,100.1
2021-08-09,100.47
2021-08-06,100.68
2021-08-05,100.46
2021-08-04,101.05
2021-08-03,98.75
2021-08-02,99.71
2021-07-30,99.91
2021-07-29,99.46
2021-07-28,97.45
2021-07-27,96.81
2021-07-26,99.22
2021-07-23,99.28
2021-07-22,98.12
2021-07-21,100.07
2021-07-20,97.52
2021-07-19,96.12
2021-07-16,97.1
2021-07-15,98.79
2021-07-14,100.08
2021-07-13,100.61
2021-07-12,100.79
2021-07-09,100.03
2021-07-08,98.39
2021-07-07,100.04
2021-07-06,102.56
2021-07-02,104.03
2021-07-01,103.19
2021-06-30,105.36
2021-06-29,104.96
2021-06-28,104.6
2021-06-25,102.66
2021-06-24,102.53
2021-06-23,100.3
2021-06-22,100.36
2021-06-21,100.48
2021-06-18,99.9
2021-06-17,102.58
2021-06-16,102.59
2021-06-15,103.65
2021-06-14,104.13
2021-06-11,103.63
2021-06-10,103.6
2021-06-09,102.98
2021-06-08,102.05
2021-06-07,101.5
2021-06-04,102.43
2021-06-03,100.19
2021-06-02,101.57
2021-06-01,101.13
2021-05-28,102.01
2021-05-27,101.16
2021-05-26,101.07
2021-05-25,101.24
2021-05-24,100.7
2021-05-21,98.85
2021-05-20,98.61
2021-05-19,94.32
2021-05-18,90.02
2021-05-17,91.43
2021-05-14,92.85
2021-05-13,90.45
2021-05-12,89.93
2021-05-11,92.95
2021-05-10,92.65
2021-05-07,96.58
2021-05-06,95.28
2021-05-05,94.52
2021-05-04,93.1
2021-05-03,92.8
2021-04-30,94.0
2021-04-29,97.07
2021-04-28,94.58
2021-04-27,96.92
2021-04-26,97.67
2021-04-23,96.19
2021-04-22,93.19
2021-04-21,94.87
2021-04-20,92.58
2021-04-19,93.89
2021-04-16,95.13
2021-04-15,95.54
2021-04-14,94.21
2021-04-13,94.78
2021-04-12,95.01
2021-04-09,95.77
2021-04-08,96.6
2021-04-07,95.34
2021-04-06,96.71
2021-04-05,97.32
2021-04-01,95.45
2021-03-31,91.37
2021-03-30,89.92
2021-03-29,91.04
2021-03-26,93.14
2021-03-25,88.42
