CHTR,Date
35.0,2010-01-05
35.0,2010-01-06
35.0,2010-01-07
33.5,2010-01-08
33.5,2010-01-11
33.5,2010-01-12
32.75,2010-01-13
32.75,2010-01-14
32.25,2010-01-15
32.0,2010-01-19
31.75,2010-01-20
31.600000381469727,2010-01-21
31.5,2010-01-22
31.25,2010-01-25
30.75,2010-01-26
30.75,2010-01-27
30.75,2010-01-28
30.6299991607666,2010-01-29
30.5,2010-02-01
30.5,2010-02-02
29.75,2010-02-03
30.25,2010-02-04
30.5,2010-02-05
29.850000381469727,2010-02-08
29.799999237060547,2010-02-09
29.75,2010-02-10
29.739999771118164,2010-02-11
29.739999771118164,2010-02-12
29.739999771118164,2010-02-16
29.739999771118164,2010-02-17
29.700000762939453,2010-02-18
29.700000762939453,2010-02-19
29.700000762939453,2010-02-22
29.700000762939453,2010-02-23
29.700000762939453,2010-02-24
29.5,2010-02-25
29.75,2010-02-26
30.100000381469727,2010-03-01
30.399999618530273,2010-03-02
30.75,2010-03-03
31.020000457763672,2010-03-04
31.75,2010-03-05
31.75,2010-03-08
32.75,2010-03-09
33.0,2010-03-10
32.5,2010-03-11
32.5,2010-03-12
33.0,2010-03-15
32.75,2010-03-16
34.0,2010-03-17
34.75,2010-03-18
34.75,2010-03-19
34.43000030517578,2010-03-22
35.0,2010-03-23
35.0,2010-03-24
34.5,2010-03-25
34.75,2010-03-26
34.5,2010-03-29
34.45000076293945,2010-03-30
34.5,2010-03-31
35.0,2010-04-01
35.0,2010-04-05
34.54999923706055,2010-04-06
34.54999923706055,2010-04-07
34.54999923706055,2010-04-08
34.70000076293945,2010-04-09
35.0,2010-04-12
35.0,2010-04-13
35.25,2010-04-14
36.0,2010-04-15
36.099998474121094,2010-04-16
36.0099983215332,2010-04-19
36.0099983215332,2010-04-20
35.5099983215332,2010-04-21
36.0,2010-04-22
36.25,2010-04-23
36.5,2010-04-26
36.5,2010-04-27
36.5,2010-04-28
37.25,2010-04-29
37.900001525878906,2010-04-30
39.5,2010-05-03
39.75,2010-05-04
39.5,2010-05-05
38.349998474121094,2010-05-06
37.849998474121094,2010-05-07
37.75,2010-05-10
38.0,2010-05-11
38.0,2010-05-12
38.0,2010-05-13
37.599998474121094,2010-05-14
38.0,2010-05-17
37.25,2010-05-18
38.20000076293945,2010-05-19
37.0,2010-05-20
36.75,2010-05-21
36.29999923706055,2010-05-24
36.0,2010-05-25
36.0,2010-05-26
36.0,2010-05-27
36.0,2010-05-28
35.880001068115234,2010-06-01
35.0,2010-06-02
35.0,2010-06-03
35.0,2010-06-04
33.75,2010-06-07
34.5,2010-06-08
34.52000045776367,2010-06-09
34.52000045776367,2010-06-10
34.5,2010-06-11
34.099998474121094,2010-06-14
34.5,2010-06-15
34.70000076293945,2010-06-16
34.75,2010-06-17
35.25,2010-06-18
35.25,2010-06-21
35.5,2010-06-22
35.650001525878906,2010-06-23
35.599998474121094,2010-06-24
35.599998474121094,2010-06-25
35.349998474121094,2010-06-28
35.5,2010-06-29
35.29999923706055,2010-06-30
35.5,2010-07-01
35.5,2010-07-02
36.5,2010-07-06
36.5,2010-07-07
36.0,2010-07-08
36.20000076293945,2010-07-09
36.25,2010-07-12
36.04999923706055,2010-07-13
35.54999923706055,2010-07-14
35.45000076293945,2010-07-15
35.400001525878906,2010-07-16
35.0,2010-07-19
35.5,2010-07-20
35.25,2010-07-21
35.04999923706055,2010-07-22
35.0,2010-07-23
35.0,2010-07-26
35.5,2010-07-27
35.5,2010-07-28
36.25,2010-07-29
36.5,2010-07-30
36.5,2010-08-02
36.25,2010-08-03
36.5,2010-08-04
36.25,2010-08-05
36.25,2010-08-06
36.150001525878906,2010-08-09
36.20000076293945,2010-08-10
36.20000076293945,2010-08-11
36.20000076293945,2010-08-12
36.150001525878906,2010-08-13
35.54999923706055,2010-08-16
35.04999923706055,2010-08-17
35.04999923706055,2010-08-18
35.099998474121094,2010-08-19
35.0,2010-08-20
35.0,2010-08-23
34.75,2010-08-24
34.5,2010-08-25
34.25,2010-08-26
33.75,2010-08-27
33.75,2010-08-30
33.75,2010-08-31
34.0,2010-09-01
33.79999923706055,2010-09-02
34.0,2010-09-03
34.0,2010-09-07
34.0,2010-09-08
34.20000076293945,2010-09-09
34.0,2010-09-10
35.0,2010-09-13
35.5,2010-09-14
34.75,2010-09-15
34.11000061035156,2010-09-16
34.5,2010-09-17
34.5,2010-09-20
