LUMN,Date
0.20955654978752136,1980-03-17
0.22119851410388947,1980-03-18
0.21731789410114288,1980-03-19
0.22507929801940918,1980-03-20
0.23284049332141876,1980-03-21
0.22507929801940918,1980-03-24
0.22119851410388947,1980-03-25
0.21731789410114288,1980-03-26
0.20955654978752136,1980-03-27
0.22119851410388947,1980-03-28
0.2289598286151886,1980-03-31
0.2289598286151886,1980-04-01
0.23284049332141876,1980-04-02
0.23284049332141876,1980-04-03
0.23284049332141876,1980-04-07
0.2406018078327179,1980-04-08
0.2406018078327179,1980-04-09
0.24836312234401703,1980-04-10
0.24836312234401703,1980-04-11
0.24836312234401703,1980-04-14
0.2522440254688263,1980-04-15
0.24836312234401703,1980-04-16
0.24836312234401703,1980-04-17
0.24836312234401703,1980-04-18
0.24836312234401703,1980-04-21
0.23672111332416534,1980-04-22
0.23672111332416534,1980-04-23
0.2406018078327179,1980-04-24
0.2406018078327179,1980-04-25
0.2444825917482376,1980-04-28
0.2444825917482376,1980-04-29
0.2444825917482376,1980-04-30
0.2444825917482376,1980-05-01
0.2444825917482376,1980-05-02
0.2444825917482376,1980-05-05
0.2522440254688263,1980-05-06
0.2522440254688263,1980-05-07
0.2522440254688263,1980-05-08
0.26000532507896423,1980-05-09
0.26000532507896423,1980-05-12
0.2522440254688263,1980-05-13
0.24836312234401703,1980-05-14
0.2522440254688263,1980-05-15
0.24836312234401703,1980-05-16
0.2522440254688263,1980-05-19
0.2522440254688263,1980-05-20
0.26000532507896423,1980-05-21
0.24836312234401703,1980-05-22
0.25612467527389526,1980-05-23
0.2522440254688263,1980-05-27
0.2638859450817108,1980-05-28
0.2638859450817108,1980-05-29
0.26000532507896423,1980-05-30
0.25612467527389526,1980-06-02
0.2522440254688263,1980-06-03
0.2522440254688263,1980-06-04
0.24836312234401703,1980-06-05
0.25612467527389526,1980-06-06
0.25612467527389526,1980-06-09
0.24836312234401703,1980-06-10
0.2522440254688263,1980-06-11
0.25612467527389526,1980-06-12
0.26000532507896423,1980-06-13
0.25612467527389526,1980-06-16
0.25612467527389526,1980-06-17
0.25612467527389526,1980-06-18
0.26000532507896423,1980-06-19
0.267766535282135,1980-06-20
0.27940866351127625,1980-06-23
0.27552780508995056,1980-06-24
0.27552780508995056,1980-06-25
0.27552780508995056,1980-06-26
0.27164727449417114,1980-06-27
0.27164727449417114,1980-06-30
0.27552780508995056,1980-07-01
0.27552780508995056,1980-07-02
0.27552780508995056,1980-07-03
0.27940866351127625,1980-07-07
0.27940866351127625,1980-07-08
0.28328922390937805,1980-07-09
0.27940866351127625,1980-07-10
0.28328922390937805,1980-07-11
0.27940866351127625,1980-07-14
0.27940866351127625,1980-07-15
0.27940866351127625,1980-07-16
0.27552780508995056,1980-07-17
0.27940866351127625,1980-07-18
0.27940866351127625,1980-07-21
0.2871701717376709,1980-07-22
0.27940866351127625,1980-07-23
0.28328922390937805,1980-07-24
0.27940866351127625,1980-07-25
0.27552780508995056,1980-07-28
0.27164727449417114,1980-07-29
0.2871701717376709,1980-07-30
0.28328922390937805,1980-07-31
0.28328922390937805,1980-08-01
0.2871701717376709,1980-08-04
0.2871701717376709,1980-08-05
0.27940866351127625,1980-08-06
0.28328922390937805,1980-08-07
0.28328922390937805,1980-08-08
0.28328922390937805,1980-08-11
0.2910507023334503,1980-08-12
0.29881203174591064,1980-08-13
0.29881203174591064,1980-08-14
0.2949313819408417,1980-08-15
0.2910507023334503,1980-08-18
0.2871701717376709,1980-08-19
0.27164727449417114,1980-08-20
0.267766535282135,1980-08-21
0.267766535282135,1980-08-22
0.267766535282135,1980-08-25
0.27164727449417114,1980-08-26
0.267766535282135,1980-08-27
0.2638859450817108,1980-08-28
0.26000532507896423,1980-08-29
0.2522440254688263,1980-09-02
0.267766535282135,1980-09-03
0.267766535282135,1980-09-04
0.26000532507896423,1980-09-05
0.27164727449417114,1980-09-08
0.267766535282135,1980-09-09
0.2638859450817108,1980-09-10
0.2638859450817108,1980-09-11
0.26000532507896423,1980-09-12
0.26000532507896423,1980-09-15
0.26000532507896423,1980-09-16
0.26000532507896423,1980-09-17
0.26000532507896423,1980-09-18
0.2638859450817108,1980-09-19
0.26000532507896423,1980-09-22
0.25612467527389526,1980-09-23
0.2638859450817108,1980-09-24
0.26000532507896423,1980-09-25
0.25612467527389526,1980-09-26
0.24836312234401703,1980-09-29
0.2522440254688263,1980-09-30
0.25612467527389526,1980-10-01
0.25612467527389526,1980-10-02
0.26000532507896423,1980-10-03
0.25612467527389526,1980-10-06
0.26000532507896423,1980-10-07
0.25612467527389526,1980-10-08
0.25612467527389526,1980-10-09
0.26000532507896423,1980-10-10
0.2638859450817108,1980-10-13
0.26000532507896423,1980-10-14
0.26000532507896423,1980-10-15
0.25612467527389526,1980-10-16
0.26000532507896423,1980-10-17
0.25612467527389526,1980-10-20
0.26000532507896423,1980-10-21
0.2522440254688263,1980-10-22
0.267766535282135,1980-10-23
0.2638859450817108,1980-10-24
0.26000532507896423,1980-10-27
0.26000532507896423,1980-10-28
0.26000532507896423,1980-10-29
0.25612467527389526,1980-10-30
0.25612467527389526,1980-10-31
0.25612467527389526,1980-11-03
0.2522440254688263,1980-11-05
0.2522440254688263,1980-11-06
0.2444825917482376,1980-11-07
0.2444825917482376,1980-11-10
0.24836312234401703,1980-11-11
0.2444825917482376,1980-11-12
0.2406018078327179,1980-11-13
0.23672111332416534,1980-11-14
0.27164727449417114,1980-11-17
0.27940866351127625,1980-11-18
0.27552780508995056,1980-11-19
0.27940866351127625,1980-11-20
0.27164727449417114,1980-11-21
