FTNT,Date
1.6619999408721924,2009-11-18
1.6890000104904175,2009-11-19
1.694000005722046,2009-11-20
1.690000057220459,2009-11-23
1.7009999752044678,2009-11-24
1.7200000286102295,2009-11-25
1.6890000104904175,2009-11-27
1.6990000009536743,2009-11-30
1.6820000410079956,2009-12-01
1.6619999408721924,2009-12-02
1.6679999828338623,2009-12-03
1.7280000448226929,2009-12-04
1.6920000314712524,2009-12-07
1.6549999713897705,2009-12-08
1.6990000009536743,2009-12-09
1.6920000314712524,2009-12-10
1.694000005722046,2009-12-11
1.7000000476837158,2009-12-14
1.7000000476837158,2009-12-15
1.8250000476837158,2009-12-16
1.7949999570846558,2009-12-17
1.7580000162124634,2009-12-18
1.7630000114440918,2009-12-21
1.7230000495910645,2009-12-22
1.7960000038146973,2009-12-23
1.8359999656677246,2009-12-24
1.7730000019073486,2009-12-28
1.8350000381469727,2009-12-29
1.8020000457763672,2009-12-30
1.7569999694824219,2009-12-31
1.7999999523162842,2010-01-04
1.8389999866485596,2010-01-05
1.940999984741211,2010-01-06
1.9450000524520874,2010-01-07
2.010999917984009,2010-01-08
2.005000114440918,2010-01-11
1.9789999723434448,2010-01-12
1.944000005722046,2010-01-13
1.9900000095367432,2010-01-14
1.9630000591278076,2010-01-15
1.9800000190734863,2010-01-19
1.906000018119812,2010-01-20
1.8389999866485596,2010-01-21
1.7879999876022339,2010-01-22
1.8009999990463257,2010-01-25
1.8309999704360962,2010-01-26
1.8650000095367432,2010-01-27
1.7799999713897705,2010-01-28
1.7230000495910645,2010-01-29
1.7450000047683716,2010-02-01
1.7130000591278076,2010-02-02
1.6440000534057617,2010-02-03
1.5700000524520874,2010-02-04
1.569000005722046,2010-02-05
1.590000033378601,2010-02-08
1.659000039100647,2010-02-09
1.6859999895095825,2010-02-10
1.6670000553131104,2010-02-11
1.6519999504089355,2010-02-12
1.6510000228881836,2010-02-16
1.6920000314712524,2010-02-17
1.7330000400543213,2010-02-18
1.7330000400543213,2010-02-19
1.6970000267028809,2010-02-22
1.6679999828338623,2010-02-23
1.656999945640564,2010-02-24
1.6759999990463257,2010-02-25
1.718000054359436,2010-02-26
1.7990000247955322,2010-03-01
1.746000051498413,2010-03-02
1.7089999914169312,2010-03-03
1.687000036239624,2010-03-04
1.7050000429153442,2010-03-05
1.7239999771118164,2010-03-08
1.7009999752044678,2010-03-09
1.6660000085830688,2010-03-10
1.6369999647140503,2010-03-11
1.6339999437332153,2010-03-12
1.6330000162124634,2010-03-15
1.6480000019073486,2010-03-16
1.694000005722046,2010-03-17
1.718000054359436,2010-03-18
1.7100000381469727,2010-03-19
1.7130000591278076,2010-03-22
1.7339999675750732,2010-03-23
1.7209999561309814,2010-03-24
1.7200000286102295,2010-03-25
1.7050000429153442,2010-03-26
1.7400000095367432,2010-03-29
1.7660000324249268,2010-03-30
1.7580000162124634,2010-03-31
1.7690000534057617,2010-04-01
1.7309999465942383,2010-04-05
1.7209999561309814,2010-04-06
1.7319999933242798,2010-04-07
1.7009999752044678,2010-04-08
1.6859999895095825,2010-04-09
1.7020000219345093,2010-04-12
1.6440000534057617,2010-04-13
1.7050000429153442,2010-04-14
1.6460000276565552,2010-04-15
1.6200000047683716,2010-04-16
1.625,2010-04-19
1.6660000085830688,2010-04-20
1.6419999599456787,2010-04-21
1.6360000371932983,2010-04-22
1.6579999923706055,2010-04-23
1.6260000467300415,2010-04-26
1.6430000066757202,2010-04-27
1.6820000410079956,2010-04-28
1.7799999713897705,2010-04-29
1.777999997138977,2010-04-30
1.8630000352859497,2010-05-03
1.7910000085830688,2010-05-04
1.7630000114440918,2010-05-05
1.718999981880188,2010-05-06
1.6460000276565552,2010-05-07
1.690000057220459,2010-05-10
1.6749999523162842,2010-05-11
1.7170000076293945,2010-05-12
1.6749999523162842,2010-05-13
1.6139999628067017,2010-05-14
1.6749999523162842,2010-05-17
1.656999945640564,2010-05-18
1.652999997138977,2010-05-19
1.621999979019165,2010-05-20
1.6260000467300415,2010-05-21
1.6039999723434448,2010-05-24
1.5720000267028809,2010-05-25
1.6200000047683716,2010-05-26
1.6200000047683716,2010-05-27
1.6319999694824219,2010-05-28
1.5729999542236328,2010-06-01
1.600000023841858,2010-06-02
1.5779999494552612,2010-06-03
1.5190000534057617,2010-06-04
1.503999948501587,2010-06-07
1.5,2010-06-08
1.5099999904632568,2010-06-09
1.5449999570846558,2010-06-10
1.5800000429153442,2010-06-11
1.61899995803833,2010-06-14
1.6419999599456787,2010-06-15
1.625,2010-06-16
1.649999976158142,2010-06-17
1.7139999866485596,2010-06-18
1.7050000429153442,2010-06-21
1.6979999542236328,2010-06-22
1.6779999732971191,2010-06-23
1.7089999914169312,2010-06-24
1.7549999952316284,2010-06-25
1.746999979019165,2010-06-28
1.7070000171661377,2010-06-29
1.6440000534057617,2010-06-30
1.6260000467300415,2010-07-01
1.61899995803833,2010-07-02
1.6269999742507935,2010-07-06
1.6699999570846558,2010-07-07
1.7009999752044678,2010-07-08
1.6970000267028809,2010-07-09
1.6660000085830688,2010-07-12
1.684999942779541,2010-07-13
1.684999942779541,2010-07-14
1.659999966621399,2010-07-15
1.628000020980835,2010-07-16
1.6139999628067017,2010-07-19
1.6119999885559082,2010-07-20
1.600000023841858,2010-07-21
1.7319999933242798,2010-07-22
1.781000018119812,2010-07-23
