ITW,Date
0.5723778605461121,1973-03-13
0.5723778605461121,1973-03-14
0.5703697800636292,1973-03-15
0.5743864178657532,1973-03-16
0.5623363256454468,1973-03-19
0.5603281259536743,1973-03-20
0.5583198070526123,1973-03-21
0.5422532558441162,1973-03-22
0.5221694707870483,1973-03-23
0.5181528329849243,1973-03-26
0.5181528329849243,1973-03-27
0.5181528329849243,1973-03-28
0.5201612710952759,1973-03-29
0.5081108212471008,1973-03-30
0.5081108212471008,1973-04-02
0.5081108212471008,1973-04-03
0.4980693459510803,1973-04-04
0.486019492149353,1973-04-05
0.45991072058677673,1973-04-06
0.4619193375110626,1973-04-09
0.49405258893966675,1973-04-10
0.5000774264335632,1973-04-11
0.5020862221717834,1973-04-12
0.5040945410728455,1973-04-13
0.514136016368866,1973-04-16
0.514136016368866,1973-04-17
0.4980693459510803,1973-04-18
0.5020862221717834,1973-04-19
0.49405258893966675,1973-04-23
0.49405258893966675,1973-04-24
0.47396910190582275,1973-04-25
0.47396910190582275,1973-04-26
0.477986216545105,1973-04-27
0.486019492149353,1973-04-30
0.486019492149353,1973-05-01
0.5020862221717834,1973-05-02
0.49405258893966675,1973-05-03
0.486019492149353,1973-05-04
0.486019492149353,1973-05-07
0.4900360107421875,1973-05-08
0.4840109944343567,1973-05-09
0.4820025861263275,1973-05-10
0.477986216545105,1973-05-11
0.4719610810279846,1973-05-14
0.47396910190582275,1973-05-15
0.4659357964992523,1973-05-16
0.4639274775981903,1973-05-17
0.4619193375110626,1973-05-18
0.4177353084087372,1973-05-21
0.4016689658164978,1973-05-22
0.39966052770614624,1973-05-23
0.3936353325843811,1973-05-24
0.39966052770614624,1973-05-25
0.4177353084087372,1973-05-29
0.4157272279262543,1973-05-30
0.4016689658164978,1973-05-31
0.3936353325843811,1973-06-01
0.3795769512653351,1973-06-04
0.3735520541667938,1973-06-05
0.3635101914405823,1973-06-06
0.3936353325843811,1973-06-07
0.39765238761901855,1973-06-08
0.39765238761901855,1973-06-11
0.4056857228279114,1973-06-12
0.40970224142074585,1973-06-13
0.4177353084087372,1973-06-14
0.4076939821243286,1973-06-15
0.41171029210090637,1973-06-18
0.41371896862983704,1973-06-19
0.4016689658164978,1973-06-20
0.40970224142074585,1973-06-21
0.4177353084087372,1973-06-22
0.41371896862983704,1973-06-25
0.41371896862983704,1973-06-26
0.4177353084087372,1973-06-27
0.41974374651908875,1973-06-28
0.41974374651908875,1973-06-29
0.4217524826526642,1973-07-02
0.4257690906524658,1973-07-03
0.42376071214675903,1973-07-05
0.42978590726852417,1973-07-06
0.43380236625671387,1973-07-09
0.4458526074886322,1973-07-10
0.45589423179626465,1973-07-11
0.45991072058677673,1973-07-12
0.4619193375110626,1973-07-13
0.4639274775981903,1973-07-16
0.5020862221717834,1973-07-17
0.5020862221717834,1973-07-18
0.514136016368866,1973-07-19
0.5181528329849243,1973-07-20
0.514136016368866,1973-07-23
0.5181528329849243,1973-07-24
0.5221694707870483,1973-07-25
0.5221694707870483,1973-07-26
0.526186466217041,1973-07-27
0.526186466217041,1973-07-30
0.526186466217041,1973-07-31
0.5201612710952759,1973-08-01
0.5081108212471008,1973-08-02
0.514136016368866,1973-08-03
0.5101194977760315,1973-08-06
0.5020862221717834,1973-08-07
0.4980693459510803,1973-08-08
0.4980693459510803,1973-08-09
0.49405258893966675,1973-08-10
0.486019492149353,1973-08-13
0.47597724199295044,1973-08-14
0.4699527323246002,1973-08-15
0.47396910190582275,1973-08-16
0.45790258049964905,1973-08-17
0.4498690962791443,1973-08-20
0.4498690962791443,1973-08-21
0.4478606581687927,1973-08-22
0.4498690962791443,1973-08-23
0.4538860023021698,1973-08-24
0.451877236366272,1973-08-27
0.451877236366272,1973-08-28
0.4619193375110626,1973-08-29
0.4639274775981903,1973-08-30
0.4619193375110626,1973-08-31
0.4659357964992523,1973-09-04
0.4719610810279846,1973-09-05
0.47597724199295044,1973-09-06
0.4659357964992523,1973-09-07
0.4619193375110626,1973-09-10
0.4538860023021698,1973-09-11
0.44384387135505676,1973-09-12
0.44384387135505676,1973-09-13
0.44384387135505676,1973-09-14
0.4418357312679291,1973-09-17
0.4538860023021698,1973-09-18
0.45991072058677673,1973-09-19
0.45790258049964905,1973-09-20
0.45790258049964905,1973-09-21
0.45991072058677673,1973-09-24
0.45991072058677673,1973-09-25
0.4659357964992523,1973-09-26
0.4619193375110626,1973-09-27
0.4619193375110626,1973-09-28
0.45790258049964905,1973-10-01
0.4659357964992523,1973-10-02
0.4639274775981903,1973-10-03
0.4699527323246002,1973-10-04
0.4619193375110626,1973-10-05
0.45790258049964905,1973-10-08
0.4619193375110626,1973-10-09
0.4699527323246002,1973-10-10
0.47597724199295044,1973-10-11
0.4900360107421875,1973-10-12
0.4900360107421875,1973-10-15
0.49204427003860474,1973-10-16
0.5000774264335632,1973-10-17
0.5061027407646179,1973-10-18
0.5061027407646179,1973-10-19
0.5061027407646179,1973-10-22
0.5020862221717834,1973-10-23
0.5061027407646179,1973-10-24
0.5342196822166443,1973-10-25
0.5342196822166443,1973-10-26
0.5342196822166443,1973-10-29
0.5342196822166443,1973-10-30
0.5342196822166443,1973-10-31
0.5342196822166443,1973-11-01
0.5221694707870483,1973-11-02
0.5201612710952759,1973-11-05
0.5181528329849243,1973-11-06
0.5221694707870483,1973-11-07
0.5181528329849243,1973-11-08
0.5181528329849243,1973-11-09
0.477986216545105,1973-11-12
0.4699527323246002,1973-11-13
0.4659357964992523,1973-11-14
0.43380236625671387,1973-11-15
0.4659357964992523,1973-11-16
