HSY,Date
0.3541910946369171,1980-03-17
0.35856372117996216,1980-03-18
0.3629366159439087,1980-03-19
0.3629366159439087,1980-03-20
0.35856372117996216,1980-03-21
0.3541910946369171,1980-03-24
0.3541910946369171,1980-03-25
0.3541910946369171,1980-03-26
0.35856372117996216,1980-03-27
0.3541910946369171,1980-03-28
0.3673091232776642,1980-03-31
0.3716822862625122,1980-04-01
0.36512285470962524,1980-04-02
0.35856372117996216,1980-04-03
0.3563774526119232,1980-04-07
0.3541910946369171,1980-04-08
0.3563774526119232,1980-04-09
0.35856372117996216,1980-04-10
0.35856372117996216,1980-04-11
0.36075031757354736,1980-04-14
0.35856372117996216,1980-04-15
0.35856372117996216,1980-04-16
0.35856372117996216,1980-04-17
0.3563774526119232,1980-04-18
0.36075031757354736,1980-04-21
0.3541910946369171,1980-04-22
0.35856372117996216,1980-04-23
0.36075031757354736,1980-04-24
0.36512285470962524,1980-04-25
0.376054584980011,1980-04-28
0.38042739033699036,1980-04-29
0.37824133038520813,1980-04-30
0.376054584980011,1980-05-01
0.376054584980011,1980-05-02
0.38698649406433105,1980-05-05
0.3848003149032593,1980-05-06
0.3848003149032593,1980-05-07
0.3848003149032593,1980-05-08
0.3848003149032593,1980-05-09
0.3848003149032593,1980-05-12
0.3913595676422119,1980-05-13
0.38917276263237,1980-05-14
0.3979184329509735,1980-05-15
0.3957315981388092,1980-05-16
0.3913595676422119,1980-05-19
0.3913595676422119,1980-05-20
0.3979184329509735,1980-05-21
0.40885013341903687,1980-05-22
0.40229085087776184,1980-05-23
0.3935457766056061,1980-05-27
0.38917276263237,1980-05-28
0.40229085087776184,1980-05-29
0.40229085087776184,1980-05-30
0.40666383504867554,1980-06-02
0.40666383504867554,1980-06-03
0.404477596282959,1980-06-04
0.40229085087776184,1980-06-05
0.41540905833244324,1980-06-06
0.4285273253917694,1980-06-09
0.4329001307487488,1980-06-10
0.4285273253917694,1980-06-11
0.41978198289871216,1980-06-12
0.4110366702079773,1980-06-13
0.4110366702079773,1980-06-16
0.40885013341903687,1980-06-17
0.404477596282959,1980-06-18
0.3979184329509735,1980-06-19
0.38917276263237,1980-06-20
0.3913595676422119,1980-06-23
0.40229085087776184,1980-06-24
0.40229085087776184,1980-06-25
0.4110366702079773,1980-06-26
0.40666383504867554,1980-06-27
0.41978198289871216,1980-06-30
0.41759559512138367,1980-07-01
0.4132230281829834,1980-07-02
0.4132230281829834,1980-07-03
0.424154669046402,1980-07-07
0.4329001307487488,1980-07-08
0.4547637701034546,1980-07-09
0.43945932388305664,1980-07-10
0.42634105682373047,1980-07-11
0.4350864589214325,1980-07-14
0.43071413040161133,1980-07-15
0.42634105682373047,1980-07-16
0.4219683110713959,1980-07-17
0.4285273253917694,1980-07-18
0.4350864589214325,1980-07-21
0.4372729957103729,1980-07-22
0.4460184574127197,1980-07-23
0.4416455626487732,1980-07-24
0.4416455626487732,1980-07-25
0.43945932388305664,1980-07-28
0.43945932388305664,1980-07-29
0.4372729957103729,1980-07-30
0.4329001307487488,1980-07-31
0.43071413040161133,1980-08-01
0.4372729957103729,1980-08-04
0.4416455626487732,1980-08-05
0.4460184574127197,1980-08-06
0.4503912329673767,1980-08-07
0.4416455626487732,1980-08-08
0.4460184574127197,1980-08-11
0.44820475578308105,1980-08-12
0.4503912329673767,1980-08-13
0.44383230805397034,1980-08-14
0.4503912329673767,1980-08-15
0.4460184574127197,1980-08-18
0.44383230805397034,1980-08-19
0.44383230805397034,1980-08-20
0.43945932388305664,1980-08-21
0.4460184574127197,1980-08-22
0.4460184574127197,1980-08-25
0.4460184574127197,1980-08-26
0.43071413040161133,1980-08-27
0.4372729957103729,1980-08-28
0.4416455626487732,1980-08-29
0.43945932388305664,1980-09-02
0.43945932388305664,1980-09-03
0.43945932388305664,1980-09-04
0.4460184574127197,1980-09-05
0.4460184574127197,1980-09-08
0.4460184574127197,1980-09-09
0.4460184574127197,1980-09-10
0.4460184574127197,1980-09-11
0.4503912329673767,1980-09-12
0.45257747173309326,1980-09-15
0.44820475578308105,1980-09-16
0.4460184574127197,1980-09-17
0.4460184574127197,1980-09-18
0.4460184574127197,1980-09-19
0.4416455626487732,1980-09-22
0.4416455626487732,1980-09-23
0.4372729957103729,1980-09-24
0.43945932388305664,1980-09-25
0.43945932388305664,1980-09-26
0.4329001307487488,1980-09-29
0.43945932388305664,1980-09-30
0.4329001307487488,1980-10-01
0.4372729957103729,1980-10-02
0.43071413040161133,1980-10-03
0.4372729957103729,1980-10-06
0.4416455626487732,1980-10-07
0.4372729957103729,1980-10-08
0.4329001307487488,1980-10-09
0.43071413040161133,1980-10-10
0.4350864589214325,1980-10-13
0.4372729957103729,1980-10-14
0.4372729957103729,1980-10-15
0.4350864589214325,1980-10-16
0.4350864589214325,1980-10-17
0.4372729957103729,1980-10-20
0.4329001307487488,1980-10-21
0.43071413040161133,1980-10-22
0.42634105682373047,1980-10-23
0.4219683110713959,1980-10-24
0.4219683110713959,1980-10-27
0.41978198289871216,1980-10-28
0.41978198289871216,1980-10-29
0.424154669046402,1980-10-30
0.42634105682373047,1980-10-31
0.42634105682373047,1980-11-03
0.4219683110713959,1980-11-05
0.40666383504867554,1980-11-06
0.404477596282959,1980-11-07
0.404477596282959,1980-11-10
0.4132230281829834,1980-11-11
0.41978198289871216,1980-11-12
0.42634105682373047,1980-11-13
0.424154669046402,1980-11-14
0.4219683110713959,1980-11-17
0.4110366702079773,1980-11-18
0.40885013341903687,1980-11-19
0.40885013341903687,1980-11-20
0.4110366702079773,1980-11-21
0.4110366702079773,1980-11-24
0.4110366702079773,1980-11-25
0.40229085087776184,1980-11-26
0.4001045525074005,1980-11-28
0.4001045525074005,1980-12-01
0.4001045525074005,1980-12-02
0.3957315981388092,1980-12-03
0.40666383504867554,1980-12-04
0.40666383504867554,1980-12-05
0.3913595676422119,1980-12-08
