ALL,Date
7.183896064758301,1993-06-03
7.000477313995361,1993-06-04
6.878198623657227,1993-06-07
6.786488056182861,1993-06-08
6.9087700843811035,1993-06-09
6.847630023956299,1993-06-10
6.847630023956299,1993-06-11
6.786488056182861,1993-06-14
6.8170599937438965,1993-06-15
6.847630023956299,1993-06-16
6.847630023956299,1993-06-17
6.755919456481934,1993-06-18
6.694779872894287,1993-06-21
6.786488056182861,1993-06-22
6.755919456481934,1993-06-23
6.878198623657227,1993-06-24
6.969911098480225,1993-06-25
7.092186450958252,1993-06-28
7.0310492515563965,1993-06-29
7.092186450958252,1993-06-30
7.214468002319336,1993-07-01
7.0310492515563965,1993-07-02
7.000477313995361,1993-07-06
6.969911098480225,1993-07-07
7.061616897583008,1993-07-08
6.969911098480225,1993-07-09
6.9087700843811035,1993-07-12
7.000477313995361,1993-07-13
7.153326988220215,1993-07-14
7.183896064758301,1993-07-15
7.30617618560791,1993-07-16
7.4284539222717285,1993-07-19
7.489597320556641,1993-07-20
7.30617618560791,1993-07-21
7.245035171508789,1993-07-22
7.30617618560791,1993-07-23
7.459020614624023,1993-07-26
7.459020614624023,1993-07-27
7.4284539222717285,1993-07-28
7.459020614624023,1993-07-29
7.611871719360352,1993-07-30
7.581303119659424,1993-08-02
7.673012733459473,1993-08-03
7.642440319061279,1993-08-04
7.459020614624023,1993-08-05
7.581303119659424,1993-08-06
7.581303119659424,1993-08-09
7.489597320556641,1993-08-10
7.459020614624023,1993-08-11
7.397886753082275,1993-08-12
7.3367438316345215,1993-08-13
7.275604248046875,1993-08-16
7.3367438316345215,1993-08-17
7.4284539222717285,1993-08-18
7.642440319061279,1993-08-19
7.825860500335693,1993-08-20
7.825860500335693,1993-08-23
7.795292377471924,1993-08-24
7.764721393585205,1993-08-25
7.825860500335693,1993-08-26
7.825860500335693,1993-08-27
7.642440319061279,1993-08-30
7.581303119659424,1993-08-31
7.795292377471924,1993-09-01
7.734151840209961,1993-09-02
7.795292377471924,1993-09-03
7.887002468109131,1993-09-07
7.764721393585205,1993-09-08
7.839738368988037,1993-09-09
7.901230335235596,1993-09-10
7.870481967926025,1993-09-13
8.05494499206543,1993-09-14
7.901230335235596,1993-09-15
7.931971549987793,1993-09-16
7.931971549987793,1993-09-17
7.870481967926025,1993-09-20
7.808997631072998,1993-09-21
7.870481967926025,1993-09-22
7.962715148925781,1993-09-23
7.901230335235596,1993-09-24
8.116429328918457,1993-09-27
8.177923202514648,1993-09-28
7.993457317352295,1993-09-29
7.808997631072998,1993-09-30
7.962715148925781,1993-10-01
7.962715148925781,1993-10-04
8.147180557250977,1993-10-05
8.116429328918457,1993-10-06
8.085693359375,1993-10-07
8.116429328918457,1993-10-08
8.177923202514648,1993-10-11
8.177923202514648,1993-10-12
8.208669662475586,1993-10-13
8.362387657165527,1993-10-14
8.270153999328613,1993-10-15
8.270153999328613,1993-10-18
8.116429328918457,1993-10-19
7.993457317352295,1993-10-20
8.116429328918457,1993-10-21
8.147180557250977,1993-10-22
7.931971549987793,1993-10-25
7.931971549987793,1993-10-26
7.747507572174072,1993-10-27
7.747507572174072,1993-10-28
7.716763019561768,1993-10-29
7.870481967926025,1993-11-01
7.686017036437988,1993-11-02
7.470808982849121,1993-11-03
7.440066814422607,1993-11-04
7.378577709197998,1993-11-05
7.440066814422607,1993-11-08
7.501553535461426,1993-11-09
7.378577709197998,1993-11-10
7.2863450050354,1993-11-11
7.2863450050354,1993-11-12
7.224857807159424,1993-11-15
7.194110870361328,1993-11-16
7.163369178771973,1993-11-17
7.194110870361328,1993-11-18
7.040389060974121,1993-11-19
6.948161602020264,1993-11-22
7.071135520935059,1993-11-23
7.2863450050354,1993-11-24
7.317087173461914,1993-11-26
7.317087173461914,1993-11-29
7.255598545074463,1993-11-30
7.2863450050354,1993-12-01
7.3308868408203125,1993-12-02
7.1762285232543945,1993-12-03
7.114361763000488,1993-12-06
6.990636825561523,1993-12-07
7.207159996032715,1993-12-08
7.1762285232543945,1993-12-09
7.08342981338501,1993-12-10
7.0525007247924805,1993-12-13
7.08342981338501,1993-12-14
7.08342981338501,1993-12-15
7.145294666290283,1993-12-16
7.269021987915039,1993-12-17
7.3308868408203125,1993-12-20
7.3927507400512695,1993-12-21
7.29995584487915,1993-12-22
7.361818790435791,1993-12-23
7.269021987915039,1993-12-27
7.29995584487915,1993-12-28
7.4236836433410645,1993-12-29
7.361818790435791,1993-12-30
7.29995584487915,1993-12-31
7.3308868408203125,1994-01-03
7.238090515136719,1994-01-04
7.207159996032715,1994-01-05
7.114361763000488,1994-01-06
7.08342981338501,1994-01-07
7.114361763000488,1994-01-10
7.0215654373168945,1994-01-11
7.08342981338501,1994-01-12
7.145294666290283,1994-01-13
7.3308868408203125,1994-01-14
7.08342981338501,1994-01-17
7.114361763000488,1994-01-18
7.114361763000488,1994-01-19
7.08342981338501,1994-01-20
7.145294666290283,1994-01-21
7.1762285232543945,1994-01-24
7.114361763000488,1994-01-25
7.114361763000488,1994-01-26
7.145294666290283,1994-01-27
7.0525007247924805,1994-01-28
7.0525007247924805,1994-01-31
7.0525007247924805,1994-02-01
6.928773880004883,1994-02-02
6.897837162017822,1994-02-03
6.712245941162109,1994-02-04
6.743179798126221,1994-02-07
6.866906642913818,1994-02-08
6.8050432205200195,1994-02-09
6.5575852394104,1994-02-10
6.588518142700195,1994-02-11
6.619450092315674,1994-02-14
6.4957194328308105,1994-02-15
6.526656150817871,1994-02-16
6.40292501449585,1994-02-17
6.4957194328308105,1994-02-18
6.464791297912598,1994-02-22
6.526656150817871,1994-02-23
6.588518142700195,1994-02-24
6.4957194328308105,1994-02-25
6.433859348297119,1994-02-28
6.2482686042785645,1994-03-01
6.124537467956543,1994-03-02
6.093607425689697,1994-03-03
6.2482686042785645,1994-03-04
6.1554694175720215,1994-03-07
6.062675476074219,1994-03-08
5.877080917358398,1994-03-09
6.031742095947266,1994-03-10
6.124537467956543,1994-03-11
6.138247966766357,1994-03-14
6.231723308563232,1994-03-15
6.169405937194824,1994-03-16
6.075929641723633,1994-03-17
6.107090950012207,1994-03-18
5.9824538230896,1994-03-21
5.920135974884033,1994-03-22
5.826661586761475,1994-03-23
5.888978481292725,1994-03-24
5.795504093170166,1994-03-25
5.920135974884033,1994-03-28
5.9824538230896,1994-03-29
5.951295852661133,1994-03-30
5.9824538230896,1994-03-31
5.857821464538574,1994-04-04
5.826661586761475,1994-04-05
5.888978481292725,1994-04-06
5.857821464538574,1994-04-07
5.795504093170166,1994-04-08
5.888978481292725,1994-04-11
5.951295852661133,1994-04-12
6.013611316680908,1994-04-13
6.044774532318115,1994-04-14
5.9824538230896,1994-04-15
6.013611316680908,1994-04-18
5.9824538230896,1994-04-19
5.733184337615967,1994-04-20
5.702028274536133,1994-04-21
5.857821464538574,1994-04-22
5.9824538230896,1994-04-25
5.951295852661133,1994-04-26
5.9824538230896,1994-04-28
5.951295852661133,1994-04-29
5.857821464538574,1994-05-02
5.857821464538574,1994-05-03
6.013611316680908,1994-05-04
6.169405937194824,1994-05-05
6.294042110443115,1994-05-06
6.262883186340332,1994-05-09
6.075929641723633,1994-05-10
6.138247966766357,1994-05-11
6.044774532318115,1994-05-12
6.075929641723633,1994-05-13
6.107090950012207,1994-05-16
6.138247966766357,1994-05-17
6.138247966766357,1994-05-18
6.138247966766357,1994-05-19
6.169405937194824,1994-05-20
6.107090950012207,1994-05-23
6.107090950012207,1994-05-24
6.044774532318115,1994-05-25
6.075929641723633,1994-05-26
6.200563907623291,1994-05-27
6.543309211730957,1994-05-31
6.449832916259766,1994-06-01
6.495020389556885,1994-06-02
6.369509696960449,1994-06-03
6.557770252227783,1994-06-06
6.589145660400391,1994-06-07
6.557770252227783,1994-06-08
6.589145660400391,1994-06-09
6.620525360107422,1994-06-10
6.52639627456665,1994-06-13
6.4322638511657715,1994-06-14
6.338129997253418,1994-06-15
6.2753777503967285,1994-06-16
6.2753777503967285,1994-06-17
6.212623596191406,1994-06-20
6.024363040924072,1994-06-21
6.087117671966553,1994-06-22
6.087117671966553,1994-06-23
6.055739402770996,1994-06-24
5.930230617523193,1994-06-27
5.930230617523193,1994-06-28
5.930230617523193,1994-06-29
5.961612224578857,1994-06-30
5.992984294891357,1994-07-01
6.11849308013916,1994-07-05
6.149874210357666,1994-07-06
6.212623596191406,1994-07-07
6.024363040924072,1994-07-08
6.024363040924072,1994-07-11
6.024363040924072,1994-07-12
6.087117671966553,1994-07-13
6.212623596191406,1994-07-14
6.11849308013916,1994-07-15
6.11849308013916,1994-07-18
6.024363040924072,1994-07-19
6.3067545890808105,1994-07-20
6.557770252227783,1994-07-21
6.495020389556885,1994-07-22
6.52639627456665,1994-07-25
6.495020389556885,1994-07-26
6.400886058807373,1994-07-27
6.243999481201172,1994-07-28
6.2753777503967285,1994-07-29
6.3067545890808105,1994-08-01
6.243999481201172,1994-08-02
6.338129997253418,1994-08-03
6.369509696960449,1994-08-04
6.4322638511657715,1994-08-05
6.495020389556885,1994-08-08
6.495020389556885,1994-08-09
6.463639259338379,1994-08-10
6.369509696960449,1994-08-11
6.369509696960449,1994-08-12
6.369509696960449,1994-08-15
6.338129997253418,1994-08-16
6.400886058807373,1994-08-17
6.338129997253418,1994-08-18
6.212623596191406,1994-08-19
6.212623596191406,1994-08-22
6.369509696960449,1994-08-23
6.400886058807373,1994-08-24
6.463639259338379,1994-08-25
6.683279037475586,1994-08-26
6.683279037475586,1994-08-29
6.557770252227783,1994-08-30
6.52639627456665,1994-08-31
6.66668176651001,1994-09-01
6.635080814361572,1994-09-02
6.729869365692139,1994-09-06
6.66668176651001,1994-09-07
6.635080814361572,1994-09-08
6.635080814361572,1994-09-09
6.57189416885376,1994-09-12
6.508699417114258,1994-09-13
6.508699417114258,1994-09-14
6.44550895690918,1994-09-15
6.540298938751221,1994-09-16
6.413913726806641,1994-09-19
6.319124698638916,1994-09-20
6.192748069763184,1994-09-21
6.161147594451904,1994-09-22
6.097957134246826,1994-09-23
6.224340915679932,1994-09-26
6.066361904144287,1994-09-27
6.097957134246826,1994-09-28
6.097957134246826,1994-09-29
6.034764766693115,1994-09-30
6.097957134246826,1994-10-03
5.939979076385498,1994-10-04
5.939979076385498,1994-10-05
5.813595294952393,1994-10-06
5.971573829650879,1994-10-07
5.908381938934326,1994-10-10
5.78200101852417,1994-10-11
5.845191478729248,1994-10-12
5.876788139343262,1994-10-13
6.003171443939209,1994-10-14
6.034764766693115,1994-10-17
6.034764766693115,1994-10-18
6.034764766693115,1994-10-19
6.066361904144287,1994-10-20
6.066361904144287,1994-10-21
6.129551887512207,1994-10-24
6.066361904144287,1994-10-25
6.097957134246826,1994-10-26
6.034764766693115,1994-10-27
6.034764766693115,1994-10-28
6.097957134246826,1994-10-31
6.224340915679932,1994-11-01
6.350720405578613,1994-11-02
6.350720405578613,1994-11-03
6.319124698638916,1994-11-04
6.287529945373535,1994-11-07
6.2559332847595215,1994-11-08
6.287529945373535,1994-11-09
6.097957134246826,1994-11-10
5.908381938934326,1994-11-11
6.034764766693115,1994-11-14
5.939979076385498,1994-11-15
6.003171443939209,1994-11-16
6.034764766693115,1994-11-17
6.003171443939209,1994-11-18
6.003171443939209,1994-11-21
5.939979076385498,1994-11-22
5.939979076385498,1994-11-23
6.003171443939209,1994-11-25
6.003171443939209,1994-11-28
6.003171443939209,1994-11-29
5.971573829650879,1994-11-30
6.034764766693115,1994-12-01
5.985104560852051,1994-12-02
6.016936302185059,1994-12-05
6.016936302185059,1994-12-06
5.985104560852051,1994-12-07
5.9214324951171875,1994-12-08
5.85775899887085,1994-12-09
5.825924396514893,1994-12-12
5.889598846435547,1994-12-13
5.985104560852051,1994-12-14
6.048774242401123,1994-12-15
6.016936302185059,1994-12-16
6.048774242401123,1994-12-19
6.080606460571289,1994-12-20
6.048774242401123,1994-12-21
6.048774242401123,1994-12-22
6.048774242401123,1994-12-23
6.144277095794678,1994-12-27
6.016936302185059,1994-12-28
6.080606460571289,1994-12-29
6.048774242401123,1994-12-30
6.17611837387085,1995-01-03
6.144277095794678,1995-01-04
6.144277095794678,1995-01-05
6.207949161529541,1995-01-06
6.30346155166626,1995-01-09
6.30346155166626,1995-01-10
6.367132663726807,1995-01-11
6.2397871017456055,1995-01-12
6.2397871017456055,1995-01-13
6.2397871017456055,1995-01-16
6.207949161529541,1995-01-17
6.207949161529541,1995-01-18
6.17611837387085,1995-01-19
6.048774242401123,1995-01-20
6.144277095794678,1995-01-23
6.17611837387085,1995-01-24
6.17611837387085,1995-01-25
6.080606460571289,1995-01-26
6.080606460571289,1995-01-27
6.11244535446167,1995-01-30
6.144277095794678,1995-01-31
6.207949161529541,1995-02-01
6.271620273590088,1995-02-02
6.526310443878174,1995-02-03
6.558145523071289,1995-02-06
6.462638854980469,1995-02-07
6.685487747192383,1995-02-08
6.780994415283203,1995-02-09
6.717321872711182,1995-02-10
6.7491583824157715,1995-02-13
6.780994415283203,1995-02-14
6.685487747192383,1995-02-15
6.558145523071289,1995-02-16
6.589979648590088,1995-02-17
6.717321872711182,1995-02-21
6.7491583824157715,1995-02-22
6.780994415283203,1995-02-23
6.876499652862549,1995-02-24
6.876499652862549,1995-02-27
7.003843784332275,1995-02-28
6.9401702880859375,1995-03-01
6.876499652862549,1995-03-02
6.862390041351318,1995-03-03
6.798255920410156,1995-03-06
6.766189098358154,1995-03-07
6.766189098358154,1995-03-08
6.798255920410156,1995-03-09
6.830324172973633,1995-03-10
6.958595275878906,1995-03-13
7.022729396820068,1995-03-14
6.958595275878906,1995-03-15
6.926525115966797,1995-03-16
7.022729396820068,1995-03-17
7.118927955627441,1995-03-20
7.183064937591553,1995-03-21
7.054794788360596,1995-03-22
7.21513032913208,1995-03-23
7.311330795288086,1995-03-24
7.311330795288086,1995-03-27
7.407530307769775,1995-03-28
7.343398571014404,1995-03-29
7.439599514007568,1995-03-30
7.375466823577881,1995-03-31
7.375466823577881,1995-04-03
7.247199535369873,1995-04-04
7.407530307769775,1995-04-05
7.375466823577881,1995-04-06
7.279268264770508,1995-04-07
7.471670150756836,1995-04-10
7.439599514007568,1995-04-11
7.407530307769775,1995-04-12
7.375466823577881,1995-04-13
7.407530307769775,1995-04-17
7.21513032913208,1995-04-18
7.375466823577881,1995-04-19
7.599937438964844,1995-04-20
7.696139335632324,1995-04-21
7.7602739334106445,1995-04-24
7.792339324951172,1995-04-25
7.7602739334106445,1995-04-26
7.792339324951172,1995-04-27
7.792339324951172,1995-04-28
7.728209495544434,1995-05-01
7.664072036743164,1995-05-02
7.8885416984558105,1995-05-03
7.95267391204834,1995-05-04
7.95267391204834,1995-05-05
7.920610427856445,1995-05-08
8.016813278198242,1995-05-09
7.95267391204834,1995-05-10
8.080950736999512,1995-05-11
8.088960647583008,1995-05-12
8.080950736999512,1995-05-15
7.984744548797607,1995-05-16
7.95267391204834,1995-05-17
7.728209495544434,1995-05-18
7.632004737854004,1995-05-19
7.856478214263916,1995-05-22
7.856478214263916,1995-05-23
7.8244099617004395,1995-05-24
7.792339324951172,1995-05-25
7.696139335632324,1995-05-26
7.535802364349365,1995-05-30
7.728209495544434,1995-05-31
7.632004737854004,1995-06-01
7.876030921936035,1995-06-02
7.876030921936035,1995-06-05
7.9083123207092285,1995-06-06
7.81147575378418,1995-06-07
7.682365894317627,1995-06-08
7.488687992095947,1995-06-09
7.553245544433594,1995-06-12
7.746913909912109,1995-06-13
7.7791948318481445,1995-06-14
7.746913909912109,1995-06-15
7.746913909912109,1995-06-16
7.94059419631958,1995-06-19
7.94059419631958,1995-06-20
8.06970500946045,1995-06-21
8.198822975158691,1995-06-22
8.06970500946045,1995-06-23
7.876030921936035,1995-06-26
7.650077819824219,1995-06-27
7.682365894317627,1995-06-28
7.585524082183838,1995-06-29
7.650077819824219,1995-06-30
7.617803573608398,1995-07-03
7.682365894317627,1995-07-05
8.005146980285645,1995-07-06
8.134261131286621,1995-07-07
8.198822975158691,1995-07-10
8.198822975158691,1995-07-11
8.58616828918457,1995-07-12
8.424769401550293,1995-07-13
8.101984024047852,1995-07-14
7.9083123207092285,1995-07-17
7.81147575378418,1995-07-18
7.71463680267334,1995-07-19
7.876030921936035,1995-07-20
7.876030921936035,1995-07-21
7.746913909912109,1995-07-24
7.876030921936035,1995-07-25
7.746913909912109,1995-07-26
7.843756675720215,1995-07-27
8.06970500946045,1995-07-28
8.06970500946045,1995-07-31
7.81147575378418,1995-08-01
7.9083123207092285,1995-08-02
7.81147575378418,1995-08-03
7.9083123207092285,1995-08-04
8.005146980285645,1995-08-07
8.101984024047852,1995-08-08
7.746913909912109,1995-08-09
7.71463680267334,1995-08-10
7.7791948318481445,1995-08-11
7.972867488861084,1995-08-14
7.9083123207092285,1995-08-15
7.972867488861084,1995-08-16
7.958576679229736,1995-08-17
8.185958862304688,1995-08-18
8.185958862304688,1995-08-21
8.348384857177734,1995-08-22
8.283415794372559,1995-08-23
8.250933647155762,1995-08-24
8.478318214416504,1995-08-25
8.770673751831055,1995-08-28
8.770673751831055,1995-08-29
8.900613784790039,1995-08-30
8.80316162109375,1995-08-31
9.063030242919922,1995-09-01
8.67322826385498,1995-09-05
8.80316162109375,1995-09-06
8.738190650939941,1995-09-07
8.80316162109375,1995-09-08
8.770673751831055,1995-09-11
8.738190650939941,1995-09-12
9.225455284118652,1995-09-13
9.257935523986816,1995-09-14
9.387873649597168,1995-09-15
9.160478591918945,1995-09-18
9.127999305725098,1995-09-19
9.095516204833984,1995-09-20
8.835643768310547,1995-09-21
8.868127822875977,1995-09-22
9.063030242919922,1995-09-25
8.900613784790039,1995-09-26
8.900613784790039,1995-09-27
9.257935523986816,1995-09-28
9.192970275878906,1995-09-29
9.030546188354492,1995-10-02
9.095516204833984,1995-10-03
8.770673751831055,1995-10-04
9.030546188354492,1995-10-05
8.998064994812012,1995-10-06
9.030546188354492,1995-10-09
8.900613784790039,1995-10-10
9.160478591918945,1995-10-11
9.225455284118652,1995-10-12
9.290419578552246,1995-10-13
9.712715148925781,1995-10-16
9.810157775878906,1995-10-17
9.810157775878906,1995-10-18
10.135003089904785,1995-10-19
10.199969291687012,1995-10-20
9.940094947814941,1995-10-23
9.745195388793945,1995-10-24
9.58277702331543,1995-10-25
9.550292015075684,1995-10-26
9.58277702331543,1995-10-27
9.777682304382324,1995-10-30
9.550292015075684,1995-10-31
9.90761661529541,1995-11-01
