TT,Date
0.9113174080848694,1980-03-17
0.9239746332168579,1980-03-18
0.9155368208885193,1980-03-19
0.8944416046142578,1980-03-20
0.8754554390907288,1980-03-21
0.8438122272491455,1980-03-24
0.8311553001403809,1980-03-25
0.8374843001365662,1980-03-26
0.8184981346130371,1980-03-27
0.8775652050971985,1980-03-28
0.8754554390907288,1980-03-31
0.8438122272491455,1980-04-01
0.8585793972015381,1980-04-02
0.8459218144416809,1980-04-03
0.8395936489105225,1980-04-07
0.8438122272491455,1980-04-08
0.8395936489105225,1980-04-09
0.8374843001365662,1980-04-10
0.8269362449645996,1980-04-11
0.8269362449645996,1980-04-14
0.8311553001403809,1980-04-15
0.8311553001403809,1980-04-16
0.8311553001403809,1980-04-17
0.8290455341339111,1980-04-18
0.8206079602241516,1980-04-21
0.8121696710586548,1980-04-22
0.805840790271759,1980-04-23
0.8163884282112122,1980-04-24
0.8037307858467102,1980-04-25
0.7995125651359558,1980-04-28
0.7952933311462402,1980-04-29
0.7931836843490601,1980-04-30
0.8100601434707642,1980-05-01
0.8037307858467102,1980-05-02
0.7889647483825684,1980-05-05
0.7931836843490601,1980-05-06
0.814279317855835,1980-05-07
0.8121696710586548,1980-05-08
0.7974027991294861,1980-05-09
0.7826361060142517,1980-05-12
0.7931836843490601,1980-05-13
0.8037307858467102,1980-05-14
0.8184981346130371,1980-05-15
0.8206079602241516,1980-05-16
0.8248267769813538,1980-05-19
0.814279317855835,1980-05-20
0.8227168917655945,1980-05-21
0.8649072647094727,1980-05-22
0.9134268760681152,1980-05-23
0.8817839622497559,1980-05-27
0.8775652050971985,1980-05-28
0.8881126642227173,1980-05-29
0.9028791189193726,1980-05-30
0.8902215361595154,1980-06-02
0.8775652050971985,1980-06-03
0.8796740770339966,1980-06-04
0.8860024213790894,1980-06-05
0.8881126642227173,1980-06-06
0.8817839622497559,1980-06-09
0.8965509533882141,1980-06-10
0.9092075824737549,1980-06-11
0.9113174080848694,1980-06-12
0.9070982336997986,1980-06-13
0.9028791189193726,1980-06-16
0.9092075824737549,1980-06-17
0.8944416046142578,1980-06-18
0.9028791189193726,1980-06-19
0.9007695317268372,1980-06-20
0.8965509533882141,1980-06-23
0.9197558164596558,1980-06-24
0.9429609179496765,1980-06-25
0.9746034741401672,1980-06-26
0.9788229465484619,1980-06-27
0.9703842401504517,1980-06-30
0.9682742357254028,1980-07-01
0.966164767742157,1980-07-02
0.9598367214202881,1980-07-03
0.9577276706695557,1980-07-07
0.9535079598426819,1980-07-08
0.9598367214202881,1980-07-09
0.9471796154975891,1980-07-10
0.9577276706695557,1980-07-11
0.976713240146637,1980-07-14
0.9830411076545715,1980-07-15
0.98093181848526,1980-07-16
0.9851510524749756,1980-07-17
0.9978078603744507,1980-07-18
0.9872604012489319,1980-07-21
0.9935898184776306,1980-07-22
1.0020273923873901,1980-07-23
0.9956984519958496,1980-07-24
0.9978078603744507,1980-07-25
1.0020273923873901,1980-07-28
1.0273422002792358,1980-07-29
1.0315611362457275,1980-07-30
