CARR,Date
11.431662559509277,2020-03-19
12.14614200592041,2020-03-20
10.993448257446289,2020-03-23
11.145870208740234,2020-03-24
12.812989234924316,2020-03-25
14.71826457977295,2020-03-26
13.86089038848877,2020-03-27
15.146952629089355,2020-03-30
16.433013916015625,2020-03-31
14.33720874786377,2020-04-01
12.651039123535156,2020-04-02
16.118640899658203,2020-04-03
14.708738327026367,2020-04-06
14.527737617492676,2020-04-07
13.584625244140625,2020-04-08
14.079996109008789,2020-04-09
13.327413558959961,2020-04-13
13.213096618652344,2020-04-14
12.727250099182129,2020-04-15
12.279509544372559,2020-04-16
13.089253425598145,2020-04-17
13.765625,2020-04-20
13.99425983428955,2020-04-21
14.089524269104004,2020-04-22
14.975478172302246,2020-04-23
15.480377197265625,2020-04-24
16.004323959350586,2020-04-27
16.19485092163086,2020-04-28
16.80453872680664,2020-04-29
16.87122344970703,2020-04-30
15.975747108459473,2020-05-01
15.623270034790039,2020-05-04
15.213638305664062,2020-05-05
15.518481254577637,2020-05-06
15.632797241210938,2020-05-07
17.49044418334961,2020-05-08
17.480918884277344,2020-05-11
16.95696449279785,2020-05-12
15.661376953125,2020-05-13
15.766168594360352,2020-05-14
15.918588638305664,2020-05-15
16.71880531311035,2020-05-18
16.928386688232422,2020-05-19
17.842918395996094,2020-05-20
18.52881622314453,2020-05-21
18.147762298583984,2020-05-22
18.585979461669922,2020-05-26
19.043243408203125,2020-05-27
18.671710968017578,2020-05-28
19.500507354736328,2020-05-29
20.786571502685547,2020-06-01
20.348360061645508,2020-06-02
21.16762924194336,2020-06-03
21.60584259033203,2020-06-04
22.44416046142578,2020-06-05
23.215801239013672,2020-06-08
22.110742568969727,2020-06-09
21.148574829101562,2020-06-10
20.062564849853516,2020-06-11
20.519834518432617,2020-06-12
20.929468154907227,2020-06-15
21.02473258972168,2020-06-16
20.253097534179688,2020-06-17
20.24356460571289,2020-06-18
20.434097290039062,2020-06-19
21.663002014160156,2020-06-22
21.32957649230957,2020-06-23
20.786571502685547,2020-06-24
20.576217651367188,2020-06-25
20.050336837768555,2020-06-26
21.149904251098633,2020-06-29
21.24552345275879,2020-06-30
21.618419647216797,2020-07-01
21.905261993408203,2020-07-02
23.14824867248535,2020-07-06
22.957019805908203,2020-07-07
22.937894821166992,2020-07-08
22.861404418945312,2020-07-09
23.798423767089844,2020-07-10
23.215179443359375,2020-07-13
24.047019958496094,2020-07-14
25.290008544921875,2020-07-15
25.442991256713867,2020-07-16
25.318696975708008,2020-07-17
25.25176429748535,2020-07-20
25.404747009277344,2020-07-21
25.433429718017578,2020-07-22
26.15053939819336,2020-07-23
25.414308547973633,2020-07-24
25.09878158569336,2020-07-27
24.926673889160156,2020-07-28
25.988000869750977,2020-07-29
25.720277786254883,2020-07-30
26.045364379882812,2020-07-31
26.40869903564453,2020-08-03
26.552122116088867,2020-08-04
26.877206802368164,2020-08-05
27.030189514160156,2020-08-06
27.699493408203125,2020-08-07
28.168004989624023,2020-08-10
28.19668960571289,2020-08-11
28.483531951904297,2020-08-12
28.24449920654297,2020-08-13
28.225372314453125,2020-08-14
28.531335830688477,2020-08-17
28.168004989624023,2020-08-18
27.967212677001953,2020-08-19
27.737741470336914,2020-08-20
28.225372314453125,2020-08-21
29.04765510559082,2020-08-24
29.133708953857422,2020-08-25
29.669153213500977,2020-08-26
28.952041625976562,2020-08-27
28.971168518066406,2020-08-28
28.540903091430664,2020-08-31
28.971168518066406,2020-09-01
29.43011474609375,2020-09-02
28.043704986572266,2020-09-03
28.684322357177734,2020-09-04
28.27318000793457,2020-09-08
28.80862045288086,2020-09-09
27.86203956604004,2020-09-10
27.95764923095703,2020-09-11
27.871601104736328,2020-09-14
28.387916564941406,2020-09-15
28.923358917236328,2020-09-16
29.315380096435547,2020-09-17
29.43967628479004,2020-09-18
28.21581268310547,2020-09-21
28.932920455932617,2020-09-22
27.833349227905273,2020-09-23
28.569583892822266,2020-09-24
29.152835845947266,2020-09-25
29.39186668395996,2020-09-28
29.162395477294922,2020-09-29
29.200639724731445,2020-09-30
29.420557022094727,2020-10-01
29.860376358032227,2020-10-02
30.673099517822266,2020-10-05
30.128101348876953,2020-10-06
30.711347579956055,2020-10-07
30.54880714416504,2020-10-08
30.8165225982666,2020-10-09
31.552749633789062,2020-10-12
31.06511688232422,2020-10-13
31.084239959716797,2020-10-14
31.170291900634766,2020-10-15
31.323278427124023,2020-10-16
30.902572631835938,2020-10-19
31.77266502380371,2020-10-20
31.887405395507812,2020-10-21
32.40372085571289,2020-10-22
33.39811325073242,2020-10-23
32.23161315917969,2020-10-26
32.12643814086914,2020-10-27
31.83959197998047,2020-10-28
32.65428161621094,2020-10-29
32.002532958984375,2020-10-30
33.641475677490234,2020-11-02
35.41460418701172,2020-11-03
35.25166702270508,2020-11-04
36.61266326904297,2020-11-05
37.33150100708008,2020-11-06
37.18772888183594,2020-11-09
36.23887252807617,2020-11-10
36.478485107421875,2020-11-11
36.38263702392578,2020-11-12
36.69892120361328,2020-11-13
38.81709289550781,2020-11-16
38.68291473388672,2020-11-17
37.75321578979492,2020-11-18
37.50402069091797,2020-11-19
36.93853759765625,2020-11-20
37.15897750854492,2020-11-23
37.73404312133789,2020-11-24
37.00562286376953,2020-11-25
36.23887252807617,2020-11-27
36.48806381225586,2020-11-30
36.03759002685547,2020-12-01
35.299591064453125,2020-12-02
