CCI,Date
9.09492301940918,1998-08-18
9.09492301940918,1998-08-19
9.09492301940918,1998-08-20
9.09492301940918,1998-08-21
9.09492301940918,1998-08-24
9.09492301940918,1998-08-25
8.570215225219727,1998-08-26
7.78315544128418,1998-08-27
6.99609375,1998-08-28
5.684327602386475,1998-08-31
5.946678638458252,1998-09-01
6.690017223358154,1998-09-02
6.121583938598633,1998-09-03
5.859230995178223,1998-09-04
6.90864372253418,1998-09-08
6.646288871765137,1998-09-09
6.471388339996338,1998-09-10
6.29648494720459,1998-09-11
6.29648494720459,1998-09-14
6.121583938598633,1998-09-15
5.509425640106201,1998-09-16
5.793639659881592,1998-09-17
5.7717766761779785,1998-09-18
4.8972673416137695,1998-09-21
5.5968756675720215,1998-09-22
5.859230995178223,1998-09-23
6.340210914611816,1998-09-24
6.558837413787842,1998-09-25
6.558837413787842,1998-09-28
6.668153285980225,1998-09-29
6.733740329742432,1998-09-30
6.209033012390137,1998-10-01
6.209033012390137,1998-10-02
5.5968756675720215,1998-10-05
5.859230995178223,1998-10-06
5.4656982421875,1998-10-07
4.416285991668701,1998-10-08
4.37255859375,1998-10-09
4.37255859375,1998-10-12
4.8972673416137695,1998-10-13
5.334522247314453,1998-10-14
5.290794849395752,1998-10-15
5.509425640106201,1998-10-16
5.990405559539795,1998-10-19
6.558837413787842,1998-10-20
6.99609375,1998-10-21
8.00178337097168,1998-10-22
9.09492301940918,1998-10-23
8.92002010345459,1998-10-26
8.701393127441406,1998-10-27
8.92002010345459,1998-10-28
8.395313262939453,1998-10-29
9.007471084594727,1998-10-30
9.007471084594727,1998-11-02
8.92002010345459,1998-11-03
8.7451171875,1998-11-04
9.269824981689453,1998-11-05
9.269824981689453,1998-11-06
9.269824981689453,1998-11-09
9.09492301940918,1998-11-10
8.92002010345459,1998-11-11
8.7451171875,1998-11-12
8.264137268066406,1998-11-13
8.04550838470459,1998-11-16
8.220409393310547,1998-11-17
8.351587295532227,1998-11-18
7.6082539558410645,1998-11-19
7.433350086212158,1998-11-20
8.132959365844727,1998-11-23
7.914330005645752,1998-11-24
8.395313262939453,1998-11-25
9.051198959350586,1998-11-27
9.401002883911133,1998-11-30
9.313549041748047,1998-12-01
9.313549041748047,1998-12-02
9.532181739807129,1998-12-03
11.456106185913086,1998-12-04
10.975122451782227,1998-12-07
10.62531852722168,1998-12-08
12.33061695098877,1998-12-09
11.84963607788086,1998-12-10
11.15002727508545,1998-12-11
10.669044494628906,1998-12-14
11.171890258789062,1998-12-15
11.805908203125,1998-12-16
11.93708610534668,1998-12-17
11.893357276916504,1998-12-18
12.942776679992676,1998-12-21
12.527379989624023,1998-12-22
12.942776679992676,1998-12-23
12.59296989440918,1998-12-24
13.9921875,1998-12-28
14.604349136352539,1998-12-29
14.604349136352539,1998-12-30
16.440818786621094,1998-12-31
14.735522270202637,1999-01-04
13.948464393615723,1999-01-05
14.51689624786377,1999-01-06
15.7412109375,1999-01-07
15.67562484741211,1999-01-08
15.303961753845215,1999-01-11
14.691794395446777,1999-01-12
14.167093276977539,1999-01-13
14.648069381713867,1999-01-14
15.216507911682129,1999-01-15
15.478856086730957,1999-01-19
15.916114807128906,1999-01-20
15.041606903076172,1999-01-21
13.9921875,1999-01-22
15.129055976867676,1999-01-25
15.041606903076172,1999-01-26
15.0853271484375,1999-01-27
14.954148292541504,1999-01-28
15.129055976867676,1999-01-29
15.0853271484375,1999-02-01
15.303961753845215,1999-02-02
15.129055976867676,1999-02-03
15.216507911682129,1999-02-04
15.216507911682129,1999-02-05
15.216507911682129,1999-02-08
14.779247283935547,1999-02-09
14.691794395446777,1999-02-10
13.773563385009766,1999-02-11
13.117674827575684,1999-02-12
13.292577743530273,1999-02-16
12.855323791503906,1999-02-17
13.117674827575684,1999-02-18
13.030226707458496,1999-02-19
13.248852729797363,1999-02-22
13.205129623413086,1999-02-23
13.248852729797363,1999-02-24
13.380034446716309,1999-02-25
11.893357276916504,1999-02-26
12.068264961242676,1999-03-01
11.98081111907959,1999-03-02
11.98081111907959,1999-03-03
12.680421829223633,1999-03-04
13.030226707458496,1999-03-05
13.205129623413086,1999-03-08
13.554931640625,1999-03-09
12.680421829223633,1999-03-10
12.636693000793457,1999-03-11
12.98649787902832,1999-03-12
13.948464393615723,1999-03-15
13.9921875,1999-03-16
13.926604270935059,1999-03-17
13.467480659484863,1999-03-18
13.205129623413086,1999-03-19
13.248852729797363,1999-03-22
12.76786994934082,1999-03-23
12.855323791503906,1999-03-24
12.680421829223633,1999-03-25
12.59296989440918,1999-03-26
12.855323791503906,1999-03-29
12.59296989440918,1999-03-30
12.59296989440918,1999-03-31
13.292577743530273,1999-04-01
12.680421829223633,1999-04-05
12.54924488067627,1999-04-06
12.658563613891602,1999-04-07
12.78973388671875,1999-04-08
12.76786994934082,1999-04-09
12.724146842956543,1999-04-12
12.76786994934082,1999-04-13
12.59296989440918,1999-04-14
12.33061695098877,1999-04-15
11.98081111907959,1999-04-16
11.98081111907959,1999-04-19
11.871498107910156,1999-04-20
12.724146842956543,1999-04-21
12.899051666259766,1999-04-22
13.117674827575684,1999-04-23
13.292577743530273,1999-04-26
13.423757553100586,1999-04-27
13.642385482788086,1999-04-28
13.117674827575684,1999-04-29
13.380034446716309,1999-04-30
13.292577743530273,1999-05-03
14.035914421081543,1999-05-04
14.25454044342041,1999-05-05
14.385717391967773,1999-05-06
14.29826545715332,1999-05-07
13.248852729797363,1999-05-10
12.724146842956543,1999-05-11
12.76786994934082,1999-05-12
13.904739379882812,1999-05-13
13.642385482788086,1999-05-14
14.25454044342041,1999-05-17
14.560625076293945,1999-05-18
14.691794395446777,1999-05-19
14.47317123413086,1999-05-20
13.9921875,1999-05-21
