PXD,Date
27.759933471679688,1997-08-08
27.6192569732666,1997-08-11
27.713031768798828,1997-08-12
28.13506317138672,1997-08-13
27.666160583496094,1997-08-14
27.056564331054688,1997-08-15
27.056564331054688,1997-08-18
27.103445053100586,1997-08-19
26.681428909301758,1997-08-20
26.49384880065918,1997-08-21
26.49384880065918,1997-08-22
27.572368621826172,1997-08-25
28.510210037231445,1997-08-26
28.275745391845703,1997-08-27
29.354249954223633,1997-08-28
29.96384048461914,1997-08-29
31.323707580566406,1997-09-02
31.93329620361328,1997-09-03
33.011802673339844,1997-09-04
33.05869674682617,1997-09-05
32.82425308227539,1997-09-08
32.16777038574219,1997-09-09
31.7457218170166,1997-09-10
31.323707580566406,1997-09-11
31.26736831665039,1997-09-12
30.985692977905273,1997-09-15
30.985692977905273,1997-09-16
30.28145408630371,1997-09-17
30.563138961791992,1997-09-18
30.28145408630371,1997-09-19
29.811992645263672,1997-09-22
29.671140670776367,1997-09-23
29.811992645263672,1997-09-24
29.811992645263672,1997-09-25
30.516204833984375,1997-09-26
30.93872833251953,1997-09-29
31.54904556274414,1997-09-30
31.173473358154297,1997-10-01
31.079587936401367,1997-10-02
31.408220291137695,1997-10-03
32.39411163330078,1997-10-06
32.8166618347168,1997-10-07
32.39411163330078,1997-10-08
31.924640655517578,1997-10-09
31.642955780029297,1997-10-10
31.45517349243164,1997-10-13
31.032630920410156,1997-10-14
31.079587936401367,1997-10-15
30.89179039001465,1997-10-16
30.657047271728516,1997-10-17
31.12653350830078,1997-10-20
31.22042465209961,1997-10-21
31.45517349243164,1997-10-22
30.985692977905273,1997-10-23
30.84484100341797,1997-10-24
30.28145408630371,1997-10-27
30.563138961791992,1997-10-28
31.22042465209961,1997-10-29
30.89179039001465,1997-10-30
30.093664169311523,1997-10-31
29.671140670776367,1997-11-03
30.14061737060547,1997-11-04
29.34250831604004,1997-11-05
28.826078414916992,1997-11-06
27.699329376220703,1997-11-07
27.042057037353516,1997-11-10
26.52561378479004,1997-11-11
24.459909439086914,1997-11-12
23.098421096801758,1997-11-13
23.28621482849121,1997-11-14
24.553804397583008,1997-11-17
24.08432388305664,1997-11-18
23.849584579467773,1997-11-19
24.225175857543945,1997-11-20
24.319059371948242,1997-11-21
23.473997116088867,1997-11-24
22.722837448120117,1997-11-25
23.42705535888672,1997-11-26
23.990428924560547,1997-11-28
22.816736221313477,1997-12-01
22.910627365112305,1997-12-02
22.816736221313477,1997-12-03
22.816736221313477,1997-12-04
22.722837448120117,1997-12-05
22.347248077392578,1997-12-08
21.97167205810547,1997-12-09
21.03270721435547,1997-12-10
20.65712547302246,1997-12-11
20.422386169433594,1997-12-12
19.81205940246582,1997-12-15
20.234586715698242,1997-12-16
20.797969818115234,1997-12-17
20.751018524169922,1997-12-18
20.37543296813965,1997-12-19
19.577322006225586,1997-12-22
19.905954360961914,1997-12-23
19.859006881713867,1997-12-24
19.718158721923828,1997-12-26
20.516277313232422,1997-12-29
20.65712547302246,1997-12-30
21.783872604370117,1997-12-31
21.549129486083984,1998-01-02
20.610172271728516,1998-01-05
19.436473846435547,1998-01-06
18.82615089416504,1998-01-07
18.497514724731445,1998-01-08
17.840240478515625,1998-01-09
17.464658737182617,1998-01-12
18.168874740600586,1998-01-13
18.215829849243164,1998-01-14
18.028034210205078,1998-01-15
18.028034210205078,1998-01-16
18.497514724731445,1998-01-20
18.262767791748047,1998-01-21
17.887191772460938,1998-01-22
16.995182037353516,1998-01-23
15.680632591247559,1998-01-26
16.244007110595703,1998-01-27
16.619596481323242,1998-01-28
16.478742599487305,1998-01-29
16.290956497192383,1998-01-30
16.00926971435547,1998-02-02
16.150115966796875,1998-02-03
16.00926971435547,1998-02-04
16.525693893432617,1998-02-05
16.807384490966797,1998-02-06
16.572641372680664,1998-02-09
17.37076187133789,1998-02-10
16.94823455810547,1998-02-11
16.891759872436523,1998-02-12
16.79766273498535,1998-02-13
16.656509399414062,1998-02-17
16.515348434448242,1998-02-18
16.56239891052246,1998-02-19
16.56239891052246,1998-02-20
16.46829605102539,1998-02-23
16.421241760253906,1998-02-24
16.609451293945312,1998-02-25
17.268192291259766,1998-02-26
17.832809448242188,1998-02-27
17.92691421508789,1998-03-02
18.11512565612793,1998-03-03
18.162172317504883,1998-03-04
18.068069458007812,1998-03-05
17.832809448242188,1998-03-06
17.127029418945312,1998-03-09
16.84471321105957,1998-03-10
16.84471321105957,1998-03-11
17.127029418945312,1998-03-12
17.315235137939453,1998-03-13
17.691654205322266,1998-03-16
17.7857608795166,1998-03-17
18.021028518676758,1998-03-18
18.77385711669922,1998-03-19
19.62079429626465,1998-03-20
19.997215270996094,1998-03-23
19.903112411499023,1998-03-24
18.91501808166504,1998-03-25
18.67975616455078,1998-03-26
18.726808547973633,1998-03-27
18.82090950012207,1998-03-30
18.726808547973633,1998-03-31
19.338485717773438,1998-04-01
19.00911521911621,1998-04-02
18.82090950012207,1998-04-03
18.35038948059082,1998-04-06
18.538597106933594,1998-04-07
18.44449234008789,1998-04-08
18.25627899169922,1998-04-09
18.209228515625,1998-04-13
18.209228515625,1998-04-14
18.162172317504883,1998-04-15
18.021028518676758,1998-04-16
18.35038948059082,1998-04-17
17.832809448242188,1998-04-20
18.11512565612793,1998-04-21
17.92691421508789,1998-04-22
17.738706588745117,1998-04-23
17.738706588745117,1998-04-24
17.691654205322266,1998-04-27
17.7857608795166,1998-04-28
18.11512565612793,1998-04-29
18.021028518676758,1998-04-30
18.25627899169922,1998-05-01
17.92691421508789,1998-05-04
18.35038948059082,1998-05-05
17.973966598510742,1998-05-06
17.738706588745117,1998-05-07
18.021028518676758,1998-05-08
17.879863739013672,1998-05-11
17.92691421508789,1998-05-12
17.879863739013672,1998-05-13
17.832809448242188,1998-05-14
17.691654205322266,1998-05-15
17.50344467163086,1998-05-18
17.45639419555664,1998-05-19
17.362285614013672,1998-05-20
17.362285614013672,1998-05-21
17.174076080322266,1998-05-22
17.22113037109375,1998-05-26
16.891759872436523,1998-05-27
17.174076080322266,1998-05-28
17.50344467163086,1998-05-29
17.268192291259766,1998-06-01
17.032920837402344,1998-06-02
17.032920837402344,1998-06-03
17.362285614013672,1998-06-04
17.315235137939453,1998-06-05
17.22113037109375,1998-06-08
17.127029418945312,1998-06-09
17.032920837402344,1998-06-10
16.656509399414062,1998-06-11
16.609451293945312,1998-06-12
16.3271427154541,1998-06-15
16.374191284179688,1998-06-16
16.84471321105957,1998-06-17
16.515348434448242,1998-06-18
16.374191284179688,1998-06-19
16.7506103515625,1998-06-22
17.174076080322266,1998-06-23
17.409343719482422,1998-06-24
17.362285614013672,1998-06-25
17.22113037109375,1998-06-26
17.315235137939453,1998-06-29
