APTV,Date
16.3389835357666,2011-11-17
16.086204528808594,2011-11-18
15.549997329711914,2011-11-21
15.243595123291016,2011-11-22
15.036775588989258,2011-11-23
15.052085876464844,2011-11-25
15.350837707519531,2011-11-28
15.312532424926758,2011-11-29
15.963640213012695,2011-11-30
15.94066333770752,2011-12-01
16.369625091552734,2011-12-02
16.676029205322266,2011-12-05
16.95179557800293,2011-12-06
16.852216720581055,2011-12-07
16.614744186401367,2011-12-08
16.660709381103516,2011-12-09
16.476865768432617,2011-12-12
16.32366371154785,2011-12-13
15.810441970825195,2011-12-14
16.05556297302246,2011-12-15
16.06322479248047,2011-12-16
16.07854461669922,2011-12-19
16.469205856323242,2011-12-20
16.392606735229492,2011-12-21
16.69134521484375,2011-12-22
16.80625343322754,2011-12-23
16.584108352661133,2011-12-27
16.23174476623535,2011-12-28
16.407928466796875,2011-12-29
16.499853134155273,2011-12-30
17.03605842590332,2012-01-03
17.265857696533203,2012-01-04
16.959453582763672,2012-01-05
17.273515701293945,2012-01-06
17.396080017089844,2012-01-09
18.254011154174805,2012-01-10
18.34593391418457,2012-01-11
18.912776947021484,2012-01-12
18.997039794921875,2012-01-13
18.659992218017578,2012-01-17
18.767236709594727,2012-01-18
19.203861236572266,2012-01-19
19.22684097290039,2012-01-20
19.51793098449707,2012-01-23
19.770709991455078,2012-01-24
19.732402801513672,2012-01-25
19.877952575683594,2012-01-26
20.80482292175293,2012-01-27
20.74354362487793,2012-01-30
20.552038192749023,2012-01-31
21.900217056274414,2012-02-01
22.191301345825195,2012-02-02
23.55479621887207,2012-02-03
23.378616333007812,2012-02-06
23.041576385498047,2012-02-07
22.903690338134766,2012-02-08
22.82709503173828,2012-02-09
23.01093101501465,2012-02-10
22.987953186035156,2012-02-13
22.260242462158203,2012-02-14
22.5053653717041,2012-02-15
23.225412368774414,2012-02-16
23.968441009521484,2012-02-17
23.69268226623535,2012-02-21
23.761627197265625,2012-02-22
23.74629783630371,2012-02-23
24.0450439453125,2012-02-24
23.968441009521484,2012-02-27
24.42038917541504,2012-02-28
24.512310028076172,2012-02-29
24.512310028076172,2012-03-01
24.765092849731445,2012-03-02
24.23655128479004,2012-03-05
22.96497344970703,2012-03-06
22.987953186035156,2012-03-07
24.282506942749023,2012-03-08
24.382091522216797,2012-03-09
24.451030731201172,2012-03-12
24.474008560180664,2012-03-13
24.343786239624023,2012-03-14
24.297826766967773,2012-03-15
24.512310028076172,2012-03-16
24.167606353759766,2012-03-19
23.853548049926758,2012-03-20
23.94546127319336,2012-03-21
23.723318099975586,2012-03-22
23.723318099975586,2012-03-23
24.481670379638672,2012-03-26
24.443370819091797,2012-03-27
24.175260543823242,2012-03-28
24.336130142211914,2012-03-29
24.205907821655273,2012-03-30
24.167606353759766,2012-04-02
23.953121185302734,2012-04-03
24.22888946533203,2012-04-04
24.328468322753906,2012-04-05
23.953121185302734,2012-04-09
23.623735427856445,2012-04-10
24.12164306640625,2012-04-11
24.336130142211914,2012-04-12
24.397409439086914,2012-04-13
24.504650115966797,2012-04-16
24.596572875976562,2012-04-17
24.66551399230957,2012-04-18
24.405067443847656,2012-04-19
24.41272735595703,2012-04-20
24.129304885864258,2012-04-23
23.148815155029297,2012-04-24
23.63139533996582,2012-04-25
23.455217361450195,2012-04-26
23.830568313598633,2012-04-27
23.508840560913086,2012-04-30
23.63905906677246,2012-05-01
23.547138214111328,2012-05-02
23.324996948242188,2012-05-03
22.497703552246094,2012-05-04
22.712188720703125,2012-05-07
21.831279754638672,2012-05-08
