CMS,Date
10.151430130004883,1973-02-21
10.108048439025879,1973-02-22
9.977898597717285,1973-02-23
9.93451976776123,1973-02-26
9.977898597717285,1973-02-27
9.93451976776123,1973-02-28
9.804369926452637,1973-03-01
9.93451976776123,1973-03-02
9.847752571105957,1973-03-05
9.891138076782227,1973-03-06
9.847752571105957,1973-03-07
9.977898597717285,1973-03-08
9.93451976776123,1973-03-09
9.891138076782227,1973-03-12
9.891138076782227,1973-03-13
9.93451976776123,1973-03-14
9.891138076782227,1973-03-15
9.93451976776123,1973-03-16
9.847752571105957,1973-03-19
9.804369926452637,1973-03-20
9.804369926452637,1973-03-21
9.760987281799316,1973-03-22
9.760987281799316,1973-03-23
9.804369926452637,1973-03-26
9.804369926452637,1973-03-27
9.93451976776123,1973-03-28
9.891138076782227,1973-03-29
9.891138076782227,1973-03-30
9.891138076782227,1973-04-02
9.847752571105957,1973-04-03
9.760987281799316,1973-04-04
9.804369926452637,1973-04-05
9.717601776123047,1973-04-06
9.5874605178833,1973-04-09
9.674225807189941,1973-04-10
9.847752571105957,1973-04-11
9.760987281799316,1973-04-12
9.893491744995117,1973-04-13
9.849323272705078,1973-04-16
9.805159568786621,1973-04-17
9.805159568786621,1973-04-18
9.805159568786621,1973-04-19
9.805159568786621,1973-04-23
9.760986328125,1973-04-24
9.760986328125,1973-04-25
9.805159568786621,1973-04-26
9.805159568786621,1973-04-27
9.760986328125,1973-04-30
9.849323272705078,1973-05-01
9.849323272705078,1973-05-02
9.937657356262207,1973-05-03
9.849323272705078,1973-05-04
9.849323272705078,1973-05-07
9.937657356262207,1973-05-08
9.893491744995117,1973-05-09
9.849323272705078,1973-05-10
9.893491744995117,1973-05-11
9.849323272705078,1973-05-14
9.805159568786621,1973-05-15
9.849323272705078,1973-05-16
9.760986328125,1973-05-17
9.805159568786621,1973-05-18
9.760986328125,1973-05-21
9.760986328125,1973-05-22
9.760986328125,1973-05-23
9.805159568786621,1973-05-24
9.672653198242188,1973-05-25
9.672653198242188,1973-05-29
9.540154457092285,1973-05-30
9.49598217010498,1973-05-31
9.49598217010498,1973-06-01
9.451814651489258,1973-06-04
9.451814651489258,1973-06-05
9.49598217010498,1973-06-06
9.49598217010498,1973-06-07
9.540154457092285,1973-06-08
9.49598217010498,1973-06-11
9.540154457092285,1973-06-12
9.451814651489258,1973-06-13
9.584320068359375,1973-06-14
9.628491401672363,1973-06-15
9.540154457092285,1973-06-18
9.628491401672363,1973-06-19
