RL,Date
24.432945251464844,1997-06-12
25.11163902282715,1997-06-13
23.94816017150879,1997-06-16
23.07555389404297,1997-06-17
22.0090389251709,1997-06-18
22.784690856933594,1997-06-19
22.881643295288086,1997-06-20
21.912086486816406,1997-06-23
22.396865844726562,1997-06-24
22.251434326171875,1997-06-25
21.912086486816406,1997-06-26
21.13643455505371,1997-06-27
21.23339080810547,1997-06-30
20.89405059814453,1997-07-01
21.57274055480957,1997-07-02
21.766653060913086,1997-07-03
21.039480209350586,1997-07-07
21.47577667236328,1997-07-08
20.65165901184082,1997-07-09
19.779056549072266,1997-07-10
20.118404388427734,1997-07-11
19.924480438232422,1997-07-14
19.730581283569336,1997-07-15
18.470151901245117,1997-07-16
20.215349197387695,1997-07-17
20.06991958618164,1997-07-18
19.633623123168945,1997-07-21
19.87601089477539,1997-07-22
19.391223907470703,1997-07-23
19.100357055664062,1997-07-24
19.100357055664062,1997-07-25
19.585140228271484,1997-07-28
20.700130462646484,1997-07-29
21.524269104003906,1997-07-30
20.797090530395508,1997-07-31
20.65165901184082,1997-08-01
21.427305221557617,1997-08-04
20.991003036499023,1997-08-05
20.55470085144043,1997-08-06
19.97296714782715,1997-08-07
19.585140228271484,1997-08-08
19.19732093811035,1997-08-11
18.85797119140625,1997-08-12
18.906444549560547,1997-08-13
18.61557960510254,1997-08-14
17.888408660888672,1997-08-15
18.227754592895508,1997-08-18
18.809486389160156,1997-08-19
19.87601089477539,1997-08-20
19.19732093811035,1997-08-21
19.00340461730957,1997-08-22
18.85797119140625,1997-08-25
19.148839950561523,1997-08-26
19.00340461730957,1997-08-27
19.633623123168945,1997-08-28
20.360790252685547,1997-08-29
20.360790252685547,1997-09-02
20.215349197387695,1997-09-03
19.97296714782715,1997-09-04
20.06991958618164,1997-09-05
19.682092666625977,1997-09-08
19.29427719116211,1997-09-09
18.809486389160156,1997-09-10
18.809486389160156,1997-09-11
18.954919815063477,1997-09-12
19.536653518676758,1997-09-15
19.779056549072266,1997-09-16
20.5062198638916,1997-09-17
20.215349197387695,1997-09-18
20.65165901184082,1997-09-19
21.427305221557617,1997-09-22
21.184907913208008,1997-09-23
20.26383399963379,1997-09-24
19.633623123168945,1997-09-25
20.26383399963379,1997-09-26
20.360790252685547,1997-09-29
20.312307357788086,1997-09-30
20.942520141601562,1997-10-01
20.65165901184082,1997-10-02
20.55470085144043,1997-10-03
20.65165901184082,1997-10-06
20.312307357788086,1997-10-07
19.730581283569336,1997-10-08
20.1668758392334,1997-10-09
20.1668758392334,1997-10-10
20.360790252685547,1997-10-13
20.215349197387695,1997-10-14
19.924480438232422,1997-10-15
19.488187789916992,1997-10-16
19.245792388916016,1997-10-17
19.148839950561523,1997-10-20
19.730581283569336,1997-10-21
20.118404388427734,1997-10-22
20.26383399963379,1997-10-23
20.84556770324707,1997-10-24
19.00340461730957,1997-10-27
19.779056549072266,1997-10-28
19.585140228271484,1997-10-29
19.488187789916992,1997-10-30
20.1668758392334,1997-10-31
21.13643455505371,1997-11-03
21.718172073364258,1997-11-04
21.86361312866211,1997-11-05
21.378820419311523,1997-11-06
20.797090530395508,1997-11-07
20.457744598388672,1997-11-10
20.06991958618164,1997-11-11
19.779056549072266,1997-11-12
21.039480209350586,1997-11-13
21.378820419311523,1997-11-14
21.33034324645996,1997-11-17
21.427305221557617,1997-11-18
22.0090389251709,1997-11-19
22.29991340637207,1997-11-20
21.960561752319336,1997-11-21
21.23339080810547,1997-11-24
21.23339080810547,1997-11-25
21.13643455505371,1997-11-26
20.942520141601562,1997-11-28
21.718172073364258,1997-12-01
21.378820419311523,1997-12-02
21.039480209350586,1997-12-03
21.13643455505371,1997-12-04
21.378820419311523,1997-12-05
21.912086486816406,1997-12-08
21.33034324645996,1997-12-09
21.08795928955078,1997-12-10
20.312307357788086,1997-12-11
20.1668758392334,1997-12-12
20.55470085144043,1997-12-15
19.439708709716797,1997-12-16
19.29427719116211,1997-12-17
19.00340461730957,1997-12-18
18.61557960510254,1997-12-19
18.179285049438477,1997-12-22
