AXP,Date
1.2549976110458374,1972-06-01
1.2495293617248535,1972-06-02
1.2249221801757812,1972-06-05
1.1593000888824463,1972-06-06
1.1456291675567627,1972-06-07
1.1729718446731567,1972-06-08
1.1647694110870361,1972-06-09
1.1839085817337036,1972-06-12
1.1839085817337036,1972-06-13
1.1702371835708618,1972-06-14
1.1565666198730469,1972-06-15
1.1538320779800415,1972-06-16
1.1428954601287842,1972-06-19
1.1456291675567627,1972-06-20
1.1702371835708618,1972-06-21
1.1921110153198242,1972-06-22
1.1319581270217896,1972-06-23
1.099147915840149,1972-06-26
1.1456291675567627,1972-06-27
1.1565666198730469,1972-06-28
1.1839085817337036,1972-06-29
1.2194527387619019,1972-06-30
1.2659348249435425,1972-07-03
1.3124148845672607,1972-07-05
1.3124148845672607,1972-07-06
1.2905421257019043,1972-07-07
1.2796050310134888,1972-07-10
1.2823400497436523,1972-07-11
1.2796050310134888,1972-07-12
1.2276551723480225,1972-07-13
1.2358583211898804,1972-07-14
1.2249221801757812,1972-07-17
1.2358583211898804,1972-07-18
1.2358583211898804,1972-07-19
1.1729718446731567,1972-07-20
1.197579264640808,1972-07-21
1.2194527387619019,1972-07-24
1.2085163593292236,1972-07-25
1.2085163593292236,1972-07-26
1.2057812213897705,1972-07-27
1.2112503051757812,1972-07-28
1.2085163593292236,1972-07-31
1.2385920286178589,1972-08-01
1.317884087562561,1972-08-02
1.3397573232650757,1972-08-03
1.3424919843673706,1972-08-04
1.3397573232650757,1972-08-07
1.3206186294555664,1972-08-08
1.3206186294555664,1972-08-09
1.3588975667953491,1972-08-10
1.3725686073303223,1972-08-11
1.361630916595459,1972-08-14
1.3479604721069336,1972-08-15
1.3397573232650757,1972-08-16
1.3124148845672607,1972-08-17
1.317884087562561,1972-08-18
1.3124148845672607,1972-08-21
1.293276071548462,1972-08-22
1.2659348249435425,1972-08-23
1.2604658603668213,1972-08-24
1.2604658603668213,1972-08-25
1.2604658603668213,1972-08-28
1.2796050310134888,1972-08-29
1.3124148845672607,1972-08-30
1.3069472312927246,1972-08-31
1.356162667274475,1972-09-01
1.3315547704696655,1972-09-05
1.2878077030181885,1972-09-06
1.2905421257019043,1972-09-07
1.2632001638412476,1972-09-08
1.2276551723480225,1972-09-11
1.197579264640808,1972-09-12
1.2249221801757812,1972-09-13
1.2358583211898804,1972-09-14
1.2385920286178589,1972-09-15
1.2549976110458374,1972-09-18
1.2659348249435425,1972-09-19
1.3069472312927246,1972-09-20
