GWW,Date
2.4179654121398926,1973-02-21
2.434581995010376,1973-02-22
2.5176727771759033,1973-02-23
2.5176727771759033,1973-02-26
2.484437942504883,1973-02-27
2.4595110416412354,1973-02-28
2.4678194522857666,1973-03-01
2.4595110416412354,1973-03-02
2.442891836166382,1973-03-05
2.451202869415283,1973-03-06
2.3930370807647705,1973-03-07
2.3930370807647705,1973-03-08
2.326563596725464,1973-03-09
2.260091781616211,1973-03-12
2.2933266162872314,1973-03-13
2.2684009075164795,1973-03-14
2.260091781616211,1973-03-15
2.260091781616211,1973-03-16
2.2684009075164795,1973-03-19
2.2434730529785156,1973-03-20
2.210235834121704,1973-03-21
2.0689806938171387,1973-03-22
2.0274343490600586,1973-03-23
2.0108158588409424,1973-03-26
2.1271438598632812,1973-03-27
2.251781702041626,1973-03-28
2.326563596725464,1973-03-29
2.326563596725464,1973-03-30
2.3099453449249268,1973-04-02
2.2351629734039307,1973-04-03
2.176997661590576,1973-04-04
2.1271438598632812,1973-04-05
2.077289581298828,1973-04-06
2.1437625885009766,1973-04-09
2.193617582321167,1973-04-10
2.193617582321167,1973-04-11
2.193617582321167,1973-04-12
2.176997661590576,1973-04-13
2.110525131225586,1973-04-16
2.1437625885009766,1973-04-17
2.1437625885009766,1973-04-18
2.1603810787200928,1973-04-19
2.193617582321167,1973-04-23
2.1603810787200928,1973-04-24
2.1603810787200928,1973-04-25
2.176997661590576,1973-04-26
2.168689012527466,1973-04-27
2.1354546546936035,1973-04-30
2.0274343490600586,1973-05-01
2.0606701374053955,1973-05-02
2.1271438598632812,1973-05-03
2.193617582321167,1973-05-04
2.1603810787200928,1973-05-07
2.1271438598632812,1973-05-08
2.0855979919433594,1973-05-09
2.1188342571258545,1973-05-10
2.1022162437438965,1973-05-11
2.0606701374053955,1973-05-14
2.0440526008605957,1973-05-15
2.0191264152526855,1973-05-16
1.985888123512268,1973-05-17
1.8446323871612549,1973-05-18
1.8113961219787598,1973-05-21
1.852941632270813,1973-05-22
1.9277247190475464,1973-05-23
1.96927011013031,1973-05-24
2.035742998123169,1973-05-25
2.0274343490600586,1973-05-29
1.9443423748016357,1973-05-30
1.886178731918335,1973-05-31
1.877869963645935,1973-06-01
1.861251950263977,1973-06-04
1.9277247190475464,1973-06-05
1.8695605993270874,1973-06-06
1.8944865465164185,1973-06-07
1.9027979373931885,1973-06-08
1.9277247190475464,1973-06-11
1.985888123512268,1973-06-12
1.9941977262496948,1973-06-13
2.0606701374053955,1973-06-14
1.9941977262496948,1973-06-15
1.9609616994857788,1973-06-18
1.9941977262496948,1973-06-19
1.9609616994857788,1973-06-20
1.861251950263977,1973-06-21
1.861251950263977,1973-06-22
1.8363237380981445,1973-06-25
1.861251950263977,1973-06-26
1.877869963645935,1973-06-27
1.9277247190475464,1973-06-28
1.8944865465164185,1973-06-29
1.861251950263977,1973-07-02
1.886178731918335,1973-07-03
1.877869963645935,1973-07-05
1.852941632270813,1973-07-06
1.886178731918335,1973-07-09
1.9277247190475464,1973-07-10
1.9360328912734985,1973-07-11
1.9941977262496948,1973-07-12
1.9775798320770264,1973-07-13
1.9775798320770264,1973-07-16
2.0606701374053955,1973-07-17
2.0606701374053955,1973-07-18
2.1437625885009766,1973-07-19
2.176997661590576,1973-07-20
2.384728193283081,1973-07-23
2.384728193283081,1973-07-24
2.426273822784424,1973-07-25
2.492745876312256,1973-07-26
2.525984048843384,1973-07-27
2.525984048843384,1973-07-30
2.509364604949951,1973-07-31
2.3930370807647705,1973-08-01
2.3431825637817383,1973-08-02
2.3431825637817383,1973-08-03
2.384728193283081,1973-08-06
2.426273822784424,1973-08-07
2.4179654121398926,1973-08-08
2.4179654121398926,1973-08-09
2.3930370807647705,1973-08-10
2.376417875289917,1973-08-13
2.368109941482544,1973-08-14
2.3431825637817383,1973-08-15
2.376417875289917,1973-08-16
2.376417875289917,1973-08-17
2.376417875289917,1973-08-20
2.3016371726989746,1973-08-21
2.2933266162872314,1973-08-22
2.326563596725464,1973-08-23
2.326563596725464,1973-08-24
2.3431825637817383,1973-08-27
2.326563596725464,1973-08-28
2.3514928817749023,1973-08-29
2.3514928817749023,1973-08-30
2.3514928817749023,1973-08-31
2.376417875289917,1973-09-04
2.3930370807647705,1973-09-05
2.4179654121398926,1973-09-06
2.4595110416412354,1973-09-07
2.492745876312256,1973-09-10
2.4595110416412354,1973-09-11
2.4096555709838867,1973-09-12
2.3930370807647705,1973-09-13
2.3930370807647705,1973-09-14
2.384728193283081,1973-09-17
2.4096555709838867,1973-09-18
2.4096555709838867,1973-09-19
2.509364604949951,1973-09-20
2.5509119033813477,1973-09-21
2.625692367553711,1973-09-24
2.5592212677001953,1973-09-25
2.525984048843384,1973-09-26
2.525984048843384,1973-09-27
2.5010557174682617,1973-09-28
2.542603015899658,1973-10-01
2.5342929363250732,1973-10-02
2.5592212677001953,1973-10-03
2.584146499633789,1973-10-04
2.6589303016662598,1973-10-05
2.617384433746338,1973-10-08
2.6423110961914062,1973-10-09
2.6423110961914062,1973-10-10
2.692167282104492,1973-10-11
2.6589303016662598,1973-10-12
2.6423110961914062,1973-10-15
2.592456579208374,1973-10-16
2.592456579208374,1973-10-17
2.6589303016662598,1973-10-18
2.7254059314727783,1973-10-19
2.6755478382110596,1973-10-22
2.6589303016662598,1973-10-23
2.6423110961914062,1973-10-24
2.692167282104492,1973-10-25
2.7420225143432617,1973-10-26
2.7752575874328613,1973-10-29
2.758641242980957,1973-10-30
2.8832762241363525,1973-10-31
2.9746787548065186,1973-11-01
2.9746787548065186,1973-11-02
2.874967575073242,1973-11-05
2.7752575874328613,1973-11-06
2.808495283126831,1973-11-07
2.8583505153656006,1973-11-08
2.874967575073242,1973-11-09
2.7918784618377686,1973-11-12
2.7752575874328613,1973-11-13
2.7752575874328613,1973-11-14
2.7420225143432617,1973-11-15
2.6755478382110596,1973-11-16
2.6090762615203857,1973-11-19
2.426273822784424,1973-11-20
2.451202869415283,1973-11-21
2.434581995010376,1973-11-23
2.3514928817749023,1973-11-26
2.3099453449249268,1973-11-27
2.3431825637817383,1973-11-28
2.359799861907959,1973-11-29
2.376417875289917,1973-11-30
2.1022162437438965,1973-12-03
2.1271438598632812,1973-12-04
2.093907594680786,1973-12-05
2.193617582321167,1973-12-06
2.376417875289917,1973-12-07
2.2933266162872314,1973-12-10
2.2933266162872314,1973-12-11
2.2268526554107666,1973-12-12
2.1603810787200928,1973-12-13
2.210235834121704,1973-12-14
2.201927423477173,1973-12-17
2.260091781616211,1973-12-18
2.2767093181610107,1973-12-19
2.2434730529785156,1973-12-20
2.4179654121398926,1973-12-21
2.3930370807647705,1973-12-24
2.4096555709838867,1973-12-26
2.3930370807647705,1973-12-27
2.3016371726989746,1973-12-28
2.3016371726989746,1973-12-31
2.285017728805542,1974-01-02
2.2933266162872314,1974-01-03
2.285017728805542,1974-01-04
2.260091781616211,1974-01-07
2.2767093181610107,1974-01-08
2.168689012527466,1974-01-09
2.1603810787200928,1974-01-10
2.1603810787200928,1974-01-11
2.176997661590576,1974-01-14
2.3099453449249268,1974-01-15
2.326563596725464,1974-01-16
2.285017728805542,1974-01-17
2.193617582321167,1974-01-18
2.110525131225586,1974-01-21
2.093907594680786,1974-01-22
2.168689012527466,1974-01-23
2.176997661590576,1974-01-24
