FSLR,Date
51.880001068115234,2014-01-17
51.810001373291016,2014-01-21
52.040000915527344,2014-01-22
50.439998626708984,2014-01-23
48.66999816894531,2014-01-24
48.84000015258789,2014-01-27
50.36000061035156,2014-01-28
49.70000076293945,2014-01-29
51.470001220703125,2014-01-30
50.58000183105469,2014-01-31
48.349998474121094,2014-02-03
49.11000061035156,2014-02-04
47.72999954223633,2014-02-05
48.20000076293945,2014-02-06
49.83000183105469,2014-02-07
51.099998474121094,2014-02-10
51.459999084472656,2014-02-11
51.58000183105469,2014-02-12
52.849998474121094,2014-02-13
53.16999816894531,2014-02-14
56.86000061035156,2014-02-18
55.970001220703125,2014-02-19
56.880001068115234,2014-02-20
55.93000030517578,2014-02-21
57.75,2014-02-24
58.029998779296875,2014-02-25
52.7400016784668,2014-02-26
57.189998626708984,2014-02-27
57.06999969482422,2014-02-28
55.959999084472656,2014-03-03
57.709999084472656,2014-03-04
58.150001525878906,2014-03-05
58.2400016784668,2014-03-06
56.11000061035156,2014-03-07
54.84000015258789,2014-03-10
53.47999954223633,2014-03-11
53.70000076293945,2014-03-12
53.029998779296875,2014-03-13
54.029998779296875,2014-03-14
56.52000045776367,2014-03-17
57.560001373291016,2014-03-18
69.4000015258789,2014-03-19
70.4800033569336,2014-03-20
73.37000274658203,2014-03-21
73.87000274658203,2014-03-24
72.08000183105469,2014-03-25
68.48999786376953,2014-03-26
69.75,2014-03-27
68.63999938964844,2014-03-28
69.79000091552734,2014-03-31
70.88999938964844,2014-04-01
71.93000030517578,2014-04-02
68.45999908447266,2014-04-03
69.72000122070312,2014-04-04
68.0,2014-04-07
72.7699966430664,2014-04-08
73.33999633789062,2014-04-09
69.62999725341797,2014-04-10
67.58999633789062,2014-04-11
68.30000305175781,2014-04-14
66.38999938964844,2014-04-15
67.58999633789062,2014-04-16
67.31999969482422,2014-04-17
69.20999908447266,2014-04-21
71.12000274658203,2014-04-22
70.04000091552734,2014-04-23
70.62000274658203,2014-04-24
68.62999725341797,2014-04-25
65.91999816894531,2014-04-28
66.27999877929688,2014-04-29
67.48999786376953,2014-04-30
67.2699966430664,2014-05-01
68.02999877929688,2014-05-02
68.41999816894531,2014-05-05
67.44999694824219,2014-05-06
63.56999969482422,2014-05-07
63.43000030517578,2014-05-08
63.209999084472656,2014-05-09
63.83000183105469,2014-05-12
63.04999923706055,2014-05-13
61.88999938964844,2014-05-14
60.099998474121094,2014-05-15
59.63999938964844,2014-05-16
59.83000183105469,2014-05-19
58.630001068115234,2014-05-20
60.38999938964844,2014-05-21
60.630001068115234,2014-05-22
60.66999816894531,2014-05-23
61.2599983215332,2014-05-27
61.869998931884766,2014-05-28
63.40999984741211,2014-05-29
61.779998779296875,2014-05-30
