LW,Date
27.668376922607422,2016-11-10
27.266990661621094,2016-11-11
27.540658950805664,2016-11-14
27.75960350036621,2016-11-15
28.91815185546875,2016-11-16
29.65706443786621,2016-11-17
29.812149047851562,2016-11-18
28.954639434814453,2016-11-21
29.830402374267578,2016-11-22
30.122314453125,2016-11-23
29.73005485534668,2016-11-25
29.866884231567383,2016-11-28
30.277395248413086,2016-11-29
30.54195213317871,2016-11-30
29.65706443786621,2016-12-01
30.094947814941406,2016-12-02
30.69703483581543,2016-12-05
30.852109909057617,2016-12-06
31.70050048828125,2016-12-07
32.77695083618164,2016-12-08
33.187461853027344,2016-12-09
33.50674057006836,2016-12-12
33.36990737915039,2016-12-13
32.065399169921875,2016-12-14
31.362966537475586,2016-12-15
32.16574478149414,2016-12-16
31.454193115234375,2016-12-19
31.882949829101562,2016-12-20
31.946802139282227,2016-12-21
33.141849517822266,2016-12-22
33.616214752197266,2016-12-23
34.06321334838867,2016-12-27
33.962867736816406,2016-12-28
34.455474853515625,2016-12-29
34.52845764160156,2016-12-30
34.20005416870117,2017-01-03
33.73480987548828,2017-01-04
33.40638732910156,2017-01-05
33.59797286987305,2017-01-06
33.652687072753906,2017-01-09
33.607093811035156,2017-01-10
33.652687072753906,2017-01-11
33.71656036376953,2017-01-12
33.953739166259766,2017-01-13
33.652687072753906,2017-01-17
33.424644470214844,2017-01-18
33.71656036376953,2017-01-19
33.853397369384766,2017-01-20
33.5432243347168,2017-01-23
34.20005416870117,2017-01-24
33.45200729370117,2017-01-25
33.312625885009766,2017-01-26
33.41349411010742,2017-01-27
33.72525405883789,2017-01-30
34.257080078125,2017-01-31
34.63302993774414,2017-02-01
35.22905349731445,2017-02-02
35.669185638427734,2017-02-03
35.98094940185547,2017-02-06
36.136817932128906,2017-02-07
35.907588958740234,2017-02-08
35.83423614501953,2017-02-09
36.008453369140625,2017-02-10
36.1551628112793,2017-02-13
36.356895446777344,2017-02-14
36.338565826416016,2017-02-15
36.58613204956055,2017-02-16
36.329376220703125,2017-02-17
36.329376220703125,2017-02-21
36.54029083251953,2017-02-22
36.2193489074707,2017-02-23
36.292701721191406,2017-02-24
36.201011657714844,2017-02-27
35.93509292602539,2017-02-28
36.63197708129883,2017-03-01
36.879554748535156,2017-03-02
37.04460525512695,2017-03-03
37.06293869018555,2017-03-06
37.35636901855469,2017-03-07
37.33803176879883,2017-03-08
37.57642364501953,2017-03-09
37.96155548095703,2017-03-10
38.080745697021484,2017-03-13
38.704261779785156,2017-03-14
38.84181213378906,2017-03-15
38.50254821777344,2017-03-16
38.74094772338867,2017-03-17
38.951847076416016,2017-03-20
39.309452056884766,2017-03-21
38.91516876220703,2017-03-22
39.43782424926758,2017-03-23
39.12607192993164,2017-03-24
39.3919792175293,2017-03-27
39.35530090332031,2017-03-28
39.09855651855469,2017-03-29
38.59423828125,2017-03-30
38.56672668457031,2017-03-31
38.51171112060547,2017-04-03
38.68593215942383,2017-04-04
38.273311614990234,2017-04-05
39.55703353881836,2017-04-06
39.41949462890625,2017-04-07
39.208580017089844,2017-04-10
39.318626403808594,2017-04-11
38.6584358215332,2017-04-12
38.39250946044922,2017-04-13
38.722618103027344,2017-04-17
38.86016082763672,2017-04-18
38.695106506347656,2017-04-19
39.06187057495117,2017-04-20
38.750118255615234,2017-04-21
39.12607192993164,2017-04-24
38.93350601196289,2017-04-25
38.90403366088867,2017-04-26
39.27244186401367,2017-04-27
38.452728271484375,2017-04-28
38.49878692626953,2017-05-01
38.12117004394531,2017-05-02
37.669864654541016,2017-05-03
38.001426696777344,2017-05-04
38.28695297241211,2017-05-05
38.29615783691406,2017-05-08
38.452728271484375,2017-05-09
39.115875244140625,2017-05-10
38.86719512939453,2017-05-11
38.86719512939453,2017-05-12
39.539546966552734,2017-05-15
40.95793914794922,2017-05-16
40.681602478027344,2017-05-17
40.46976852416992,2017-05-18
40.875030517578125,2017-05-19
41.05923080444336,2017-05-22
40.727657318115234,2017-05-23
41.89736557006836,2017-05-24
42.026302337646484,2017-05-25
42.0539436340332,2017-05-26
42.523643493652344,2017-05-30
42.74470901489258,2017-05-31
43.58283615112305,2017-06-01
43.63810348510742,2017-06-02
43.02101516723633,2017-06-05
42.98416519165039,2017-06-06
43.2052116394043,2017-06-07
42.827598571777344,2017-06-08
42.394710540771484,2017-06-09
41.842098236083984,2017-06-12
42.348663330078125,2017-06-13
41.98945999145508,2017-06-14
41.74079132080078,2017-06-15
41.510528564453125,2017-06-16
41.95262145996094,2017-06-19
42.118408203125,2017-06-20
42.2013053894043,2017-06-21
41.98945999145508,2017-06-22
41.96182632446289,2017-06-23
41.75920867919922,2017-06-26
41.16053009033203,2017-06-27
41.786834716796875,2017-06-28
40.64476013183594,2017-06-29
40.5618782043457,2017-06-30
40.396095275878906,2017-07-03
39.852684020996094,2017-07-05
39.51191711425781,2017-07-06
39.69612121582031,2017-07-07
39.36454391479492,2017-07-10
40.331626892089844,2017-07-11
40.52503967285156,2017-07-12
40.313201904296875,2017-07-13
40.202667236328125,2017-07-14
40.51582336425781,2017-07-17
40.64476013183594,2017-07-18
40.875030517578125,2017-07-19
40.78292465209961,2017-07-20
41.44606399536133,2017-07-21
41.21580123901367,2017-07-24
42.072364807128906,2017-07-25
40.78292465209961,2017-07-26
40.396095275878906,2017-07-27
40.359249114990234,2017-07-28
40.50661849975586,2017-07-31
40.5618782043457,2017-08-01
40.476776123046875,2017-08-02
39.97730255126953,2017-08-03
40.34727478027344,2017-08-04
40.56928253173828,2017-08-07
40.29178237915039,2017-08-08
40.24553298950195,2017-08-09
41.01325988769531,2017-08-10
41.447998046875,2017-08-11
41.447998046875,2017-08-14
41.64225387573242,2017-08-15
41.956729888916016,2017-08-16
41.965980529785156,2017-08-17
41.87349319458008,2017-08-18
42.039981842041016,2017-08-21
42.23422622680664,2017-08-22
