EQT,Date
0.2864467203617096,1980-03-17
0.2864467203617096,1980-03-18
0.2864467203617096,1980-03-19
0.2864467203617096,1980-03-20
0.2864467203617096,1980-03-21
0.27457287907600403,1980-03-24
0.2493421882390976,1980-03-25
0.25082647800445557,1980-03-26
0.23598457872867584,1980-03-27
0.2419210970401764,1980-03-28
0.2419210970401764,1980-03-31
0.24488969147205353,1980-04-01
0.24043704569339752,1980-04-02
0.2419210970401764,1980-04-03
0.23450040817260742,1980-04-07
0.24340508878231049,1980-04-08
0.26121559739112854,1980-04-09
0.2730887532234192,1980-04-10
0.2834779918193817,1980-04-11
0.27605733275413513,1980-04-14
0.2879307270050049,1980-04-15
0.2849620580673218,1980-04-16
0.2805095613002777,1980-04-17
0.2805095613002777,1980-04-18
0.2805095613002777,1980-04-21
0.29089879989624023,1980-04-22
0.2923833727836609,1980-04-23
0.29832011461257935,1980-04-24
0.31167733669281006,1980-04-25
0.3176144063472748,1980-04-28
0.3190983831882477,1980-04-29
0.3309718668460846,1980-04-30
0.33542442321777344,1980-05-01
0.33245599269866943,1980-05-02
0.3250350058078766,1980-05-05
0.32948771119117737,1980-05-06
0.3339405655860901,1980-05-07
0.33245599269866943,1980-05-08
0.3309718668460846,1980-05-09
0.3280031979084015,1980-05-12
0.3205825388431549,1980-05-13
0.3190983831882477,1980-05-14
0.30722522735595703,1980-05-15
0.3087092936038971,1980-05-16
0.30574074387550354,1980-05-19
0.3176144063472748,1980-05-20
0.3176144063472748,1980-05-21
0.3250350058078766,1980-05-22
0.32948771119117737,1980-05-23
0.33245599269866943,1980-05-27
0.3309718668460846,1980-05-28
0.32948771119117737,1980-05-29
0.3250350058078766,1980-05-30
0.32948771119117737,1980-06-02
0.32948771119117737,1980-06-03
0.3413611054420471,1980-06-04
0.3443295657634735,1980-06-05
0.33987709879875183,1980-06-06
0.3562029004096985,1980-06-09
0.3532344400882721,1980-06-10
0.35175037384033203,1980-06-11
0.36362361907958984,1980-06-12
0.36807647347450256,1980-06-13
0.3591710031032562,1980-06-16
0.35768696665763855,1980-06-17
0.36362361907958984,1980-06-18
0.3695603311061859,1980-06-19
0.3651083707809448,1980-06-20
0.36807647347450256,1980-06-23
0.37401288747787476,1980-06-24
0.38737064599990845,1980-06-25
0.38440224528312683,1980-06-26
0.38291817903518677,1980-06-27
0.3725288212299347,1980-06-30
0.36807647347450256,1980-07-01
0.37698158621788025,1980-07-02
0.38291817903518677,1980-07-03
0.3903387486934662,1980-07-07
0.3858867585659027,1980-07-08
0.3888547420501709,1980-07-09
0.3888547420501709,1980-07-10
0.3858867585659027,1980-07-11
0.3858867585659027,1980-07-14
0.3888547420501709,1980-07-15
0.39479130506515503,1980-07-16
0.3933073580265045,1980-07-17
0.39924392104148865,1980-07-18
0.4066648781299591,1980-07-21
0.4126018285751343,1980-07-22
0.4066648781299591,1980-07-23
0.4036966562271118,1980-07-24
0.40072813630104065,1980-07-25
0.4036966562271118,1980-07-28
0.4126018285751343,1980-07-29
0.41853851079940796,1980-07-30
0.4126018285751343,1980-07-31
0.4304119944572449,1980-08-01
0.4274432361125946,1980-08-04
0.42447522282600403,1980-08-05
0.42002248764038086,1980-08-06
0.4155700206756592,1980-08-07
0.42892777919769287,1980-08-08
0.43338024616241455,1980-08-11
0.4348642826080322,1980-08-12
0.4408009648323059,1980-08-13
0.4408009648323059,1980-08-14
0.43338024616241455,1980-08-15
0.42892777919769287,1980-08-18
0.4274432361125946,1980-08-19
0.4318958520889282,1980-08-20
0.4304119944572449,1980-08-21
0.43338024616241455,1980-08-22
0.4348642826080322,1980-08-25
0.43931692838668823,1980-08-26
0.44376954436302185,1980-08-27
0.44376954436302185,1980-08-28
0.4511902332305908,1980-08-29
0.4660322666168213,1980-09-02
0.48681071400642395,1980-09-03
0.48532629013061523,1980-09-04
0.47642117738723755,1980-09-05
0.4719691574573517,1980-09-08
0.48235824704170227,1980-09-09
0.48681071400642395,1980-09-10
0.48681071400642395,1980-09-11
0.48681071400642395,1980-09-12
0.4882946014404297,1980-09-15
0.5046205520629883,1980-09-16
0.5075891613960266,1980-09-17
0.5194624066352844,1980-09-18
0.5194624066352844,1980-09-19
0.5224311947822571,1980-09-22
0.5298516750335693,1980-09-23
0.5372726321220398,1980-09-24
0.5446940660476685,1980-09-25
0.528367817401886,1980-09-26
0.5105572938919067,1980-09-29
0.5120416283607483,1980-09-30
0.513525664806366,1980-10-01
0.5105572938919067,1980-10-02
0.5328205227851868,1980-10-03
0.534304678440094,1980-10-06
0.5357884168624878,1980-10-07
0.5387566685676575,1980-10-08
0.5446940660476685,1980-10-09
0.5402413606643677,1980-10-10
0.5461775064468384,1980-10-13
0.5669559836387634,1980-10-14
0.5728930830955505,1980-10-15
0.5728930830955505,1980-10-16
0.5639875531196594,1980-10-17
0.5669559836387634,1980-10-20
0.5728930830955505,1980-10-21
0.5817980766296387,1980-10-22
0.5788294672966003,1980-10-23
0.5936713814735413,1980-10-24
0.5877346992492676,1980-10-27
0.5907032489776611,1980-10-28
0.5907032489776611,1980-10-29
0.5907032489776611,1980-10-30
0.5921874642372131,1980-10-31
0.5847665667533875,1980-11-03
0.5877346992492676,1980-11-05
0.5669559836387634,1980-11-06
0.5535986423492432,1980-11-07
0.5521146059036255,1980-11-10
0.5313359498977661,1980-11-11
0.5639875531196594,1980-11-12
0.5654721856117249,1980-11-13
0.5728930830955505,1980-11-14
0.5847665667533875,1980-11-17
0.5862505435943604,1980-11-18
0.5936713814735413,1980-11-19
0.5996081233024597,1980-11-20
