OTIS,Date
42.97654724121094,2020-03-19
42.739112854003906,2020-03-20
37.99031448364258,2020-03-23
37.99031448364258,2020-03-24
38.9495735168457,2020-03-25
42.739112854003906,2020-03-26
42.96229553222656,2020-03-27
47.487892150878906,2020-03-30
47.487892150878906,2020-03-31
44.353694915771484,2020-04-01
41.78935241699219,2020-04-02
44.94253921508789,2020-04-03
43.631874084472656,2020-04-06
42.05527877807617,2020-04-07
41.87481689453125,2020-04-08
46.671104431152344,2020-04-09
43.68886184692383,2020-04-13
43.58439636230469,2020-04-14
42.31171417236328,2020-04-15
43.32795333862305,2020-04-16
43.83132553100586,2020-04-17
43.10951614379883,2020-04-20
43.59388732910156,2020-04-21
44.68610763549805,2020-04-22
45.08500289916992,2020-04-23
45.4459114074707,2020-04-24
45.79732131958008,2020-04-27
47.35492706298828,2020-04-28
48.58012008666992,2020-04-29
48.352176666259766,2020-04-30
47.212459564208984,2020-05-01
47.041507720947266,2020-05-04
45.67385482788086,2020-05-05
45.8828125,2020-05-06
49.20695877075195,2020-05-07
50.2896842956543,2020-05-08
49.20695877075195,2020-05-11
47.22195816040039,2020-05-12
45.78782272338867,2020-05-13
45.58837890625,2020-05-14
46.433658599853516,2020-05-15
49.51088333129883,2020-05-18
49.68183898925781,2020-05-19
50.50812911987305,2020-05-20
49.60244369506836,2020-05-21
49.29737854003906,2020-05-22
48.5156364440918,2020-05-26
49.936126708984375,2020-05-27
48.58237075805664,2020-05-28
50.193519592285156,2020-05-29
51.55680847167969,2020-06-01
51.62353515625,2020-06-02
52.881954193115234,2020-06-03
52.81521987915039,2020-06-04
55.837310791015625,2020-06-05
58.401798248291016,2020-06-08
57.82026290893555,2020-06-09
56.275848388671875,2020-06-10
53.62555694580078,2020-06-11
53.425357818603516,2020-06-12
54.979305267333984,2020-06-15
55.15090560913086,2020-06-16
54.09269332885742,2020-06-17
54.80770492553711,2020-06-18
54.3405647277832,2020-06-19
54.39775848388672,2020-06-22
54.14989471435547,2020-06-23
52.94868087768555,2020-06-24
53.577884674072266,2020-06-25
53.18701934814453,2020-06-26
53.930625915527344,2020-06-29
54.207096099853516,2020-06-30
53.177490234375,2020-07-01
53.8638916015625,2020-07-02
54.207096099853516,2020-07-06
54.16896438598633,2020-07-07
54.2642936706543,2020-07-08
53.49209213256836,2020-07-09
54.321495056152344,2020-07-10
54.235694885253906,2020-07-13
54.69329833984375,2020-07-14
55.48456954956055,2020-07-15
55.59898376464844,2020-07-16
55.8182487487793,2020-07-17
55.827781677246094,2020-07-20
55.71338653564453,2020-07-21
55.75150680541992,2020-07-22
56.3044548034668,2020-07-23
55.4178466796875,2020-07-24
55.59898376464844,2020-07-27
57.467525482177734,2020-07-28
61.299964904785156,2020-07-29
60.43242263793945,2020-07-30
59.8127555847168,2020-07-31
60.26082229614258,2020-08-03
59.688812255859375,2020-08-04
60.146427154541016,2020-08-05
60.51823043823242,2020-08-06
61.40483474731445,2020-08-07
62.16751480102539,2020-08-10
61.36670684814453,2020-08-11
61.87196731567383,2020-08-12
61.01396560668945,2020-08-13
61.0806999206543,2020-08-14
60.97583770751953,2020-08-17
60.489627838134766,2020-08-18
59.984344482421875,2020-08-19
60.223453521728516,2020-08-20
60.85466384887695,2020-08-21
61.017242431640625,2020-08-24
61.48587417602539,2020-08-25
61.380672454833984,2020-08-26
60.472110748291016,2020-08-27
60.81641387939453,2020-08-28
60.1565055847168,2020-08-31
61.25635528564453,2020-09-01
62.49008560180664,2020-09-02
59.15229797363281,2020-09-03
58.80801010131836,2020-09-04
57.98551940917969,2020-09-08
59.37226486206055,2020-09-09
57.287357330322266,2020-09-10
57.516883850097656,2020-09-11
57.37342071533203,2020-09-14
57.66991424560547,2020-09-15
57.18214797973633,2020-09-16
58.37763595581055,2020-09-17
58.224609375,2020-09-18
56.8187255859375,2020-09-21
58.32981491088867,2020-09-22
57.77511215209961,2020-09-23
59.37226486206055,2020-09-24
58.865386962890625,2020-09-25
59.78351593017578,2020-09-28
59.68787384033203,2020-09-29
59.69743728637695,2020-09-30
59.64962387084961,2020-10-01
60.40516662597656,2020-10-02
61.724971771240234,2020-10-05
61.04594421386719,2020-10-06
62.21273422241211,2020-10-07
61.88755416870117,2020-10-08
62.49964141845703,2020-10-09
62.8248176574707,2020-10-12
62.28923797607422,2020-10-13
62.748313903808594,2020-10-14
62.35619354248047,2020-10-15
62.19359588623047,2020-10-16
61.55282211303711,2020-10-19
61.58151626586914,2020-10-20
60.94073486328125,2020-10-21
60.4816780090332,2020-10-22
60.682518005371094,2020-10-23
60.45298767089844,2020-10-26
59.26707458496094,2020-10-27
56.417057037353516,2020-10-28
58.1385383605957,2020-10-29
58.60716247558594,2020-10-30
59.429649353027344,2020-11-02
59.974796295166016,2020-11-03
59.58267593383789,2020-11-04
59.898284912109375,2020-11-05
60.80685043334961,2020-11-06
60.730342864990234,2020-11-09
62.87262725830078,2020-11-10
63.236061096191406,2020-11-11
63.111717224121094,2020-11-12
62.710044860839844,2020-11-13
64.45066833496094,2020-11-16
64.26895904541016,2020-11-17
63.72380828857422,2020-11-18
63.46480178833008,2020-11-19
63.618309020996094,2020-11-20
64.51040649414062,2020-11-23
64.654296875,2020-11-24
64.6351089477539,2020-11-25
64.59674072265625,2020-11-27
64.2130355834961,2020-11-30
64.10752868652344,2020-12-01
63.01396179199219,2020-12-02
62.82210159301758,2020-12-03
62.50555419921875,2020-12-04
62.20817565917969,2020-12-07
63.41685104370117,2020-12-08
62.82210159301758,2020-12-09
61.39280319213867,2020-12-10
61.13380432128906,2020-12-11
60.22250747680664,2020-12-14
62.093074798583984,2020-12-15
62.58228302001953,2020-12-16
63.10988998413086,2020-12-17
62.937225341796875,2020-12-18
63.455223083496094,2020-12-21
62.74538040161133,2020-12-22
62.95640182495117,2020-12-23
63.10988998413086,2020-12-24
63.311336517333984,2020-12-28
63.01396179199219,2020-12-29
64.00199890136719,2020-12-30
64.79818725585938,2020-12-31
62.91803741455078,2021-01-04
62.447998046875,2021-01-05
64.18427276611328,2021-01-06
65.01881408691406,2021-01-07
64.10752868652344,2021-01-08
63.65666961669922,2021-01-11
62.572696685791016,2021-01-12
61.36402893066406,2021-01-13
62.294517517089844,2021-01-14
62.860469818115234,2021-01-15
62.70699691772461,2021-01-19
62.53433609008789,2021-01-20
60.93235778808594,2021-01-21
62.236961364746094,2021-01-22
61.60383987426758,2021-01-25
60.922767639160156,2021-01-26
59.70450210571289,2021-01-27
61.229732513427734,2021-01-28
62.016326904296875,2021-01-29
61.920406341552734,2021-02-01
62.0067253112793,2021-02-02
61.44077682495117,2021-02-03
60.71173095703125,2021-02-04
61.325653076171875,2021-02-05
61.13380432128906,2021-02-08
61.73814010620117,2021-02-09
62.649436950683594,2021-02-10
61.03293228149414,2021-02-11
61.51403045654297,2021-02-12
60.80199432373047,2021-02-16
60.32089614868164,2021-02-17
60.67691421508789,2021-02-18
60.65766143798828,2021-02-19
60.84048843383789,2021-02-22
60.84048843383789,2021-02-23
61.91816329956055,2021-02-24
62.02400588989258,2021-02-25
61.302345275878906,2021-02-26
62.476234436035156,2021-03-01
62.93811798095703,2021-03-02
64.46800994873047,2021-03-03
61.53327941894531,2021-03-04
62.41851806640625,2021-03-05
62.755287170410156,2021-03-08
62.476234436035156,2021-03-09
63.746376037597656,2021-03-10
64.7566909790039,2021-03-11
63.50580596923828,2021-03-12
64.09275817871094,2021-03-15
65.14155578613281,2021-03-16
65.9883041381836,2021-03-17
65.57455444335938,2021-03-18
64.33330535888672,2021-03-19
64.29480743408203,2021-03-22
64.42951965332031,2021-03-23
64.63159942626953,2021-03-24
65.29551696777344,2021-03-25
66.4309310913086,2021-03-26
67.26803588867188,2021-03-29
67.10446166992188,2021-03-30
65.86322021484375,2021-03-31
66.64261627197266,2021-04-01
66.6137466430664,2021-04-05
67.0852279663086,2021-04-06
66.99862670898438,2021-04-07
66.78693389892578,2021-04-08
68.07630920410156,2021-04-09
67.98007202148438,2021-04-12
68.43231964111328,2021-04-13
67.7395248413086,2021-04-14
68.2879867553711,2021-04-15
67.9127197265625,2021-04-16
68.345703125,2021-04-19
67.806884765625,2021-04-20
68.35533905029297,2021-04-21
68.26874542236328,2021-04-22
