KEY,Date
1.615835189819336,1987-11-05
1.615835189819336,1987-11-06
1.5701895952224731,1987-11-09
1.615835189819336,1987-11-10
1.615835189819336,1987-11-11
1.7071256637573242,1987-11-12
1.7071256637573242,1987-11-13
1.6979957818984985,1987-11-16
1.6706087589263916,1987-11-17
1.6249638795852661,1987-11-18
1.5336744785308838,1987-11-19
1.5336744785308838,1987-11-20
1.5428035259246826,1987-11-23
1.5793192386627197,1987-11-24
1.5428035259246826,1987-11-25
1.5610617399215698,1987-11-27
1.524545431137085,1987-11-30
1.551932454109192,1987-12-01
1.5428035259246826,1987-12-02
1.5154154300689697,1987-12-03
1.488028883934021,1987-12-04
1.4697701930999756,1987-12-07
1.5336744785308838,1987-12-08
1.478899359703064,1987-12-09
1.4697701930999756,1987-12-10
1.4515126943588257,1987-12-11
1.478899359703064,1987-12-14
1.4971579313278198,1987-12-15
1.478899359703064,1987-12-16
1.524545431137085,1987-12-17
1.5884487628936768,1987-12-18
1.5610617399215698,1987-12-21
1.5793192386627197,1987-12-22
1.6462807655334473,1987-12-23
1.6277827024459839,1987-12-24
1.6740264892578125,1987-12-28
1.6092848777770996,1987-12-29
1.6277827024459839,1987-12-30
1.572290301322937,1987-12-31
1.6185340881347656,1988-01-04
1.6740264892578125,1988-01-05
1.6647783517837524,1988-01-06
1.692524790763855,1988-01-07
1.6092848777770996,1988-01-08
1.6092848777770996,1988-01-11
1.581539273262024,1988-01-12
1.5537919998168945,1988-01-13
1.5260462760925293,1988-01-14
1.535294532775879,1988-01-15
1.572290301322937,1988-01-18
1.6277827024459839,1988-01-19
1.6000357866287231,1988-01-20
1.581539273262024,1988-01-21
1.6092848777770996,1988-01-22
1.6000357866287231,1988-01-25
1.6000357866287231,1988-01-26
1.6277827024459839,1988-01-27
1.6462807655334473,1988-01-28
1.6555280685424805,1988-01-29
1.6555280685424805,1988-02-01
1.6277827024459839,1988-02-02
1.6092848777770996,1988-02-03
1.581539273262024,1988-02-04
1.581539273262024,1988-02-05
1.572290301322937,1988-02-08
1.535294532775879,1988-02-09
1.5537919998168945,1988-02-10
1.572290301322937,1988-02-11
1.5907877683639526,1988-02-12
1.5537919998168945,1988-02-16
1.6000357866287231,1988-02-17
1.5907877683639526,1988-02-18
1.6000357866287231,1988-02-19
1.6000357866287231,1988-02-22
1.5907877683639526,1988-02-23
1.6000357866287231,1988-02-24
1.6092848777770996,1988-02-25
1.6092848777770996,1988-02-26
1.5907877683639526,1988-02-29
1.572290301322937,1988-03-01
1.572290301322937,1988-03-02
1.535294532775879,1988-03-03
1.6000357866287231,1988-03-04
1.6092848777770996,1988-03-07
1.6277827024459839,1988-03-08
1.6277827024459839,1988-03-09
1.6277827024459839,1988-03-10
1.6185340881347656,1988-03-11
1.6462807655334473,1988-03-14
1.6370311975479126,1988-03-15
1.6277827024459839,1988-03-16
1.6462807655334473,1988-03-17
1.6555280685424805,1988-03-18
1.6092848777770996,1988-03-21
1.5907877683639526,1988-03-22
1.6185340881347656,1988-03-23
1.6277827024459839,1988-03-24
1.6127800941467285,1988-03-25
1.5846506357192993,1988-03-28
1.565896987915039,1988-03-29
1.5752723217010498,1988-03-30
1.6127800941467285,1988-03-31
1.6034036874771118,1988-04-04
1.6034036874771118,1988-04-05
1.6034036874771118,1988-04-06
1.594027042388916,1988-04-07
1.6127800941467285,1988-04-08
1.6315336227416992,1988-04-11
1.6221562623977661,1988-04-12
1.6221562623977661,1988-04-13
1.594027042388916,1988-04-14
1.565896987915039,1988-04-15
1.5752723217010498,1988-04-18
1.5471441745758057,1988-04-19
1.5190138816833496,1988-04-20
1.5283902883529663,1988-04-21
1.565896987915039,1988-04-22
1.594027042388916,1988-04-25
1.5565201044082642,1988-04-26
1.5752723217010498,1988-04-27
1.5377671718597412,1988-04-28
1.594027042388916,1988-04-29
1.6127800941467285,1988-05-02
1.5846506357192993,1988-05-03
1.5752723217010498,1988-05-04
1.565896987915039,1988-05-05
1.5752723217010498,1988-05-06
1.565896987915039,1988-05-09
1.6127800941467285,1988-05-10
1.565896987915039,1988-05-11
1.565896987915039,1988-05-12
1.5846506357192993,1988-05-13
1.5846506357192993,1988-05-16
1.594027042388916,1988-05-17
1.594027042388916,1988-05-18
1.5752723217010498,1988-05-19
1.5752723217010498,1988-05-20
1.565896987915039,1988-05-23
1.5752723217010498,1988-05-24
1.5565201044082642,1988-05-25
1.5752723217010498,1988-05-26
1.565896987915039,1988-05-27
1.5846506357192993,1988-05-31
1.5846506357192993,1988-06-01
1.565896987915039,1988-06-02
1.565896987915039,1988-06-03
1.5377671718597412,1988-06-06
1.5283902883529663,1988-06-07
1.5377671718597412,1988-06-08
1.5752723217010498,1988-06-09
1.565896987915039,1988-06-10
1.5846506357192993,1988-06-13
1.6127800941467285,1988-06-14
1.6690396070480347,1988-06-15
1.6034036874771118,1988-06-16
1.565896987915039,1988-06-17
1.5565201044082642,1988-06-20
1.5377671718597412,1988-06-21
1.5565201044082642,1988-06-22
1.565896987915039,1988-06-23
1.5506761074066162,1988-06-24
1.5601894855499268,1988-06-27
1.5887292623519897,1988-06-28
1.5792158842086792,1988-06-29
1.6077563762664795,1988-06-30
1.6172690391540527,1988-07-01
1.6077563762664795,1988-07-05
1.5982415676116943,1988-07-06
1.5887292623519897,1988-07-07
1.5982415676116943,1988-07-08
1.636296272277832,1988-07-11
1.5697025060653687,1988-07-12
1.6267834901809692,1988-07-13
1.6172690391540527,1988-07-14
1.6077563762664795,1988-07-15
1.636296272277832,1988-07-18
1.5697025060653687,1988-07-19
